network_method	network_db	network_cutoff	experiment_info	func_module_number	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC
K1	cpdb	0.3	network_modules	3	TRUE	2.9113847493633153e-92	71	41	39	0.9512195121951219	0.5492957746478874	GO:0045109	GO:BP	intermediate filament organization	16175	11280		0	0.05263157894736842	71	16104	39	2	32	16102	16175	0.7220065812086527
K1	cpdb	0.3	network_modules	3	TRUE	4.6036748679858006e-88	85	41	39	0.9512195121951219	0.4588235294117647	GO:0045104	GO:BP	intermediate filament cytoskeleton organization	16175	11275		0.05555555555555555	0.10526315789473684	85	16090	39	2	46	16088	16175	0.659557312961879
K1	cpdb	0.3	network_modules	3	TRUE	8.422724676460687e-88	86	41	39	0.9512195121951219	0.45348837209302323	GO:0045103	GO:BP	intermediate filament-based process	16175	11274		0.1111111111111111	0.15789473684210525	86	16089	39	2	47	16087	16175	0.6556889866993422
K1	cpdb	0.3	network_modules	3	TRUE	1.2410372981286062e-74	128	40	39	0.975	0.3046875	REAC:R-HSA-6809371	REAC	Formation of the cornified envelope	10916	969		0	0.5	128	10788	39	1	89	10787	10916	0.5426669214454695
K1	cpdb	0.3	network_modules	3	TRUE	1.2355791386176993e-64	215	40	39	0.975	0.1813953488372093	REAC:R-HSA-6805567	REAC	Keratinization	10916	1288		1	1	215	10701	39	1	176	10700	10916	0.41693578480179727
K1	cpdb	0.3	network_modules	3	TRUE	6.755210238529429e-56	454	41	39	0.9512195121951219	0.08590308370044053	GO:0030855	GO:BP	epithelial cell differentiation	16175	6938		0.16666666666666666	0.21052631578947367	454	15721	39	2	415	15719	16175	0.28175404755421524
K1	cpdb	0.3	network_modules	3	TRUE	1.99452715060031e-49	33	41	22	0.5365853658536586	0.6666666666666666	GO:0031424	GO:BP	keratinization	16175	7162		0.2222222222222222	0.2631578947368421	33	16142	22	19	11	16123	16175	0.5971919819487967
K1	cpdb	0.3	network_modules	3	TRUE	2.7296952369418214e-48	701	41	39	0.9512195121951219	0.05563480741797432	GO:0060429	GO:BP	epithelium development	16175	14627		0.2777777777777778	0.3157894736842105	701	15474	39	2	662	15472	16175	0.2247676610765395
K1	cpdb	0.3	network_modules	3	TRUE	3.6526810959001006e-47	748	41	39	0.9512195121951219	0.05213903743315508	GO:0097435	GO:BP	supramolecular fiber organization	16175	18657		0.3333333333333333	0.3684210526315789	748	15427	39	2	709	15425	16175	0.21722528843138228
K1	cpdb	0.3	network_modules	3	TRUE	2.563612559428649e-44	231	41	30	0.7317073170731707	0.12987012987012986	GO:0008544	GO:BP	epidermis development	16175	3192		0.3888888888888889	0.42105263157894735	231	15944	30	11	201	15933	16175	0.3048159452814237
K1	cpdb	0.3	network_modules	3	TRUE	1.4383104852598572e-41	168	41	27	0.6585365853658537	0.16071428571428573	GO:0043588	GO:BP	skin development	16175	10792		0.4444444444444444	0.47368421052631576	168	16007	27	14	141	15993	16175	0.3222784219710417
K1	cpdb	0.3	network_modules	3	TRUE	4.688195887791915e-38	102	41	23	0.5609756097560976	0.22549019607843138	GO:0030216	GO:BP	keratinocyte differentiation	16175	6724		0.5	0.5263157894736842	102	16073	23	18	79	16055	16175	0.35322463334789816
K1	cpdb	0.3	network_modules	3	TRUE	2.020480267941918e-34	142	41	23	0.5609756097560976	0.1619718309859155	GO:0009913	GO:BP	epidermal cell differentiation	16175	3769		0.5555555555555556	0.5789473684210527	142	16033	23	18	119	16015	16175	0.2984058787141224
K1	cpdb	0.3	network_modules	3	TRUE	2.585508300211409e-32	86	18	17	0.9444444444444444	0.19767441860465115	KEGG:05150	KEGG	Staphylococcus aureus infection	8484	439		0	0.5	86	8398	17	1	69	8397	8484	0.430081295541782
K1	cpdb	0.3	network_modules	3	TRUE	1.1919517014026581e-28	136	18	17	0.9444444444444444	0.125	KEGG:04915	KEGG	Estrogen signaling pathway	8484	372		1	1	136	8348	17	1	119	8347	8484	0.34086225518458846
K1	cpdb	0.3	network_modules	3	TRUE	5.3148921067323356e-8	50	41	7	0.17073170731707318	0.14	GO:0042633	GO:BP	hair cycle	16175	10266		0.6111111111111112	0.6842105263157895	50	16125	7	34	43	16091	16175	0.15223318006359915
K1	cpdb	0.3	network_modules	3	TRUE	5.3148921067323356e-8	50	41	7	0.17073170731707318	0.14	GO:0042303	GO:BP	molting cycle	16175	10076		0.6111111111111112	0.6842105263157895	50	16125	7	34	43	16091	16175	0.15223318006359915
K1	cpdb	0.3	network_modules	3	TRUE	2.5480469736098343e-5	12	41	4	0.0975609756097561	0.3333333333333333	GO:0031069	GO:BP	hair follicle morphogenesis	16175	7018		0.7222222222222222	0.7368421052631579	12	16163	4	37	8	16126	16175	0.17925636201976763
K1	cpdb	0.3	network_modules	3	TRUE	5.133875038448841e-5	14	41	4	0.0975609756097561	0.2857142857142857	GO:0048730	GO:BP	epidermis morphogenesis	16175	12987		0.7777777777777778	0.7894736842105263	14	16161	4	37	10	16124	16175	0.16575745232515107
K1	cpdb	0.3	network_modules	3	TRUE	3.789069995110903e-4	55	41	5	0.12195121951219512	0.09090909090909091	GO:0098773	GO:BP	skin epidermis development	16175	18887		0.8333333333333334	0.8421052631578947	55	16120	5	36	50	16084	16175	0.10266117280261561
K1	cpdb	0.3	network_modules	3	TRUE	0.0017844953667270176	32	41	4	0.0975609756097561	0.125	GO:0001942	GO:BP	hair follicle development	16175	554		0.8888888888888888	0.8947368421052632	32	16143	4	37	28	16106	16175	0.10843687218387127
K1	cpdb	0.3	network_modules	3	TRUE	0.0020269183674359744	33	41	4	0.0975609756097561	0.12121212121212122	GO:0022404	GO:BP	molting cycle process	16175	6595		0.9444444444444444	1	33	16142	4	37	29	16105	16175	0.10671548836946554
K1	cpdb	0.3	network_modules	3	TRUE	0.0020269183674359744	33	41	4	0.0975609756097561	0.12121212121212122	GO:0022405	GO:BP	hair cycle process	16175	6596		0.9444444444444444	1	33	16142	4	37	29	16105	16175	0.10671548836946554
K1	cpdb	0.3	network_modules	7	TRUE	1.2784786790921845e-15	20	6	6	1	0.3	GO:0033141	GO:BP	positive regulation of peptidyl-serine phosphorylation of STAT protein	16175	8056		0	0.017857142857142856	20	16155	6	0	14	16155	16175	0.5474853821575243
K1	cpdb	0.3	network_modules	7	TRUE	1.789870150729089e-15	21	6	6	1	0.2857142857142857	GO:0033139	GO:BP	regulation of peptidyl-serine phosphorylation of STAT protein	16175	8054		0.01818181818181818	0.03571428571428571	21	16154	6	0	15	16154	16175	0.5342744877317185
K1	cpdb	0.3	network_modules	7	TRUE	2.4610714572524942e-15	22	6	6	1	0.2727272727272727	GO:0042501	GO:BP	serine phosphorylation of STAT protein	16175	10225		0.03636363636363636	0.05357142857142857	22	16153	6	0	16	16153	16175	0.5219745166453915
K1	cpdb	0.3	network_modules	7	TRUE	1.2255598140123717e-14	24	6	6	1	0.25	REAC:R-HSA-912694	REAC	Regulation of IFNA/IFNB signaling	10916	1979		0	0.1	24	10892	6	0	18	10892	10916	0.4995873641037528
K1	cpdb	0.3	network_modules	7	TRUE	1.5668290560948766e-14	29	6	6	1	0.20689655172413793	GO:0002323	GO:BP	natural killer cell activation involved in immune response	16175	855		0.05454545454545454	0.07142857142857142	29	16146	6	0	23	16146	16175	0.45453519833963496
K1	cpdb	0.3	network_modules	7	TRUE	5.4066003340752877e-14	30	6	6	1	0.2	REAC:R-HSA-933541	REAC	TRAF6 mediated IRF7 activation	10916	2465		0.1111111111111111	0.2	30	10886	6	0	24	10886	10916	0.4467214307189788
K1	cpdb	0.3	network_modules	7	TRUE	7.668180540491962e-14	37	6	6	1	0.16216216216216217	GO:0043330	GO:BP	response to exogenous dsRNA	16175	10636		0.07272727272727272	0.08928571428571429	37	16138	6	0	31	16138	16175	0.4023074159268035
K1	cpdb	0.3	network_modules	7	TRUE	1.4831104723751301e-13	41	6	6	1	0.14634146341463414	GO:0043331	GO:BP	response to dsRNA	16175	10637		0.09090909090909091	0.10714285714285714	41	16134	6	0	35	16134	16175	0.38213176707775026
K1	cpdb	0.3	network_modules	7	TRUE	1.3258429515287901e-12	49	6	6	1	0.12244897959183673	KEGG:05320	KEGG	Autoimmune thyroid disease	8484	482		0	0.043478260869565216	49	8435	6	0	43	8435	8484	0.3490385714726885
K1	cpdb	0.3	network_modules	7	TRUE	2.4729909950054787e-12	64	6	6	1	0.09375	GO:0098586	GO:BP	cellular response to virus	16175	18801		0.10909090909090909	0.125	64	16111	6	0	58	16111	16175	0.30563656249008625
K1	cpdb	0.3	network_modules	7	TRUE	6.110401965584936e-12	74	6	6	1	0.08108108108108109	GO:0060337	GO:BP	type I interferon-mediated signaling pathway	16175	14549		0.12727272727272726	0.14285714285714285	74	16101	6	0	68	16101	16175	0.2841480040815776
K1	cpdb	0.3	network_modules	7	TRUE	6.641741266940109e-12	75	6	6	1	0.08	GO:0071357	GO:BP	cellular response to type I interferon	16175	16609		0.14545454545454545	0.17857142857142858	75	16100	6	0	69	16100	16175	0.2822385621675314
K1	cpdb	0.3	network_modules	7	TRUE	6.641741266940109e-12	75	6	6	1	0.08	GO:0030101	GO:BP	natural killer cell activation	16175	6679		0.14545454545454545	0.17857142857142858	75	16100	6	0	69	16100	16175	0.2822385621675314
K1	cpdb	0.3	network_modules	7	TRUE	7.211033375535036e-12	76	6	6	1	0.07894736842105263	GO:0042100	GO:BP	B cell proliferation	16175	9966		0.18181818181818182	0.19642857142857142	76	16099	6	0	70	16099	16175	0.28036687355041573
K1	cpdb	0.3	network_modules	7	TRUE	1.0704792225592843e-11	81	6	6	1	0.07407407407407407	GO:0034340	GO:BP	response to type I interferon	16175	8578		0.2	0.23214285714285715	81	16094	6	0	75	16094	16175	0.27153357260776345
K1	cpdb	0.3	network_modules	7	TRUE	1.0704792225592843e-11	81	6	6	1	0.07407407407407407	GO:0033138	GO:BP	positive regulation of peptidyl-serine phosphorylation	16175	8053		0.2	0.23214285714285715	81	16094	6	0	75	16094	16175	0.27153357260776345
