network_method	network_db	network_cutoff	experiment_info	func_module_number	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC
M1	humanbase	0.3	network_modules	1	TRUE	9.13821789608505e-61	76	76	37	0.4868421052631579	0.4868421052631579	REAC:R-HSA-909733	REAC	Interferon alpha/beta signaling	10916	1228		0	0.04	76	10840	37	39	39	10801	10916	0.4832443192852982
M1	humanbase	0.3	network_modules	1	TRUE	2.869365597536139e-57	263	76	48	0.631578947368421	0.18250950570342206	REAC:R-HSA-913531	REAC	Interferon Signaling	10916	1227		0.041666666666666664	0.08	263	10653	48	28	215	10625	10916	0.3317248659007339
M1	humanbase	0.3	network_modules	1	TRUE	5.4455640978693e-54	228	87	43	0.4942528735632184	0.18859649122807018	GO:0051607	GO:BP	defense response to virus	16175	13823		0	0.006060606060606061	228	15947	43	44	185	15903	16175	0.29952237663532805
M1	humanbase	0.3	network_modules	1	TRUE	1.9233605451863204e-53	334	87	47	0.5402298850574713	0.1407185628742515	GO:0009615	GO:BP	response to virus	16175	3541		0.006097560975609756	0.012121212121212121	334	15841	47	40	287	15801	16175	0.2686837471743731
M1	humanbase	0.3	network_modules	1	TRUE	9.488079586808483e-45	721	87	52	0.5977011494252874	0.07212205270457697	GO:0045087	GO:BP	innate immune response	16175	11270		0.012195121951219513	0.01818181818181818	721	15454	52	35	669	15419	16175	0.19710108791548106
M1	humanbase	0.3	network_modules	1	TRUE	6.454012779557697e-34	90	87	25	0.28735632183908044	0.2777777777777778	GO:0048525	GO:BP	negative regulation of viral process	16175	12808		0.018292682926829267	0.024242424242424242	90	16085	25	62	65	16023	16175	0.2785800652848188
M1	humanbase	0.3	network_modules	1	TRUE	3.298492220235818e-32	160	87	28	0.3218390804597701	0.175	GO:0050792	GO:BP	regulation of viral process	16175	13260		0.024390243902439025	0.030303030303030304	160	16015	28	59	132	15956	16175	0.23179849731903338
M1	humanbase	0.3	network_modules	1	TRUE	1.8845297807560791e-29	54	87	20	0.22988505747126436	0.37037037037037035	GO:0045071	GO:BP	negative regulation of viral genome replication	16175	11269		0.03048780487804878	0.03636363636363636	54	16121	20	67	34	16054	16175	0.2888135157502135
M1	humanbase	0.3	network_modules	1	TRUE	6.211808099671053e-29	625	87	39	0.4482758620689655	0.0624	GO:0034097	GO:BP	response to cytokine	16175	8408		0.036585365853658534	0.048484848484848485	625	15550	39	48	586	15502	16175	0.15629525128588556
M1	humanbase	0.3	network_modules	1	TRUE	6.211808099671053e-29	625	87	39	0.4482758620689655	0.0624	GO:1901652	GO:BP	response to peptide	16175	21619		0.036585365853658534	0.048484848484848485	625	15550	39	48	586	15502	16175	0.15629525128588556
M1	humanbase	0.3	network_modules	1	TRUE	9.293735422969376e-29	138	87	25	0.28735632183908044	0.18115942028985507	GO:1903900	GO:BP	regulation of viral life cycle	16175	23367		0.04878048780487805	0.05454545454545454	138	16037	25	62	113	15975	16175	0.22293739633625273
M1	humanbase	0.3	network_modules	1	TRUE	1.2029969687465666e-28	451	87	35	0.40229885057471265	0.07760532150776053	GO:0002831	GO:BP	regulation of response to biotic stimulus	16175	1341		0.054878048780487805	0.06060606060606061	451	15724	35	52	416	15672	16175	0.16723911624529814
