network_method	network_db	network_cutoff	experiment_info	func_module_number	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC
M1	string	0.8	network_modules	1	TRUE	1.089066823292561e-59	103	37	32	0.8648648648648649	0.3106796116504854	REAC:R-HSA-611105	REAC	Respiratory electron transport	10916	2081		0	0.125	103	10813	32	5	71	10808	10916	0.5160149027709606
M1	string	0.8	network_modules	1	TRUE	5.265644482239785e-57	127	43	32	0.7441860465116279	0.25196850393700787	GO:0006119	GO:BP	oxidative phosphorylation	16175	1977		0	0.05	127	16048	32	11	95	16037	16175	0.4307221404010343
M1	string	0.8	network_modules	1	TRUE	1.4034573374479667e-54	88	43	29	0.6744186046511628	0.32954545454545453	GO:0042773	GO:BP	ATP synthesis coupled electron transport	16175	10358		0.05263157894736842	0.15	88	16087	29	14	59	16073	16175	0.46953443760527547
M1	string	0.8	network_modules	1	TRUE	1.4034573374479667e-54	88	43	29	0.6744186046511628	0.32954545454545453	GO:0042775	GO:BP	mitochondrial ATP synthesis coupled electron transport	16175	10360		0.05263157894736842	0.15	88	16087	29	14	59	16073	16175	0.46953443760527547
M1	string	0.8	network_modules	1	TRUE	3.3542101520766274e-53	162	43	32	0.7441860465116279	0.19753086419753085	GO:0009060	GO:BP	aerobic respiration	16175	3236		0.15789473684210525	0.2	162	16013	32	11	130	16002	16175	0.38066025561393524
M1	string	0.8	network_modules	1	TRUE	6.752624854863837e-53	82	43	28	0.6511627906976745	0.34146341463414637	GO:0019646	GO:BP	aerobic electron transport chain	16175	5967		0.21052631578947367	0.25	82	16093	28	15	54	16078	16175	0.4696822793548021
M1	string	0.8	network_modules	1	TRUE	8.100224974873129e-53	99	43	29	0.6744186046511628	0.29292929292929293	GO:0022904	GO:BP	respiratory electron transport chain	16175	6631		0.2631578947368421	0.3	99	16076	29	14	70	16062	16175	0.4423825698641836
M1	string	0.8	network_modules	1	TRUE	6.870120405500135e-52	232	37	35	0.9459459459459459	0.15086206896551724	KEGG:04714	KEGG	Thermogenesis	8484	349		0	0.09090909090909091	232	8252	35	2	197	8250	8484	0.37278058132728303
M1	string	0.8	network_modules	1	TRUE	1.1185012061161762e-51	107	43	29	0.6744186046511628	0.27102803738317754	GO:0022900	GO:BP	electron transport chain	16175	6630		0.3157894736842105	0.35	107	16068	29	14	78	16054	16175	0.4253145826864288
M1	string	0.8	network_modules	1	TRUE	3.937674200537948e-51	177	37	32	0.8648648648648649	0.1807909604519774	REAC:R-HSA-1428517	REAC	Aerobic respiration and respiratory electron transport	10916	127		0.14285714285714285	0.25	177	10739	32	5	145	10734	10916	0.39185918466380504
M1	string	0.8	network_modules	1	TRUE	6.255339981500654e-51	188	43	32	0.7441860465116279	0.1702127659574468	GO:0045333	GO:BP	cellular respiration	16175	11360		0.3684210526315789	0.4	188	15987	32	11	156	15976	16175	0.35287190323767187
M1	string	0.8	network_modules	1	TRUE	2.0539391049617623e-47	134	37	30	0.8108108108108109	0.22388059701492538	KEGG:00190	KEGG	Oxidative phosphorylation	8484	18		0.1	0.18181818181818182	134	8350	30	7	104	8343	8484	0.42201774385246044
M1	string	0.8	network_modules	1	TRUE	1.4872048170464053e-46	252	43	32	0.7441860465116279	0.12698412698412698	GO:0015980	GO:BP	energy derivation by oxidation of organic compounds	16175	5060		0.42105263157894735	0.45	252	15923	32	11	220	15912	16175	0.30374889245895736
M1	string	0.8	network_modules	1	TRUE	5.5842718563342736e-46	87	37	27	0.7297297297297297	0.3103448275862069	KEGG:04260	KEGG	Cardiac muscle contraction	8484	296		0.2	0.2727272727272727	87	8397	27	10	60	8387	8484	0.47265511261711907
M1	string	0.8	network_modules	1	TRUE	2.142371874194157e-45	154	37	30	0.8108108108108109	0.19480519480519481	KEGG:04932	KEGG	Non-alcoholic fatty liver disease	8484	389		0.3	0.36363636363636365	154	8330	30	7	124	8323	8484	0.3929649414502336
M1	string	0.8	network_modules	1	TRUE	1.5064964678614895e-41	202	37	30	0.8108108108108109	0.1485148514851485	KEGG:05415	KEGG	Diabetic cardiomyopathy	8484	492		0.4	0.45454545454545453	202	8282	30	7	172	8275	8484	0.3416507823467708
M1	string	0.8	network_modules	1	TRUE	7.024102411752262e-41	372	43	32	0.7441860465116279	0.08602150537634409	GO:0006091	GO:BP	generation of precursor metabolites and energy	16175	1954		0.47368421052631576	0.5	372	15803	32	11	340	15792	16175	0.24839418042603692
