network_method	network_db	network_cutoff	experiment_info	func_module_number	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC
R1	string	0.3	network_modules	3	TRUE	2.0716741561701505e-9	57	11	6	0.5454545454545454	0.10526315789473684	REAC:R-HSA-3371497	REAC	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	10916	1111		0	0.1	57	10859	6	5	51	10854	10916	0.23806507147991615
R1	string	0.3	network_modules	3	TRUE	9.363020310524682e-7	182	11	6	0.5454545454545454	0.03296703296703297	GO:0006457	GO:BP	protein folding	16175	2203		0	0.25	182	15993	6	5	176	15988	16175	0.13212091015343497
R1	string	0.3	network_modules	3	TRUE	4.497391772284896e-6	6	11	3	0.2727272727272727	0.5	REAC:R-HSA-8937144	REAC	Aryl hydrocarbon receptor signalling	10916	168		0.1111111111111111	0.2	6	10910	3	8	3	10902	10916	0.36881743881299955
R1	string	0.3	network_modules	3	TRUE	7.049194194045823e-6	216	11	6	0.5454545454545454	0.027777777777777776	REAC:R-HSA-8939211	REAC	ESR-mediated signaling	10916	830		0.2222222222222222	0.3	216	10700	6	5	210	10695	10916	0.11987787841481727
R1	string	0.3	network_modules	3	TRUE	4.0809568867365e-5	290	11	6	0.5454545454545454	0.020689655172413793	REAC:R-HSA-9006931	REAC	Signaling by Nuclear Receptors	10916	2289		0.3333333333333333	0.4	290	10626	6	5	284	10621	10916	0.10247945060673669
R1	string	0.3	network_modules	3	TRUE	4.9308304033604393e-5	12	11	3	0.2727272727272727	0.25	REAC:R-HSA-3371511	REAC	HSF1 activation	10916	1109		0.4444444444444444	0.5	12	10904	3	8	9	10896	10916	0.2603382471740858
R1	string	0.3	network_modules	3	TRUE	8.149311483080551e-5	14	11	3	0.2727272727272727	0.21428571428571427	REAC:R-HSA-3371568	REAC	Attenuation phase	10916	189		0.5555555555555556	0.6	14	10902	3	8	11	10894	10916	0.24088589845447983
R1	string	0.3	network_modules	3	TRUE	9.278041903202146e-5	66	11	4	0.36363636363636365	0.06060606060606061	GO:0061077	GO:BP	chaperone-mediated protein folding	16175	15193		0.3333333333333333	0.5	66	16109	4	7	62	16102	16175	0.14713855410166618
R1	string	0.3	network_modules	3	TRUE	3.1774617052768696e-4	483	11	6	0.5454545454545454	0.012422360248447204	GO:0051604	GO:BP	protein maturation	16175	13821		0.6666666666666666	0.75	483	15692	6	5	477	15687	16175	0.07902437233818882
R1	string	0.3	network_modules	3	TRUE	3.521700253769879e-4	87	11	4	0.36363636363636365	0.04597701149425287	REAC:R-HSA-3371556	REAC	Cellular response to heat stress	10916	334		0.6666666666666666	0.7	87	10829	4	7	83	10822	10916	0.12703871268885264
R1	string	0.3	network_modules	3	TRUE	4.5065092532600406e-4	24	11	3	0.2727272727272727	0.125	REAC:R-HSA-3371571	REAC	HSF1-dependent transactivation	10916	1110		0.7777777777777778	0.8	24	10892	3	8	21	10884	10916	0.1834428914126782
R1	string	0.3	network_modules	3	TRUE	0.001118701313711736	136	11	4	0.36363636363636365	0.029411764705882353	KEGG:04915	KEGG	Estrogen signaling pathway	8484	372		0	0.5	136	8348	4	7	132	8341	8484	0.0997252710484334
R1	string	0.3	network_modules	3	TRUE	0.002864034064916548	147	11	4	0.36363636363636365	0.027210884353741496	REAC:R-HSA-9018519	REAC	Estrogen-dependent gene expression	10916	866		0.8888888888888888	0.9	147	10769	4	7	143	10762	10916	0.0964893723728472
R1	string	0.3	network_modules	3	TRUE	0.003102844145764496	150	11	4	0.36363636363636365	0.02666666666666667	REAC:R-HSA-9679191	REAC	Potential therapeutics for SARS	10916	1782		1	1	150	10766	4	7	146	10759	10916	0.09545793523535859
R1	string	0.3	network_modules	3	TRUE	0.006263565023768131	211	11	4	0.36363636363636365	0.018957345971563982	KEGG:05207	KEGG	Chemical carcinogenesis - receptor activation	8484	459		1	1	211	8273	4	7	207	8266	8484	0.07838004356924562
R1	string	0.3	network_modules	3	TRUE	0.007156405668604097	6	11	2	0.18181818181818182	0.3333333333333333	GO:1905323	GO:BP	telomerase holoenzyme complex assembly	16175	24539		1	1	6	16169	2	9	4	16160	16175	0.24580989962527874
R1	string	0.3	network_modules	4	TRUE	7.43384638410625e-6	11	7	3	0.42857142857142855	0.2727272727272727	GO:0072672	GO:BP	neutrophil extravasation	16175	17490		0	0.3333333333333333	11	16164	3	4	8	16160	16175	0.3415292620666414
