func_module_number	go_slim_pir
1	GO:0036211;GO:0032502
2	GO:0022607;GO:0006996
3	GO:0006354;GO:0006396;GO:0050789
4	GO:0051258;GO:0006996;GO:0050789
5	GO:0006869;GO:0065008;GO:0061024
7	GO:0051641;GO:0051234
8	GO:0036211
9	GO:0043603;GO:0006629;GO:0006066
10	GO:0032501
11	GO:0006082;GO:0006793;GO:0006662;GO:0006629
12	GO:0006811
13	GO:0006793;GO:0006629
14	GO:0006119;GO:0022900
15	GO:0032501;GO:0032502;GO:0050896;GO:0050789
16	GO:0006082;GO:0006520;GO:0009308
17	GO:0007032;GO:0044419;GO:0015031;GO:0009057;GO:0022411;GO:0022607;GO:0016192;GO:0006508;GO:0016032;GO:0006914;GO:0061024
18	GO:0006082;GO:0005975;GO:0009117;GO:0006091
19	GO:0008037;GO:0022414
20	GO:0051641;GO:0061024;GO:0016192;GO:0016050
21	GO:0065008;GO:0006811
22	GO:0006082;GO:0007031;GO:0006629
24	GO:0006811
26	GO:0006508;GO:0009057
27	GO:0006805;GO:0006082;GO:0042445;GO:0006629;GO:0050896
28	GO:0006412
29	GO:0006119;GO:0007005;GO:0022900;GO:0009117;GO:0065003
30	GO:0016070;GO:0051641;GO:0015931;GO:0000375;GO:0050789
31	GO:0043603;GO:0006805;GO:0006082;GO:0006790;GO:0006629;GO:0050896
32	GO:0007005;GO:0015031;GO:0061024
33	GO:0006914;GO:0050789;GO:0065008;GO:1902600
34	GO:0051641;GO:0065008;GO:0051640;GO:0048753;GO:0043473;GO:0006810
35	GO:0045229;GO:0043062
36	GO:0016070;GO:0065008;GO:0009057;GO:0050789
37	GO:0043603;GO:0006629
38	GO:0050789
39	GO:0050879;GO:0050877;GO:0022607;GO:0006996;GO:0032989;GO:0006936;GO:0032502
40	GO:0016050;GO:0048284;GO:0051640;GO:0016192;GO:0046903;GO:0006836;GO:0022406;GO:0061024
41	GO:0016070;GO:0042254;GO:0006396
42	GO:0051604;GO:0006508
43	GO:0001906;GO:0002376;GO:0001775;GO:0065003;GO:0050896;GO:0050789
44	GO:0050896;GO:0050789
45	GO:0009117
46	GO:0016070;GO:0042254;GO:0006396
47	GO:0006936;GO:0050789;GO:0065009;GO:0006811
48	GO:0015031
49	GO:0051641;GO:0006810
50	GO:0044419;GO:0032502;GO:0036211;GO:0002376;GO:0001775;GO:0008283;GO:0006793;GO:0050896;GO:0050789
51	GO:0042254;GO:0006412;GO:0065003
52	GO:0006996;GO:0050789
53	GO:0006811
54	GO:0032501;GO:0050896;GO:0007154;GO:0050789
55	GO:0015031;GO:0065008;GO:0016050;GO:0007030;GO:0006811;GO:0016192;GO:0061024
56	GO:0036211;GO:0006508;GO:0009057
57	GO:0051641;GO:0015931
58	GO:0005975;GO:0045333;GO:0043603;GO:0006082;GO:0009117;GO:0006790;GO:0006520
59	GO:0016192;GO:0007030
60	GO:0009057;GO:0036211;GO:0006508;GO:0007049;GO:0022414;GO:0050789
61	GO:0016070;GO:0006396;GO:0009057;GO:0050789
