func_module_number	go_slim_pir
1	GO:0065003;GO:0016070;GO:0009059;GO:0050789
2	GO:0065003;GO:0016070;GO:0000375
3	GO:0016070;GO:0006412;GO:0050789
4	GO:0007033;GO:0050789;GO:0006914;GO:0050896;GO:0022411;GO:0022607
5	GO:0006082;GO:0009117;GO:0005975
6	GO:0032502;GO:0050789
7	GO:0006629
8	GO:0002376;GO:0044419;GO:0050789;GO:0050896;GO:0001816
9	GO:0022900;GO:0009117;GO:0006119
10	GO:0065003;GO:0051640;GO:0051276;GO:0000280;GO:0007059;GO:0051234;GO:0006281
11	GO:0050896;GO:0050789
12	GO:0050896;GO:0050817;GO:0050878;GO:0050789
13	GO:0065009;GO:0050789
14	GO:0036211;GO:0009059;GO:0006629
15	GO:0050789;GO:0050896
16	GO:0005976;GO:0002376;GO:0044419;GO:0036211;GO:0006112;GO:0050789;GO:0001775;GO:0050896;GO:0006793
17	GO:0032502;GO:0050789;GO:0016043
18	GO:0006412;GO:0042254
19	GO:0050789;GO:0009057;GO:0006508
21	GO:0050789;GO:0050896
22	GO:0002376;GO:0044419;GO:0001906;GO:0050789;GO:0050896
23	GO:0001906;GO:0008152;GO:0050789
24	GO:0016192;GO:0022406;GO:0061024;GO:0051640
25	GO:0006629;GO:0002376;GO:0036211;GO:0050789;GO:0001775;GO:0050896;GO:0006793
26	GO:0031023;GO:0006996;GO:0051258;GO:0050789
27	GO:0050789
29	GO:0051604;GO:0045229;GO:0006508;GO:0050789;GO:0043062;GO:0050886;GO:0022411;GO:0042445;GO:0043603
30	GO:0036211;GO:0050789;GO:0050896;GO:0048511;GO:0032502;GO:0006351
31	GO:0006793;GO:0006520;GO:0006139
32	GO:0016070;GO:0006396;GO:0042254
33	GO:0065008;GO:0006996;GO:0051261;GO:0050789
34	GO:0007031;GO:0006082;GO:0015031;GO:0006629
35	GO:0016043
36	GO:0022607;GO:0050877
37	GO:0022607
38	GO:0006810;GO:0051641
39	GO:0009059
41	GO:0006811
42	GO:0051640;GO:0050789;GO:0050896;GO:0048511;GO:0000280;GO:0051234;GO:0022607;GO:0007059
43	GO:0006412;GO:0006396;GO:0042254;GO:0050789;GO:0016070
44	GO:0016192;GO:0015031;GO:0050789
45	GO:0050896;GO:0007005;GO:0050789
46	GO:0016192;GO:0051641;GO:0006914
47	GO:0006457;GO:0006508;GO:0036211;GO:0009057;GO:0050789;GO:0050896;GO:0065009;GO:0006793
48	GO:0032502;GO:0050789
49	GO:0006811
50	GO:0016070;GO:0000375;GO:0050789
51	GO:0032501;GO:0051276;GO:0050789;GO:0032502;GO:0007059;GO:0006281
52	GO:0032502;GO:0050789
53	GO:0032501;GO:0032502;GO:0050896;GO:0050789
54	GO:0065008;GO:0050789
55	GO:0036211
56	GO:0016070;GO:0006396
57	GO:0016043
58	GO:0006810;GO:0061024;GO:0007005;GO:0051641
59	GO:0050896
62	GO:0009057
63	GO:0032501;GO:0032502;GO:0050789
65	GO:0051234;GO:0051641
66	GO:0032502;GO:0043062;GO:0045229;GO:0050789
67	GO:0006811
69	GO:0006811;GO:0016043;GO:0050789
70	GO:0040011;GO:0002376;GO:0044419;GO:0050789;GO:0050896
72	GO:0007154;GO:0050789
73	GO:0032501;GO:0050789
74	GO:0016070;GO:0065008;GO:0009057;GO:0050789
75	GO:0002376;GO:0022414;GO:0036211;GO:0050789;GO:0001775;GO:0050896;GO:0032502;GO:0006793
76	GO:0051276;GO:0050789;GO:0009059;GO:0006260;GO:0006281
77	GO:0022406;GO:0051640;GO:0050789;GO:0016192;GO:0006836;GO:0007154;GO:0048284;GO:0016050;GO:0061024;GO:0046903
78	GO:0016192;GO:0051641
79	GO:0050789;GO:0050896
80	GO:0050789;GO:0016043
81	GO:0044419;GO:0050896;GO:0002376;GO:0050789
82	GO:0043062;GO:0045229;GO:0050789
84	GO:0016192;GO:0015031;GO:0007032;GO:0046903
85	GO:0065003;GO:0016192
86	GO:0043062;GO:0045229
87	GO:0050896;GO:0045229;GO:0043062;GO:0008152;GO:0022411
88	GO:0006811;GO:0007154;GO:0050789
89	GO:0036211;GO:0006281;GO:0016043
90	GO:0032502;GO:0006996
91	GO:0006351;GO:0050789
93	GO:0015669;GO:0008152
94	GO:0050789;GO:0006082;GO:0006139;GO:0050896;GO:0065009;GO:0006793
96	GO:0006811;GO:0065008;GO:0050789
97	GO:0006281;GO:0050789
98	GO:0042908
99	GO:0001816;GO:0050896;GO:0002376;GO:0050789
100	GO:0032501
101	GO:0051234;GO:0051641;GO:0050789
