func_module_number	go_slim_pir
2	GO:0050896;GO:0001816;GO:0002376;GO:0050789;GO:0044419;GO:0016032
4	GO:0050896;GO:0006793;GO:0016192;GO:0002376;GO:0050789;GO:0044419;GO:0036211;GO:0007155;GO:0008283;GO:0001775
5	GO:0007059;GO:0007049;GO:0006260;GO:0050789;GO:0000280;GO:0051276
6	GO:0008150
7	GO:0006457;GO:0050789
8	GO:0050896;GO:0065009;GO:0050789
9	GO:0042254
11	GO:0016070;GO:0000375
12	GO:0006412
14	GO:0016070;GO:0044085;GO:0065003;GO:0000375
15	GO:0006412;GO:0065003
18	GO:0007059;GO:0007049;GO:0050789;GO:0000280;GO:0032392
19	GO:0006996
21	GO:0051276;GO:0006281
22	GO:0006066
24	GO:0006119;GO:0022900;GO:0065003;GO:0007005
27	GO:0045333
30	GO:0042254
36	GO:0016070;GO:0000375;GO:0051276;GO:0050789
39	GO:0006281;GO:0016043
58	GO:0009057;GO:0006508
74	GO:0050789
79	GO:0006996
81	GO:0050789
87	GO:0006805;GO:0006790;GO:0043603
99	GO:0050789
111	GO:0006629;GO:0006066
114	GO:0036211
117	GO:0050896;GO:0050789
125	GO:0050789
131	GO:0050896
139	GO:0051641;GO:0015931;GO:0050789;GO:0006396;GO:0016070
140	GO:0006281
166	GO:0006281
185	GO:0051641;GO:0015931
187	GO:0050896;GO:0007155;GO:0051179
212	GO:0022414;GO:0050789
248	GO:0006259;GO:0050789
