func_module_number	lst
1	GO:0140053;GO:0032543;GO:0000959;GO:0000963;GO:0097250;GO:0006412;GO:0007005;GO:0033108
2	GO:0052695;GO:0019585;GO:0006063;GO:0051552;GO:0009812;GO:0042440;GO:0006805;GO:0052696;GO:0071466
4	GO:0030198
5	GO:0070098;GO:1990869;GO:1990868;GO:0042330;GO:0006935;GO:0071621;GO:0030593;GO:0097530;GO:0060326;GO:1990266;GO:0097529;GO:0030595;GO:0050900;GO:0048247;GO:0002548;GO:0072676;GO:0019221;GO:0006954;GO:0071674;GO:0071345;GO:1901652;GO:0034097;GO:0007186;GO:0071346;GO:0071347;GO:0070555;GO:0034341;GO:0070374;GO:0048245;GO:0072677
6	GO:0007271;GO:0035094;GO:0007268;GO:0098916
7	GO:0030574;GO:0032963;GO:0030198;GO:0043062;GO:0045229;GO:0022617;GO:0022411;GO:0071492;GO:0070141
8	GO:0071805;GO:0006813
9	GO:0033141;GO:0033139;GO:0042501;GO:0002323;GO:0043330;GO:0043331;GO:0098586;GO:0060337;GO:0030101;GO:0071357;GO:0042100;GO:0033138;GO:0034340;GO:0046425;GO:1904892
10	GO:0001990;GO:0014826;GO:0003044;GO:0003100;GO:0050886;GO:0003073;GO:0014821;GO:0014829
12	GO:0035720;GO:0042073;GO:0031503
14	GO:0008543;GO:0044344;GO:0071774;GO:0008284;GO:0001934;GO:0071363;GO:0030334
19	GO:0045165;GO:0060070
20	GO:0006352;GO:0051123;GO:0070897;GO:0006282;GO:0006367;GO:0060261;GO:2000144;GO:0060260
21	GO:0006968;GO:0034125;GO:0002694
23	GO:0090092;GO:0007178;GO:0090287
24	GO:0002181;GO:0006412;GO:0042254;GO:0022613;GO:0042274;GO:0006364
25	GO:0030198
27	GO:0032729;GO:0046634
28	GO:0002224;GO:0002831;GO:0002221;GO:0002833;GO:0071219;GO:0002758;GO:0045087;GO:0002218;GO:0071216;GO:0140895;GO:0009617;GO:0002237;GO:0002752;GO:0045089;GO:0032490;GO:0032103;GO:0002220;GO:0045088;GO:0002757;GO:0031349;GO:0002764
29	GO:0006383;GO:0006354;GO:0006368;GO:0016073;GO:0031123
30	GO:0098656;GO:0034220;GO:0006820;GO:0098739;GO:0006884;GO:0015711;GO:1902476;GO:0055081;GO:0055064
31	GO:0051715;GO:0019835
33	GO:0007596;GO:0050817;GO:0007599;GO:0050878;GO:0042060;GO:0009611;GO:0030193;GO:1900046;GO:0050818;GO:0042730;GO:0030195;GO:1900047;GO:0050819;GO:0061045
34	GO:0098916;GO:0007268;GO:0099537;GO:0099536;GO:0050804;GO:0099177;GO:0035249;GO:0060079;GO:0099565;GO:0007215;GO:0098815;GO:0060078;GO:2000463;GO:0042391;GO:0031644;GO:0051966;GO:0007611;GO:0001941;GO:0051968;GO:0035235;GO:1990806;GO:0007610;GO:0050890;GO:0050877;GO:0050806;GO:0099173;GO:0097104;GO:0034762
36	GO:0032543
37	GO:0030198;GO:0043062;GO:0045229;GO:0030199;GO:0035987;GO:0048646;GO:0001706
38	GO:0006506;GO:0006505;GO:0180046;GO:0009247;GO:0006664;GO:1903509;GO:0006661
39	GO:0060261;GO:2000144;GO:0060260;GO:2000142
41	GO:0090174;GO:0006906;GO:0061025;GO:0048284;GO:0006836;GO:0140056;GO:0048278;GO:0022406;GO:0099643;GO:0007269;GO:0006887;GO:0045055;GO:0016050;GO:0007268;GO:0098916;GO:0140029;GO:0099537;GO:0016079;GO:0099536;GO:0099504;GO:0023061;GO:0099003;GO:0032940;GO:0140352
42	GO:0051459;GO:0051458;GO:0044060;GO:0060986;GO:0050886;GO:0051461;GO:0048521;GO:0090276
44	GO:0006956;GO:0006959;GO:0002252
45	GO:0016055;GO:0060070;GO:0035567;GO:0045165;GO:0071300;GO:0030111;GO:0032526;GO:0061183;GO:0061054;GO:1904948;GO:0060828;GO:0030901;GO:0071542;GO:0030178;GO:0043010;GO:0060071;GO:0061184;GO:0002088
46	GO:0097646
47	GO:0099022;GO:0006901;GO:0006903;GO:0006900;GO:0006888
49	GO:0010498;GO:0051603;GO:0043161;GO:0006511
50	GO:0141091;GO:0007178;GO:0060391;GO:0060390;GO:0090100;GO:0090092;GO:0060395;GO:0071363;GO:0070848;GO:0007167;GO:0030509;GO:0071773;GO:0071772;GO:0032924;GO:0007179;GO:0060412;GO:0045597;GO:0071560;GO:0071559;GO:0003281;GO:0003197;GO:0003231;GO:0060411;GO:0003206;GO:0060840;GO:0003205;GO:0003279;GO:0003203;GO:0060485;GO:0003007;GO:0060021;GO:0009887;GO:0030501;GO:0072132;GO:0045778;GO:0061384;GO:0003181;GO:0032925
51	GO:0034332;GO:0016339;GO:0044331
52	GO:0036297;GO:0006281;GO:0006974;GO:0007059;GO:0000712
53	GO:0070166
54	GO:0002708;GO:0001912;GO:0042267;GO:0002228;GO:0002705;GO:0031343;GO:0002699;GO:0002484;GO:0002486;GO:0002706;GO:0001910;GO:0002476;GO:0002428;GO:0031341
56	GO:0030509;GO:0071772;GO:0071773;GO:0141091;GO:0007178;GO:0090092;GO:0060390
58	GO:0042531;GO:0042509;GO:0007260;GO:0050731;GO:0050730;GO:0070120;GO:0018108;GO:0018212;GO:0019221;GO:0007259;GO:0008284;GO:0097696
60	GO:1903576;GO:1904262;GO:0032007;GO:1903432
61	GO:0030198;GO:0043062;GO:0045229;GO:0035583
62	GO:0006805;GO:0071466;GO:0006690;GO:0019373;GO:0016098;GO:0009410;GO:0120254;GO:0019369;GO:0008202;GO:0033559
64	GO:0097006;GO:0034368;GO:0034369;GO:0034367;GO:0071827;GO:0071825;GO:0034372;GO:0034370;GO:0055090;GO:0070328;GO:0055088;GO:0034381;GO:0010876;GO:0034375;GO:0030301;GO:0015918;GO:0042632;GO:0055092;GO:0006869;GO:0043691;GO:0006641;GO:0032371;GO:0032374;GO:0033344;GO:0015850;GO:1905952;GO:0051004
65	GO:0045109;GO:0045104;GO:0045103;GO:0030855;GO:0097435
74	GO:0019221;GO:0008284;GO:0071345;GO:1901652;GO:0034097;GO:0045321;GO:0045937;GO:0010562;GO:0001934;GO:0042327;GO:0031401;GO:0030097;GO:0046649;GO:0070663;GO:0070665;GO:0001932;GO:0070661;GO:0042325;GO:1903131;GO:0050851;GO:0002521;GO:0042110;GO:0097696
80	GO:0071358;GO:0038196;GO:0034342
87	GO:0007186;GO:0007187;GO:0007198
90	GO:0007098;GO:0031023;GO:0010968;GO:0031113;GO:0032886;GO:0046785;GO:0031110;GO:0007020
91	GO:0000226;GO:0031023;GO:0007098;GO:0098534;GO:0007099;GO:0044782;GO:0060271;GO:0051298;GO:0140694;GO:0120031;GO:0030031;GO:0007051;GO:0032886;GO:0051225;GO:0070507;GO:0031109
101	GO:0016338;GO:0070830;GO:0120192
103	GO:0007411;GO:0097485;GO:0007409;GO:0048812;GO:0061564;GO:0120039;GO:0048858;GO:0048667;GO:0050770;GO:0031175
104	GO:0048013;GO:0007411;GO:0097485;GO:0007409;GO:0061564;GO:0048667;GO:0048812
106	GO:0006119;GO:0019646;GO:0022904;GO:0009060;GO:0045333;GO:0022900;GO:0042775;GO:0042773;GO:0015980;GO:0006091;GO:0033108;GO:0097250;GO:0042776
107	GO:0009060;GO:0045333;GO:0042776;GO:0015986;GO:0015980;GO:0006754;GO:0006119;GO:0009206;GO:0009145;GO:0009201;GO:0009142;GO:0006091
111	GO:0007210;GO:1903350;GO:1903351
116	GO:0019730
121	GO:0007031;GO:0072662;GO:0072663
122	GO:0098660;GO:0034220;GO:0098662;GO:0098655;GO:0030001;GO:0006812;GO:0042391;GO:0071805;GO:0006813;GO:0007214;GO:0099622;GO:0086001;GO:0098916;GO:0007268;GO:0099537;GO:0086091;GO:0099536;GO:0001508;GO:0086009;GO:0061337;GO:0086002;GO:0051932;GO:0099625;GO:0099623;GO:1902476;GO:0006821
124	GO:0045332;GO:0034204
131	GO:0071351;GO:0070673;GO:0035655
132	GO:0050427;GO:0034032;GO:0034035;GO:0033875;GO:0033865
134	GO:0002183;GO:0001732;GO:0006413;GO:0002181;GO:0006412
135	GO:1904851;GO:1904869;GO:1904871;GO:0070203;GO:1904867;GO:0070202;GO:1903405;GO:1904816;GO:1990173;GO:1904874;GO:1904814;GO:0070200;GO:1904872;GO:0090670;GO:0090672;GO:0090685;GO:0090671
143	GO:0001934;GO:0051962;GO:0045597;GO:0042327;GO:0050769;GO:0045937;GO:0010562;GO:0050731;GO:0050679;GO:0051960;GO:0031401;GO:0001932;GO:0042063;GO:0050767;GO:0042330;GO:0006935;GO:0050921;GO:0001763;GO:0042325
144	GO:0098742;GO:0098609;GO:0048812;GO:0120039;GO:0048858;GO:0007156;GO:0048667
146	GO:0050914;GO:1904044;GO:1904045;GO:1904116;GO:1904117;GO:0071389
164	GO:0140053;GO:0032543;GO:0016054;GO:0046395;GO:0044248;GO:0019752;GO:0043436;GO:0006082;GO:0044282
167	GO:1901071
170	GO:0098742
