go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.006824   1,616 annotations READ: go_slim_results_K1_cpdb_0.8.txt 
200 IDs in all associations
func_module_number	
2	GO:0009059
3	GO:0065008;GO:0016043
5	GO:0002376;GO:0050789;GO:0040011;GO:0050896
6	GO:0002376;GO:0036211;GO:0050896;GO:0044419;GO:0008283;GO:0050789;GO:0001775;GO:0006793
7	GO:0050789
8	GO:0050789;GO:0007154;GO:0050896
9	GO:0050789;GO:0050896
11	GO:0045229;GO:0043062
12	GO:0002376;GO:0050789;GO:0050896;GO:0001775
13	GO:0006811
15	GO:0050789
17	GO:0050789
20	GO:0022414
21	GO:0006790;GO:0006805;GO:0043603
22	GO:0050789;GO:0032502;GO:0050896;GO:0032501
23	GO:0050896;GO:0022411;GO:0045229;GO:0043062;GO:0008152
24	GO:0050789;GO:0050896
25	GO:0006810;GO:0051641
26	GO:0016070;GO:0006396;GO:0006412;GO:0042254
27	GO:0051641;GO:0061024;GO:0016050;GO:0016192
28	GO:0050878;GO:0050789;GO:0050817;GO:0050896
29	GO:0016043;GO:0050789
30	GO:0006996;GO:0032502;GO:0032501
31	GO:0050789
34	GO:0002376;GO:0050896;GO:0044419;GO:0008037;GO:0050789
36	GO:0006082;GO:0006805;GO:0042440;GO:0050896
37	GO:0007155;GO:0016043
38	GO:0045229;GO:0043062
39	GO:0061024;GO:0022607;GO:0050877;GO:0007154;GO:0050789;GO:0065008
40	GO:0032502;GO:0050789
41	GO:0050789;GO:0036211;GO:0050896;GO:0006793
42	GO:0022414;GO:0007059;GO:0006281
43	GO:0002376;GO:0050896;GO:0006936;GO:0050789;GO:0065008;GO:0050886
44	GO:0016070;GO:0065003;GO:0050789;GO:0009059
45	GO:0009057;GO:0019538
46	GO:0006811;GO:0007154;GO:0050789
47	GO:0009059;GO:0036211
48	GO:0032502
49	GO:0050896;GO:0050789
51	GO:0002376;GO:0050896;GO:0007155;GO:0016192;GO:0050789;GO:0001775
52	GO:0022607;GO:0007155
53	GO:0045229;GO:0043062
54	GO:0006508;GO:0009057
56	GO:0046903;GO:0061024;GO:0016050;GO:0007154;GO:0048284;GO:0016192;GO:0050789;GO:0006836;GO:0051640;GO:0022406
58	GO:0050789
60	GO:0006869;GO:0065009;GO:0006629;GO:0016043;GO:0050789;GO:0032501
61	GO:0022414;GO:0050789;GO:0048511
62	GO:0001816;GO:0050789
63	GO:0006082;GO:0006629;GO:0006805;GO:0050896
65	GO:0045229;GO:0032502;GO:0043062
66	GO:0050789
67	GO:0050789;GO:0032502;GO:0050896
70	GO:0008150
72	GO:0016192;GO:0007030
74	GO:0002376;GO:0050896;GO:0008283;GO:0032502;GO:0050789;GO:0001775
79	GO:0006139
84	GO:0016070;GO:0065008;GO:0050789;GO:0009057
85	GO:0065008;GO:0050789
88	GO:0002376;GO:0050789;GO:0001816;GO:0050896
89	GO:0048285;GO:0015031;GO:0007031
96	GO:0050789
97	GO:0006811;GO:0007154;GO:0065008;GO:0050789
100	GO:0006811
102	GO:0065008;GO:1902600;GO:0050789;GO:0006914
104	GO:0007155
106	GO:0032502;GO:0016043
107	GO:0015849;GO:0032501
110	GO:0006508;GO:0036211;GO:0007049;GO:0051276;GO:0000280;GO:0022414;GO:0050789;GO:0007059;GO:0009057
111	GO:0008150
112	GO:0022607;GO:0043473;GO:0006810;GO:0006996;GO:0051641;GO:0032501;GO:0051640
114	GO:0061024;GO:0006119;GO:0015031;GO:0007005
115	GO:0009117;GO:0006119;GO:0022900
116	GO:0002376;GO:0050896
118	GO:0006811
126	GO:0050789
127	GO:0006996;GO:0022607;GO:0031023;GO:0050789
128	GO:0006996;GO:0022607;GO:0031023;GO:0050789
129	GO:0050896;GO:0050789
140	GO:0050789
142	GO:0006351;GO:0001816;GO:0050789
145	GO:0065003;GO:0006520;GO:0016070;GO:0009059;GO:0007005
146	GO:0016070;GO:0050789;GO:0006412
154	GO:0006811;GO:0007155;GO:0065008
165	GO:0006810
167	GO:0008655
173	GO:0006082;GO:0006810
174	GO:0015031
183	GO:0050789
185	GO:0006629;GO:0006793;GO:0051604
187	GO:0006281;GO:0007049;GO:0051276;GO:0022414
188	GO:0050789
193	GO:0050789
199	GO:0006811
200	GO:0050789
201	GO:0008150
207	GO:0006793;GO:0036211;GO:0050789
209	GO:0006082;GO:0006520
210	GO:0042180
211	GO:0006082
212	GO:0006082;GO:0006520
213	GO:0009059;GO:0036211
214	GO:0002376;GO:0006811
216	GO:0032502;GO:0050896;GO:0050789
217	GO:0032502
233	GO:0050896;GO:0008283;GO:0032502;GO:0050789;GO:0032501
234	GO:0022414;GO:0032501
238	GO:0050789
239	GO:0050789;GO:0007154;GO:0050896;GO:0065009
252	GO:0006082;GO:0006066;GO:0009117;GO:0006790
265	GO:0016070;GO:0009059
266	GO:0050896;GO:0032502;GO:0007155;GO:0016192;GO:0050789;GO:0050817
270	GO:0022607;GO:0007033;GO:0050896;GO:0006914
273	GO:0006629
277	GO:0032502;GO:0050789
278	GO:0016043
279	GO:0022607;GO:0006996;GO:0032502;GO:0006936;GO:0032989
287	GO:0036211;GO:0051276;GO:0000375;GO:0016070;GO:0050789;GO:0006281;GO:0048511
288	GO:0016070;GO:0065008;GO:0050789;GO:0009057
289	GO:0051641;GO:0050789;GO:0051234
291	GO:0002376;GO:0036211;GO:0050789;GO:0001775;GO:0050878;GO:0006793;GO:0050817
292	GO:0002376;GO:0036211;GO:0050896;GO:0050789;GO:0001775;GO:0006793
303	GO:0051276;GO:0000280;GO:0006260;GO:0050789;GO:0007059;GO:0006281
304	GO:0050789;GO:0006260
321	GO:0006508;GO:0050896;GO:0036211;GO:0065009;GO:0006996;GO:0006810;GO:0007049;GO:0051641;GO:0050789
322	GO:0050896
323	GO:0016192;GO:0065003
324	GO:0051604;GO:0006457
329	GO:0051641;GO:0015931
333	GO:0016043;GO:0006351;GO:0050896;GO:0006354
334	GO:0016043
335	GO:0006260;GO:0009059;GO:0050789;GO:0006281
336	GO:0051276;GO:0050789;GO:0006281
346	GO:0006508;GO:0009057
348	GO:0016070;GO:0006396;GO:0042254
349	GO:0015849;GO:0043603;GO:0006865
350	GO:0061024;GO:0022607;GO:0006508;GO:0022411;GO:0044419;GO:0051641;GO:0016032;GO:0016192;GO:0009057;GO:0007032
358	GO:0002376;GO:0065003;GO:0065009;GO:0050896;GO:0044419;GO:0001816;GO:0050789
359	GO:0002376;GO:0036211;GO:0065009;GO:0050896;GO:0044419;GO:0050789
362	GO:0051604;GO:0006793;GO:0006457
363	GO:0036211;GO:0050896;GO:0065009;GO:0050789;GO:0006793
364	GO:0002376;GO:0032502;GO:0050789;GO:0001775
367	GO:0009059;GO:0019538
371	GO:0016070;GO:0006396
372	GO:0036211;GO:0050789
373	GO:0006996;GO:0051258
376	GO:0051641;GO:0016192;GO:0050789;GO:0007032
378	GO:0006082
381	GO:0051641;GO:0016192
383	GO:0036211;GO:0006508;GO:0009057
385	GO:0016043;GO:0050789
387	GO:0032502;GO:0051276;GO:0007059;GO:0050789;GO:0006281
391	GO:0006811;GO:0008015;GO:0050789;GO:0006936
392	GO:0006508;GO:0050896;GO:0050789;GO:0015031;GO:0009057
394	GO:0016043
399	GO:0016070;GO:0006396
401	GO:0061024;GO:0016050;GO:0065003;GO:0048284;GO:0050789
403	GO:0006520;GO:0016070;GO:0009117
404	GO:0006082;GO:0005975;GO:0009117;GO:0006091
406	GO:0065003;GO:0006412
412	GO:0050789;GO:0007005
413	GO:0051641;GO:0051234
414	GO:0051641;GO:0007029;GO:0016192
416	GO:0006790;GO:0043603
417	GO:0006996;GO:0065008;GO:0050789;GO:0051261
418	GO:0016043
420	GO:0006508;GO:0036211;GO:0009057
424	GO:0061024;GO:0015031;GO:0016050;GO:0016192
427	GO:0016070;GO:0006396;GO:0050789;GO:0009057
428	GO:0016043
433	GO:0007154;GO:0016043;GO:0007155;GO:0050789;GO:0065008
436	GO:0007049;GO:0050789
437	GO:0006810;GO:0051640;GO:0051641
438	GO:0016070;GO:0006396;GO:0042254
439	GO:0016070;GO:0006396;GO:0042254
441	GO:0051641;GO:0016192
442	GO:0046903;GO:0016192;GO:0050789;GO:0015031
445	GO:0016070;GO:0050789;GO:0009057
446	GO:0006412
449	GO:0016070;GO:0006396
450	GO:0050789
451	GO:0002376;GO:0036211;GO:0050896;GO:0065009;GO:0050789;GO:0006793
455	GO:0050789
458	GO:0050789
460	GO:0016043
461	GO:0016043;GO:0050789
465	GO:0006996;GO:0051258;GO:0050789
466	GO:0016070;GO:0000375;GO:0065003
467	GO:0006996;GO:0006810;GO:0051641
468	GO:0007049;GO:0051276;GO:0051234;GO:0000280;GO:0007059;GO:0050789;GO:0051640
477	GO:0016070;GO:0006396
478	GO:0016070;GO:0000375;GO:0050789
481	GO:0006810;GO:0051641
482	GO:0016070;GO:0006396
483	GO:0050789;GO:0006351;GO:0050896;GO:0048511
485	GO:0036211;GO:0050896;GO:0032502;GO:0006351;GO:0050789
486	GO:0022607;GO:0006996;GO:0032502;GO:0007155;GO:0050789
487	GO:0006996;GO:0050789
488	GO:0032502;GO:0050789
489	GO:0002376;GO:0032502;GO:0050789;GO:0001775
