func_module_number	lst
1	GO:0043161;GO:0010498;GO:0006511;GO:0019941
2	GO:0022613
3	GO:0140467;GO:1902895
4	GO:0032543
6	GO:0007042;GO:0035751;GO:0007035;GO:0051452;GO:0051453
7	GO:0006260;GO:0006261;GO:0000278;GO:1903047;GO:0051276;GO:0090329;GO:0033260;GO:0044786;GO:0006270;GO:0090068;GO:0006281;GO:0006275;GO:0045787
8	GO:0000278;GO:1903047;GO:0140014;GO:0007059;GO:0000280;GO:0000070;GO:0048285;GO:0000819;GO:0098813;GO:0010564;GO:0051276;GO:0051983;GO:0007088;GO:0051783;GO:1905818;GO:0051304;GO:0044772;GO:0010965;GO:0051306;GO:1902850;GO:0033045;GO:0044770;GO:0033044;GO:0007346;GO:0030071;GO:1902099;GO:0007091;GO:0044784;GO:1901990;GO:0033047;GO:0090068;GO:0007094;GO:0071174;GO:0071173
10	GO:0051607;GO:0045071;GO:0048525;GO:0045087;GO:0009615;GO:0045069;GO:0034340;GO:1903900;GO:0050792;GO:0019079;GO:0060337;GO:0071357;GO:0140888
11	GO:0015986;GO:0006754;GO:0009145;GO:0009206;GO:0009201;GO:0009142;GO:0006119;GO:0009152;GO:0009260;GO:0046390
12	GO:0051865;GO:0006511;GO:0019941
13	GO:0002181;GO:0006412;GO:0042254;GO:0022613;GO:0042274;GO:0006364
14	GO:0016126;GO:1902653;GO:0006695;GO:0008203;GO:1902652
16	GO:0002429;GO:0002768;GO:0038096;GO:0002433
19	GO:0071356
20	GO:0006096;GO:0046032;GO:0009137;GO:0009181;GO:0046031;GO:0019364;GO:0009179;GO:0009135;GO:0009191;GO:0072526;GO:0009134;GO:0009185;GO:0009154;GO:0009261;GO:0009132;GO:0006090;GO:0006195
21	GO:0045730
23	GO:0008380;GO:0000377;GO:0000398
24	GO:0009615;GO:0051607;GO:0045087;GO:0050792;GO:0048525;GO:1903900
27	GO:0006418;GO:0043039;GO:0043038
29	GO:0030036
31	GO:0007062;GO:0034085;GO:0034087;GO:0007064;GO:0051276;GO:0000819
32	GO:0050852;GO:0050851;GO:0002429;GO:0002768
33	GO:0006413;GO:0006412
34	GO:0016071;GO:0000377;GO:0000398
35	GO:0001731
36	GO:0141091;GO:0007178;GO:0090100;GO:0030509;GO:0071772;GO:0071773;GO:0071363;GO:0070848
38	GO:0038061;GO:0007249
41	GO:0022613
42	GO:0034975
45	GO:0043149;GO:0030038;GO:0007266
47	GO:0022613;GO:0022618
48	GO:0110104
51	GO:0009060;GO:0045333;GO:0006119;GO:0015980;GO:0006091;GO:0015986;GO:0042773;GO:0042775;GO:0006754;GO:0009145;GO:0009206;GO:0042776
53	GO:0006281;GO:0006302;GO:0006974;GO:0044770;GO:0006310;GO:0000725;GO:0006260;GO:1901987;GO:0031570;GO:0051052;GO:0000724;GO:0006261;GO:0010564;GO:1903047;GO:0000075;GO:0000278;GO:0000077;GO:0044772
54	GO:0043378;GO:0043376;GO:2001187;GO:0043374
55	GO:0038195
57	GO:0150111
58	GO:0071634;GO:0071604
62	GO:0051052;GO:1904851;GO:1904871;GO:1904869;GO:0070203;GO:0070202;GO:1904867;GO:1903405;GO:1904816
65	GO:0070266;GO:0001819;GO:0019221
66	GO:0000387;GO:0022618;GO:0071826
67	GO:0000079;GO:1904029;GO:0000082;GO:0044843;GO:0071900;GO:1901990
68	GO:0006086;GO:0006085;GO:0006084;GO:0035383;GO:0006637;GO:0035384;GO:0071616
69	GO:0036297
71	GO:0006470;GO:0016311
72	GO:0008380;GO:0010608;GO:1903311;GO:0016071;GO:0043484;GO:1903312
73	GO:0032543
74	GO:0006511;GO:0019941
75	GO:0034097;GO:1901652;GO:0033209;GO:0071345;GO:0050727
78	GO:0016567;GO:0000209
79	GO:0031145;GO:0070979;GO:0051445;GO:0007091
82	GO:0045116;GO:0000338
83	GO:0046479;GO:0019377
84	GO:0016236;GO:0043562;GO:0006995
85	GO:0006457;GO:0051604;GO:0035966;GO:0006986
86	GO:0006119;GO:0045333;GO:0009060;GO:0015980;GO:0022904;GO:0006091;GO:0042775;GO:0042773;GO:0022900;GO:0019646;GO:0015986;GO:0042776
87	GO:0002474;GO:0002484;GO:0002486;GO:0002428;GO:0002476;GO:0048002;GO:0002475;GO:0019885;GO:0002483;GO:0042270;GO:0019883;GO:0019882;GO:0001916;GO:0001914;GO:0001913;GO:0002711;GO:0001912;GO:0002716;GO:0045953
89	GO:0002503;GO:0002399;GO:0002396;GO:0002501;GO:0019886;GO:0002495;GO:0019882;GO:0002504;GO:0002478;GO:0019884;GO:0042110;GO:0048002;GO:0046649;GO:0051251;GO:0002696
91	GO:0010498;GO:0006511
92	GO:0071222
93	GO:0000398;GO:0000377;GO:0000375;GO:0006397
94	GO:1901652;GO:0034097;GO:0034341;GO:0045087;GO:0009615;GO:0051607;GO:0070269
95	GO:0001836;GO:0008637;GO:0090200;GO:1905898;GO:0090199;GO:2001244
96	GO:0006974;GO:0051236;GO:1901988
97	GO:0050731;GO:0001817
98	GO:0019646;GO:0042775;GO:0042773
100	GO:0001732
