go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.006376   2,965 annotations READ: go_slim_results_K1_string_0.0.txt 
428 IDs in all associations
func_module_number	
1	GO:0006412;GO:0065003;GO:0042254
2	GO:0065008;GO:0006811
4	GO:0036211
5	GO:0006396;GO:0016070
8	GO:0006805;GO:0042445;GO:0006629;GO:0006082
9	GO:0022607;GO:0006996
10	GO:0006811
11	GO:0007155;GO:0022607
12	GO:0042445;GO:0006805;GO:0006790;GO:0006082;GO:0043603;GO:0006629;GO:0006066;GO:0050896
13	GO:0022607;GO:0051640;GO:0043473;GO:0051641;GO:0006810;GO:0048753
14	GO:0007154;GO:0065008;GO:0016192;GO:0050789;GO:0015031
15	GO:0006412
17	GO:0006793;GO:0006629
18	GO:0009117;GO:0022900;GO:0065003;GO:0006119;GO:0007005
19	GO:0036211
20	GO:0007155
21	GO:0006869;GO:0032501;GO:0016043;GO:0006629;GO:0050789;GO:0065009
22	GO:0022414;GO:0048469;GO:0050789;GO:0065009;GO:0006811
23	GO:0032502;GO:0032501;GO:0016043;GO:0050789;GO:0050896
24	GO:0009117;GO:0022900;GO:0065003;GO:0006119;GO:0007005
25	GO:0007155;GO:0016043
27	GO:0050789;GO:0015931;GO:0032502;GO:0065009
28	GO:0050789;GO:0006396;GO:0016070;GO:0042254
29	GO:0005975;GO:0043603;GO:0006629
31	GO:0048753;GO:0016192;GO:0022607
32	GO:0032502;GO:0032501
33	GO:0065008;GO:0006811;GO:0061024;GO:0006869
34	GO:0050789
35	GO:0006793;GO:0006662;GO:0006629
36	GO:0009117;GO:0065008;GO:0006914;GO:0050789;GO:1902600
37	GO:0050789;GO:0007154;GO:0050896
38	GO:0032502;GO:0002376;GO:0008283;GO:0001775;GO:0036211;GO:0006793;GO:0044419;GO:0050789;GO:0050896
39	GO:0043062;GO:0045229
41	GO:0006412
43	GO:0009117
44	GO:0051641;GO:0006810
45	GO:0016050;GO:0016192;GO:0061024;GO:0051641
46	GO:0042445;GO:0006805;GO:0006082;GO:0006629;GO:0006066;GO:0050896
47	GO:0050789;GO:0040011;GO:0002376;GO:0050896
48	GO:0006793;GO:0006629
50	GO:0007030
51	GO:0050789;GO:0006811;GO:0051606
52	GO:0050789;GO:0032502;GO:0032501;GO:0050896
53	GO:0046903;GO:0048284;GO:0016050;GO:0061024;GO:0051640;GO:0016192;GO:0006836;GO:0050789;GO:0022406
54	GO:0065003;GO:0002376;GO:0001775;GO:0050896;GO:0050789;GO:0001906
55	GO:0016050;GO:0007030;GO:0061024;GO:0016192;GO:0051641
56	GO:0032502
57	GO:0050789;GO:0032502;GO:0050896
58	GO:0032502;GO:0016049;GO:0016043;GO:0050789;GO:0040011
59	GO:0050789;GO:0065009;GO:0006811
60	GO:0007155;GO:0032502;GO:0043062;GO:0045229;GO:0050789
61	GO:0006508;GO:0009057
62	GO:0022414;GO:0036211;GO:0006508;GO:0009057;GO:0050789;GO:0007049
64	GO:0065008;GO:0006936;GO:0006811
65	GO:0007059;GO:0016043
66	GO:0006396;GO:0016070;GO:0042254
67	GO:0009117
68	GO:0050789;GO:0006936
69	GO:0006936;GO:0050877;GO:0050879
70	GO:0050789
71	GO:0050789;GO:0065009
72	GO:0050789
73	GO:0046903;GO:0007154;GO:0016192;GO:0006836;GO:0050789
78	GO:0015931
79	GO:0065008;GO:0006811
85	GO:0002376;GO:0008283;GO:0001775;GO:0009059;GO:0050789;GO:0050896
89	GO:0036211
98	GO:0008150
101	GO:0036211
103	GO:0051606
107	GO:0000375;GO:0016070
