go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.001619     270 annotations READ: go_slim_results_M1_humanbase_0.5.txt 
30 IDs in all associations
func_module_number	
1	GO:0050789;GO:0051641
2	GO:0050789;GO:0016032;GO:0001816;GO:0044419;GO:0050896;GO:0002376
4	GO:0009117;GO:0006119;GO:0022900
5	GO:0050789;GO:0007049;GO:0000280;GO:0006260;GO:0051276;GO:0007059
6	GO:0050789;GO:0036211;GO:0002376;GO:0044419;GO:0001775;GO:0050896;GO:0008283;GO:0006793;GO:0016192;GO:0007155
7	GO:0042254
9	GO:0050789;GO:0001816;GO:0050896;GO:0065009;GO:0032502
10	GO:0006412
11	GO:0006412
13	GO:0008150
15	GO:0000375;GO:0016070
16	GO:0050896;GO:0008152;GO:0007059;GO:0051276
19	GO:0000375;GO:0051179;GO:0042254;GO:0016070
20	GO:0050789;GO:0032392;GO:0007049;GO:0000280;GO:0006260;GO:0051301;GO:0007059
22	GO:0006996
23	GO:0006281;GO:0051276
25	GO:0050789;GO:0000375;GO:0051276;GO:0006259;GO:0016070
35	GO:0006629;GO:0006066
39	GO:0016070
44	GO:0006082
54	GO:0006508;GO:0009057
65	GO:0050789
66	GO:0050789
84	GO:0050789
161	GO:0051179;GO:0050896;GO:0007155
232	GO:0006281
280	GO:0050789;GO:0050896
287	GO:0006259
298	GO:0008150
