go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.002986     856 annotations READ: go_slim_results_M1_string_0.0.txt 
110 IDs in all associations
func_module_number	
1	GO:0050789
2	GO:0008283;GO:0044419;GO:0050896;GO:0006793;GO:0002376;GO:0001775;GO:0050789;GO:0036211;GO:0032502
5	GO:0065003;GO:0050789;GO:0051641
7	GO:0032501;GO:0032502
10	GO:0044419;GO:0050896;GO:0002376;GO:0050789;GO:0065009;GO:0001816
12	GO:0045229;GO:0043062
14	GO:0032501;GO:0032502;GO:0050789
15	GO:0065003
16	GO:0050789;GO:0009117
17	GO:0032502
21	GO:0050789
25	GO:0065003;GO:0007005
27	GO:0050789
29	GO:0050789
30	GO:0006281;GO:0016043;GO:0050789
31	GO:0040007;GO:0006949
33	GO:0044419;GO:0050896;GO:0002376;GO:0050789;GO:0036211;GO:0065009;GO:0001816
34	GO:0050789
40	GO:0065008;GO:0032501
41	GO:0050896;GO:0006793;GO:0006629;GO:0002376;GO:0001775;GO:0050789;GO:0036211;GO:0032502
46	GO:0022607;GO:0007155;GO:0050789
49	GO:0001775;GO:0002376;GO:0050789
59	GO:0008283;GO:0050789
63	GO:0050896;GO:0002376;GO:0050789;GO:0001816
66	GO:0006996
69	GO:0008152
71	GO:0050789
72	GO:0022900;GO:0006119
74	GO:0032501;GO:0050896;GO:0050789;GO:0032502
75	GO:0050789;GO:0051179
76	GO:0006457;GO:0031647;GO:0050896;GO:0050789;GO:0051604
77	GO:0009057;GO:0006508
79	GO:0006793
82	GO:1902600
87	GO:0006281;GO:0007059;GO:0050789;GO:0051276
88	GO:0006520;GO:0006082
90	GO:0007155;GO:0032502;GO:0050789
95	GO:0006082;GO:0006793;GO:0043603;GO:0006790;GO:0045333;GO:0006139
100	GO:0009057;GO:0006508
101	GO:0050896;GO:0050789
102	GO:0051641;GO:0051234
110	GO:0050896;GO:0050789;GO:0006351;GO:0032502
114	GO:0051640;GO:0022411;GO:0006996;GO:0006810;GO:0051641
116	GO:0050896;GO:0050789;GO:0006351
122	GO:0032502
127	GO:0050896;GO:0002376;GO:0050789;GO:0040011
133	GO:0006281;GO:0006260;GO:0050789;GO:0051276
137	GO:0006351
139	GO:0050789
147	GO:0043603;GO:0006793;GO:0006629
148	GO:0044419;GO:0050896;GO:0002376;GO:0050789
150	GO:0036211
151	GO:0009057;GO:0036211;GO:0006508
152	GO:0006520;GO:0006082
155	GO:0050896;GO:0050877
159	GO:0006997;GO:0000280;GO:0022607;GO:0022414;GO:0007049;GO:0051179;GO:0051276
163	GO:0006281;GO:0006260;GO:0009059
168	GO:0006266;GO:0006281;GO:0002376;GO:0009059
176	GO:0006281;GO:0006260;GO:0032392
185	GO:0050896;GO:0032502;GO:0050789
186	GO:0050896;GO:0050789
189	GO:0050789
190	GO:0016043;GO:0050896
200	GO:0022414;GO:0006281
203	GO:0032502
207	GO:0006811
210	GO:0009057;GO:0036211;GO:0006508
220	GO:0050789;GO:0065009
222	GO:0050896;GO:0050789
227	GO:0006281;GO:0036211;GO:0050789
229	GO:0036211;GO:0050789
230	GO:0016043;GO:0032502;GO:0050789
250	GO:0006396;GO:0016070
254	GO:0050789
256	GO:0032501;GO:0051703
257	GO:0036211;GO:0006793;GO:0050789
258	GO:0050789
272	GO:0050896;GO:0050789
285	GO:0036211
304	GO:0006351
321	GO:0001775;GO:0002376
325	GO:0050789
338	GO:0050789
347	GO:0050789
350	GO:0009308
351	GO:0009117
353	GO:0050896;GO:0050789
355	GO:0006281
367	GO:0065003
400	GO:0050789
409	GO:0050789
411	GO:0044419;GO:0050896;GO:0002376
428	GO:0032502;GO:0050789
458	GO:0008150
460	GO:0050896;GO:0036211;GO:0006793;GO:0050789
494	GO:0032502;GO:0050789
496	GO:0032502
524	GO:0050789
530	GO:0009057;GO:0006508
561	GO:0050789;GO:0051276
562	GO:0032501;GO:0032502
563	GO:0016043;GO:0032502
615	GO:0022607;GO:0050789
625	GO:0006996
643	GO:0050896;GO:0050789
648	GO:0006259;GO:0050789;GO:0065009;GO:0009059
669	GO:0016192;GO:0051641
695	GO:0050789
719	GO:0006281;GO:0006304;GO:0009117
