func_module_number	lst
2	GO:0061644;GO:0006334;GO:0034728;GO:0071168;GO:0065004;GO:0071459;GO:0071824;GO:0045653
5	GO:0007059;GO:0051276;GO:0065004;GO:0071824;GO:0006325;GO:0006338;GO:0006334;GO:0000280;GO:0034728;GO:0048285;GO:2001252;GO:0098813;GO:0000070;GO:0033044;GO:0060623;GO:0034085
7	GO:0032981;GO:0010257
8	GO:2000650
10	GO:0016567;GO:0032446;GO:0043161;GO:0070647;GO:0006511;GO:0019941;GO:0043632;GO:0010498;GO:0051603;GO:0043687;GO:0032465;GO:0051256;GO:0000022;GO:0051255;GO:0051231;GO:0051302
11	GO:0032784
14	GO:0045165;GO:0014706;GO:0060537;GO:0007517;GO:0000122;GO:0007423;GO:0061061;GO:0045664;GO:0007507;GO:0045666;GO:0048663;GO:0072359;GO:0042693;GO:0045597;GO:0009887;GO:0048562
18	GO:0019752;GO:0043436;GO:0006082;GO:0006099;GO:0006090;GO:0045333;GO:0009060;GO:0006086;GO:0006085;GO:0015980;GO:0006091;GO:0006637;GO:0035383;GO:0043648;GO:0006084;GO:0072521
23	GO:0046854;GO:0006661;GO:0046488;GO:0046474;GO:0008654;GO:0045017;GO:0043491;GO:0006650;GO:0036092;GO:0006644;GO:0046486
26	GO:0032446;GO:0070647;GO:0043687;GO:0006511
28	GO:0009190;GO:0052652;GO:0009187;GO:0006182;GO:0007168;GO:0046068;GO:0009152;GO:0009260;GO:0046390
35	GO:0031647
46	GO:0045739;GO:0006282;GO:0051054;GO:0051052;GO:0080135
52	GO:0030509;GO:0071772;GO:0071773;GO:0007178;GO:0141091;GO:0071363;GO:0070848;GO:0007167;GO:0090092;GO:0060395;GO:0060390;GO:0030510;GO:0060391;GO:0090100;GO:0001503;GO:0090287;GO:0045667;GO:0030514;GO:0001649;GO:0090101;GO:0007389;GO:0001501;GO:0030278;GO:0003206;GO:0007179;GO:0090288;GO:0030282;GO:0003205;GO:0007507;GO:0071560;GO:0030500
56	GO:0060070;GO:0016055;GO:0030111;GO:0060828;GO:0001708;GO:0003002;GO:0042492;GO:0090090;GO:0007389;GO:0009887
57	GO:0030007;GO:0036376;GO:0006883;GO:0055075;GO:0055078;GO:1990573;GO:0140115;GO:0099587;GO:0035725;GO:0098659;GO:0006814;GO:0098739;GO:0071805;GO:1902600;GO:0006813;GO:0098771;GO:0030003;GO:0006873;GO:0055080
59	GO:0090170;GO:0120041;GO:0120040;GO:0032204
60	GO:0006119;GO:0042775;GO:0042773;GO:0009060;GO:0022904;GO:0019646;GO:0022900;GO:0045333;GO:0015980;GO:0006091;GO:0006123
61	GO:0035633;GO:1905605;GO:1905603;GO:0090557;GO:0043117
63	GO:0140467
67	GO:0070269;GO:0032731;GO:0032732;GO:0032611;GO:0032651;GO:0032612;GO:0032652;GO:0050729;GO:0006954;GO:0001819;GO:0031347;GO:0031349;GO:0050727;GO:0032103;GO:0002221;GO:0001817;GO:0002758
68	GO:0035329
70	GO:0030512;GO:1902455;GO:0017015;GO:1903844;GO:0090101;GO:0000122;GO:1902459
71	GO:0006457;GO:0006458;GO:0051604;GO:0042026;GO:0051085;GO:0051084;GO:0061077
73	GO:0043122;GO:0007249;GO:0043123;GO:0038061;GO:0051092;GO:0002764;GO:0050776;GO:0051091;GO:0050778;GO:0031401;GO:0051090;GO:0070647;GO:0002757;GO:0002768;GO:0043687;GO:0001817;GO:0001816
74	GO:0000226
77	GO:0006281;GO:0006974;GO:0006302;GO:0006310;GO:0000075;GO:0031570;GO:1901988;GO:0000725;GO:0010948;GO:1901987;GO:0000724;GO:0000077;GO:0045786;GO:0044770;GO:0010564;GO:0006260;GO:0042770;GO:0006261;GO:0051052;GO:0007093;GO:0045005;GO:0071479;GO:0035825;GO:0010389;GO:0010212;GO:0045930;GO:0044818;GO:0031297;GO:1902749
79	GO:0002758;GO:0031349;GO:0002218;GO:0002221;GO:0002224;GO:0045089;GO:0032103;GO:0002833;GO:0031347;GO:0045088;GO:0001817;GO:0001816;GO:0002253;GO:0001819;GO:0032675;GO:0032635;GO:0002757;GO:0002764;GO:0002237;GO:0002831;GO:0050778;GO:0071216;GO:0032755;GO:0050776;GO:0140895;GO:0002220;GO:0071219;GO:0002752;GO:0006954;GO:0032677;GO:0032637;GO:0032757;GO:0045087;GO:0009617;GO:0007249;GO:0034142;GO:0032760;GO:0032722;GO:1903557;GO:0032640;GO:0032680;GO:1903555;GO:0071706;GO:0070498;GO:0032496;GO:0032602;GO:0032642;GO:0002429;GO:0002768
80	GO:0061077;GO:0006457;GO:0051604
84	GO:0060271
85	GO:2000819;GO:0070316;GO:0045023;GO:0006289;GO:2000781;GO:0030071;GO:1902099;GO:0007091;GO:0044784;GO:0033045;GO:0045739;GO:0006325;GO:0006338;GO:1902459;GO:0051983;GO:2000779;GO:2000045;GO:0045663;GO:1902806;GO:2000036;GO:0006282;GO:0000819;GO:0000082;GO:0051054;GO:0045580
86	GO:0019221;GO:0071345;GO:0034097;GO:1901652;GO:0008284;GO:0007259;GO:0097696;GO:0007169;GO:0071375;GO:0018108;GO:0018212;GO:0043434;GO:0050731;GO:0071352;GO:0038110;GO:0070669;GO:0007167;GO:0035723;GO:0071350;GO:0070672;GO:0070665;GO:0050730;GO:0008286;GO:0038043;GO:1901699;GO:1901701;GO:0038156;GO:0007260;GO:0030097
88	GO:0030199;GO:0030198;GO:0043062;GO:0045229;GO:0097435
92	GO:0009952;GO:0007389;GO:0003002;GO:0048568;GO:0009790
93	GO:0006825;GO:0006878
95	GO:0007249;GO:0045087;GO:0031347;GO:0002764;GO:0050776;GO:0043122;GO:0050778;GO:0002757;GO:0009615;GO:0051090;GO:0002831;GO:0002253;GO:0045089;GO:0031349;GO:0002833;GO:0045088;GO:0002221;GO:0051607;GO:0002758;GO:0032103;GO:0002218;GO:0034097;GO:1901652
96	GO:0032119;GO:0070488
97	GO:0010389
100	GO:1900745;GO:1900744
102	GO:0045454;GO:0006979;GO:0042743
103	GO:0051256
112	GO:0033209;GO:0071356;GO:0034612;GO:0046651;GO:0007249;GO:0032943;GO:0051249;GO:0050670;GO:0032944;GO:0070661;GO:0002694;GO:0043122;GO:0070663;GO:0050865;GO:0051251;GO:0051092;GO:0045321;GO:0046649;GO:0043123;GO:0002696
120	GO:0010498;GO:0043161;GO:0016567;GO:0043687;GO:0032446;GO:0051603
121	GO:0006260;GO:0006261;GO:0071897;GO:0000731;GO:0006301;GO:0006281;GO:0019985;GO:0006974
124	GO:0048013;GO:0007169;GO:0007167;GO:0007411;GO:0097485;GO:0000902;GO:0120039;GO:0048858;GO:0007409;GO:0048667;GO:0061564;GO:0048812;GO:0031175;GO:0048666
126	GO:0006620;GO:0071816;GO:0045047;GO:0045048;GO:0072599
127	GO:0043161
128	GO:0038061
130	GO:1902893;GO:0061614;GO:1902895;GO:2000628;GO:2000630;GO:0010586;GO:0000122;GO:0045597;GO:0009725;GO:0045444;GO:1901701;GO:0033993;GO:0071559;GO:0060395;GO:0007167;GO:0008285;GO:0070848
131	GO:0006260;GO:0006261;GO:0006270;GO:0000727;GO:0032508;GO:0006268;GO:0032392;GO:0071103;GO:0006275;GO:0033260;GO:0000724;GO:0000725
134	GO:0048738;GO:0045165;GO:0014706;GO:0060537;GO:0007507;GO:0072359;GO:0009887;GO:0003180;GO:0003007;GO:0003197;GO:0003176;GO:1905314;GO:0060411;GO:0008584;GO:0003179;GO:2000741;GO:0046546;GO:0046661;GO:0003279
136	GO:0044029
137	GO:0042791;GO:0006383;GO:0042797
138	GO:0006281;GO:0006974;GO:0006303;GO:0006302;GO:0006310;GO:0016445;GO:0002200;GO:0002377;GO:0006298;GO:0002520;GO:0002440
139	GO:0007229;GO:0007160;GO:0031589
146	GO:0007259;GO:0097696;GO:0140888;GO:0019221;GO:0098586;GO:0060337;GO:0071357;GO:0034340;GO:0071345;GO:1901652;GO:0034097;GO:0046425;GO:1904892;GO:0033141;GO:0033139;GO:0042501;GO:0009615;GO:0002286;GO:0002323;GO:0045087;GO:0043330;GO:0002285;GO:0043331;GO:0030098;GO:0042110;GO:0030101;GO:0042100;GO:0030183
150	GO:0141091;GO:0007179;GO:0007178;GO:0071560;GO:0071559;GO:0090092;GO:0071363;GO:0070848;GO:0007167;GO:0017015;GO:1903844;GO:0090287;GO:0090101;GO:0060390;GO:0060391;GO:0060395;GO:0090100;GO:0030512;GO:0001837;GO:0010718;GO:0010717;GO:0003208;GO:1905005;GO:1905007;GO:0035295;GO:0030509;GO:0055010;GO:0071772;GO:0071773;GO:0060021
152	GO:0072672
153	GO:0030097;GO:0030099;GO:0006325;GO:0060284;GO:0045637;GO:0030218
154	GO:0097191;GO:0008625;GO:0097190;GO:0043065;GO:0043068;GO:0043122;GO:0043123;GO:0007249;GO:0071260;GO:0071496;GO:0036462
161	GO:0050808;GO:0034330
164	GO:0007346
170	GO:0043153;GO:0009648;GO:0009649;GO:2000323;GO:2000322;GO:0032922;GO:0042754
173	GO:0002437;GO:0019221;GO:0071222;GO:0071219
174	GO:0009755;GO:0032870;GO:0048384;GO:0009725;GO:0000122;GO:0141193
176	GO:0007178;GO:0032924;GO:0141091;GO:0007167;GO:0090092;GO:0032925;GO:0071363;GO:0090100;GO:0070848;GO:0060391;GO:0060395;GO:0038092;GO:0060390;GO:0030509;GO:0071772;GO:0071773
186	GO:0008589
188	GO:1902511;GO:1903625
189	GO:0036297;GO:0006281
200	GO:0019221;GO:0007259;GO:0097696;GO:0071345;GO:0034097;GO:1901652;GO:0038196;GO:0071358;GO:0034342;GO:0048008;GO:0046427;GO:0035793;GO:2000591;GO:1900238;GO:1904894;GO:0032102
207	GO:0046854;GO:0006661;GO:0046488
208	GO:0007169;GO:0007167
215	GO:0006302;GO:0006974;GO:0006281;GO:0045739;GO:0006282;GO:0051054;GO:0051052;GO:0080135;GO:0000077;GO:0031570;GO:0044773;GO:0044774;GO:0010212;GO:0042770;GO:0000075
216	GO:0016064;GO:0019724;GO:0050865;GO:0016068
220	GO:0006360
239	GO:0000122
242	GO:0071542;GO:0007417
243	GO:2000434;GO:0000338;GO:0045116
245	GO:0043567
266	GO:0042531;GO:0042509;GO:0007260;GO:0050731;GO:0070120;GO:0007259;GO:0097696;GO:0050730;GO:0018108;GO:0018212;GO:0019221;GO:0008284;GO:0038165;GO:0071345;GO:1901652;GO:0034097
267	GO:0097190;GO:0097193;GO:0043066
269	GO:0006388;GO:0000394
274	GO:0007169
279	GO:0006310;GO:0140527;GO:0007131;GO:0035825;GO:0000724;GO:0000725
286	GO:0006281;GO:0006284;GO:0006974;GO:0006302;GO:0000012
287	GO:0032729;GO:0042088;GO:0032609;GO:0032649;GO:0046631;GO:0035722;GO:0070671;GO:0071349;GO:0046634;GO:0001819;GO:0046635;GO:0002825;GO:0042093;GO:0002294;GO:0002460;GO:0002287;GO:0002293;GO:0002292;GO:2000330;GO:0043367;GO:0050670;GO:0032944;GO:0002250;GO:0046632;GO:2000328;GO:0010455;GO:0070663;GO:0035710;GO:0001817;GO:0001816;GO:0045622;GO:0001916;GO:0043382;GO:2000321;GO:0051135;GO:0046651;GO:0032943;GO:0002286;GO:0002366;GO:0042110;GO:0043380;GO:0090715;GO:0043379;GO:0045321;GO:0002263;GO:0050671
291	GO:0008089;GO:0098930;GO:0099641;GO:0099640;GO:0008088;GO:1905383;GO:0098840;GO:0099118
297	GO:2000338;GO:0072566;GO:0097396;GO:0097400;GO:2000340;GO:0097398
319	GO:0140889;GO:1903706;GO:0030097
321	GO:0046427;GO:1904894;GO:0071378;GO:0060396;GO:0046425;GO:0060416;GO:1904892;GO:0007259;GO:0097696;GO:0007167;GO:0018108
331	GO:0009615;GO:0043330
366	GO:1905064;GO:0051151;GO:1905063
405	GO:0046007;GO:0070234
425	GO:0032511;GO:0045324;GO:0032509
446	GO:0040019;GO:0051293;GO:0051653
451	GO:0060795;GO:0048598;GO:0001704
