/Users/ash/data/funvar_pipeline/datasets/go/go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
/Users/ash/data/funvar_pipeline/datasets/go/goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.003023   1,635 annotations READ: /Users/ash/git/macsmaf/macsr_nf/macsr_nf_dev/output/arc/test2/go_slim_results_R1_cpdb_0.2.txt 
271 IDs in all associations
func_module_number	
1	GO:0006082
2	GO:0006811;GO:0006066;GO:0050789
4	GO:0006811
6	GO:0006281;GO:0016050;GO:0051641;GO:0061024;GO:0006810
8	GO:0032501;GO:0050896;GO:0050789
10	GO:0032501;GO:0050896;GO:0050789;GO:0032502
11	GO:0006836;GO:0007154;GO:0016192;GO:0046903;GO:0050789
12	GO:0007049;GO:0036211;GO:0006508;GO:0022414;GO:0009057;GO:0050789
13	GO:0006793;GO:0006629;GO:0050789
15	GO:0032502;GO:0050896;GO:0050789
17	GO:0050877
18	GO:0065003
19	GO:0065009;GO:0006281;GO:0006260;GO:0050789;GO:0009059
20	GO:0007049;GO:0006281;GO:0000280;GO:0022414;GO:0050789
21	GO:0065008;GO:0050789
22	GO:0007059;GO:0006281;GO:0050789;GO:0051276;GO:0032502
23	GO:0050789
24	GO:0002376;GO:0050789;GO:0032502;GO:0008152
25	GO:0050789;GO:0050896;GO:0006396;GO:0016070
27	GO:0015849;GO:0043412;GO:0006396;GO:0016070
28	GO:0050789;GO:0006281;GO:0006260
29	GO:0051641;GO:0006457;GO:0050789;GO:0051234
30	GO:0007049;GO:0006281
31	GO:0002376;GO:0006266
32	GO:0015669;GO:0008152
33	GO:0050789
34	GO:0007155
36	GO:0002376;GO:0050789;GO:0032502;GO:0001775
38	GO:0032502;GO:0050789
40	GO:0022607
41	GO:0008283;GO:0050789
42	GO:0050789
43	GO:0007005;GO:0065008;GO:0061024;GO:0050896;GO:0050789
48	GO:0022607;GO:0006996;GO:0006936;GO:0032989;GO:0032502
49	GO:0050789
51	GO:0006996;GO:0050789
52	GO:0050789
53	GO:0006793;GO:0006629
54	GO:0002376;GO:0032502;GO:0006281
55	GO:0051641;GO:0050789;GO:0051276;GO:0009059;GO:0006259
57	GO:0006996;GO:0022607
58	GO:0050789;GO:0036211;GO:0006396
59	GO:0006793;GO:0050789
60	GO:0016043;GO:0050789
61	GO:0050789
62	GO:0032502
63	GO:0065003;GO:0016070;GO:0000375
66	GO:0007049;GO:0050789
67	GO:0032501;GO:0050789;GO:0032502
69	GO:0006508;GO:0050878;GO:0050789;GO:0051604
70	GO:0032502
71	GO:0050896;GO:0006351;GO:0050789;GO:0048511
73	GO:0050789;GO:0009057;GO:0048511
74	GO:0050789
76	GO:0015031
77	GO:0032501;GO:0032502
78	GO:0016043
79	GO:0006508;GO:0009057
80	GO:0009117
81	GO:0050789;GO:0006066;GO:0050896;GO:0006629
82	GO:0006354;GO:0050789
83	GO:0065003;GO:0006412;GO:0050789
84	GO:0050789
85	GO:0016192
86	GO:0045333
87	GO:0006811;GO:0007154;GO:0050789
88	GO:0042254;GO:0043412;GO:0006396;GO:0016070
89	GO:0065003;GO:0051276
90	GO:0016043;GO:0036211
93	GO:0050789
94	GO:0001816;GO:0002376;GO:0044419;GO:0050896;GO:0050789
95	GO:0006281
96	GO:0048284;GO:0016050;GO:0051641;GO:0016192;GO:0051640;GO:0061024
97	GO:0022607;GO:0065008;GO:0007154;GO:0050789;GO:0007155
98	GO:0002376;GO:0050789
99	GO:0002376;GO:0050896;GO:0050789;GO:0001775;GO:0007155
100	GO:0006810;GO:0050789
101	GO:0006520
102	GO:0050896;GO:0050789
103	GO:0022411;GO:0008152;GO:0045229;GO:0043062;GO:0050896;GO:0050789
104	GO:0051641;GO:0051234
105	GO:0050886;GO:0050878;GO:0050817
106	GO:0016070;GO:0006520
107	GO:0006810;GO:0051641;GO:0007005;GO:0061024
108	GO:0006811;GO:0050789
109	GO:0050789;GO:0065009
110	GO:0036211
111	GO:0009059;GO:0006281
115	GO:0006865;GO:0015849
116	GO:0008150
117	GO:0050896;GO:0001816;GO:0050789
118	GO:0007005;GO:0015031;GO:0061024
119	GO:0007031;GO:0015031;GO:0043170;GO:0048285
120	GO:0006790;GO:0006139;GO:0036211;GO:0006793;GO:0006629;GO:0043603;GO:0006082
122	GO:0050789
124	GO:0050789
125	GO:0050789
126	GO:0050896
127	GO:0065008;GO:0006996;GO:0050789
128	GO:0002376;GO:0050789
131	GO:0006793;GO:0006629
132	GO:0002376;GO:0050789;GO:0001775
133	GO:0016043;GO:0050789
134	GO:0007155;GO:0050789
135	GO:0002376;GO:0050896;GO:0050789
137	GO:0032502;GO:0016043;GO:0050789
138	GO:0002376;GO:0044419;GO:0040011;GO:0050896;GO:0050789
139	GO:0065003;GO:0032501;GO:0050789
140	GO:0016192
141	GO:0051604;GO:0050896;GO:0050789;GO:0050817;GO:0050878;GO:0007155
142	GO:0048308;GO:0007030;GO:0050789
144	GO:0032501;GO:0006869;GO:0016043;GO:0050789
145	GO:0050789;GO:0065009
146	GO:0065003;GO:0007005
147	GO:0065008;GO:0051641;GO:0007154;GO:0050789;GO:0050877
148	GO:0007154;GO:0050789
150	GO:0050896;GO:0050789
151	GO:0009059;GO:0016070
155	GO:0006508;GO:0009057
156	GO:0009059;GO:0016070
157	GO:0002376;GO:0050789
158	GO:0001816;GO:0050789
159	GO:0007005;GO:0015031;GO:0061024;GO:0006629;GO:0043603
161	GO:0022607;GO:0050896;GO:0006914;GO:0050789;GO:0007033
162	GO:0032502;GO:0051604
164	GO:0050789
165	GO:0065008
166	GO:0048284;GO:0006836;GO:0016050;GO:0022406;GO:0007154;GO:0016192;GO:0051640;GO:0061024;GO:0046903;GO:0050789
167	GO:0050789
168	GO:0006508;GO:0036211;GO:0009057
169	GO:0006508;GO:0036211;GO:0009057
171	GO:0009059;GO:0019538
172	GO:0002376;GO:0050896;GO:0050789
173	GO:0050789
