go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.013929   1,602 annotations READ: go_slim_results_R1_cpdb_0.8.txt 
287 IDs in all associations
func_module_number	
2	GO:0006811
4	GO:0065003;GO:0009059;GO:0050789;GO:0016070
6	GO:0032501;GO:0050789;GO:0032502
7	GO:0046903;GO:0006836;GO:0050789;GO:0007154
8	GO:0006793;GO:0006629;GO:0050789
9	GO:0007155;GO:0050789;GO:0006996;GO:0032502
10	GO:0050896;GO:0050789;GO:0032502
12	GO:0051641;GO:0051234;GO:0050789
13	GO:0050789;GO:0006281;GO:0022414;GO:0002376;GO:0051276;GO:0007049
14	GO:0016043
15	GO:0051641;GO:0032501;GO:0050789;GO:0006811;GO:0065009;GO:0036211
16	GO:0009057;GO:0006508
17	GO:0050896;GO:0050789;GO:0036211
18	GO:0006790
19	GO:0006281
20	GO:0006260;GO:0050789;GO:0006281
21	GO:0006793
22	GO:0006281
23	GO:0006260;GO:0050789;GO:0006281;GO:0016070;GO:0065009;GO:0009059
24	GO:0000375;GO:0016070
25	GO:0006996;GO:0051258;GO:0007059
26	GO:0006396;GO:0016070
27	GO:0050789;GO:0032502
28	GO:0051641;GO:0015931
29	GO:0022607
32	GO:0050896;GO:0007005;GO:0050789
34	GO:0006996
35	GO:0007030;GO:0050789;GO:0048308
36	GO:0050789
38	GO:0051640;GO:0050789;GO:0006996;GO:0007059;GO:0051234;GO:0022607
39	GO:0050896;GO:0050789
40	GO:0006457
41	GO:0006412;GO:0050789;GO:0065008;GO:0016070;GO:0009057
42	GO:0050896;GO:0050789
43	GO:0050896;GO:0001775;GO:0002376;GO:0006508;GO:0043603
44	GO:0016043
45	GO:0050789;GO:0016043
46	GO:0050789;GO:0043062;GO:0045229
47	GO:0065009;GO:0050789
48	GO:0050789
50	GO:0050789;GO:0006508
51	GO:0016043
52	GO:0048511;GO:0050789
55	GO:0006396;GO:0016070
56	GO:0050789
58	GO:0009057;GO:0006508
59	GO:0044238;GO:0006082;GO:0006066
60	GO:0050896;GO:0006629;GO:0050789;GO:0006066
61	GO:0006354;GO:0050789
