func_module_number	lst
3	GO:0006457
10	GO:0006086;GO:0006085;GO:0006084;GO:0035383;GO:0006637;GO:0035384;GO:0071616;GO:0019752;GO:0043436;GO:0006082
24	GO:0042102;GO:0031295;GO:0031294;GO:0050671;GO:0032946;GO:0050870;GO:1903039;GO:0070665;GO:0042129;GO:0051251
25	GO:0006388;GO:0000394
26	GO:0032922;GO:0042752;GO:0007623;GO:0048511;GO:0043153;GO:0009648
29	GO:0017004;GO:0033108
31	GO:0043161;GO:0010498
33	GO:0014905
35	GO:0006281;GO:0006974;GO:0006302;GO:0006303;GO:0006310;GO:0006284;GO:0016445;GO:0006266;GO:0002200;GO:0002377;GO:0006298;GO:0002520;GO:0006289;GO:0009314;GO:0002440;GO:0051053;GO:0051103
38	GO:0071357;GO:0034340;GO:0060337;GO:0033141;GO:0033139;GO:0042501;GO:0140888;GO:0007259;GO:0043330;GO:0009615;GO:0097696;GO:0002323;GO:0043331;GO:0098586;GO:0046425;GO:1904892
40	GO:0007169
42	GO:0120180;GO:0120181;GO:0120182;GO:0120183
54	GO:0030509;GO:0071772;GO:0071773;GO:0007178;GO:0141091;GO:0071363;GO:0070848;GO:0090092;GO:0007167;GO:0060395;GO:0060390;GO:0060391;GO:0030510;GO:0090100;GO:0001503;GO:0090287;GO:0030514;GO:0001501;GO:0090101;GO:0045667;GO:0001649;GO:0030278;GO:0003206;GO:0090288;GO:0030282;GO:0007389;GO:0003205;GO:0030500;GO:0003002;GO:0030501;GO:0009953;GO:0003197;GO:0032924;GO:0003007
56	GO:2001240;GO:1901099;GO:2001239;GO:0007501;GO:0001710;GO:0141137;GO:0045815
60	GO:0007179;GO:0071560;GO:0071559;GO:0090092
61	GO:0007249;GO:0043122;GO:0033209;GO:0071356;GO:0034612;GO:0043123;GO:0038061;GO:0051249;GO:0070534;GO:0051092;GO:0071345;GO:0002694;GO:0046651;GO:0032943;GO:2001238;GO:0050865;GO:0070661;GO:0051090
63	GO:0060070;GO:0072497;GO:0016055;GO:2000741;GO:0009887;GO:0042492;GO:0007417;GO:0001502
67	GO:0006260;GO:0006281;GO:0006261;GO:0006974;GO:0051052;GO:0071897;GO:0000076;GO:0031570;GO:1900264;GO:1900262;GO:0006275;GO:0090329;GO:0000075;GO:0000077;GO:1901988;GO:0010948;GO:0045005;GO:0042770;GO:0006302;GO:0045786
69	GO:0140467;GO:0000122
73	GO:0046854;GO:0006661;GO:0046488;GO:0046474;GO:0008654;GO:0045017;GO:0043491;GO:0006650;GO:0036092;GO:0006644;GO:0046486
75	GO:0009755;GO:0141193;GO:0048384;GO:0032870;GO:0042789;GO:0009725;GO:0009299;GO:0000122;GO:0030522;GO:0070564;GO:0032107;GO:0070562;GO:0031670;GO:0070561
79	GO:0045862
83	GO:2000278;GO:0006275;GO:0071897;GO:0140889
85	GO:0006302;GO:0006281;GO:0006310;GO:0006974;GO:0000724;GO:0000725;GO:0035825;GO:0007131;GO:0140527;GO:0000075;GO:0000077;GO:0031570;GO:1901988;GO:0051054;GO:1901987;GO:0010212;GO:0010948;GO:0042770;GO:0007127;GO:0045786;GO:0061982;GO:0140013
87	GO:2000819;GO:0070316;GO:0045023;GO:0006289;GO:2000781;GO:0030071;GO:1902099;GO:0007091;GO:0044784;GO:0033045;GO:1902459;GO:0051983;GO:0045739;GO:2000779;GO:0006338;GO:0006325;GO:2000045;GO:0000819;GO:0045663;GO:0033044;GO:2000036;GO:1902806;GO:0000082;GO:0098813
90	GO:0071356;GO:0034612;GO:0007249;GO:0033209;GO:0043122;GO:0051090;GO:0051092;GO:0071345;GO:0051091;GO:1901652;GO:0034097;GO:0019221;GO:0006954;GO:0070647;GO:0043123;GO:0043687
92	GO:2000436;GO:0032446;GO:0070647
94	GO:0045087;GO:0032103;GO:0031349;GO:0050778;GO:0031347;GO:0045089;GO:0002833;GO:0039529;GO:0050776;GO:0045088
95	GO:0007178;GO:0141091;GO:0032924;GO:0090092;GO:0007167;GO:0090100;GO:0060391;GO:0060395;GO:0060390;GO:0071363;GO:0070848;GO:0032925;GO:0030509;GO:0071772;GO:0071773;GO:0007179;GO:0071560;GO:0071559;GO:0003002;GO:0032927;GO:0007389;GO:0038092;GO:0009855;GO:0009799;GO:0072359;GO:0007507;GO:0090101;GO:0003231;GO:0007368;GO:0060972;GO:0062043
96	GO:0048013;GO:0007169;GO:0007167;GO:0097485;GO:0007411;GO:0120039;GO:0048858;GO:0007409;GO:0048667;GO:0000902;GO:0061564;GO:0048812;GO:0031175;GO:0048666
98	GO:0000226
102	GO:0007224;GO:0008589
106	GO:1902455;GO:1902459;GO:2000036;GO:0030512;GO:0019827;GO:0098727
107	GO:0007173;GO:0038134
109	GO:0043370;GO:0046637
