go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.004757     787 annotations READ: go_slim_results_R1_string_0.8.txt 
95 IDs in all associations
func_module_number	
6	GO:0016043;GO:0050789
8	GO:0007155;GO:0050789
9	GO:0048511;GO:0050896;GO:0050789
12	GO:0022607;GO:0061024
13	GO:0022607;GO:0051276;GO:0006281;GO:0050789;GO:0022414
19	GO:0065009;GO:0050896;GO:0050789
22	GO:0006260;GO:0009059;GO:0065009;GO:0050789
28	GO:0050789
30	GO:0050789
33	GO:0050896;GO:0050789
37	GO:0007005;GO:0065003
44	GO:0022900;GO:0045333
45	GO:0032501;GO:0032502;GO:0050896;GO:0050789
46	GO:0016043;GO:0032502;GO:0050789
47	GO:0006082;GO:0006793;GO:0006790;GO:0043603;GO:0006139
50	GO:0006260;GO:0006281;GO:0032392
51	GO:0036211
53	GO:0050896;GO:0032501
54	GO:0032502;GO:0050896;GO:0050789
55	GO:0016043;GO:0032502;GO:0050789
63	GO:0050789;GO:0044419;GO:0002376;GO:0007155;GO:0050896;GO:0001816;GO:0032502;GO:0001775
64	GO:0050896;GO:0050789
65	GO:0006793;GO:0006629;GO:0050789
67	GO:0016070;GO:0006396
68	GO:0050896
73	GO:0050896;GO:0050789
74	GO:0036211
75	GO:0016043;GO:0032502;GO:0050789
76	GO:0050789
82	GO:0006260;GO:0006281;GO:0009059
87	GO:0006281;GO:0006266;GO:0002376
88	GO:0006996
90	GO:0032502;GO:0032501
97	GO:0051276
98	GO:0065003
104	GO:0050896;GO:0050789
112	GO:0006351
113	GO:0050789;GO:0044419;GO:0002376;GO:0050896;GO:0065009
114	GO:0050789
121	GO:0051234;GO:0007029;GO:0051641
124	GO:0031647;GO:0065003
125	GO:0006793;GO:0036211;GO:0050896;GO:0050789
128	GO:0050789
134	GO:0051276;GO:0006281;GO:0050789
137	GO:0001816;GO:0050896;GO:0050789;GO:0002376
139	GO:0006281;GO:0022411;GO:0050789;GO:0032502
141	GO:0036211;GO:0050789
143	GO:0032502
147	GO:0050789;GO:0032502;GO:0032501;GO:0002376
150	GO:0050896;GO:0050789;GO:0044419
151	GO:0032502;GO:0050789
154	GO:0050896;GO:0050789;GO:0044419
157	GO:0036211;GO:0050789
159	GO:0006281
163	GO:0050789
164	GO:0036211
170	GO:0050896;GO:0050789
171	GO:0001816;GO:0051606;GO:0050789;GO:0002376
172	GO:0001816;GO:0050896;GO:0050789;GO:0002376
186	GO:0051276;GO:0050789
197	GO:0050789;GO:0002376;GO:0050896;GO:0032502;GO:0001775
198	GO:0032502;GO:0051641;GO:0050789
211	GO:0050789;GO:0002376;GO:0050896;GO:0032502;GO:0006793;GO:0001775;GO:0036211
224	GO:0050789
226	GO:0006351;GO:0050896;GO:0050789
227	GO:0050789
228	GO:0009057;GO:0006508
230	GO:0051276;GO:0050789;GO:0009059;GO:0006259;GO:0051641
236	GO:0009057;GO:0006508
239	GO:0006793;GO:0036211;GO:0032502;GO:0050789
246	GO:0050896;GO:0050789
252	GO:0006810;GO:0051641;GO:0051640;GO:0006997
254	GO:0006260;GO:0006281
258	GO:0032502;GO:0050789
267	GO:0050896;GO:0050789
268	GO:0009059;GO:0016070;GO:0016043
270	GO:0031647
280	GO:0050896;GO:0050789;GO:0044419;GO:0002376
282	GO:0050789
284	GO:0065009;GO:0050789
286	GO:0050896;GO:0050789;GO:0002376
290	GO:0032501;GO:0050896;GO:0050789;GO:0040007
295	GO:0022900;GO:0009117;GO:0045333
299	GO:0006281;GO:0050789
310	GO:0001816;GO:0050896;GO:0050789;GO:0044419
325	GO:0036211
326	GO:0016043
327	GO:0036211
332	GO:0001816;GO:0050896;GO:0050789
338	GO:0050789
341	GO:0050789
345	GO:0001775;GO:0032502;GO:0050789;GO:0002376
348	GO:0022607;GO:0051234;GO:0050789;GO:0006996;GO:0051640
366	GO:0006281;GO:0032502;GO:0050789;GO:0016043
