network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
K1	cpdb	0.1	network_modules	1	GO:BP	GO:0030198	7.220830392898519e-45	1	0.2966879859457015	1	extracellular matrix organization	GO:0030198	-	-
K1	cpdb	0.1	network_modules	1	REAC	REAC:R-HSA-8948216	1.569662324107376e-39	3	0.4924520494608163	1	Collagen chain trimerization	-	-	REAC:R-HSA-8948216
K1	cpdb	0.1	network_modules	1	KEGG	KEGG:04974	2.537735637073565e-35	1	0.39229704365299783	1	Protein digestion and absorption	-	KEGG:04974	-
K1	cpdb	0.1	network_modules	5	REAC	REAC:R-HSA-420499	7.66683332179178e-6	1	0.2768922564792782	1	Class C/3 (Metabotropic glutamate/pheromone receptors)	-	-	REAC:R-HSA-420499
K1	cpdb	0.1	network_modules	5	GO:BP	GO:0001582	1.0921196658452368e-5	1	0.8164713379547893	1	detection of chemical stimulus involved in sensory perception of sweet taste	GO:0001582	-	-
K1	cpdb	0.1	network_modules	6	GO:BP	GO:0016339	8.534582083128696e-11	1	0.33669316456320547	1	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	GO:0016339	-	-
K1	cpdb	0.1	network_modules	6	REAC	REAC:R-HSA-418990	5.265215470243351e-10	1	0.30081970870661506	1	Adherens junctions interactions	-	-	REAC:R-HSA-418990
K1	cpdb	0.1	network_modules	8	REAC	REAC:R-HSA-2172127	8.627945537245269e-8	1	0.3017127852874828	1	DAP12 interactions	-	-	REAC:R-HSA-2172127
K1	cpdb	0.1	network_modules	10	REAC	REAC:R-HSA-425407	0.0035574894487904254	1	0.07211370249670818	1	SLC-mediated transmembrane transport	-	-	REAC:R-HSA-425407
K1	cpdb	0.1	network_modules	11	KEGG	KEGG:04061	2.201075491081492e-47	1	0.49292498159979614	1	Viral protein interaction with cytokine and cytokine receptor	-	KEGG:04061	-
K1	cpdb	0.1	network_modules	11	REAC	REAC:R-HSA-380108	3.4389453248259357e-44	1	0.5769660007657361	1	Chemokine receptors bind chemokines	-	-	REAC:R-HSA-380108
K1	cpdb	0.1	network_modules	11	GO:BP	GO:0070098	4.228742167583462e-41	1	0.47443091593679393	1	chemokine-mediated signaling pathway	GO:0070098	-	-
K1	cpdb	0.1	network_modules	12	KEGG	KEGG:04975	6.004845506318434e-6	1	0.2635116486172567	1	Fat digestion and absorption	-	KEGG:04975	-
K1	cpdb	0.1	network_modules	12	REAC	REAC:R-HSA-192456	6.842048825137734e-5	1	0.5772444595545048	1	Digestion of dietary lipid	-	-	REAC:R-HSA-192456
K1	cpdb	0.1	network_modules	15	GO:BP	GO:0033141	1.0489963117619246e-9	1	0.44699229847620187	1	positive regulation of peptidyl-serine phosphorylation of STAT protein	GO:0033141	-	-
K1	cpdb	0.1	network_modules	15	REAC	REAC:R-HSA-912694	2.9951214072426784e-9	1	0.40787399104486916	1	Regulation of IFNA/IFNB signaling	-	-	REAC:R-HSA-912694
