network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes
K1	cpdb	0.4	network_modules	1	TRUE	2.863850412583413e-4	128	3	3	1	0.0234375	REAC:R-HSA-6809371	REAC	Formation of the cornified envelope	10916	969		0	0.5	128	10788	3	0	125	10788	10916	0.152213801969879	1	NA	ENSG00000178172;ENSG00000186474;ENSG00000129437
K1	cpdb	0.4	network_modules	3	TRUE	6.004845506318434e-6	43	3	3	1	0.06976744186046512	KEGG:04975	KEGG	Fat digestion and absorption	8484	406		0	0.14285714285714285	43	8441	3	0	40	8441	8484	0.2635116486172567	1	NA	ENSG00000137392;ENSG00000175535;ENSG00000266200
K1	cpdb	0.4	network_modules	3	TRUE	6.842048825137734e-5	6	2	2	1	0.3333333333333333	REAC:R-HSA-192456	REAC	Digestion of dietary lipid	10916	744		0.16666666666666666	0.2857142857142857	6	10910	2	0	4	10910	10916	0.5772444595545048	2	NA	ENSG00000137392;ENSG00000175535;ENSG00000266200
K1	cpdb	0.4	network_modules	4	TRUE	4.879065640597871e-13	9	7	5	0.7142857142857143	0.5555555555555556	REAC:R-HSA-629597	REAC	Highly calcium permeable nicotinic acetylcholine receptors	10916	1124		0	0.043478260869565216	9	10907	5	2	4	10905	10916	0.6296751393971713	1	GO:0032501;GO:0050789;GO:0050896;GO:0007154	ENSG00000101204;ENSG00000160716;ENSG00000117971;ENSG00000120903;ENSG00000169684;ENSG00000187848;ENSG00000109991
K1	cpdb	0.4	network_modules	4	TRUE	1.788444053712415e-12	11	7	5	0.7142857142857143	0.45454545454545453	REAC:R-HSA-629594	REAC	Highly calcium permeable postsynaptic nicotinic acetylcholine receptors	10916	1125		0.045454545454545456	0.08695652173913043	11	10905	5	2	6	10903	10916	0.5694685434310286	2	GO:0032501;GO:0050789;GO:0050896;GO:0007154	ENSG00000101204;ENSG00000160716;ENSG00000117971;ENSG00000120903;ENSG00000169684;ENSG00000187848;ENSG00000109991
K1	cpdb	0.4	network_modules	4	TRUE	3.065435563456388e-12	12	7	5	0.7142857142857143	0.4166666666666667	REAC:R-HSA-622323	REAC	Presynaptic nicotinic acetylcholine receptors	10916	1792		0.09090909090909091	0.13043478260869565	12	10904	5	2	7	10902	10916	0.545179592844511	3	GO:0032501;GO:0050789;GO:0050896;GO:0007154	ENSG00000101204;ENSG00000160716;ENSG00000117971;ENSG00000120903;ENSG00000169684;ENSG00000187848;ENSG00000109991
K1	cpdb	0.4	network_modules	4	TRUE	7.746371503309772e-12	14	7	5	0.7142857142857143	0.35714285714285715	REAC:R-HSA-622327	REAC	Postsynaptic nicotinic acetylcholine receptors	10916	1779		0.13636363636363635	0.21739130434782608	14	10902	5	2	9	10900	10916	0.5046548417463964	4.5	GO:0032501;GO:0050789;GO:0050896;GO:0007154	ENSG00000101204;ENSG00000160716;ENSG00000117971;ENSG00000120903;ENSG00000169684;ENSG00000187848;ENSG00000109991
K1	cpdb	0.4	network_modules	4	TRUE	7.746371503309772e-12	14	7	5	0.7142857142857143	0.35714285714285715	REAC:R-HSA-181431	REAC	Acetylcholine binding and downstream events	10916	54		0.13636363636363635	0.21739130434782608	14	10902	5	2	9	10900	10916	0.5046548417463964	4.5	GO:0032501;GO:0050789;GO:0050896;GO:0007154	ENSG00000101204;ENSG00000160716;ENSG00000117971;ENSG00000120903;ENSG00000169684;ENSG00000187848;ENSG00000109991
K1	cpdb	0.4	network_modules	4	TRUE	6.953780335599411e-11	23	7	5	0.7142857142857143	0.21739130434782608	GO:0007271	GO:BP	synaptic transmission, cholinergic	16175	2799		0.22727272727272727	0.2608695652173913	23	16152	5	2	18	16150	16175	0.393635836163071	6	GO:0032501;GO:0050789;GO:0050896;GO:0007154	ENSG00000101204;ENSG00000160716;ENSG00000117971;ENSG00000120903;ENSG00000169684;ENSG00000187848;ENSG00000109991
K1	cpdb	0.4	network_modules	6	TRUE	1.2784786790921845e-15	20	6	6	1	0.3	GO:0033141	GO:BP	positive regulation of peptidyl-serine phosphorylation of STAT protein	16175	8056		0	0.011235955056179775	20	16155	6	0	14	16155	16175	0.5474853821575243	1	GO:0036211;GO:0001775;GO:0050789;GO:0002376;GO:0008283;GO:0006793;GO:0050896;GO:0044419	ENSG00000188379;ENSG00000236637;ENSG00000147873;ENSG00000234829;ENSG00000214042;ENSG00000233816
