network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
K1	cpdb	0.5	network_modules	3	KEGG	KEGG:04975	6.004845506318434e-6	1	0.2635116486172567	1	Fat digestion and absorption	-	KEGG:04975	-
K1	cpdb	0.5	network_modules	3	REAC	REAC:R-HSA-192456	6.842048825137734e-5	1	0.5772444595545048	1	Digestion of dietary lipid	-	-	REAC:R-HSA-192456
K1	cpdb	0.5	network_modules	4	GO:BP	GO:0071805	4.7386557123671694e-29	1	0.2941565996160352	1	potassium ion transmembrane transport	GO:0071805	-	-
K1	cpdb	0.5	network_modules	4	GO:BP	GO:0006813	1.7615863895535565e-28	2	0.28266222506373534	2	potassium ion transport	GO:0071805	-	-
K1	cpdb	0.5	network_modules	4	REAC	REAC:R-HSA-1296072	3.665639100091034e-25	1	0.4714257698590027	1	Voltage gated Potassium channels	-	-	REAC:R-HSA-1296072
K1	cpdb	0.5	network_modules	4	GO:BP	GO:0098662	6.805254325965828e-21	3	0.16390082049959154	3	inorganic cation transmembrane transport	GO:0071805	-	-
K1	cpdb	0.5	network_modules	4	GO:BP	GO:0098655	7.199324820930046e-21	4	0.16360602846651517	4	monoatomic cation transmembrane transport	GO:0071805	-	-
K1	cpdb	0.5	network_modules	4	GO:BP	GO:0098660	2.989915555462907e-20	5	0.1563067882160961	5	inorganic ion transmembrane transport	GO:0071805	-	-
K1	cpdb	0.5	network_modules	4	REAC	REAC:R-HSA-1296071	3.598800706325623e-20	2	0.3033342686256739	2	Potassium Channels	-	-	REAC:R-HSA-1296072
K1	cpdb	0.5	network_modules	5	GO:BP	GO:0016339	2.3283920218274464e-13	1	0.3688402876344831	1	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	GO:0016339	-	-
K1	cpdb	0.5	network_modules	5	GO:BP	GO:0034332	2.68660617903168e-13	2	0.3647077326651231	2	adherens junction organization	GO:0016339	-	-
K1	cpdb	0.5	network_modules	5	GO:BP	GO:0044331	3.089597105886395e-13	3	0.36071055424752047	3	cell-cell adhesion mediated by cadherin	GO:0016339	-	-
K1	cpdb	0.5	network_modules	5	REAC	REAC:R-HSA-418990	2.6396461039911466e-12	1	0.3295465823231064	1	Adherens junctions interactions	-	-	REAC:R-HSA-418990
K1	cpdb	0.5	network_modules	6	KEGG	KEGG:04061	1.9527273884393197e-49	1	0.5030978331741248	1	Viral protein interaction with cytokine and cytokine receptor	-	KEGG:04061	-
K1	cpdb	0.5	network_modules	6	REAC	REAC:R-HSA-380108	1.2887359823607237e-46	1	0.5919202380346369	1	Chemokine receptors bind chemokines	-	-	REAC:R-HSA-380108
K1	cpdb	0.5	network_modules	6	GO:BP	GO:0070098	1.4469388044946586e-46	1	0.512291793671125	1	chemokine-mediated signaling pathway	GO:0070098	-	-
K1	cpdb	0.5	network_modules	6	GO:BP	GO:1990869	2.615997946419309e-45	2	0.4844041718310534	2	cellular response to chemokine	GO:0070098	-	-
K1	cpdb	0.5	network_modules	6	GO:BP	GO:1990868	2.615997946419309e-45	3	0.4844041718310534	3	response to chemokine	GO:0070098	-	-
K1	cpdb	0.5	network_modules	6	GO:BP	GO:0042330	4.4347550736977465e-42	4	0.2654210857056784	15	taxis	GO:0070098	-	-
