network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
K1	humanbase	0.3	network_modules	2	GO:BP	GO:0015671	5.660137805268847e-17	1	0.6792191465069795	1	oxygen transport	GO:0015671	-	-
K1	humanbase	0.3	network_modules	2	GO:BP	GO:0015670	5.660137805268847e-17	2	0.6792191465069795	2	carbon dioxide transport	GO:0015671	-	-
K1	humanbase	0.3	network_modules	2	GO:BP	GO:0015669	6.123239989336321e-16	3	0.5771359860191163	3	gas transport	GO:0015671	-	-
K1	humanbase	0.3	network_modules	2	GO:BP	GO:0019755	6.123239989336321e-16	4	0.5771359860191163	4	one-carbon compound transport	GO:0015671	-	-
K1	humanbase	0.3	network_modules	2	GO:BP	GO:0042744	4.439579883671176e-15	5	0.49972161215324656	5	hydrogen peroxide catabolic process	GO:0015671	-	-
K1	humanbase	0.3	network_modules	4	GO:BP	GO:0007565	8.704088563673149e-4	1	0.14822146402888547	1	female pregnancy	GO:0007565	-	-
K1	humanbase	0.3	network_modules	5	GO:BP	GO:0003002	4.385882675359537e-4	1	0.10736378427215573	1	regionalization	GO:0003002	-	-
K1	humanbase	0.3	network_modules	5	GO:BP	GO:0007389	6.686060829636294e-4	2	0.10169278651489456	2	pattern specification process	GO:0003002	-	-
K1	humanbase	0.3	network_modules	10	REAC	REAC:R-HSA-6809371	3.5530346265596386e-12	1	0.22173414733350863	1	Formation of the cornified envelope	-	-	REAC:R-HSA-6809371
K1	humanbase	0.3	network_modules	10	REAC	REAC:R-HSA-6805567	2.4314869560494573e-10	2	0.1700447703156241	2	Keratinization	-	-	REAC:R-HSA-6809371
K1	humanbase	0.3	network_modules	10	GO:BP	GO:0045109	1.364944162574717e-6	1	0.16992886784388225	1	intermediate filament organization	GO:0045109	-	-
K1	humanbase	0.3	network_modules	13	GO:BP	GO:0019373	1.433688382369128e-7	1	0.3137446621307518	1	epoxygenase P450 pathway	GO:0019373	-	-
K1	humanbase	0.3	network_modules	13	REAC	REAC:R-HSA-211999	1.0472049194018095e-5	1	0.31921952331311165	1	CYP2E1 reactions	-	-	REAC:R-HSA-211999
K1	humanbase	0.3	network_modules	13	GO:BP	GO:0019369	1.5833512725488313e-5	2	0.1787649800942835	2	arachidonate metabolic process	GO:0019373	-	-
K1	humanbase	0.3	network_modules	13	REAC	REAC:R-HSA-211897	1.820293943572417e-5	2	0.17528247281203707	3	Cytochrome P450 - arranged by substrate type	-	-	REAC:R-HSA-211999
K1	humanbase	0.3	network_modules	13	REAC	REAC:R-HSA-211981	1.1193707160488976e-4	3	0.22023306255217212	2	Xenobiotics	-	-	REAC:R-HSA-211999
K1	humanbase	0.3	network_modules	20	KEGG	KEGG:04060	0.0019439589163539142	1	0.06446309211018016	1	Cytokine-cytokine receptor interaction	-	KEGG:04060	-
K1	humanbase	0.3	network_modules	22	REAC	REAC:R-HSA-156902	4.667622416072591e-83	1	0.6488926866691285	1	Peptide chain elongation	-	-	REAC:R-HSA-156902
K1	humanbase	0.3	network_modules	22	REAC	REAC:R-HSA-156842	4.497585784470418e-82	2	0.6348072301470539	2	Eukaryotic Translation Elongation	-	-	REAC:R-HSA-156902
K1	humanbase	0.3	network_modules	22	REAC	REAC:R-HSA-192823	1.3210148139125524e-79	3	0.6325287062420153	3	Viral mRNA Translation	-	-	REAC:R-HSA-156902
K1	humanbase	0.3	network_modules	22	REAC	REAC:R-HSA-72764	1.179892994603286e-78	4	0.6187922455291611	4	Eukaryotic Translation Termination	-	-	REAC:R-HSA-156902
K1	humanbase	0.3	network_modules	22	REAC	REAC:R-HSA-2408557	1.179892994603286e-78	5	0.6187922455291611	5	Selenocysteine synthesis	-	-	REAC:R-HSA-156902
K1	humanbase	0.3	network_modules	22	REAC	REAC:R-HSA-975956	3.3693009361223794e-78	6	0.6122471970912907	6	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	-	-	REAC:R-HSA-156902
K1	humanbase	0.3	network_modules	22	REAC	REAC:R-HSA-72689	6.6664778845298175e-77	7	0.5937767321545578	7	Formation of a pool of free 40S subunits	-	-	REAC:R-HSA-156902
K1	humanbase	0.3	network_modules	22	REAC	REAC:R-HSA-9633012	6.6664778845298175e-77	8	0.5937767321545578	8	Response of EIF2AK4 (GCN2) to amino acid deficiency	-	-	REAC:R-HSA-156902
K1	humanbase	0.3	network_modules	22	REAC	REAC:R-HSA-156827	6.055819528056597e-75	9	0.5663463661466016	9	L13a-mediated translational silencing of Ceruloplasmin expression	-	-	REAC:R-HSA-156902
K1	humanbase	0.3	network_modules	22	REAC	REAC:R-HSA-1799339	9.24489695686976e-75	10	0.5638046860769329	10	SRP-dependent cotranslational protein targeting to membrane	-	-	REAC:R-HSA-156902
K1	humanbase	0.3	network_modules	22	REAC	REAC:R-HSA-72706	9.24489695686976e-75	11	0.5638046860769329	11	GTP hydrolysis and joining of the 60S ribosomal subunit	-	-	REAC:R-HSA-156902
K1	humanbase	0.3	network_modules	22	REAC	REAC:R-HSA-927802	3.2006957451917748e-74	12	0.5563770577331701	12	Nonsense-Mediated Decay (NMD)	-	-	REAC:R-HSA-156902
K1	humanbase	0.3	network_modules	22	REAC	REAC:R-HSA-975957	3.2006957451917748e-74	13	0.5563770577331701	13	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	-	-	REAC:R-HSA-156902
K1	humanbase	0.3	network_modules	22	REAC	REAC:R-HSA-2408522	4.799743578288059e-74	14	0.5539646354899622	14	Selenoamino acid metabolism	-	-	REAC:R-HSA-156902
K1	humanbase	0.3	network_modules	27	GO:BP	GO:0045321	3.6379087923958556e-25	1	0.149496291260295	7	leukocyte activation	GO:0046649	-	-
K1	humanbase	0.3	network_modules	27	GO:BP	GO:0046649	7.6790493681313595e-25	2	0.15602353698869223	3	lymphocyte activation	GO:0046649	-	-
K1	humanbase	0.3	network_modules	27	GO:BP	GO:0042110	3.571112771367713e-21	3	0.15356697995672855	5	T cell activation	GO:0046649	-	-
K1	humanbase	0.3	network_modules	27	GO:BP	GO:0050851	3.778308748811661e-20	4	0.18857059005949345	1	antigen receptor-mediated signaling pathway	GO:0046649	-	-
K1	humanbase	0.3	network_modules	27	GO:BP	GO:0002250	4.3790991282895004e-20	5	0.1558187250672256	4	adaptive immune response	GO:0046649	-	-
K1	humanbase	0.3	network_modules	27	GO:BP	GO:0050778	2.181872001989597e-19	6	0.13131838443938598	10	positive regulation of immune response	GO:0046649	-	-
K1	humanbase	0.3	network_modules	27	GO:BP	GO:0050776	2.4549013931072505e-17	7	0.11788321351736653	13	regulation of immune response	GO:0046649	-	-
K1	humanbase	0.3	network_modules	27	GO:BP	GO:0002768	6.901097133531252e-17	8	0.1449969016036105	8	immune response-regulating cell surface receptor signaling pathway	GO:0046649	-	-
K1	humanbase	0.3	network_modules	27	GO:BP	GO:0002429	4.994365323565438e-16	9	0.1430510437085603	9	immune response-activating cell surface receptor signaling pathway	GO:0046649	-	-
K1	humanbase	0.3	network_modules	27	GO:BP	GO:0050852	1.6489172269438417e-15	10	0.17281255340159998	2	T cell receptor signaling pathway	GO:0046649	-	-
K1	humanbase	0.3	network_modules	27	GO:BP	GO:0030098	1.0392649337852898e-13	11	0.126489857892559	11	lymphocyte differentiation	GO:0046649	-	-
K1	humanbase	0.3	network_modules	27	KEGG	KEGG:04660	1.3453077982237162e-13	1	0.18712797338150478	2	T cell receptor signaling pathway	-	KEGG:04640	-
K1	humanbase	0.3	network_modules	27	GO:BP	GO:0002764	1.8188843229053782e-13	12	0.11472336895303703	14	immune response-regulating signaling pathway	GO:0046649	-	-
K1	humanbase	0.3	network_modules	27	KEGG	KEGG:04640	2.1723930674427212e-13	2	0.197497927728824	1	Hematopoietic cell lineage	-	KEGG:04640	-
K1	humanbase	0.3	network_modules	27	GO:BP	GO:0046631	3.004954314468383e-13	13	0.15250867932003603	6	alpha-beta T cell activation	GO:0046649	-	-
K1	humanbase	0.3	network_modules	27	GO:BP	GO:0002252	4.539742064559733e-13	14	0.10785148396849606	18	immune effector process	GO:0046649	-	-
K1	humanbase	0.3	network_modules	27	GO:BP	GO:0002757	1.4903699416322549e-12	15	0.11127491025915554	16	immune response-activating signaling pathway	GO:0046649	-	-
K1	humanbase	0.3	network_modules	27	GO:BP	GO:1903131	2.243622680690641e-12	16	0.11411562072162554	15	mononuclear cell differentiation	GO:0046649	-	-
