network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes
K1	humanbase	0.4	network_modules	3	TRUE	5.397665045788576e-5	36	85	6	0.07058823529411765	0.16666666666666666	GO:0006749	GO:BP	glutathione metabolic process	16175	2447		0	0.3333333333333333	36	16139	6	79	30	16060	16175	0.10543980729359816	1	NA	ENSG00000085662;ENSG00000167397;ENSG00000111144;ENSG00000108840;ENSG00000170296;ENSG00000061273;ENSG00000197448;ENSG00000214736;ENSG00000130313;ENSG00000025434;ENSG00000106211;ENSG00000140264;ENSG00000185043;ENSG00000143774;ENSG00000177556;ENSG00000126091;ENSG00000177156;ENSG00000100300;ENSG00000164054;ENSG00000213719;ENSG00000166710;ENSG00000004059;ENSG00000128524;ENSG00000180879;ENSG00000087086;ENSG00000126522;ENSG00000198736;ENSG00000075624;ENSG00000163479;ENSG00000034510;ENSG00000148834;ENSG00000135404;ENSG00000160213;ENSG00000084207;ENSG00000060971;ENSG00000104904;ENSG00000087460;ENSG00000160948;ENSG00000167468;ENSG00000090013;ENSG00000125991;ENSG00000163931;ENSG00000007255;ENSG00000150991;ENSG00000159423;ENSG00000196576;ENSG00000089248;ENSG00000103024;ENSG00000101608;ENSG00000072778;ENSG00000117448;ENSG00000085871;ENSG00000205352;ENSG00000172757;ENSG00000135052;ENSG00000198960;ENSG00000013583;ENSG00000105755;ENSG00000103145;ENSG00000108798;ENSG00000164713;ENSG00000117305;ENSG00000139641;ENSG00000143801;ENSG00000063854;ENSG00000175224;ENSG00000230204;ENSG00000165475;ENSG00000176485;ENSG00000182165;ENSG00000166337;ENSG00000137880;ENSG00000149761;ENSG00000124299;ENSG00000073060;ENSG00000145247;ENSG00000158716;ENSG00000149600;ENSG00000163463;ENSG00000054148;ENSG00000161513;ENSG00000178980;ENSG00000169660;ENSG00000171425;ENSG00000107960;ENSG00000142552;ENSG00000165092;ENSG00000110442;ENSG00000178585;ENSG00000166979;ENSG00000167083;ENSG00000216740;ENSG00000145016;ENSG00000010704;ENSG00000109667;ENSG00000187653;ENSG00000113068;ENSG00000169814;ENSG00000105261
K1	humanbase	0.4	network_modules	4	TRUE	5.072638072794376e-7	11	4	3	0.75	0.2727272727272727	REAC:R-HSA-211999	REAC	CYP2E1 reactions	10916	293		0	0.043478260869565216	11	10905	3	1	8	10904	10916	0.4519699097320086	1	GO:0006629;GO:0019748;GO:0006082	ENSG00000255974;ENSG00000198077;ENSG00000138109;ENSG00000198336
K1	humanbase	0.4	network_modules	4	TRUE	2.8551692034200428e-6	18	4	3	0.75	0.16666666666666666	GO:0019373	GO:BP	epoxygenase P450 pathway	16175	5734		0.045454545454545456	0.08695652173913043	18	16157	3	1	15	16156	16175	0.3532690761523664	2	GO:0006629;GO:0019748;GO:0006082	ENSG00000255974;ENSG00000198077;ENSG00000138109;ENSG00000198336
K1	humanbase	0.4	network_modules	4	TRUE	5.440138849355111e-6	23	4	3	0.75	0.13043478260869565	REAC:R-HSA-211981	REAC	Xenobiotics	10916	2677		0.09090909090909091	0.13043478260869565	23	10893	3	1	20	10892	10916	0.3122792612002024	3	GO:0006629;GO:0019748;GO:0006082	ENSG00000255974;ENSG00000198077;ENSG00000138109;ENSG00000198336
K1	humanbase	0.4	network_modules	4	TRUE	9.163816459256636e-5	55	4	3	0.75	0.05454545454545454	GO:0019369	GO:BP	arachidonate metabolic process	16175	5730		0.13636363636363635	0.17391304347826086	55	16120	3	1	52	16119	16175	0.2017110958177741	4	GO:0006629;GO:0019748;GO:0006082	ENSG00000255974;ENSG00000198077;ENSG00000138109;ENSG00000198336
K1	humanbase	0.4	network_modules	4	TRUE	1.0057708668945589e-4	67	4	3	0.75	0.04477611940298507	KEGG:05204	KEGG	Chemical carcinogenesis - DNA adducts	8484	456		0.18181818181818182	0.21739130434782608	67	8417	3	1	64	8416	8484	0.18208774767012512	5	GO:0006629;GO:0019748;GO:0006082	ENSG00000255974;ENSG00000198077;ENSG00000138109;ENSG00000198336
K1	humanbase	0.4	network_modules	4	TRUE	1.0520974827486777e-4	68	4	3	0.75	0.04411764705882353	KEGG:00830	KEGG	Retinol metabolism	8484	127		0.22727272727272727	0.30434782608695654	68	8416	3	1	65	8415	8484	0.18072593663945005	6.5	GO:0006629;GO:0019748;GO:0006082	ENSG00000255974;ENSG00000198077;ENSG00000138109;ENSG00000198336
K1	humanbase	0.4	network_modules	4	TRUE	1.0520974827486777e-4	68	4	3	0.75	0.04411764705882353	KEGG:00982	KEGG	Drug metabolism - cytochrome P450	8484	156		0.22727272727272727	0.30434782608695654	68	8416	3	1	65	8415	8484	0.18072593663945005	6.5	GO:0006629;GO:0019748;GO:0006082	ENSG00000255974;ENSG00000198077;ENSG00000138109;ENSG00000198336
K1	humanbase	0.4	network_modules	5	TRUE	1.8153754688026619e-127	90	62	59	0.9516129032258065	0.6555555555555556	REAC:R-HSA-156902	REAC	Peptide chain elongation	10916	1723		0	0.015151515151515152	90	10826	59	3	31	10823	10916	0.788479479255511	1	GO:0042254;GO:0006412	ENSG00000182899;ENSG00000145592;ENSG00000244097;ENSG00000156482;ENSG00000213741;ENSG00000215093;ENSG00000163682;ENSG00000089157;ENSG00000149273;ENSG00000145425;ENSG00000221983;ENSG00000063177;ENSG00000170889;ENSG00000089009;ENSG00000186468;ENSG00000105193;ENSG00000105372;ENSG00000156508;ENSG00000142541;ENSG00000100316;ENSG00000148303;ENSG00000108298;ENSG00000122026;ENSG00000198242;ENSG00000131469;ENSG00000144713;ENSG00000197756;ENSG00000198918;ENSG00000137818;ENSG00000140988;ENSG00000124614;ENSG00000115268;ENSG00000134419;ENSG00000182774;ENSG00000231500;ENSG00000008988;ENSG00000177954;ENSG00000133112;ENSG00000125691;ENSG00000108107;ENSG00000142534;ENSG00000168028;ENSG00000147604;ENSG00000147403;ENSG00000105640;ENSG00000166441;ENSG00000162244;ENSG00000109475;ENSG00000172809;ENSG00000229117;ENSG00000177600;ENSG00000198034;ENSG00000110700;ENSG00000164587;ENSG00000138326;ENSG00000118181;ENSG00000143947;ENSG00000233927;ENSG00000188846;ENSG00000241343;ENSG00000142937;ENSG00000213326;ENSG00000105373;ENSG00000170315;ENSG00000228210;ENSG00000214925;ENSG00000183298;ENSG00000101276;ENSG00000139239;ENSG00000186335;ENSG00000112306;ENSG00000213553;ENSG00000230202;ENSG00000234851;ENSG00000225093
K1	humanbase	0.4	network_modules	5	TRUE	1.0561415574998244e-125	94	62	59	0.9516129032258065	0.6276595744680851	REAC:R-HSA-156842	REAC	Eukaryotic Translation Elongation	10916	870		0.015384615384615385	0.030303030303030304	94	10822	59	3	35	10819	10916	0.7713637806583641	2	GO:0042254;GO:0006412	ENSG00000182899;ENSG00000145592;ENSG00000244097;ENSG00000156482;ENSG00000213741;ENSG00000215093;ENSG00000163682;ENSG00000089157;ENSG00000149273;ENSG00000145425;ENSG00000221983;ENSG00000063177;ENSG00000170889;ENSG00000089009;ENSG00000186468;ENSG00000105193;ENSG00000105372;ENSG00000156508;ENSG00000142541;ENSG00000100316;ENSG00000148303;ENSG00000108298;ENSG00000122026;ENSG00000198242;ENSG00000131469;ENSG00000144713;ENSG00000197756;ENSG00000198918;ENSG00000137818;ENSG00000140988;ENSG00000124614;ENSG00000115268;ENSG00000134419;ENSG00000182774;ENSG00000231500;ENSG00000008988;ENSG00000177954;ENSG00000133112;ENSG00000125691;ENSG00000108107;ENSG00000142534;ENSG00000168028;ENSG00000147604;ENSG00000147403;ENSG00000105640;ENSG00000166441;ENSG00000162244;ENSG00000109475;ENSG00000172809;ENSG00000229117;ENSG00000177600;ENSG00000198034;ENSG00000110700;ENSG00000164587;ENSG00000138326;ENSG00000118181;ENSG00000143947;ENSG00000233927;ENSG00000188846;ENSG00000241343;ENSG00000142937;ENSG00000213326;ENSG00000105373;ENSG00000170315;ENSG00000228210;ENSG00000214925;ENSG00000183298;ENSG00000101276;ENSG00000139239;ENSG00000186335;ENSG00000112306;ENSG00000213553;ENSG00000230202;ENSG00000234851;ENSG00000225093
K1	humanbase	0.4	network_modules	5	TRUE	9.056930384621118e-124	90	62	58	0.9354838709677419	0.6444444444444445	REAC:R-HSA-192823	REAC	Viral mRNA Translation	10916	2650		0.03076923076923077	0.045454545454545456	90	10826	58	4	32	10822	10916	0.7749986220802385	3	GO:0042254;GO:0006412	ENSG00000182899;ENSG00000145592;ENSG00000244097;ENSG00000156482;ENSG00000213741;ENSG00000215093;ENSG00000163682;ENSG00000089157;ENSG00000149273;ENSG00000145425;ENSG00000221983;ENSG00000063177;ENSG00000170889;ENSG00000089009;ENSG00000186468;ENSG00000105193;ENSG00000105372;ENSG00000156508;ENSG00000142541;ENSG00000100316;ENSG00000148303;ENSG00000108298;ENSG00000122026;ENSG00000198242;ENSG00000131469;ENSG00000144713;ENSG00000197756;ENSG00000198918;ENSG00000137818;ENSG00000140988;ENSG00000124614;ENSG00000115268;ENSG00000134419;ENSG00000182774;ENSG00000231500;ENSG00000008988;ENSG00000177954;ENSG00000133112;ENSG00000125691;ENSG00000108107;ENSG00000142534;ENSG00000168028;ENSG00000147604;ENSG00000147403;ENSG00000105640;ENSG00000166441;ENSG00000162244;ENSG00000109475;ENSG00000172809;ENSG00000229117;ENSG00000177600;ENSG00000198034;ENSG00000110700;ENSG00000164587;ENSG00000138326;ENSG00000118181;ENSG00000143947;ENSG00000233927;ENSG00000188846;ENSG00000241343;ENSG00000142937;ENSG00000213326;ENSG00000105373;ENSG00000170315;ENSG00000228210;ENSG00000214925;ENSG00000183298;ENSG00000101276;ENSG00000139239;ENSG00000186335;ENSG00000112306;ENSG00000213553;ENSG00000230202;ENSG00000234851;ENSG00000225093
K1	humanbase	0.4	network_modules	5	TRUE	4.68194714843305e-122	94	62	58	0.9354838709677419	0.6170212765957447	REAC:R-HSA-2408557	REAC	Selenocysteine synthesis	10916	2188		0.046153846153846156	0.07575757575757576	94	10822	58	4	36	10818	10916	0.758170430711533	4.5	GO:0042254;GO:0006412	ENSG00000182899;ENSG00000145592;ENSG00000244097;ENSG00000156482;ENSG00000213741;ENSG00000215093;ENSG00000163682;ENSG00000089157;ENSG00000149273;ENSG00000145425;ENSG00000221983;ENSG00000063177;ENSG00000170889;ENSG00000089009;ENSG00000186468;ENSG00000105193;ENSG00000105372;ENSG00000156508;ENSG00000142541;ENSG00000100316;ENSG00000148303;ENSG00000108298;ENSG00000122026;ENSG00000198242;ENSG00000131469;ENSG00000144713;ENSG00000197756;ENSG00000198918;ENSG00000137818;ENSG00000140988;ENSG00000124614;ENSG00000115268;ENSG00000134419;ENSG00000182774;ENSG00000231500;ENSG00000008988;ENSG00000177954;ENSG00000133112;ENSG00000125691;ENSG00000108107;ENSG00000142534;ENSG00000168028;ENSG00000147604;ENSG00000147403;ENSG00000105640;ENSG00000166441;ENSG00000162244;ENSG00000109475;ENSG00000172809;ENSG00000229117;ENSG00000177600;ENSG00000198034;ENSG00000110700;ENSG00000164587;ENSG00000138326;ENSG00000118181;ENSG00000143947;ENSG00000233927;ENSG00000188846;ENSG00000241343;ENSG00000142937;ENSG00000213326;ENSG00000105373;ENSG00000170315;ENSG00000228210;ENSG00000214925;ENSG00000183298;ENSG00000101276;ENSG00000139239;ENSG00000186335;ENSG00000112306;ENSG00000213553;ENSG00000230202;ENSG00000234851;ENSG00000225093
