network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
K1	humanbase	0.7	network_modules	1	GO:BP	GO:0022613	3.385602461391059e-20	1	0.14004189597428093	1	ribonucleoprotein complex biogenesis	GO:0022613	-	-
K1	humanbase	0.7	network_modules	1	REAC	REAC:R-HSA-72312	2.6179206305333415e-6	1	0.08958174654722369	1	rRNA processing	-	-	REAC:R-HSA-72312
K1	humanbase	0.7	network_modules	2	KEGG	KEGG:00071	2.0695581410813633e-4	1	0.13006038091865052	1	Fatty acid degradation	-	KEGG:00071	-
K1	humanbase	0.7	network_modules	2	GO:BP	GO:0009060	5.82418453584777e-4	2	0.08379555330278383	1	aerobic respiration	GO:0009060	-	-
K1	humanbase	0.7	network_modules	2	REAC	REAC:R-HSA-611105	7.716905806154639e-4	2	0.09657245089681185	1	Respiratory electron transport	-	-	REAC:R-HSA-611105
K1	humanbase	0.7	network_modules	3	GO:BP	GO:0006281	1.101272249296592e-9	1	0.09592604761424732	1	DNA repair	GO:0006281	-	-
K1	humanbase	0.7	network_modules	3	KEGG	KEGG:03460	2.644194393042536e-8	1	0.17307193020594025	1	Fanconi anemia pathway	-	KEGG:03460	-
K1	humanbase	0.7	network_modules	3	REAC	REAC:R-HSA-75035	2.0815773188846305e-5	2	0.18597779996168648	1	Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	-	-	REAC:R-HSA-75035
K1	humanbase	0.7	network_modules	4	GO:BP	GO:0000377	1.0642978073036066e-14	2	0.12493056999451808	1	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	GO:0000377	-	-
K1	humanbase	0.7	network_modules	6	GO:BP	GO:0006119	1.4742629223885112e-69	1	0.46844265563869364	1	oxidative phosphorylation	GO:0006119	-	-
K1	humanbase	0.7	network_modules	6	KEGG	KEGG:00190	9.586014153439788e-67	1	0.5055981379118668	1	Oxidative phosphorylation	-	KEGG:00190	-
K1	humanbase	0.7	network_modules	6	REAC	REAC:R-HSA-611105	1.6075410189782891e-56	2	0.4657577175534656	1	Respiratory electron transport	-	-	REAC:R-HSA-611105
K1	humanbase	0.7	network_modules	8	GO:BP	GO:0006954	9.333118670371992e-21	1	0.13988545834870716	1	inflammatory response	GO:0006954	-	-
K1	humanbase	0.7	network_modules	8	KEGG	KEGG:04064	2.0012657512238067e-17	1	0.2262383336156375	1	NF-kappa B signaling pathway	-	KEGG:04064	-
K1	humanbase	0.7	network_modules	8	REAC	REAC:R-HSA-6783783	2.489244086029584e-9	1	0.17642953263845879	1	Interleukin-10 signaling	-	-	REAC:R-HSA-6783783
K1	humanbase	0.7	network_modules	10	REAC	REAC:R-HSA-156842	2.3299820310253263e-173	1	0.8776454253535272	1	Eukaryotic Translation Elongation	-	-	REAC:R-HSA-156842
K1	humanbase	0.7	network_modules	10	GO:BP	GO:0002181	6.662970275607422e-150	1	0.6517263281387706	1	cytoplasmic translation	GO:0002181	-	-
K1	humanbase	0.7	network_modules	10	KEGG	KEGG:03010	1.2991264652559256e-124	1	0.6484494469821757	1	Ribosome	-	KEGG:03010	-
K1	humanbase	0.7	network_modules	11	GO:BP	GO:0016126	2.053218004696152e-24	1	0.41159746412275866	1	sterol biosynthetic process	GO:0016126	-	-
K1	humanbase	0.7	network_modules	11	REAC	REAC:R-HSA-191273	1.150754773649925e-23	1	0.5075162592745024	1	Cholesterol biosynthesis	-	-	REAC:R-HSA-191273
