network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes	row_rank_p	row_rank_mcc	top_go	top_kegg	top_reac
K1	humanbase	0.7	network_modules	1	TRUE	3.385602461391059e-20	390	84	27	0.32142857142857145	0.06923076923076923	GO:0022613	GO:BP	ribonucleoprotein complex biogenesis	16175	6620		0	0.03225806451612903	390	15785	27	57	363	15728	16175	0.14004189597428093	1	GO:0006396;GO:0016070;GO:0065003;GO:0042254	ENSG00000112578;ENSG00000125835;ENSG00000149136;ENSG00000143179;ENSG00000100462;ENSG00000101361;ENSG00000136997;ENSG00000101146;ENSG00000142230;ENSG00000131467;ENSG00000171793;ENSG00000033050;ENSG00000041802;ENSG00000110104;ENSG00000116455;ENSG00000175792;ENSG00000126457;ENSG00000106263;ENSG00000100591;ENSG00000168439;ENSG00000004478;ENSG00000115758;ENSG00000170515;ENSG00000048162;ENSG00000147224;ENSG00000182199;ENSG00000135446;ENSG00000178921;ENSG00000163468;ENSG00000084774;ENSG00000089154;ENSG00000129351;ENSG00000075914;ENSG00000132661;ENSG00000179409;ENSG00000053372;ENSG00000089053;ENSG00000196497;ENSG00000168883;ENSG00000179041;ENSG00000068438;ENSG00000197451;ENSG00000099901;ENSG00000138074;ENSG00000060688;ENSG00000171453;ENSG00000102900;ENSG00000105618;ENSG00000104907;ENSG00000167721;ENSG00000163882;ENSG00000073536;ENSG00000185651;ENSG00000148843;ENSG00000135372;ENSG00000144231;ENSG00000132768;ENSG00000141499;ENSG00000124228;ENSG00000107815;ENSG00000177192;ENSG00000001497;ENSG00000035141;ENSG00000087269;ENSG00000227057;ENSG00000165733;ENSG00000108883;ENSG00000110931;ENSG00000275700;ENSG00000068120;ENSG00000122687;ENSG00000116213;ENSG00000115207;ENSG00000170468;ENSG00000148840;ENSG00000165060;ENSG00000052749;ENSG00000058600;ENSG00000169180;ENSG00000154743;ENSG00000089280;ENSG00000136731;ENSG00000166133;ENSG00000101220;ENSG00000037897;ENSG00000070785;ENSG00000164818;ENSG00000171861;ENSG00000136213;ENSG00000184110	1	1	GO:0022613	-	-
K1	humanbase	0.7	network_modules	1	TRUE	2.6179206305333415e-6	202	72	12	0.16666666666666666	0.0594059405940594	REAC:R-HSA-72312	REAC	rRNA processing	10916	2732		0.13333333333333333	0.16129032258064516	202	10714	12	60	190	10654	10916	0.08958174654722369	5	GO:0006396;GO:0016070;GO:0065003;GO:0042254	ENSG00000112578;ENSG00000125835;ENSG00000149136;ENSG00000143179;ENSG00000100462;ENSG00000101361;ENSG00000136997;ENSG00000101146;ENSG00000142230;ENSG00000131467;ENSG00000171793;ENSG00000033050;ENSG00000041802;ENSG00000110104;ENSG00000116455;ENSG00000175792;ENSG00000126457;ENSG00000106263;ENSG00000100591;ENSG00000168439;ENSG00000004478;ENSG00000115758;ENSG00000170515;ENSG00000048162;ENSG00000147224;ENSG00000182199;ENSG00000135446;ENSG00000178921;ENSG00000163468;ENSG00000084774;ENSG00000089154;ENSG00000129351;ENSG00000075914;ENSG00000132661;ENSG00000179409;ENSG00000053372;ENSG00000089053;ENSG00000196497;ENSG00000168883;ENSG00000179041;ENSG00000068438;ENSG00000197451;ENSG00000099901;ENSG00000138074;ENSG00000060688;ENSG00000171453;ENSG00000102900;ENSG00000105618;ENSG00000104907;ENSG00000167721;ENSG00000163882;ENSG00000073536;ENSG00000185651;ENSG00000148843;ENSG00000135372;ENSG00000144231;ENSG00000132768;ENSG00000141499;ENSG00000124228;ENSG00000107815;ENSG00000177192;ENSG00000001497;ENSG00000035141;ENSG00000087269;ENSG00000227057;ENSG00000165733;ENSG00000108883;ENSG00000110931;ENSG00000275700;ENSG00000068120;ENSG00000122687;ENSG00000116213;ENSG00000115207;ENSG00000170468;ENSG00000148840;ENSG00000165060;ENSG00000052749;ENSG00000058600;ENSG00000169180;ENSG00000154743;ENSG00000089280;ENSG00000136731;ENSG00000166133;ENSG00000101220;ENSG00000037897;ENSG00000070785;ENSG00000164818;ENSG00000171861;ENSG00000136213;ENSG00000184110	1	1	-	-	REAC:R-HSA-72312
K1	humanbase	0.7	network_modules	2	TRUE	2.0695581410813633e-4	43	21	4	0.19047619047619047	0.09302325581395349	KEGG:00071	KEGG	Fatty acid degradation	8484	11		0	0.058823529411764705	43	8441	4	17	39	8424	8484	0.13006038091865052	1	GO:0006082;GO:0045333;GO:0006629	ENSG00000115286;ENSG00000010256;ENSG00000110717;ENSG00000133027;ENSG00000169738;ENSG00000130560;ENSG00000105607;ENSG00000099624;ENSG00000053371;ENSG00000164896;ENSG00000141385;ENSG00000160783;ENSG00000172500;ENSG00000039650;ENSG00000114383;ENSG00000167969;ENSG00000160221;ENSG00000167792;ENSG00000213593;ENSG00000072778;ENSG00000060971;ENSG00000164062;ENSG00000176973;ENSG00000100348;ENSG00000006831;ENSG00000243989;ENSG00000213465;ENSG00000112651;ENSG00000171222;ENSG00000130159;ENSG00000099385;ENSG00000148334	1	1	-	KEGG:00071	-
K1	humanbase	0.7	network_modules	2	TRUE	5.82418453584777e-4	162	29	6	0.20689655172413793	0.037037037037037035	GO:0009060	GO:BP	aerobic respiration	16175	3236		0.1875	0.23529411764705882	162	16013	6	23	156	15990	16175	0.08379555330278383	4	GO:0006082;GO:0045333;GO:0006629	ENSG00000115286;ENSG00000010256;ENSG00000110717;ENSG00000133027;ENSG00000169738;ENSG00000130560;ENSG00000105607;ENSG00000099624;ENSG00000053371;ENSG00000164896;ENSG00000141385;ENSG00000160783;ENSG00000172500;ENSG00000039650;ENSG00000114383;ENSG00000167969;ENSG00000160221;ENSG00000167792;ENSG00000213593;ENSG00000072778;ENSG00000060971;ENSG00000164062;ENSG00000176973;ENSG00000100348;ENSG00000006831;ENSG00000243989;ENSG00000213465;ENSG00000112651;ENSG00000171222;ENSG00000130159;ENSG00000099385;ENSG00000148334	2	1	GO:0009060	-	-
K1	humanbase	0.7	network_modules	2	TRUE	7.716905806154639e-4	103	24	5	0.20833333333333334	0.04854368932038835	REAC:R-HSA-611105	REAC	Respiratory electron transport	10916	2081		0.25	0.29411764705882354	103	10813	5	19	98	10794	10916	0.09657245089681185	5	GO:0006082;GO:0045333;GO:0006629	ENSG00000115286;ENSG00000010256;ENSG00000110717;ENSG00000133027;ENSG00000169738;ENSG00000130560;ENSG00000105607;ENSG00000099624;ENSG00000053371;ENSG00000164896;ENSG00000141385;ENSG00000160783;ENSG00000172500;ENSG00000039650;ENSG00000114383;ENSG00000167969;ENSG00000160221;ENSG00000167792;ENSG00000213593;ENSG00000072778;ENSG00000060971;ENSG00000164062;ENSG00000176973;ENSG00000100348;ENSG00000006831;ENSG00000243989;ENSG00000213465;ENSG00000112651;ENSG00000171222;ENSG00000130159;ENSG00000099385;ENSG00000148334	2	1	-	-	REAC:R-HSA-611105
K1	humanbase	0.7	network_modules	3	TRUE	1.101272249296592e-9	528	40	15	0.375	0.028409090909090908	GO:0006281	GO:BP	DNA repair	16175	2095		0	0.030303030303030304	528	15647	15	25	513	15622	16175	0.09592604761424732	1	GO:0006281;GO:0007059;GO:0051276	ENSG00000166913;ENSG00000139687;ENSG00000170312;ENSG00000152422;ENSG00000116670;ENSG00000203760;ENSG00000166483;ENSG00000113615;ENSG00000146670;ENSG00000183765;ENSG00000146410;ENSG00000163535;ENSG00000137310;ENSG00000167747;ENSG00000165898;ENSG00000171130;ENSG00000065057;ENSG00000137073;ENSG00000091831;ENSG00000140009;ENSG00000187741;ENSG00000112039;ENSG00000158169;ENSG00000144554;ENSG00000183161;ENSG00000136492;ENSG00000198646;ENSG00000126351;ENSG00000133030;ENSG00000102393;ENSG00000123219;ENSG00000135018;ENSG00000177963;ENSG00000278540;ENSG00000164305;ENSG00000174405;ENSG00000033030;ENSG00000137812;ENSG00000002016;ENSG00000177302;ENSG00000089234;ENSG00000170832	1	1	GO:0006281	-	-
K1	humanbase	0.7	network_modules	3	TRUE	2.644194393042536e-8	54	29	7	0.2413793103448276	0.12962962962962962	KEGG:03460	KEGG	Fanconi anemia pathway	8484	242		0.0625	0.09090909090909091	54	8430	7	22	47	8408	8484	0.17307193020594025	3	GO:0006281;GO:0007059;GO:0051276	ENSG00000166913;ENSG00000139687;ENSG00000170312;ENSG00000152422;ENSG00000116670;ENSG00000203760;ENSG00000166483;ENSG00000113615;ENSG00000146670;ENSG00000183765;ENSG00000146410;ENSG00000163535;ENSG00000137310;ENSG00000167747;ENSG00000165898;ENSG00000171130;ENSG00000065057;ENSG00000137073;ENSG00000091831;ENSG00000140009;ENSG00000187741;ENSG00000112039;ENSG00000158169;ENSG00000144554;ENSG00000183161;ENSG00000136492;ENSG00000198646;ENSG00000126351;ENSG00000133030;ENSG00000102393;ENSG00000123219;ENSG00000135018;ENSG00000177963;ENSG00000278540;ENSG00000164305;ENSG00000174405;ENSG00000033030;ENSG00000137812;ENSG00000002016;ENSG00000177302;ENSG00000089234;ENSG00000170832	1	1	-	KEGG:03460	-
K1	humanbase	0.7	network_modules	3	TRUE	2.0815773188846305e-5	13	35	4	0.11428571428571428	0.3076923076923077	REAC:R-HSA-75035	REAC	Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	10916	347		0.21875	0.24242424242424243	13	10903	4	31	9	10872	10916	0.18597779996168648	8	GO:0006281;GO:0007059;GO:0051276	ENSG00000166913;ENSG00000139687;ENSG00000170312;ENSG00000152422;ENSG00000116670;ENSG00000203760;ENSG00000166483;ENSG00000113615;ENSG00000146670;ENSG00000183765;ENSG00000146410;ENSG00000163535;ENSG00000137310;ENSG00000167747;ENSG00000165898;ENSG00000171130;ENSG00000065057;ENSG00000137073;ENSG00000091831;ENSG00000140009;ENSG00000187741;ENSG00000112039;ENSG00000158169;ENSG00000144554;ENSG00000183161;ENSG00000136492;ENSG00000198646;ENSG00000126351;ENSG00000133030;ENSG00000102393;ENSG00000123219;ENSG00000135018;ENSG00000177963;ENSG00000278540;ENSG00000164305;ENSG00000174405;ENSG00000033030;ENSG00000137812;ENSG00000002016;ENSG00000177302;ENSG00000089234;ENSG00000170832	2	1	-	-	REAC:R-HSA-75035
K1	humanbase	0.7	network_modules	4	TRUE	1.0642978073036066e-14	287	79	20	0.25316455696202533	0.06968641114982578	GO:0000377	GO:BP	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	16175	109		0.0625	0.17647058823529413	287	15888	20	59	267	15829	16175	0.12493056999451808	2.5	GO:0000375;GO:0016070	ENSG00000104517;ENSG00000120948;ENSG00000096746;ENSG00000100941;ENSG00000196504;ENSG00000116560;ENSG00000162613;ENSG00000111615;ENSG00000153201;ENSG00000132300;ENSG00000015153;ENSG00000089048;ENSG00000166012;ENSG00000079134;ENSG00000165819;ENSG00000121058;ENSG00000169062;ENSG00000029363;ENSG00000133226;ENSG00000081721;ENSG00000169045;ENSG00000122550;ENSG00000161970;ENSG00000172062;ENSG00000114416;ENSG00000146463;ENSG00000075856;ENSG00000119707;ENSG00000116350;ENSG00000118007;ENSG00000113593;ENSG00000001631;ENSG00000178988;ENSG00000154001;ENSG00000066654;ENSG00000152795;ENSG00000114742;ENSG00000114062;ENSG00000163605;ENSG00000112983;ENSG00000146963;ENSG00000086589;ENSG00000064995;ENSG00000153922;ENSG00000133935;ENSG00000102978;ENSG00000169372;ENSG00000131626;ENSG00000109184;ENSG00000100650;ENSG00000160299;ENSG00000100796;ENSG00000108654;ENSG00000168214;ENSG00000124486;ENSG00000119778;ENSG00000100603;ENSG00000148400;ENSG00000009413;ENSG00000047410;ENSG00000175354;ENSG00000171824;ENSG00000184787;ENSG00000124831;ENSG00000115524;ENSG00000025156;ENSG00000100425;ENSG00000085721;ENSG00000169375;ENSG00000151461;ENSG00000151835;ENSG00000122299;ENSG00000054148;ENSG00000198040;ENSG00000169057;ENSG00000196547;ENSG00000137770;ENSG00000083223;ENSG00000100722;ENSG00000102710;ENSG00000168564;ENSG00000077684;ENSG00000153936	2	1	GO:0000377	-	-
K1	humanbase	0.7	network_modules	6	TRUE	1.4742629223885112e-69	127	54	39	0.7222222222222222	0.30708661417322836	GO:0006119	GO:BP	oxidative phosphorylation	16175	1977		0	0.014705882352941176	127	16048	39	15	88	16033	16175	0.46844265563869364	1	GO:0006119;GO:0022900;GO:0009117	ENSG00000138495;ENSG00000167863;ENSG00000126267;ENSG00000164919;ENSG00000155368;ENSG00000150779;ENSG00000164405;ENSG00000125356;ENSG00000169020;ENSG00000166136;ENSG00000241837;ENSG00000198258;ENSG00000135940;ENSG00000142168;ENSG00000164258;ENSG00000127540;ENSG00000111775;ENSG00000170906;ENSG00000090266;ENSG00000186010;ENSG00000143252;ENSG00000185608;ENSG00000169021;ENSG00000241468;ENSG00000131495;ENSG00000189043;ENSG00000119421;ENSG00000183648;ENSG00000173660;ENSG00000173141;ENSG00000134248;ENSG00000112695;ENSG00000184983;ENSG00000119013;ENSG00000167283;ENSG00000176340;ENSG00000184076;ENSG00000267855;ENSG00000065518;ENSG00000109390;ENSG00000151366;ENSG00000168653;ENSG00000147123;ENSG00000235957;ENSG00000156411;ENSG00000105379;ENSG00000124172;ENSG00000178127;ENSG00000130770;ENSG00000243147;ENSG00000023330;ENSG00000143149;ENSG00000148290;ENSG00000160194;ENSG00000128609	1	1	GO:0006119	-	-
