network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
K1	string	0	network_modules	1	REAC	REAC:R-HSA-72695	3.6816502326504854e-100	1	0.7851059262094734	1	Formation of the ternary complex, and subsequently, the 43S complex	-	-	REAC:R-HSA-72695
K1	string	0	network_modules	1	GO:BP	GO:0002181	1.2351606129751895e-75	1	0.4340923576869413	1	cytoplasmic translation	GO:0002181	-	-
K1	string	0	network_modules	2	GO:BP	GO:0030322	6.141517680353351e-29	1	0.7667989097795815	1	stabilization of membrane potential	GO:0030322	-	-
K1	string	0	network_modules	2	REAC	REAC:R-HSA-5576886	3.935837604606108e-27	1	0.7251768445601289	1	Phase 4 - resting membrane potential	-	-	REAC:R-HSA-5576886
K1	string	0	network_modules	4	REAC	REAC:R-HSA-6809371	3.0467753662386213e-32	1	0.36292872713492025	1	Formation of the cornified envelope	-	-	REAC:R-HSA-6809371
K1	string	0	network_modules	5	GO:BP	GO:0016180	3.0263613773533023e-35	1	0.6194726536498865	1	snRNA processing	GO:0016180	-	-
K1	string	0	network_modules	8	GO:BP	GO:0052695	1.0942484367168185e-47	1	0.7555779301943184	1	cellular glucuronidation	GO:0052695	-	-
K1	string	0	network_modules	8	REAC	REAC:R-HSA-156588	3.295569444626589e-43	1	0.7053301816017667	1	Glucuronidation	-	-	REAC:R-HSA-156588
K1	string	0	network_modules	8	KEGG	KEGG:00053	2.1496596911678214e-42	2	0.6664762222937797	1	Ascorbate and aldarate metabolism	-	KEGG:00053	-
K1	string	0	network_modules	9	GO:BP	GO:0060271	1.7181777884997416e-14	1	0.16897909354858093	1	cilium assembly	GO:0060271	-	-
K1	string	0	network_modules	9	REAC	REAC:R-HSA-5620912	7.75923747445825e-13	1	0.26892709650959784	1	Anchoring of the basal body to the plasma membrane	-	-	REAC:R-HSA-5620912
K1	string	0	network_modules	10	GO:BP	GO:0006821	3.4656750761195864e-70	1	0.5793373697524854	1	chloride transport	GO:0006821	-	-
K1	string	0	network_modules	10	KEGG	KEGG:05033	3.4346385696483494e-30	1	0.4760547244564536	1	Nicotine addiction	-	KEGG:05033	-
K1	string	0	network_modules	11	GO:BP	GO:0016338	6.957097483982748e-39	1	0.7704327435145648	1	calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules	GO:0016338	-	-
K1	string	0	network_modules	11	REAC	REAC:R-HSA-420029	1.7296559629652673e-38	1	0.7066201169834561	1	Tight junction interactions	-	-	REAC:R-HSA-420029
K1	string	0	network_modules	12	KEGG	KEGG:00480	2.1237453929837675e-51	1	0.5754604259181086	1	Glutathione metabolism	-	KEGG:00480	-
K1	string	0	network_modules	12	REAC	REAC:R-HSA-156590	1.546431098691234e-40	2	0.547730643095057	1	Glutathione conjugation	-	-	REAC:R-HSA-156590
K1	string	0	network_modules	12	GO:BP	GO:0006749	3.1849724079598715e-40	1	0.5195127525964965	1	glutathione metabolic process	GO:0006749	-	-
K1	string	0	network_modules	13	GO:BP	GO:0032438	2.3551196617200114e-23	1	0.48226960995856283	1	melanosome organization	GO:0032438	-	-
K1	string	0	network_modules	14	GO:BP	GO:0035249	9.318801488529924e-32	1	0.3631620857797473	5	synaptic transmission, glutamatergic	GO:0035249	-	-
K1	string	0	network_modules	14	REAC	REAC:R-HSA-112314	1.848108963134057e-24	1	0.26171139964444473	1	Neurotransmitter receptors and postsynaptic signal transmission	-	-	REAC:R-HSA-112314
K1	string	0	network_modules	14	KEGG	KEGG:04724	7.203505783246988e-14	1	0.21449817165435175	1	Glutamatergic synapse	-	KEGG:04724	-
K1	string	0	network_modules	15	REAC	REAC:R-HSA-5389840	4.3095272496297277e-75	1	0.6327529339502292	1	Mitochondrial translation elongation	-	-	REAC:R-HSA-5389840
K1	string	0	network_modules	17	KEGG	KEGG:00561	1.6855423549734887e-87	1	0.7601518004032689	1	Glycerolipid metabolism	-	KEGG:00561	-
K1	string	0	network_modules	17	GO:BP	GO:0006638	2.5931560313825277e-41	2	0.3635312571438879	4	neutral lipid metabolic process	GO:0006638	-	-
K1	string	0	network_modules	17	REAC	REAC:R-HSA-1483206	1.2063072499903105e-30	1	0.29506377819369706	1	Glycerophospholipid biosynthesis	-	-	REAC:R-HSA-1483206
