network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes
K1	string	0.7	network_modules	1	TRUE	4.2438636477215046e-63	55	31	27	0.8709677419354839	0.4909090909090909	GO:0060261	GO:BP	positive regulation of transcription initiation by RNA polymerase II	16175	14478		0	0.047619047619047616	55	16120	27	4	28	16116	16175	0.6530688047137013	1	GO:0050789	ENSG00000180182;ENSG00000108590;ENSG00000152944;ENSG00000155868;ENSG00000133997;ENSG00000133398;ENSG00000105085;ENSG00000042429;ENSG00000104973;ENSG00000136146;ENSG00000099917;ENSG00000108510;ENSG00000123066;ENSG00000164758;ENSG00000124641;ENSG00000175221;ENSG00000148297;ENSG00000118579;ENSG00000063322;ENSG00000156603;ENSG00000184634;ENSG00000008838;ENSG00000112237;ENSG00000112282;ENSG00000161920;ENSG00000160563;ENSG00000141026;ENSG00000130772;ENSG00000155111;ENSG00000159479;ENSG00000155846;ENSG00000144893;ENSG00000163435
K1	string	0.7	network_modules	1	TRUE	1.1499645356184868e-61	83	32	30	0.9375	0.3614457831325301	REAC:R-HSA-9843745	REAC	Adipogenesis	10916	122		0.05	0.14285714285714285	83	10833	30	2	53	10831	10916	0.580450830125938	2.5	GO:0050789	ENSG00000180182;ENSG00000108590;ENSG00000152944;ENSG00000155868;ENSG00000133997;ENSG00000133398;ENSG00000105085;ENSG00000042429;ENSG00000104973;ENSG00000136146;ENSG00000099917;ENSG00000108510;ENSG00000123066;ENSG00000164758;ENSG00000124641;ENSG00000175221;ENSG00000148297;ENSG00000118579;ENSG00000063322;ENSG00000156603;ENSG00000184634;ENSG00000008838;ENSG00000112237;ENSG00000112282;ENSG00000161920;ENSG00000160563;ENSG00000141026;ENSG00000130772;ENSG00000155111;ENSG00000159479;ENSG00000155846;ENSG00000144893;ENSG00000163435
K1	string	0.7	network_modules	1	TRUE	1.1499645356184868e-61	83	32	30	0.9375	0.3614457831325301	REAC:R-HSA-381340	REAC	Transcriptional regulation of white adipocyte differentiation	10916	2562		0.05	0.14285714285714285	83	10833	30	2	53	10831	10916	0.580450830125938	2.5	GO:0050789	ENSG00000180182;ENSG00000108590;ENSG00000152944;ENSG00000155868;ENSG00000133997;ENSG00000133398;ENSG00000105085;ENSG00000042429;ENSG00000104973;ENSG00000136146;ENSG00000099917;ENSG00000108510;ENSG00000123066;ENSG00000164758;ENSG00000124641;ENSG00000175221;ENSG00000148297;ENSG00000118579;ENSG00000063322;ENSG00000156603;ENSG00000184634;ENSG00000008838;ENSG00000112237;ENSG00000112282;ENSG00000161920;ENSG00000160563;ENSG00000141026;ENSG00000130772;ENSG00000155111;ENSG00000159479;ENSG00000155846;ENSG00000144893;ENSG00000163435
K1	string	0.7	network_modules	1	TRUE	1.7495968533536288e-61	61	31	27	0.8709677419354839	0.4426229508196721	GO:2000144	GO:BP	positive regulation of DNA-templated transcription initiation	16175	25492		0.15	0.19047619047619047	61	16114	27	4	34	16110	16175	0.6199697163390366	4	GO:0050789	ENSG00000180182;ENSG00000108590;ENSG00000152944;ENSG00000155868;ENSG00000133997;ENSG00000133398;ENSG00000105085;ENSG00000042429;ENSG00000104973;ENSG00000136146;ENSG00000099917;ENSG00000108510;ENSG00000123066;ENSG00000164758;ENSG00000124641;ENSG00000175221;ENSG00000148297;ENSG00000118579;ENSG00000063322;ENSG00000156603;ENSG00000184634;ENSG00000008838;ENSG00000112237;ENSG00000112282;ENSG00000161920;ENSG00000160563;ENSG00000141026;ENSG00000130772;ENSG00000155111;ENSG00000159479;ENSG00000155846;ENSG00000144893;ENSG00000163435
K1	string	0.7	network_modules	1	TRUE	2.7124838665032484e-60	66	31	27	0.8709677419354839	0.4090909090909091	GO:0060260	GO:BP	regulation of transcription initiation by RNA polymerase II	16175	14477		0.2	0.23809523809523808	66	16109	27	4	39	16105	16175	0.5959035592074847	5	GO:0050789	ENSG00000180182;ENSG00000108590;ENSG00000152944;ENSG00000155868;ENSG00000133997;ENSG00000133398;ENSG00000105085;ENSG00000042429;ENSG00000104973;ENSG00000136146;ENSG00000099917;ENSG00000108510;ENSG00000123066;ENSG00000164758;ENSG00000124641;ENSG00000175221;ENSG00000148297;ENSG00000118579;ENSG00000063322;ENSG00000156603;ENSG00000184634;ENSG00000008838;ENSG00000112237;ENSG00000112282;ENSG00000161920;ENSG00000160563;ENSG00000141026;ENSG00000130772;ENSG00000155111;ENSG00000159479;ENSG00000155846;ENSG00000144893;ENSG00000163435
K1	string	0.7	network_modules	1	TRUE	3.473247345611373e-60	113	32	31	0.96875	0.2743362831858407	REAC:R-HSA-1989781	REAC	PPARA activates gene expression	10916	1700		0.25	0.2857142857142857	113	10803	31	1	82	10802	10916	0.5134271607775318	6	GO:0050789	ENSG00000180182;ENSG00000108590;ENSG00000152944;ENSG00000155868;ENSG00000133997;ENSG00000133398;ENSG00000105085;ENSG00000042429;ENSG00000104973;ENSG00000136146;ENSG00000099917;ENSG00000108510;ENSG00000123066;ENSG00000164758;ENSG00000124641;ENSG00000175221;ENSG00000148297;ENSG00000118579;ENSG00000063322;ENSG00000156603;ENSG00000184634;ENSG00000008838;ENSG00000112237;ENSG00000112282;ENSG00000161920;ENSG00000160563;ENSG00000141026;ENSG00000130772;ENSG00000155111;ENSG00000159479;ENSG00000155846;ENSG00000144893;ENSG00000163435
K1	string	0.7	network_modules	2	TRUE	4.105741982881589e-26	34	11	11	1	0.3235294117647059	KEGG:00051	KEGG	Fructose and mannose metabolism	8484	6		0	0.011363636363636364	34	8450	11	0	23	8450	8484	0.5680239339956128	1	GO:0006091;GO:0006082;GO:0005975;GO:0009117	ENSG00000078237;ENSG00000159399;ENSG00000114268;ENSG00000170525;ENSG00000152556;ENSG00000067057;ENSG00000141959;ENSG00000160883;ENSG00000123836;ENSG00000158571;ENSG00000156510
K1	string	0.7	network_modules	2	TRUE	1.4282791812421433e-19	68	11	10	0.9090909090909091	0.14705882352941177	REAC:R-HSA-70171	REAC	Glycolysis	10916	1074		0.011494252873563218	0.022727272727272728	68	10848	10	1	58	10847	10916	0.3644507801886087	2	GO:0006091;GO:0006082;GO:0005975;GO:0009117	ENSG00000078237;ENSG00000159399;ENSG00000114268;ENSG00000170525;ENSG00000152556;ENSG00000067057;ENSG00000141959;ENSG00000160883;ENSG00000123836;ENSG00000158571;ENSG00000156510
K1	string	0.7	network_modules	2	TRUE	1.736790900068534e-18	86	11	10	0.9090909090909091	0.11627906976744186	REAC:R-HSA-70326	REAC	Glucose metabolism	10916	1053		0.022988505747126436	0.03409090909090909	86	10830	10	1	76	10829	10916	0.32375077673218805	3	GO:0006091;GO:0006082;GO:0005975;GO:0009117	ENSG00000078237;ENSG00000159399;ENSG00000114268;ENSG00000170525;ENSG00000152556;ENSG00000067057;ENSG00000141959;ENSG00000160883;ENSG00000123836;ENSG00000158571;ENSG00000156510
K1	string	0.7	network_modules	2	TRUE	2.5348676491913342e-17	72	11	9	0.8181818181818182	0.125	GO:0046032	GO:BP	ADP catabolic process	16175	11809		0.034482758620689655	0.056818181818181816	72	16103	9	2	63	16101	16175	0.31887991317816733	4.5	GO:0006091;GO:0006082;GO:0005975;GO:0009117	ENSG00000078237;ENSG00000159399;ENSG00000114268;ENSG00000170525;ENSG00000152556;ENSG00000067057;ENSG00000141959;ENSG00000160883;ENSG00000123836;ENSG00000158571;ENSG00000156510
