network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes
M1	cpdb	0.3	network_modules	2	TRUE	8.469910088114075e-52	145	83	37	0.4457831325301205	0.25517241379310346	GO:0006836	GO:BP	neurotransmitter transport	16175	2506		0	0.007142857142857143	145	16030	37	46	108	15984	16175	0.33283482789193913	1	GO:0061024;GO:0022406;GO:0016192;GO:0051640;GO:0016050;GO:0007154;GO:0046903;GO:0050789;GO:0048284;GO:0006836	ENSG00000129103;ENSG00000103496;ENSG00000124333;ENSG00000106089;ENSG00000166900;ENSG00000116266;ENSG00000132639;ENSG00000136854;ENSG00000220205;ENSG00000105675;ENSG00000079841;ENSG00000198722;ENSG00000122359;ENSG00000141837;ENSG00000076944;ENSG00000164506;ENSG00000105404;ENSG00000067715;ENSG00000145920;ENSG00000105402;ENSG00000137561;ENSG00000102362;ENSG00000124222;ENSG00000102003;ENSG00000101152;ENSG00000085365;ENSG00000111450;ENSG00000168993;ENSG00000099940;ENSG00000178750;ENSG00000198794;ENSG00000103034;ENSG00000089169;ENSG00000099365;ENSG00000186908;ENSG00000092531;ENSG00000139190;ENSG00000157111;ENSG00000083635;ENSG00000105649;ENSG00000165633;ENSG00000136874;ENSG00000181804;ENSG00000167191;ENSG00000143457;ENSG00000170743;ENSG00000125814;ENSG00000140497;ENSG00000132872;ENSG00000149927;ENSG00000079215;ENSG00000150361;ENSG00000107282;ENSG00000118640;ENSG00000148408;ENSG00000152932;ENSG00000157103;ENSG00000157005;ENSG00000176920;ENSG00000184857;ENSG00000103546;ENSG00000011347;ENSG00000130477;ENSG00000138772;ENSG00000008282;ENSG00000159164;ENSG00000134594;ENSG00000165506;ENSG00000187714;ENSG00000187672;ENSG00000189306;ENSG00000174502;ENSG00000143847;ENSG00000179520;ENSG00000079689;ENSG00000129990;ENSG00000108576;ENSG00000111110;ENSG00000065923;ENSG00000260314;ENSG00000114956;ENSG00000104888;ENSG00000181744;ENSG00000176406;ENSG00000169213;ENSG00000272636;ENSG00000164061;ENSG00000185518;ENSG00000127080;ENSG00000188467;ENSG00000158292
M1	cpdb	0.3	network_modules	2	TRUE	1.0585405117318562e-46	263	83	40	0.4819277108433735	0.1520912547528517	GO:0006887	GO:BP	exocytosis	16175	2543		0.007194244604316547	0.014285714285714285	263	15912	40	43	223	15869	16175	0.2644323025346099	2	GO:0061024;GO:0022406;GO:0016192;GO:0051640;GO:0016050;GO:0007154;GO:0046903;GO:0050789;GO:0048284;GO:0006836	ENSG00000129103;ENSG00000103496;ENSG00000124333;ENSG00000106089;ENSG00000166900;ENSG00000116266;ENSG00000132639;ENSG00000136854;ENSG00000220205;ENSG00000105675;ENSG00000079841;ENSG00000198722;ENSG00000122359;ENSG00000141837;ENSG00000076944;ENSG00000164506;ENSG00000105404;ENSG00000067715;ENSG00000145920;ENSG00000105402;ENSG00000137561;ENSG00000102362;ENSG00000124222;ENSG00000102003;ENSG00000101152;ENSG00000085365;ENSG00000111450;ENSG00000168993;ENSG00000099940;ENSG00000178750;ENSG00000198794;ENSG00000103034;ENSG00000089169;ENSG00000099365;ENSG00000186908;ENSG00000092531;ENSG00000139190;ENSG00000157111;ENSG00000083635;ENSG00000105649;ENSG00000165633;ENSG00000136874;ENSG00000181804;ENSG00000167191;ENSG00000143457;ENSG00000170743;ENSG00000125814;ENSG00000140497;ENSG00000132872;ENSG00000149927;ENSG00000079215;ENSG00000150361;ENSG00000107282;ENSG00000118640;ENSG00000148408;ENSG00000152932;ENSG00000157103;ENSG00000157005;ENSG00000176920;ENSG00000184857;ENSG00000103546;ENSG00000011347;ENSG00000130477;ENSG00000138772;ENSG00000008282;ENSG00000159164;ENSG00000134594;ENSG00000165506;ENSG00000187714;ENSG00000187672;ENSG00000189306;ENSG00000174502;ENSG00000143847;ENSG00000179520;ENSG00000079689;ENSG00000129990;ENSG00000108576;ENSG00000111110;ENSG00000065923;ENSG00000260314;ENSG00000114956;ENSG00000104888;ENSG00000181744;ENSG00000176406;ENSG00000169213;ENSG00000272636;ENSG00000164061;ENSG00000185518;ENSG00000127080;ENSG00000188467;ENSG00000158292
M1	cpdb	0.3	network_modules	2	TRUE	6.4285923917713825e-46	161	83	35	0.42168674698795183	0.21739130434782608	GO:0045055	GO:BP	regulated exocytosis	16175	11253		0.014388489208633094	0.02142857142857143	161	16014	35	48	126	15966	16175	0.2978730904603412	3	GO:0061024;GO:0022406;GO:0016192;GO:0051640;GO:0016050;GO:0007154;GO:0046903;GO:0050789;GO:0048284;GO:0006836	ENSG00000129103;ENSG00000103496;ENSG00000124333;ENSG00000106089;ENSG00000166900;ENSG00000116266;ENSG00000132639;ENSG00000136854;ENSG00000220205;ENSG00000105675;ENSG00000079841;ENSG00000198722;ENSG00000122359;ENSG00000141837;ENSG00000076944;ENSG00000164506;ENSG00000105404;ENSG00000067715;ENSG00000145920;ENSG00000105402;ENSG00000137561;ENSG00000102362;ENSG00000124222;ENSG00000102003;ENSG00000101152;ENSG00000085365;ENSG00000111450;ENSG00000168993;ENSG00000099940;ENSG00000178750;ENSG00000198794;ENSG00000103034;ENSG00000089169;ENSG00000099365;ENSG00000186908;ENSG00000092531;ENSG00000139190;ENSG00000157111;ENSG00000083635;ENSG00000105649;ENSG00000165633;ENSG00000136874;ENSG00000181804;ENSG00000167191;ENSG00000143457;ENSG00000170743;ENSG00000125814;ENSG00000140497;ENSG00000132872;ENSG00000149927;ENSG00000079215;ENSG00000150361;ENSG00000107282;ENSG00000118640;ENSG00000148408;ENSG00000152932;ENSG00000157103;ENSG00000157005;ENSG00000176920;ENSG00000184857;ENSG00000103546;ENSG00000011347;ENSG00000130477;ENSG00000138772;ENSG00000008282;ENSG00000159164;ENSG00000134594;ENSG00000165506;ENSG00000187714;ENSG00000187672;ENSG00000189306;ENSG00000174502;ENSG00000143847;ENSG00000179520;ENSG00000079689;ENSG00000129990;ENSG00000108576;ENSG00000111110;ENSG00000065923;ENSG00000260314;ENSG00000114956;ENSG00000104888;ENSG00000181744;ENSG00000176406;ENSG00000169213;ENSG00000272636;ENSG00000164061;ENSG00000185518;ENSG00000127080;ENSG00000188467;ENSG00000158292
M1	cpdb	0.3	network_modules	2	TRUE	4.388444440523208e-45	487	83	46	0.5542168674698795	0.0944558521560575	GO:0007268	GO:BP	chemical synaptic transmission	16175	2796		0.02158273381294964	0.03571428571428571	487	15688	46	37	441	15651	16175	0.22026799644862136	4.5	GO:0061024;GO:0022406;GO:0016192;GO:0051640;GO:0016050;GO:0007154;GO:0046903;GO:0050789;GO:0048284;GO:0006836	ENSG00000129103;ENSG00000103496;ENSG00000124333;ENSG00000106089;ENSG00000166900;ENSG00000116266;ENSG00000132639;ENSG00000136854;ENSG00000220205;ENSG00000105675;ENSG00000079841;ENSG00000198722;ENSG00000122359;ENSG00000141837;ENSG00000076944;ENSG00000164506;ENSG00000105404;ENSG00000067715;ENSG00000145920;ENSG00000105402;ENSG00000137561;ENSG00000102362;ENSG00000124222;ENSG00000102003;ENSG00000101152;ENSG00000085365;ENSG00000111450;ENSG00000168993;ENSG00000099940;ENSG00000178750;ENSG00000198794;ENSG00000103034;ENSG00000089169;ENSG00000099365;ENSG00000186908;ENSG00000092531;ENSG00000139190;ENSG00000157111;ENSG00000083635;ENSG00000105649;ENSG00000165633;ENSG00000136874;ENSG00000181804;ENSG00000167191;ENSG00000143457;ENSG00000170743;ENSG00000125814;ENSG00000140497;ENSG00000132872;ENSG00000149927;ENSG00000079215;ENSG00000150361;ENSG00000107282;ENSG00000118640;ENSG00000148408;ENSG00000152932;ENSG00000157103;ENSG00000157005;ENSG00000176920;ENSG00000184857;ENSG00000103546;ENSG00000011347;ENSG00000130477;ENSG00000138772;ENSG00000008282;ENSG00000159164;ENSG00000134594;ENSG00000165506;ENSG00000187714;ENSG00000187672;ENSG00000189306;ENSG00000174502;ENSG00000143847;ENSG00000179520;ENSG00000079689;ENSG00000129990;ENSG00000108576;ENSG00000111110;ENSG00000065923;ENSG00000260314;ENSG00000114956;ENSG00000104888;ENSG00000181744;ENSG00000176406;ENSG00000169213;ENSG00000272636;ENSG00000164061;ENSG00000185518;ENSG00000127080;ENSG00000188467;ENSG00000158292
M1	cpdb	0.3	network_modules	2	TRUE	4.388444440523208e-45	487	83	46	0.5542168674698795	0.0944558521560575	GO:0098916	GO:BP	anterograde trans-synaptic signaling	16175	18949		0.02158273381294964	0.03571428571428571	487	15688	46	37	441	15651	16175	0.22026799644862136	4.5	GO:0061024;GO:0022406;GO:0016192;GO:0051640;GO:0016050;GO:0007154;GO:0046903;GO:0050789;GO:0048284;GO:0006836	ENSG00000129103;ENSG00000103496;ENSG00000124333;ENSG00000106089;ENSG00000166900;ENSG00000116266;ENSG00000132639;ENSG00000136854;ENSG00000220205;ENSG00000105675;ENSG00000079841;ENSG00000198722;ENSG00000122359;ENSG00000141837;ENSG00000076944;ENSG00000164506;ENSG00000105404;ENSG00000067715;ENSG00000145920;ENSG00000105402;ENSG00000137561;ENSG00000102362;ENSG00000124222;ENSG00000102003;ENSG00000101152;ENSG00000085365;ENSG00000111450;ENSG00000168993;ENSG00000099940;ENSG00000178750;ENSG00000198794;ENSG00000103034;ENSG00000089169;ENSG00000099365;ENSG00000186908;ENSG00000092531;ENSG00000139190;ENSG00000157111;ENSG00000083635;ENSG00000105649;ENSG00000165633;ENSG00000136874;ENSG00000181804;ENSG00000167191;ENSG00000143457;ENSG00000170743;ENSG00000125814;ENSG00000140497;ENSG00000132872;ENSG00000149927;ENSG00000079215;ENSG00000150361;ENSG00000107282;ENSG00000118640;ENSG00000148408;ENSG00000152932;ENSG00000157103;ENSG00000157005;ENSG00000176920;ENSG00000184857;ENSG00000103546;ENSG00000011347;ENSG00000130477;ENSG00000138772;ENSG00000008282;ENSG00000159164;ENSG00000134594;ENSG00000165506;ENSG00000187714;ENSG00000187672;ENSG00000189306;ENSG00000174502;ENSG00000143847;ENSG00000179520;ENSG00000079689;ENSG00000129990;ENSG00000108576;ENSG00000111110;ENSG00000065923;ENSG00000260314;ENSG00000114956;ENSG00000104888;ENSG00000181744;ENSG00000176406;ENSG00000169213;ENSG00000272636;ENSG00000164061;ENSG00000185518;ENSG00000127080;ENSG00000188467;ENSG00000158292
M1	cpdb	0.3	network_modules	2	TRUE	7.101738202260951e-45	492	83	46	0.5542168674698795	0.09349593495934959	GO:0099537	GO:BP	trans-synaptic signaling	16175	19116		0.03597122302158273	0.04285714285714286	492	15683	46	37	446	15646	16175	0.21905154849580044	6	GO:0061024;GO:0022406;GO:0016192;GO:0051640;GO:0016050;GO:0007154;GO:0046903;GO:0050789;GO:0048284;GO:0006836	ENSG00000129103;ENSG00000103496;ENSG00000124333;ENSG00000106089;ENSG00000166900;ENSG00000116266;ENSG00000132639;ENSG00000136854;ENSG00000220205;ENSG00000105675;ENSG00000079841;ENSG00000198722;ENSG00000122359;ENSG00000141837;ENSG00000076944;ENSG00000164506;ENSG00000105404;ENSG00000067715;ENSG00000145920;ENSG00000105402;ENSG00000137561;ENSG00000102362;ENSG00000124222;ENSG00000102003;ENSG00000101152;ENSG00000085365;ENSG00000111450;ENSG00000168993;ENSG00000099940;ENSG00000178750;ENSG00000198794;ENSG00000103034;ENSG00000089169;ENSG00000099365;ENSG00000186908;ENSG00000092531;ENSG00000139190;ENSG00000157111;ENSG00000083635;ENSG00000105649;ENSG00000165633;ENSG00000136874;ENSG00000181804;ENSG00000167191;ENSG00000143457;ENSG00000170743;ENSG00000125814;ENSG00000140497;ENSG00000132872;ENSG00000149927;ENSG00000079215;ENSG00000150361;ENSG00000107282;ENSG00000118640;ENSG00000148408;ENSG00000152932;ENSG00000157103;ENSG00000157005;ENSG00000176920;ENSG00000184857;ENSG00000103546;ENSG00000011347;ENSG00000130477;ENSG00000138772;ENSG00000008282;ENSG00000159164;ENSG00000134594;ENSG00000165506;ENSG00000187714;ENSG00000187672;ENSG00000189306;ENSG00000174502;ENSG00000143847;ENSG00000179520;ENSG00000079689;ENSG00000129990;ENSG00000108576;ENSG00000111110;ENSG00000065923;ENSG00000260314;ENSG00000114956;ENSG00000104888;ENSG00000181744;ENSG00000176406;ENSG00000169213;ENSG00000272636;ENSG00000164061;ENSG00000185518;ENSG00000127080;ENSG00000188467;ENSG00000158292
M1	cpdb	0.3	network_modules	2	TRUE	6.668211575254206e-44	516	83	46	0.5542168674698795	0.08914728682170543	GO:0099536	GO:BP	synaptic signaling	16175	19115		0.04316546762589928	0.05	516	15659	46	37	470	15622	16175	0.2134541545575151	7	GO:0061024;GO:0022406;GO:0016192;GO:0051640;GO:0016050;GO:0007154;GO:0046903;GO:0050789;GO:0048284;GO:0006836	ENSG00000129103;ENSG00000103496;ENSG00000124333;ENSG00000106089;ENSG00000166900;ENSG00000116266;ENSG00000132639;ENSG00000136854;ENSG00000220205;ENSG00000105675;ENSG00000079841;ENSG00000198722;ENSG00000122359;ENSG00000141837;ENSG00000076944;ENSG00000164506;ENSG00000105404;ENSG00000067715;ENSG00000145920;ENSG00000105402;ENSG00000137561;ENSG00000102362;ENSG00000124222;ENSG00000102003;ENSG00000101152;ENSG00000085365;ENSG00000111450;ENSG00000168993;ENSG00000099940;ENSG00000178750;ENSG00000198794;ENSG00000103034;ENSG00000089169;ENSG00000099365;ENSG00000186908;ENSG00000092531;ENSG00000139190;ENSG00000157111;ENSG00000083635;ENSG00000105649;ENSG00000165633;ENSG00000136874;ENSG00000181804;ENSG00000167191;ENSG00000143457;ENSG00000170743;ENSG00000125814;ENSG00000140497;ENSG00000132872;ENSG00000149927;ENSG00000079215;ENSG00000150361;ENSG00000107282;ENSG00000118640;ENSG00000148408;ENSG00000152932;ENSG00000157103;ENSG00000157005;ENSG00000176920;ENSG00000184857;ENSG00000103546;ENSG00000011347;ENSG00000130477;ENSG00000138772;ENSG00000008282;ENSG00000159164;ENSG00000134594;ENSG00000165506;ENSG00000187714;ENSG00000187672;ENSG00000189306;ENSG00000174502;ENSG00000143847;ENSG00000179520;ENSG00000079689;ENSG00000129990;ENSG00000108576;ENSG00000111110;ENSG00000065923;ENSG00000260314;ENSG00000114956;ENSG00000104888;ENSG00000181744;ENSG00000176406;ENSG00000169213;ENSG00000272636;ENSG00000164061;ENSG00000185518;ENSG00000127080;ENSG00000188467;ENSG00000158292
M1	cpdb	0.3	network_modules	2	TRUE	3.175681617817168e-43	101	83	30	0.3614457831325301	0.297029702970297	GO:0099643	GO:BP	signal release from synapse	16175	19183		0.050359712230215826	0.06428571428571428	101	16074	30	53	71	16021	16175	0.32384003856237303	8.5	GO:0061024;GO:0022406;GO:0016192;GO:0051640;GO:0016050;GO:0007154;GO:0046903;GO:0050789;GO:0048284;GO:0006836	ENSG00000129103;ENSG00000103496;ENSG00000124333;ENSG00000106089;ENSG00000166900;ENSG00000116266;ENSG00000132639;ENSG00000136854;ENSG00000220205;ENSG00000105675;ENSG00000079841;ENSG00000198722;ENSG00000122359;ENSG00000141837;ENSG00000076944;ENSG00000164506;ENSG00000105404;ENSG00000067715;ENSG00000145920;ENSG00000105402;ENSG00000137561;ENSG00000102362;ENSG00000124222;ENSG00000102003;ENSG00000101152;ENSG00000085365;ENSG00000111450;ENSG00000168993;ENSG00000099940;ENSG00000178750;ENSG00000198794;ENSG00000103034;ENSG00000089169;ENSG00000099365;ENSG00000186908;ENSG00000092531;ENSG00000139190;ENSG00000157111;ENSG00000083635;ENSG00000105649;ENSG00000165633;ENSG00000136874;ENSG00000181804;ENSG00000167191;ENSG00000143457;ENSG00000170743;ENSG00000125814;ENSG00000140497;ENSG00000132872;ENSG00000149927;ENSG00000079215;ENSG00000150361;ENSG00000107282;ENSG00000118640;ENSG00000148408;ENSG00000152932;ENSG00000157103;ENSG00000157005;ENSG00000176920;ENSG00000184857;ENSG00000103546;ENSG00000011347;ENSG00000130477;ENSG00000138772;ENSG00000008282;ENSG00000159164;ENSG00000134594;ENSG00000165506;ENSG00000187714;ENSG00000187672;ENSG00000189306;ENSG00000174502;ENSG00000143847;ENSG00000179520;ENSG00000079689;ENSG00000129990;ENSG00000108576;ENSG00000111110;ENSG00000065923;ENSG00000260314;ENSG00000114956;ENSG00000104888;ENSG00000181744;ENSG00000176406;ENSG00000169213;ENSG00000272636;ENSG00000164061;ENSG00000185518;ENSG00000127080;ENSG00000188467;ENSG00000158292
M1	cpdb	0.3	network_modules	2	TRUE	3.175681617817168e-43	101	83	30	0.3614457831325301	0.297029702970297	GO:0007269	GO:BP	neurotransmitter secretion	16175	2797		0.050359712230215826	0.06428571428571428	101	16074	30	53	71	16021	16175	0.32384003856237303	8.5	GO:0061024;GO:0022406;GO:0016192;GO:0051640;GO:0016050;GO:0007154;GO:0046903;GO:0050789;GO:0048284;GO:0006836	ENSG00000129103;ENSG00000103496;ENSG00000124333;ENSG00000106089;ENSG00000166900;ENSG00000116266;ENSG00000132639;ENSG00000136854;ENSG00000220205;ENSG00000105675;ENSG00000079841;ENSG00000198722;ENSG00000122359;ENSG00000141837;ENSG00000076944;ENSG00000164506;ENSG00000105404;ENSG00000067715;ENSG00000145920;ENSG00000105402;ENSG00000137561;ENSG00000102362;ENSG00000124222;ENSG00000102003;ENSG00000101152;ENSG00000085365;ENSG00000111450;ENSG00000168993;ENSG00000099940;ENSG00000178750;ENSG00000198794;ENSG00000103034;ENSG00000089169;ENSG00000099365;ENSG00000186908;ENSG00000092531;ENSG00000139190;ENSG00000157111;ENSG00000083635;ENSG00000105649;ENSG00000165633;ENSG00000136874;ENSG00000181804;ENSG00000167191;ENSG00000143457;ENSG00000170743;ENSG00000125814;ENSG00000140497;ENSG00000132872;ENSG00000149927;ENSG00000079215;ENSG00000150361;ENSG00000107282;ENSG00000118640;ENSG00000148408;ENSG00000152932;ENSG00000157103;ENSG00000157005;ENSG00000176920;ENSG00000184857;ENSG00000103546;ENSG00000011347;ENSG00000130477;ENSG00000138772;ENSG00000008282;ENSG00000159164;ENSG00000134594;ENSG00000165506;ENSG00000187714;ENSG00000187672;ENSG00000189306;ENSG00000174502;ENSG00000143847;ENSG00000179520;ENSG00000079689;ENSG00000129990;ENSG00000108576;ENSG00000111110;ENSG00000065923;ENSG00000260314;ENSG00000114956;ENSG00000104888;ENSG00000181744;ENSG00000176406;ENSG00000169213;ENSG00000272636;ENSG00000164061;ENSG00000185518;ENSG00000127080;ENSG00000188467;ENSG00000158292
M1	cpdb	0.3	network_modules	2	TRUE	2.9628659818924374e-40	58	83	25	0.30120481927710846	0.43103448275862066	GO:0016079	GO:BP	synaptic vesicle exocytosis	16175	5106		0.06474820143884892	0.07142857142857142	58	16117	25	58	33	16059	16175	0.3575879977547349	10	GO:0061024;GO:0022406;GO:0016192;GO:0051640;GO:0016050;GO:0007154;GO:0046903;GO:0050789;GO:0048284;GO:0006836	ENSG00000129103;ENSG00000103496;ENSG00000124333;ENSG00000106089;ENSG00000166900;ENSG00000116266;ENSG00000132639;ENSG00000136854;ENSG00000220205;ENSG00000105675;ENSG00000079841;ENSG00000198722;ENSG00000122359;ENSG00000141837;ENSG00000076944;ENSG00000164506;ENSG00000105404;ENSG00000067715;ENSG00000145920;ENSG00000105402;ENSG00000137561;ENSG00000102362;ENSG00000124222;ENSG00000102003;ENSG00000101152;ENSG00000085365;ENSG00000111450;ENSG00000168993;ENSG00000099940;ENSG00000178750;ENSG00000198794;ENSG00000103034;ENSG00000089169;ENSG00000099365;ENSG00000186908;ENSG00000092531;ENSG00000139190;ENSG00000157111;ENSG00000083635;ENSG00000105649;ENSG00000165633;ENSG00000136874;ENSG00000181804;ENSG00000167191;ENSG00000143457;ENSG00000170743;ENSG00000125814;ENSG00000140497;ENSG00000132872;ENSG00000149927;ENSG00000079215;ENSG00000150361;ENSG00000107282;ENSG00000118640;ENSG00000148408;ENSG00000152932;ENSG00000157103;ENSG00000157005;ENSG00000176920;ENSG00000184857;ENSG00000103546;ENSG00000011347;ENSG00000130477;ENSG00000138772;ENSG00000008282;ENSG00000159164;ENSG00000134594;ENSG00000165506;ENSG00000187714;ENSG00000187672;ENSG00000189306;ENSG00000174502;ENSG00000143847;ENSG00000179520;ENSG00000079689;ENSG00000129990;ENSG00000108576;ENSG00000111110;ENSG00000065923;ENSG00000260314;ENSG00000114956;ENSG00000104888;ENSG00000181744;ENSG00000176406;ENSG00000169213;ENSG00000272636;ENSG00000164061;ENSG00000185518;ENSG00000127080;ENSG00000188467;ENSG00000158292
