network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
M1	cpdb	0.3	network_modules	2	GO:BP	GO:0006836	8.469910088114075e-52	1	0.33283482789193913	2	neurotransmitter transport	GO:0006836	-	-
M1	cpdb	0.3	network_modules	2	GO:BP	GO:0006887	1.0585405117318562e-46	2	0.2644323025346099	10	exocytosis	GO:0006836	-	-
M1	cpdb	0.3	network_modules	2	GO:BP	GO:0045055	6.4285923917713825e-46	3	0.2978730904603412	6	regulated exocytosis	GO:0006836	-	-
M1	cpdb	0.3	network_modules	2	GO:BP	GO:0007268	4.388444440523208e-45	4	0.22026799644862136	15	chemical synaptic transmission	GO:0006836	-	-
M1	cpdb	0.3	network_modules	2	GO:BP	GO:0098916	4.388444440523208e-45	5	0.22026799644862136	16	anterograde trans-synaptic signaling	GO:0006836	-	-
M1	cpdb	0.3	network_modules	2	GO:BP	GO:0099537	7.101738202260951e-45	6	0.21905154849580044	18	trans-synaptic signaling	GO:0006836	-	-
M1	cpdb	0.3	network_modules	2	GO:BP	GO:0099536	6.668211575254206e-44	7	0.2134541545575151	21	synaptic signaling	GO:0006836	-	-
M1	cpdb	0.3	network_modules	2	GO:BP	GO:0099643	3.175681617817168e-43	8	0.32384003856237303	3	signal release from synapse	GO:0006836	-	-
M1	cpdb	0.3	network_modules	2	GO:BP	GO:0007269	3.175681617817168e-43	9	0.32384003856237303	4	neurotransmitter secretion	GO:0006836	-	-
M1	cpdb	0.3	network_modules	2	GO:BP	GO:0016079	2.9628659818924374e-40	10	0.3575879977547349	1	synaptic vesicle exocytosis	GO:0006836	-	-
M1	cpdb	0.3	network_modules	2	GO:BP	GO:0099504	4.918729643149968e-37	11	0.27977329440904264	8	synaptic vesicle cycle	GO:0006836	-	-
M1	cpdb	0.3	network_modules	2	KEGG	KEGG:04721	1.3682038043656471e-36	1	0.3965063273674732	1	Synaptic vesicle cycle	-	KEGG:04721	-
M1	cpdb	0.3	network_modules	2	GO:BP	GO:0099003	1.4123494589621384e-36	12	0.27493823549049456	9	vesicle-mediated transport in synapse	GO:0006836	-	-
M1	cpdb	0.3	network_modules	2	GO:BP	GO:0032940	2.242344962573879e-35	13	0.18108115985179582	25	secretion by cell	GO:0006836	-	-
M1	cpdb	0.3	network_modules	2	GO:BP	GO:0140352	6.124262628223929e-35	14	0.17536384112387268	26	export from cell	GO:0006836	-	-
M1	cpdb	0.3	network_modules	2	GO:BP	GO:0023061	1.2774739673306455e-33	15	0.20418047760439967	22	signal release	GO:0006836	-	-
M1	cpdb	0.3	network_modules	2	GO:BP	GO:0046903	2.0020662414086594e-33	16	0.17049800946724622	27	secretion	GO:0006836	-	-
M1	cpdb	0.3	network_modules	2	GO:BP	GO:0140029	1.1459833602577943e-31	17	0.305121414602214	5	exocytic process	GO:0006836	-	-
M1	cpdb	0.3	network_modules	2	GO:BP	GO:0017157	2.8920573578661324e-30	18	0.22937293909732248	14	regulation of exocytosis	GO:0006836	-	-
M1	cpdb	0.3	network_modules	2	GO:BP	GO:0017156	1.694356726230741e-28	19	0.29215576754418476	7	calcium-ion regulated exocytosis	GO:0006836	-	-
M1	cpdb	0.3	network_modules	2	GO:BP	GO:0140056	3.334247106714766e-27	20	0.25889883842470224	12	organelle localization by membrane tethering	GO:0006836	-	-
M1	cpdb	0.3	network_modules	2	GO:BP	GO:0022406	7.014811281223811e-26	21	0.24161999762806957	13	membrane docking	GO:0006836	-	-
M1	cpdb	0.3	network_modules	2	GO:BP	GO:0048278	1.9475217670678655e-25	22	0.2633574047757334	11	vesicle docking	GO:0006836	-	-
M1	cpdb	0.3	network_modules	2	GO:BP	GO:1903530	2.2570109634106256e-25	23	0.16039181109498926	28	regulation of secretion by cell	GO:0006836	-	-
M1	cpdb	0.3	network_modules	2	GO:BP	GO:0051046	3.59926974478954e-24	24	0.15249238434123238	29	regulation of secretion	GO:0006836	-	-
M1	cpdb	0.3	network_modules	2	GO:BP	GO:0006906	7.92533947003515e-24	25	0.21624690484892245	19	vesicle fusion	GO:0006836	-	-
M1	cpdb	0.3	network_modules	2	GO:BP	GO:0090174	1.2260812106397941e-23	26	0.2139957292739051	20	organelle membrane fusion	GO:0006836	-	-
