network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
M1	cpdb	0.7	network_modules	1	REAC	REAC:R-HSA-375281	6.4562377677264124e-9	1	0.22378455239341857	1	Hormone ligand-binding receptors	-	-	REAC:R-HSA-375281
M1	cpdb	0.7	network_modules	1	KEGG	KEGG:04640	8.810095446735769e-5	1	0.09491891766151982	1	Hematopoietic cell lineage	-	KEGG:04640	-
M1	cpdb	0.7	network_modules	2	REAC	REAC:R-HSA-9613354	1.277661751413679e-5	2	0.19521739474024344	1	Lipophagy	-	-	REAC:R-HSA-9613354
M1	cpdb	0.7	network_modules	2	KEGG	KEGG:04710	1.711749359702018e-5	1	0.14145191929583173	1	Circadian rhythm	-	KEGG:04710	-
M1	cpdb	0.7	network_modules	3	GO:BP	GO:0140053	1.1793752318307751e-82	1	0.4379632284123395	1	mitochondrial gene expression	GO:0140053	-	-
M1	cpdb	0.7	network_modules	3	REAC	REAC:R-HSA-5368287	2.9747014806812806e-56	1	0.4328534294427739	1	Mitochondrial translation	-	-	REAC:R-HSA-5368287
M1	cpdb	0.7	network_modules	4	GO:BP	GO:0000377	1.799167020828656e-127	1	0.4919709477887257	1	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	GO:0000377	-	-
M1	cpdb	0.7	network_modules	4	REAC	REAC:R-HSA-72163	9.455907288479395e-118	1	0.5613433472295603	1	mRNA Splicing - Major Pathway	-	-	REAC:R-HSA-72163
M1	cpdb	0.7	network_modules	4	KEGG	KEGG:03040	5.866521719429781e-98	1	0.5559089004198937	1	Spliceosome	-	KEGG:03040	-
M1	cpdb	0.7	network_modules	5	KEGG	KEGG:04120	3.8241262653522896e-5	1	0.09949565098466497	1	Ubiquitin mediated proteolysis	-	KEGG:04120	-
M1	cpdb	0.7	network_modules	5	GO:BP	GO:0016567	9.252669341342901e-5	1	0.06069904573683708	1	protein ubiquitination	GO:0016567	-	-
M1	cpdb	0.7	network_modules	6	REAC	REAC:R-HSA-379716	9.87184742051838e-15	1	0.2588572330355762	1	Cytosolic tRNA aminoacylation	-	-	REAC:R-HSA-379716
M1	cpdb	0.7	network_modules	6	GO:BP	GO:0006418	1.921576745723553e-14	2	0.2048674235280998	2	tRNA aminoacylation for protein translation	GO:0006418	-	-
M1	cpdb	0.7	network_modules	6	KEGG	KEGG:00970	1.5773707819123336e-13	1	0.21908672351399536	1	Aminoacyl-tRNA biosynthesis	-	KEGG:00970	-
M1	cpdb	0.7	network_modules	7	GO:BP	GO:0000045	2.64471114513674e-40	4	0.31548495454242337	1	autophagosome assembly	GO:0000045	-	-
M1	cpdb	0.7	network_modules	7	KEGG	KEGG:04136	2.369732886281994e-34	2	0.43909264291538214	1	Autophagy - other	-	KEGG:04136	-
M1	cpdb	0.7	network_modules	7	REAC	REAC:R-HSA-1632852	3.3418301613413665e-30	1	0.279462975509909	1	Macroautophagy	-	-	REAC:R-HSA-1632852
M1	cpdb	0.7	network_modules	8	GO:BP	GO:0007169	4.4419827626426837e-60	1	0.26322316844032717	4	cell surface receptor protein tyrosine kinase signaling pathway	GO:0007169	-	-
M1	cpdb	0.7	network_modules	8	REAC	REAC:R-HSA-512988	2.3657300821785193e-36	1	0.3840976257580563	2	Interleukin-3, Interleukin-5 and GM-CSF signaling	-	-	REAC:R-HSA-512988
M1	cpdb	0.7	network_modules	8	KEGG	KEGG:04012	3.4002886805494223e-31	1	0.3106915584055039	1	ErbB signaling pathway	-	KEGG:04012	-
M1	cpdb	0.7	network_modules	9	GO:BP	GO:0006119	5.010634743092614e-46	2	0.3284212329938472	1	oxidative phosphorylation	GO:0006119	-	-
M1	cpdb	0.7	network_modules	9	REAC	REAC:R-HSA-1428517	6.0755049178594286e-46	1	0.32945902845000896	1	Aerobic respiration and respiratory electron transport	-	-	REAC:R-HSA-1428517
M1	cpdb	0.7	network_modules	9	KEGG	KEGG:00190	1.083440621062237e-45	2	0.37618690652414083	1	Oxidative phosphorylation	-	KEGG:00190	-
M1	cpdb	0.7	network_modules	10	KEGG	KEGG:04144	1.5378873094974524e-22	1	0.2039480728683199	1	Endocytosis	-	KEGG:04144	-
M1	cpdb	0.7	network_modules	10	GO:BP	GO:0016197	1.9985958810401254e-20	1	0.1580139642249615	1	endosomal transport	GO:0016197	-	-
M1	cpdb	0.7	network_modules	11	KEGG	KEGG:03083	1.5861707454331258e-4	1	0.10926278667297204	1	Polycomb repressive complex	-	KEGG:03083	-
M1	cpdb	0.7	network_modules	12	REAC	REAC:R-HSA-156902	3.745931084211147e-107	1	0.6907260666322129	1	Peptide chain elongation	-	-	REAC:R-HSA-156902
M1	cpdb	0.7	network_modules	13	KEGG	KEGG:04146	2.3470410874339325e-38	1	0.40491930382420144	1	Peroxisome	-	KEGG:04146	-
M1	cpdb	0.7	network_modules	13	GO:BP	GO:0043574	3.1324710059802893e-30	2	0.4250184237333338	1	peroxisomal transport	GO:0043574	-	-
M1	cpdb	0.7	network_modules	13	REAC	REAC:R-HSA-9603798	1.274298350107523e-24	1	0.4120461003633682	1	Class I peroxisomal membrane protein import	-	-	REAC:R-HSA-9603798
M1	cpdb	0.7	network_modules	15	KEGG	KEGG:01200	2.24553805290455e-19	1	0.2235739219970329	2	Carbon metabolism	-	KEGG:01200	-
