network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
M1	humanbase	0.2	network_modules	1	REAC	REAC:R-HSA-4839726	0.0010993178408742652	1	0.08771515378358148	1	Chromatin organization	-	-	REAC:R-HSA-4839726
M1	humanbase	0.2	network_modules	2	GO:BP	GO:0022613	2.2659332682130017e-21	1	0.14175085964571266	6	ribonucleoprotein complex biogenesis	GO:0022613	-	-
M1	humanbase	0.2	network_modules	2	REAC	REAC:R-HSA-194441	1.890645633583585e-9	4	0.1467645532502559	1	Metabolism of non-coding RNA	-	-	REAC:R-HSA-194441
M1	humanbase	0.2	network_modules	3	REAC	REAC:R-HSA-6798695	2.2000760331592696e-14	1	0.1285569093561875	1	Neutrophil degranulation	-	-	REAC:R-HSA-6798695
M1	humanbase	0.2	network_modules	3	GO:BP	GO:0030036	1.5713609740425203e-7	1	0.07608467048004816	1	actin cytoskeleton organization	GO:0030036	-	-
M1	humanbase	0.2	network_modules	4	GO:BP	GO:1903595	0.006682065795610729	1	0.25787147420379075	1	positive regulation of histamine secretion by mast cell	GO:1903595	-	-
M1	humanbase	0.2	network_modules	5	REAC	REAC:R-HSA-1474244	2.2090595089275153e-6	1	0.11319651340971124	1	Extracellular matrix organization	-	-	REAC:R-HSA-1474244
M1	humanbase	0.2	network_modules	8	GO:BP	GO:0070849	6.234842680553255e-4	1	0.17595055271848542	1	response to epidermal growth factor	GO:0070849	-	-
M1	humanbase	0.2	network_modules	9	GO:BP	GO:0006412	1.0497366575877803e-8	1	0.09344266417378094	1	translation	GO:0006412	-	-
M1	humanbase	0.2	network_modules	9	REAC	REAC:R-HSA-5389840	3.582814476841043e-5	2	0.11337188715926173	1	Mitochondrial translation elongation	-	-	REAC:R-HSA-5389840
M1	humanbase	0.2	network_modules	10	GO:BP	GO:0044786	7.907042167233852e-19	5	0.24640677489662333	1	cell cycle DNA replication	GO:0044786	-	-
M1	humanbase	0.2	network_modules	10	REAC	REAC:R-HSA-69190	1.976978956695619e-17	3	0.2709893613069137	1	DNA strand elongation	-	-	REAC:R-HSA-69190
M1	humanbase	0.2	network_modules	10	KEGG	KEGG:03030	1.3175762548714557e-16	1	0.29433000090827843	1	DNA replication	-	KEGG:03030	-
M1	humanbase	0.2	network_modules	11	GO:BP	GO:0000398	1.6434477716718652e-26	1	0.18520847498230278	1	mRNA splicing, via spliceosome	GO:0000398	-	-
M1	humanbase	0.2	network_modules	11	REAC	REAC:R-HSA-72163	2.0460711161839375e-25	2	0.2176739254815548	1	mRNA Splicing - Major Pathway	-	-	REAC:R-HSA-72163
M1	humanbase	0.2	network_modules	11	KEGG	KEGG:03040	6.255692313096867e-15	1	0.17704827252465621	1	Spliceosome	-	KEGG:03040	-
M1	humanbase	0.2	network_modules	12	GO:BP	GO:0042254	4.744111870510418e-7	2	0.10945084738037793	1	ribosome biogenesis	GO:0042254	-	-
M1	humanbase	0.2	network_modules	12	REAC	REAC:R-HSA-8868773	6.898598964601771e-6	1	0.12174455297689703	1	rRNA processing in the nucleus and cytosol	-	-	REAC:R-HSA-8868773
