network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes	row_rank_p	row_rank_mcc	top_go	top_kegg	top_reac
M1	humanbase	0.4	network_modules	1	TRUE	0.003234144197223559	32	14	3	0.21428571428571427	0.09375	GO:0070849	GO:BP	response to epidermal growth factor	16175	16341		0	0.5	32	16143	3	11	29	16132	16175	0.14062810170400844	1	NA	ENSG00000110422;ENSG00000179295;ENSG00000175387;ENSG00000215301;ENSG00000127947;ENSG00000136754;ENSG00000155097;ENSG00000112245;ENSG00000078369;ENSG00000029725;ENSG00000117505;ENSG00000003056;ENSG00000186432;ENSG00000100030	1	1	GO:0070849	-	-
M1	humanbase	0.4	network_modules	2	TRUE	9.13821789608505e-61	76	76	37	0.4868421052631579	0.4868421052631579	REAC:R-HSA-909733	REAC	Interferon alpha/beta signaling	10916	1228		0	0.004830917874396135	76	10840	37	39	39	10801	10916	0.4832443192852982	1	GO:0050896;GO:0001816;GO:0002376;GO:0050789;GO:0044419;GO:0016032	ENSG00000156587;ENSG00000172936;ENSG00000173193;ENSG00000132109;ENSG00000133321;ENSG00000204264;ENSG00000140105;ENSG00000160710;ENSG00000184979;ENSG00000185745;ENSG00000204632;ENSG00000169245;ENSG00000213928;ENSG00000186470;ENSG00000204642;ENSG00000138496;ENSG00000163565;ENSG00000138646;ENSG00000183486;ENSG00000131979;ENSG00000067066;ENSG00000137959;ENSG00000089127;ENSG00000204592;ENSG00000137965;ENSG00000100911;ENSG00000231925;ENSG00000206503;ENSG00000234745;ENSG00000119917;ENSG00000117228;ENSG00000119922;ENSG00000170581;ENSG00000133106;ENSG00000111331;ENSG00000137752;ENSG00000140464;ENSG00000125347;ENSG00000134470;ENSG00000111801;ENSG00000204525;ENSG00000163840;ENSG00000137628;ENSG00000188313;ENSG00000185885;ENSG00000136147;ENSG00000115267;ENSG00000185201;ENSG00000240065;ENSG00000123609;ENSG00000160932;ENSG00000196954;ENSG00000130813;ENSG00000165949;ENSG00000132530;ENSG00000173821;ENSG00000172183;ENSG00000152778;ENSG00000068079;ENSG00000128284;ENSG00000134326;ENSG00000196126;ENSG00000187608;ENSG00000132274;ENSG00000108679;ENSG00000185507;ENSG00000115415;ENSG00000168394;ENSG00000221963;ENSG00000107201;ENSG00000157601;ENSG00000136514;ENSG00000162645;ENSG00000142089;ENSG00000135114;ENSG00000130303;ENSG00000166710;ENSG00000177409;ENSG00000134321;ENSG00000121858;ENSG00000137767;ENSG00000055332;ENSG00000205220;ENSG00000205413;ENSG00000126709;ENSG00000169248;ENSG00000111335;ENSG00000092010;ENSG00000002549;ENSG00000135899;ENSG00000059378	1	1	-	-	REAC:R-HSA-909733
M1	humanbase	0.4	network_modules	2	TRUE	5.4455640978693e-54	228	87	43	0.4942528735632184	0.18859649122807018	GO:0051607	GO:BP	defense response to virus	16175	13823		0.009708737864077669	0.014492753623188406	228	15947	43	44	185	15903	16175	0.29952237663532805	3	GO:0050896;GO:0001816;GO:0002376;GO:0050789;GO:0044419;GO:0016032	ENSG00000156587;ENSG00000172936;ENSG00000173193;ENSG00000132109;ENSG00000133321;ENSG00000204264;ENSG00000140105;ENSG00000160710;ENSG00000184979;ENSG00000185745;ENSG00000204632;ENSG00000169245;ENSG00000213928;ENSG00000186470;ENSG00000204642;ENSG00000138496;ENSG00000163565;ENSG00000138646;ENSG00000183486;ENSG00000131979;ENSG00000067066;ENSG00000137959;ENSG00000089127;ENSG00000204592;ENSG00000137965;ENSG00000100911;ENSG00000231925;ENSG00000206503;ENSG00000234745;ENSG00000119917;ENSG00000117228;ENSG00000119922;ENSG00000170581;ENSG00000133106;ENSG00000111331;ENSG00000137752;ENSG00000140464;ENSG00000125347;ENSG00000134470;ENSG00000111801;ENSG00000204525;ENSG00000163840;ENSG00000137628;ENSG00000188313;ENSG00000185885;ENSG00000136147;ENSG00000115267;ENSG00000185201;ENSG00000240065;ENSG00000123609;ENSG00000160932;ENSG00000196954;ENSG00000130813;ENSG00000165949;ENSG00000132530;ENSG00000173821;ENSG00000172183;ENSG00000152778;ENSG00000068079;ENSG00000128284;ENSG00000134326;ENSG00000196126;ENSG00000187608;ENSG00000132274;ENSG00000108679;ENSG00000185507;ENSG00000115415;ENSG00000168394;ENSG00000221963;ENSG00000107201;ENSG00000157601;ENSG00000136514;ENSG00000162645;ENSG00000142089;ENSG00000135114;ENSG00000130303;ENSG00000166710;ENSG00000177409;ENSG00000134321;ENSG00000121858;ENSG00000137767;ENSG00000055332;ENSG00000205220;ENSG00000205413;ENSG00000126709;ENSG00000169248;ENSG00000111335;ENSG00000092010;ENSG00000002549;ENSG00000135899;ENSG00000059378	1	1	GO:0051607	-	-
M1	humanbase	0.4	network_modules	2	TRUE	2.1057745150905036e-20	198	55	22	0.4	0.1111111111111111	KEGG:05169	KEGG	Epstein-Barr virus infection	8484	450		0.09223300970873786	0.0966183574879227	198	8286	22	33	176	8253	8484	0.20153044817544333	20	GO:0050896;GO:0001816;GO:0002376;GO:0050789;GO:0044419;GO:0016032	ENSG00000156587;ENSG00000172936;ENSG00000173193;ENSG00000132109;ENSG00000133321;ENSG00000204264;ENSG00000140105;ENSG00000160710;ENSG00000184979;ENSG00000185745;ENSG00000204632;ENSG00000169245;ENSG00000213928;ENSG00000186470;ENSG00000204642;ENSG00000138496;ENSG00000163565;ENSG00000138646;ENSG00000183486;ENSG00000131979;ENSG00000067066;ENSG00000137959;ENSG00000089127;ENSG00000204592;ENSG00000137965;ENSG00000100911;ENSG00000231925;ENSG00000206503;ENSG00000234745;ENSG00000119917;ENSG00000117228;ENSG00000119922;ENSG00000170581;ENSG00000133106;ENSG00000111331;ENSG00000137752;ENSG00000140464;ENSG00000125347;ENSG00000134470;ENSG00000111801;ENSG00000204525;ENSG00000163840;ENSG00000137628;ENSG00000188313;ENSG00000185885;ENSG00000136147;ENSG00000115267;ENSG00000185201;ENSG00000240065;ENSG00000123609;ENSG00000160932;ENSG00000196954;ENSG00000130813;ENSG00000165949;ENSG00000132530;ENSG00000173821;ENSG00000172183;ENSG00000152778;ENSG00000068079;ENSG00000128284;ENSG00000134326;ENSG00000196126;ENSG00000187608;ENSG00000132274;ENSG00000108679;ENSG00000185507;ENSG00000115415;ENSG00000168394;ENSG00000221963;ENSG00000107201;ENSG00000157601;ENSG00000136514;ENSG00000162645;ENSG00000142089;ENSG00000135114;ENSG00000130303;ENSG00000166710;ENSG00000177409;ENSG00000134321;ENSG00000121858;ENSG00000137767;ENSG00000055332;ENSG00000205220;ENSG00000205413;ENSG00000126709;ENSG00000169248;ENSG00000111335;ENSG00000092010;ENSG00000002549;ENSG00000135899;ENSG00000059378	1	1	-	KEGG:05169	-
M1	humanbase	0.4	network_modules	4	TRUE	2.2653168653296825e-26	699	79	37	0.46835443037974683	0.05293276108726753	GO:0045321	GO:BP	leukocyte activation	16175	11356		0	0.004048582995951417	699	15476	37	42	662	15434	16175	0.14647464597401497	1	GO:0050896;GO:0006793;GO:0016192;GO:0002376;GO:0050789;GO:0044419;GO:0036211;GO:0007155;GO:0008283;GO:0001775	ENSG00000155926;ENSG00000132965;ENSG00000254087;ENSG00000155307;ENSG00000204287;ENSG00000127951;ENSG00000116701;ENSG00000173110;ENSG00000043462;ENSG00000182578;ENSG00000111679;ENSG00000111348;ENSG00000112799;ENSG00000128340;ENSG00000102879;ENSG00000162511;ENSG00000168685;ENSG00000133561;ENSG00000126860;ENSG00000117091;ENSG00000204472;ENSG00000169442;ENSG00000242574;ENSG00000142347;ENSG00000130755;ENSG00000011600;ENSG00000103811;ENSG00000165168;ENSG00000169413;ENSG00000101336;ENSG00000165025;ENSG00000134516;ENSG00000231389;ENSG00000114013;ENSG00000211689;ENSG00000179344;ENSG00000110876;ENSG00000110077;ENSG00000143119;ENSG00000163823;ENSG00000110324;ENSG00000180353;ENSG00000136167;ENSG00000025708;ENSG00000185862;ENSG00000115956;ENSG00000160255;ENSG00000081237;ENSG00000126353;ENSG00000082074;ENSG00000100365;ENSG00000130592;ENSG00000158869;ENSG00000182866;ENSG00000130775;ENSG00000125810;ENSG00000111729;ENSG00000163219;ENSG00000204257;ENSG00000121966;ENSG00000104774;ENSG00000141968;ENSG00000072694;ENSG00000110079;ENSG00000139278;ENSG00000163563;ENSG00000204482;ENSG00000020633;ENSG00000271503;ENSG00000028137;ENSG00000223865;ENSG00000154589;ENSG00000019582;ENSG00000100368;ENSG00000261371;ENSG00000101017;ENSG00000000938;ENSG00000023445;ENSG00000005844;ENSG00000115165;ENSG00000168461;ENSG00000122122;ENSG00000138185;ENSG00000163131;ENSG00000140379;ENSG00000216490	1	9	GO:0045321	-	-
M1	humanbase	0.4	network_modules	4	TRUE	1.9669179301864885e-11	476	68	22	0.3235294117647059	0.046218487394957986	REAC:R-HSA-6798695	REAC	Neutrophil degranulation	10916	1597		0.16666666666666666	0.1700404858299595	476	10440	22	46	454	10394	10916	0.10852482200335982	42	GO:0050896;GO:0006793;GO:0016192;GO:0002376;GO:0050789;GO:0044419;GO:0036211;GO:0007155;GO:0008283;GO:0001775	ENSG00000155926;ENSG00000132965;ENSG00000254087;ENSG00000155307;ENSG00000204287;ENSG00000127951;ENSG00000116701;ENSG00000173110;ENSG00000043462;ENSG00000182578;ENSG00000111679;ENSG00000111348;ENSG00000112799;ENSG00000128340;ENSG00000102879;ENSG00000162511;ENSG00000168685;ENSG00000133561;ENSG00000126860;ENSG00000117091;ENSG00000204472;ENSG00000169442;ENSG00000242574;ENSG00000142347;ENSG00000130755;ENSG00000011600;ENSG00000103811;ENSG00000165168;ENSG00000169413;ENSG00000101336;ENSG00000165025;ENSG00000134516;ENSG00000231389;ENSG00000114013;ENSG00000211689;ENSG00000179344;ENSG00000110876;ENSG00000110077;ENSG00000143119;ENSG00000163823;ENSG00000110324;ENSG00000180353;ENSG00000136167;ENSG00000025708;ENSG00000185862;ENSG00000115956;ENSG00000160255;ENSG00000081237;ENSG00000126353;ENSG00000082074;ENSG00000100365;ENSG00000130592;ENSG00000158869;ENSG00000182866;ENSG00000130775;ENSG00000125810;ENSG00000111729;ENSG00000163219;ENSG00000204257;ENSG00000121966;ENSG00000104774;ENSG00000141968;ENSG00000072694;ENSG00000110079;ENSG00000139278;ENSG00000163563;ENSG00000204482;ENSG00000020633;ENSG00000271503;ENSG00000028137;ENSG00000223865;ENSG00000154589;ENSG00000019582;ENSG00000100368;ENSG00000261371;ENSG00000101017;ENSG00000000938;ENSG00000023445;ENSG00000005844;ENSG00000115165;ENSG00000168461;ENSG00000122122;ENSG00000138185;ENSG00000163131;ENSG00000140379;ENSG00000216490	1	1	-	-	REAC:R-HSA-6798695
M1	humanbase	0.4	network_modules	4	TRUE	3.193443061895283e-11	63	60	11	0.18333333333333332	0.1746031746031746	KEGG:05416	KEGG	Viral myocarditis	8484	493		0.17073170731707318	0.17408906882591094	63	8421	11	49	52	8372	8484	0.17292173249815185	43	GO:0050896;GO:0006793;GO:0016192;GO:0002376;GO:0050789;GO:0044419;GO:0036211;GO:0007155;GO:0008283;GO:0001775	ENSG00000155926;ENSG00000132965;ENSG00000254087;ENSG00000155307;ENSG00000204287;ENSG00000127951;ENSG00000116701;ENSG00000173110;ENSG00000043462;ENSG00000182578;ENSG00000111679;ENSG00000111348;ENSG00000112799;ENSG00000128340;ENSG00000102879;ENSG00000162511;ENSG00000168685;ENSG00000133561;ENSG00000126860;ENSG00000117091;ENSG00000204472;ENSG00000169442;ENSG00000242574;ENSG00000142347;ENSG00000130755;ENSG00000011600;ENSG00000103811;ENSG00000165168;ENSG00000169413;ENSG00000101336;ENSG00000165025;ENSG00000134516;ENSG00000231389;ENSG00000114013;ENSG00000211689;ENSG00000179344;ENSG00000110876;ENSG00000110077;ENSG00000143119;ENSG00000163823;ENSG00000110324;ENSG00000180353;ENSG00000136167;ENSG00000025708;ENSG00000185862;ENSG00000115956;ENSG00000160255;ENSG00000081237;ENSG00000126353;ENSG00000082074;ENSG00000100365;ENSG00000130592;ENSG00000158869;ENSG00000182866;ENSG00000130775;ENSG00000125810;ENSG00000111729;ENSG00000163219;ENSG00000204257;ENSG00000121966;ENSG00000104774;ENSG00000141968;ENSG00000072694;ENSG00000110079;ENSG00000139278;ENSG00000163563;ENSG00000204482;ENSG00000020633;ENSG00000271503;ENSG00000028137;ENSG00000223865;ENSG00000154589;ENSG00000019582;ENSG00000100368;ENSG00000261371;ENSG00000101017;ENSG00000000938;ENSG00000023445;ENSG00000005844;ENSG00000115165;ENSG00000168461;ENSG00000122122;ENSG00000138185;ENSG00000163131;ENSG00000140379;ENSG00000216490	1	2	-	KEGG:05416	-
M1	humanbase	0.4	network_modules	5	TRUE	1.1132108486226295e-32	361	84	35	0.4166666666666667	0.09695290858725762	GO:0007059	GO:BP	chromosome segregation	16175	2658		0.01639344262295082	0.021739130434782608	361	15814	35	49	326	15765	16175	0.1928847494266286	4	GO:0007059;GO:0007049;GO:0006260;GO:0050789;GO:0000280;GO:0051276	ENSG00000142731;ENSG00000184445;ENSG00000133119;ENSG00000138376;ENSG00000175305;ENSG00000129173;ENSG00000163808;ENSG00000144354;ENSG00000140525;ENSG00000181938;ENSG00000101003;ENSG00000198901;ENSG00000121621;ENSG00000151725;ENSG00000197275;ENSG00000112312;ENSG00000166803;ENSG00000126787;ENSG00000122952;ENSG00000128944;ENSG00000109805;ENSG00000113368;ENSG00000123473;ENSG00000166451;ENSG00000058804;ENSG00000138180;ENSG00000119969;ENSG00000156802;ENSG00000128951;ENSG00000138160;ENSG00000117632;ENSG00000117650;ENSG00000185480;ENSG00000112029;ENSG00000114346;ENSG00000121957;ENSG00000106462;ENSG00000164104;ENSG00000139618;ENSG00000149554;ENSG00000011426;ENSG00000143476;ENSG00000163535;ENSG00000198554;ENSG00000138778;ENSG00000100479;ENSG00000165304;ENSG00000106399;ENSG00000161800;ENSG00000174442;ENSG00000040275;ENSG00000131747;ENSG00000066279;ENSG00000006634;ENSG00000094804;ENSG00000117724;ENSG00000143228;ENSG00000076003;ENSG00000080986;ENSG00000136982;ENSG00000097046;ENSG00000146918;ENSG00000112742;ENSG00000104147;ENSG00000120802;ENSG00000123975;ENSG00000228716;ENSG00000100749;ENSG00000091651;ENSG00000171241;ENSG00000169679;ENSG00000071539;ENSG00000167325;ENSG00000152253;ENSG00000136824;ENSG00000137807;ENSG00000012048;ENSG00000151503;ENSG00000168496;ENSG00000182481;ENSG00000198056;ENSG00000065328;ENSG00000164109;ENSG00000051180;ENSG00000111445;ENSG00000072571	4	6	GO:0007059	-	-
M1	humanbase	0.4	network_modules	5	TRUE	1.2474547832371462e-23	289	71	28	0.39436619718309857	0.09688581314878893	REAC:R-HSA-69620	REAC	Cell Cycle Checkpoints	10916	321		0.06557377049180328	0.07065217391304347	289	10627	28	43	261	10584	10916	0.1854142790158222	13	GO:0007059;GO:0007049;GO:0006260;GO:0050789;GO:0000280;GO:0051276	ENSG00000142731;ENSG00000184445;ENSG00000133119;ENSG00000138376;ENSG00000175305;ENSG00000129173;ENSG00000163808;ENSG00000144354;ENSG00000140525;ENSG00000181938;ENSG00000101003;ENSG00000198901;ENSG00000121621;ENSG00000151725;ENSG00000197275;ENSG00000112312;ENSG00000166803;ENSG00000126787;ENSG00000122952;ENSG00000128944;ENSG00000109805;ENSG00000113368;ENSG00000123473;ENSG00000166451;ENSG00000058804;ENSG00000138180;ENSG00000119969;ENSG00000156802;ENSG00000128951;ENSG00000138160;ENSG00000117632;ENSG00000117650;ENSG00000185480;ENSG00000112029;ENSG00000114346;ENSG00000121957;ENSG00000106462;ENSG00000164104;ENSG00000139618;ENSG00000149554;ENSG00000011426;ENSG00000143476;ENSG00000163535;ENSG00000198554;ENSG00000138778;ENSG00000100479;ENSG00000165304;ENSG00000106399;ENSG00000161800;ENSG00000174442;ENSG00000040275;ENSG00000131747;ENSG00000066279;ENSG00000006634;ENSG00000094804;ENSG00000117724;ENSG00000143228;ENSG00000076003;ENSG00000080986;ENSG00000136982;ENSG00000097046;ENSG00000146918;ENSG00000112742;ENSG00000104147;ENSG00000120802;ENSG00000123975;ENSG00000228716;ENSG00000100749;ENSG00000091651;ENSG00000171241;ENSG00000169679;ENSG00000071539;ENSG00000167325;ENSG00000152253;ENSG00000136824;ENSG00000137807;ENSG00000012048;ENSG00000151503;ENSG00000168496;ENSG00000182481;ENSG00000198056;ENSG00000065328;ENSG00000164109;ENSG00000051180;ENSG00000111445;ENSG00000072571	1	1	-	-	REAC:R-HSA-69620
M1	humanbase	0.4	network_modules	6	TRUE	5.997396707221652e-4	656	14	7	0.5	0.010670731707317074	GO:1903047	GO:BP	mitotic cell cycle process	16175	22727		0	0.3333333333333333	656	15519	7	7	649	15512	16175	0.06855238968698893	1	GO:0008150	ENSG00000109381;ENSG00000067900;ENSG00000115966;ENSG00000118007;ENSG00000159140;ENSG00000175354;ENSG00000062650;ENSG00000112739;ENSG00000166266;ENSG00000100852;ENSG00000196470;ENSG00000138032;ENSG00000141646;ENSG00000111276	1	1	GO:1903047	-	-
