network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes
M1	humanbase	0.6	network_modules	2	TRUE	1.5773057982978486e-11	251	59	15	0.2542372881355932	0.05976095617529881	GO:0042254	GO:BP	ribosome biogenesis	16175	10060		0	0.015151515151515152	251	15924	15	44	236	15880	16175	0.11686020447013586	1	GO:0016070;GO:0042254;GO:0051234;GO:0051641;GO:0050789	ENSG00000120438;ENSG00000091127;ENSG00000086189;ENSG00000167088;ENSG00000130935;ENSG00000067533;ENSG00000128050;ENSG00000171793;ENSG00000107949;ENSG00000135316;ENSG00000109606;ENSG00000163938;ENSG00000179041;ENSG00000166226;ENSG00000150753;ENSG00000197170;ENSG00000114491;ENSG00000065183;ENSG00000115053;ENSG00000108064;ENSG00000159593;ENSG00000170606;ENSG00000159131;ENSG00000137955;ENSG00000107937;ENSG00000123505;ENSG00000144381;ENSG00000124207;ENSG00000115758;ENSG00000113569;ENSG00000134697;ENSG00000130826;ENSG00000156469;ENSG00000011260;ENSG00000115946;ENSG00000111581;ENSG00000164163;ENSG00000146731;ENSG00000198015;ENSG00000138095;ENSG00000184575;ENSG00000132341;ENSG00000138385;ENSG00000165732;ENSG00000136045;ENSG00000124802;ENSG00000065150;ENSG00000154174;ENSG00000134001;ENSG00000115816;ENSG00000088205;ENSG00000039123;ENSG00000205339;ENSG00000142864;ENSG00000151247;ENSG00000211460;ENSG00000196591;ENSG00000183527;ENSG00000166197
M1	humanbase	0.6	network_modules	2	TRUE	6.207528389039682e-10	390	59	16	0.2711864406779661	0.041025641025641026	GO:0022613	GO:BP	ribonucleoprotein complex biogenesis	16175	6620		0.015384615384615385	0.030303030303030304	390	15785	16	43	374	15742	16175	0.09745769838896338	2	GO:0016070;GO:0042254;GO:0051234;GO:0051641;GO:0050789	ENSG00000120438;ENSG00000091127;ENSG00000086189;ENSG00000167088;ENSG00000130935;ENSG00000067533;ENSG00000128050;ENSG00000171793;ENSG00000107949;ENSG00000135316;ENSG00000109606;ENSG00000163938;ENSG00000179041;ENSG00000166226;ENSG00000150753;ENSG00000197170;ENSG00000114491;ENSG00000065183;ENSG00000115053;ENSG00000108064;ENSG00000159593;ENSG00000170606;ENSG00000159131;ENSG00000137955;ENSG00000107937;ENSG00000123505;ENSG00000144381;ENSG00000124207;ENSG00000115758;ENSG00000113569;ENSG00000134697;ENSG00000130826;ENSG00000156469;ENSG00000011260;ENSG00000115946;ENSG00000111581;ENSG00000164163;ENSG00000146731;ENSG00000198015;ENSG00000138095;ENSG00000184575;ENSG00000132341;ENSG00000138385;ENSG00000165732;ENSG00000136045;ENSG00000124802;ENSG00000065150;ENSG00000154174;ENSG00000134001;ENSG00000115816;ENSG00000088205;ENSG00000039123;ENSG00000205339;ENSG00000142864;ENSG00000151247;ENSG00000211460;ENSG00000196591;ENSG00000183527;ENSG00000166197
M1	humanbase	0.6	network_modules	2	TRUE	4.622282183391304e-9	13	59	6	0.1016949152542373	0.46153846153846156	GO:1904816	GO:BP	positive regulation of protein localization to chromosome, telomeric region	16175	24131		0.03076923076923077	0.045454545454545456	13	16162	6	53	7	16109	16175	0.21541490566899732	3	GO:0016070;GO:0042254;GO:0051234;GO:0051641;GO:0050789	ENSG00000120438;ENSG00000091127;ENSG00000086189;ENSG00000167088;ENSG00000130935;ENSG00000067533;ENSG00000128050;ENSG00000171793;ENSG00000107949;ENSG00000135316;ENSG00000109606;ENSG00000163938;ENSG00000179041;ENSG00000166226;ENSG00000150753;ENSG00000197170;ENSG00000114491;ENSG00000065183;ENSG00000115053;ENSG00000108064;ENSG00000159593;ENSG00000170606;ENSG00000159131;ENSG00000137955;ENSG00000107937;ENSG00000123505;ENSG00000144381;ENSG00000124207;ENSG00000115758;ENSG00000113569;ENSG00000134697;ENSG00000130826;ENSG00000156469;ENSG00000011260;ENSG00000115946;ENSG00000111581;ENSG00000164163;ENSG00000146731;ENSG00000198015;ENSG00000138095;ENSG00000184575;ENSG00000132341;ENSG00000138385;ENSG00000165732;ENSG00000136045;ENSG00000124802;ENSG00000065150;ENSG00000154174;ENSG00000134001;ENSG00000115816;ENSG00000088205;ENSG00000039123;ENSG00000205339;ENSG00000142864;ENSG00000151247;ENSG00000211460;ENSG00000196591;ENSG00000183527;ENSG00000166197
M1	humanbase	0.6	network_modules	2	TRUE	8.103123317493342e-9	149	59	11	0.1864406779661017	0.0738255033557047	GO:0006403	GO:BP	RNA localization	16175	2164		0.046153846153846156	0.06060606060606061	149	16026	11	48	138	15978	16175	0.11224592452841767	4	GO:0016070;GO:0042254;GO:0051234;GO:0051641;GO:0050789	ENSG00000120438;ENSG00000091127;ENSG00000086189;ENSG00000167088;ENSG00000130935;ENSG00000067533;ENSG00000128050;ENSG00000171793;ENSG00000107949;ENSG00000135316;ENSG00000109606;ENSG00000163938;ENSG00000179041;ENSG00000166226;ENSG00000150753;ENSG00000197170;ENSG00000114491;ENSG00000065183;ENSG00000115053;ENSG00000108064;ENSG00000159593;ENSG00000170606;ENSG00000159131;ENSG00000137955;ENSG00000107937;ENSG00000123505;ENSG00000144381;ENSG00000124207;ENSG00000115758;ENSG00000113569;ENSG00000134697;ENSG00000130826;ENSG00000156469;ENSG00000011260;ENSG00000115946;ENSG00000111581;ENSG00000164163;ENSG00000146731;ENSG00000198015;ENSG00000138095;ENSG00000184575;ENSG00000132341;ENSG00000138385;ENSG00000165732;ENSG00000136045;ENSG00000124802;ENSG00000065150;ENSG00000154174;ENSG00000134001;ENSG00000115816;ENSG00000088205;ENSG00000039123;ENSG00000205339;ENSG00000142864;ENSG00000151247;ENSG00000211460;ENSG00000196591;ENSG00000183527;ENSG00000166197
M1	humanbase	0.6	network_modules	2	TRUE	1.3406009105186145e-8	15	59	6	0.1016949152542373	0.4	GO:1904814	GO:BP	regulation of protein localization to chromosome, telomeric region	16175	24129		0.06153846153846154	0.07575757575757576	15	16160	6	53	9	16107	16175	0.20030698452322518	5	GO:0016070;GO:0042254;GO:0051234;GO:0051641;GO:0050789	ENSG00000120438;ENSG00000091127;ENSG00000086189;ENSG00000167088;ENSG00000130935;ENSG00000067533;ENSG00000128050;ENSG00000171793;ENSG00000107949;ENSG00000135316;ENSG00000109606;ENSG00000163938;ENSG00000179041;ENSG00000166226;ENSG00000150753;ENSG00000197170;ENSG00000114491;ENSG00000065183;ENSG00000115053;ENSG00000108064;ENSG00000159593;ENSG00000170606;ENSG00000159131;ENSG00000137955;ENSG00000107937;ENSG00000123505;ENSG00000144381;ENSG00000124207;ENSG00000115758;ENSG00000113569;ENSG00000134697;ENSG00000130826;ENSG00000156469;ENSG00000011260;ENSG00000115946;ENSG00000111581;ENSG00000164163;ENSG00000146731;ENSG00000198015;ENSG00000138095;ENSG00000184575;ENSG00000132341;ENSG00000138385;ENSG00000165732;ENSG00000136045;ENSG00000124802;ENSG00000065150;ENSG00000154174;ENSG00000134001;ENSG00000115816;ENSG00000088205;ENSG00000039123;ENSG00000205339;ENSG00000142864;ENSG00000151247;ENSG00000211460;ENSG00000196591;ENSG00000183527;ENSG00000166197
M1	humanbase	0.6	network_modules	2	TRUE	7.421074109318642e-8	373	59	14	0.23728813559322035	0.03753351206434316	GO:0072594	GO:BP	establishment of protein localization to organelle	16175	17458		0.07692307692307693	0.09090909090909091	373	15802	14	45	359	15757	16175	0.08635891262825773	6	GO:0016070;GO:0042254;GO:0051234;GO:0051641;GO:0050789	ENSG00000120438;ENSG00000091127;ENSG00000086189;ENSG00000167088;ENSG00000130935;ENSG00000067533;ENSG00000128050;ENSG00000171793;ENSG00000107949;ENSG00000135316;ENSG00000109606;ENSG00000163938;ENSG00000179041;ENSG00000166226;ENSG00000150753;ENSG00000197170;ENSG00000114491;ENSG00000065183;ENSG00000115053;ENSG00000108064;ENSG00000159593;ENSG00000170606;ENSG00000159131;ENSG00000137955;ENSG00000107937;ENSG00000123505;ENSG00000144381;ENSG00000124207;ENSG00000115758;ENSG00000113569;ENSG00000134697;ENSG00000130826;ENSG00000156469;ENSG00000011260;ENSG00000115946;ENSG00000111581;ENSG00000164163;ENSG00000146731;ENSG00000198015;ENSG00000138095;ENSG00000184575;ENSG00000132341;ENSG00000138385;ENSG00000165732;ENSG00000136045;ENSG00000124802;ENSG00000065150;ENSG00000154174;ENSG00000134001;ENSG00000115816;ENSG00000088205;ENSG00000039123;ENSG00000205339;ENSG00000142864;ENSG00000151247;ENSG00000211460;ENSG00000196591;ENSG00000183527;ENSG00000166197
M1	humanbase	0.6	network_modules	2	TRUE	8.315369988882084e-8	241	59	12	0.2033898305084746	0.04979253112033195	GO:0034504	GO:BP	protein localization to nucleus	16175	8670		0.09230769230769231	0.10606060606060606	241	15934	12	47	229	15887	16175	0.09413686484340408	7	GO:0016070;GO:0042254;GO:0051234;GO:0051641;GO:0050789	ENSG00000120438;ENSG00000091127;ENSG00000086189;ENSG00000167088;ENSG00000130935;ENSG00000067533;ENSG00000128050;ENSG00000171793;ENSG00000107949;ENSG00000135316;ENSG00000109606;ENSG00000163938;ENSG00000179041;ENSG00000166226;ENSG00000150753;ENSG00000197170;ENSG00000114491;ENSG00000065183;ENSG00000115053;ENSG00000108064;ENSG00000159593;ENSG00000170606;ENSG00000159131;ENSG00000137955;ENSG00000107937;ENSG00000123505;ENSG00000144381;ENSG00000124207;ENSG00000115758;ENSG00000113569;ENSG00000134697;ENSG00000130826;ENSG00000156469;ENSG00000011260;ENSG00000115946;ENSG00000111581;ENSG00000164163;ENSG00000146731;ENSG00000198015;ENSG00000138095;ENSG00000184575;ENSG00000132341;ENSG00000138385;ENSG00000165732;ENSG00000136045;ENSG00000124802;ENSG00000065150;ENSG00000154174;ENSG00000134001;ENSG00000115816;ENSG00000088205;ENSG00000039123;ENSG00000205339;ENSG00000142864;ENSG00000151247;ENSG00000211460;ENSG00000196591;ENSG00000183527;ENSG00000166197
M1	humanbase	0.6	network_modules	2	TRUE	2.044363413775257e-7	10	59	5	0.0847457627118644	0.5	GO:1904851	GO:BP	positive regulation of establishment of protein localization to telomere	16175	24163		0.1076923076923077	0.12121212121212122	10	16165	5	54	5	16111	16175	0.2047820668824077	8	GO:0016070;GO:0042254;GO:0051234;GO:0051641;GO:0050789	ENSG00000120438;ENSG00000091127;ENSG00000086189;ENSG00000167088;ENSG00000130935;ENSG00000067533;ENSG00000128050;ENSG00000171793;ENSG00000107949;ENSG00000135316;ENSG00000109606;ENSG00000163938;ENSG00000179041;ENSG00000166226;ENSG00000150753;ENSG00000197170;ENSG00000114491;ENSG00000065183;ENSG00000115053;ENSG00000108064;ENSG00000159593;ENSG00000170606;ENSG00000159131;ENSG00000137955;ENSG00000107937;ENSG00000123505;ENSG00000144381;ENSG00000124207;ENSG00000115758;ENSG00000113569;ENSG00000134697;ENSG00000130826;ENSG00000156469;ENSG00000011260;ENSG00000115946;ENSG00000111581;ENSG00000164163;ENSG00000146731;ENSG00000198015;ENSG00000138095;ENSG00000184575;ENSG00000132341;ENSG00000138385;ENSG00000165732;ENSG00000136045;ENSG00000124802;ENSG00000065150;ENSG00000154174;ENSG00000134001;ENSG00000115816;ENSG00000088205;ENSG00000039123;ENSG00000205339;ENSG00000142864;ENSG00000151247;ENSG00000211460;ENSG00000196591;ENSG00000183527;ENSG00000166197
M1	humanbase	0.6	network_modules	2	TRUE	2.581342516433968e-7	205	59	11	0.1864406779661017	0.05365853658536585	GO:0016072	GO:BP	rRNA metabolic process	16175	5099		0.12307692307692308	0.13636363636363635	205	15970	11	48	194	15922	16175	0.09398944323081712	9	GO:0016070;GO:0042254;GO:0051234;GO:0051641;GO:0050789	ENSG00000120438;ENSG00000091127;ENSG00000086189;ENSG00000167088;ENSG00000130935;ENSG00000067533;ENSG00000128050;ENSG00000171793;ENSG00000107949;ENSG00000135316;ENSG00000109606;ENSG00000163938;ENSG00000179041;ENSG00000166226;ENSG00000150753;ENSG00000197170;ENSG00000114491;ENSG00000065183;ENSG00000115053;ENSG00000108064;ENSG00000159593;ENSG00000170606;ENSG00000159131;ENSG00000137955;ENSG00000107937;ENSG00000123505;ENSG00000144381;ENSG00000124207;ENSG00000115758;ENSG00000113569;ENSG00000134697;ENSG00000130826;ENSG00000156469;ENSG00000011260;ENSG00000115946;ENSG00000111581;ENSG00000164163;ENSG00000146731;ENSG00000198015;ENSG00000138095;ENSG00000184575;ENSG00000132341;ENSG00000138385;ENSG00000165732;ENSG00000136045;ENSG00000124802;ENSG00000065150;ENSG00000154174;ENSG00000134001;ENSG00000115816;ENSG00000088205;ENSG00000039123;ENSG00000205339;ENSG00000142864;ENSG00000151247;ENSG00000211460;ENSG00000196591;ENSG00000183527;ENSG00000166197
M1	humanbase	0.6	network_modules	2	TRUE	3.7375705678947303e-7	11	59	5	0.0847457627118644	0.45454545454545453	GO:1904871	GO:BP	positive regulation of protein localization to Cajal body	16175	24179		0.13846153846153847	0.18181818181818182	11	16164	5	54	6	16110	16175	0.19511458770194023	11	GO:0016070;GO:0042254;GO:0051234;GO:0051641;GO:0050789	ENSG00000120438;ENSG00000091127;ENSG00000086189;ENSG00000167088;ENSG00000130935;ENSG00000067533;ENSG00000128050;ENSG00000171793;ENSG00000107949;ENSG00000135316;ENSG00000109606;ENSG00000163938;ENSG00000179041;ENSG00000166226;ENSG00000150753;ENSG00000197170;ENSG00000114491;ENSG00000065183;ENSG00000115053;ENSG00000108064;ENSG00000159593;ENSG00000170606;ENSG00000159131;ENSG00000137955;ENSG00000107937;ENSG00000123505;ENSG00000144381;ENSG00000124207;ENSG00000115758;ENSG00000113569;ENSG00000134697;ENSG00000130826;ENSG00000156469;ENSG00000011260;ENSG00000115946;ENSG00000111581;ENSG00000164163;ENSG00000146731;ENSG00000198015;ENSG00000138095;ENSG00000184575;ENSG00000132341;ENSG00000138385;ENSG00000165732;ENSG00000136045;ENSG00000124802;ENSG00000065150;ENSG00000154174;ENSG00000134001;ENSG00000115816;ENSG00000088205;ENSG00000039123;ENSG00000205339;ENSG00000142864;ENSG00000151247;ENSG00000211460;ENSG00000196591;ENSG00000183527;ENSG00000166197
