network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
M1	humanbase	0.9	network_modules	1	REAC	REAC:R-HSA-156842	1.1127604742936324e-29	1	0.3871937820685848	1	Eukaryotic Translation Elongation	-	-	REAC:R-HSA-156842
M1	humanbase	0.9	network_modules	1	REAC	REAC:R-HSA-156902	4.011106019627228e-27	2	0.3708272791536368	2	Peptide chain elongation	-	-	REAC:R-HSA-156842
M1	humanbase	0.9	network_modules	1	REAC	REAC:R-HSA-72766	6.279131544850872e-24	3	0.23114747499532465	12	Translation	-	-	REAC:R-HSA-156842
M1	humanbase	0.9	network_modules	1	REAC	REAC:R-HSA-72689	1.4040830628933728e-23	4	0.3245932689075601	3	Formation of a pool of free 40S subunits	-	-	REAC:R-HSA-156842
M1	humanbase	0.9	network_modules	1	REAC	REAC:R-HSA-156827	5.654079013765076e-23	5	0.309537611419311	8	L13a-mediated translational silencing of Ceruloplasmin expression	-	-	REAC:R-HSA-156842
M1	humanbase	0.9	network_modules	1	REAC	REAC:R-HSA-72706	6.451417282096608e-23	6	0.30814241156055555	9	GTP hydrolysis and joining of the 60S ribosomal subunit	-	-	REAC:R-HSA-156842
M1	humanbase	0.9	network_modules	1	REAC	REAC:R-HSA-72737	1.5709933132127976e-22	7	0.2988668719355115	10	Cap-dependent Translation Initiation	-	-	REAC:R-HSA-156842
M1	humanbase	0.9	network_modules	1	REAC	REAC:R-HSA-72613	1.5709933132127976e-22	8	0.2988668719355115	11	Eukaryotic Translation Initiation	-	-	REAC:R-HSA-156842
M1	humanbase	0.9	network_modules	1	REAC	REAC:R-HSA-192823	8.440035017107953e-22	9	0.32088957153901676	4	Viral mRNA Translation	-	-	REAC:R-HSA-156842
M1	humanbase	0.9	network_modules	1	REAC	REAC:R-HSA-2408557	1.5443395296580433e-21	10	0.31388475836895935	5	Selenocysteine synthesis	-	-	REAC:R-HSA-156842
M1	humanbase	0.9	network_modules	1	REAC	REAC:R-HSA-72764	1.5443395296580433e-21	11	0.31388475836895935	6	Eukaryotic Translation Termination	-	-	REAC:R-HSA-156842
M1	humanbase	0.9	network_modules	1	REAC	REAC:R-HSA-975956	2.0676317693678807e-21	12	0.3105468686088937	7	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	-	-	REAC:R-HSA-156842
M1	humanbase	0.9	network_modules	2	GO:BP	GO:1903047	1.0637493680130692e-32	1	0.178267941993177	7	mitotic cell cycle process	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0000278	7.761686663737864e-30	2	0.1607022870821607	17	mitotic cell cycle	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0051276	3.0596245822046674e-27	3	0.16738740159731247	9	chromosome organization	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0007059	1.2575235353625485e-22	4	0.16539137886106142	13	chromosome segregation	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0010564	2.0872523493073551e-22	5	0.14346009630877132	23	regulation of cell cycle process	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0000819	4.787682518770175e-21	6	0.1795721871991926	5	sister chromatid segregation	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0098813	1.7885296862292458e-20	7	0.1658444820052444	11	nuclear chromosome segregation	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0140014	1.0093460829948407e-19	8	0.16580773168969257	12	mitotic nuclear division	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0000070	2.4307824016943544e-19	9	0.1788195010139283	6	mitotic sister chromatid segregation	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	KEGG	KEGG:03030	2.5783000183310405e-19	1	0.3352807013207966	1	DNA replication	-	KEGG:03030	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0000280	4.442712121601064e-19	10	0.14691167274658554	21	nuclear division	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0006260	7.386303541953818e-19	11	0.16466644263994368	14	DNA replication	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0048285	5.139373496435459e-18	12	0.13808750215129997	28	organelle fission	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	REAC	REAC:R-HSA-69620	8.03949333314934e-18	1	0.16442468078284403	9	Cell Cycle Checkpoints	-	-	REAC:R-HSA-69190
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0090068	1.8966152125833057e-16	13	0.15471340301507777	19	positive regulation of cell cycle process	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	REAC	REAC:R-HSA-69190	3.4212619818161546e-16	2	0.2696148796088723	1	DNA strand elongation	-	-	REAC:R-HSA-69190
M1	humanbase	0.9	network_modules	2	REAC	REAC:R-HSA-453279	9.54221759757784e-16	3	0.17847749225727855	6	Mitotic G1 phase and G1/S transition	-	-	REAC:R-HSA-69190
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0006261	1.1127288546192918e-15	14	0.16386938743576912	15	DNA-templated DNA replication	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0051983	4.3303122207586234e-15	15	0.16694831114197728	10	regulation of chromosome segregation	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	REAC	REAC:R-HSA-69206	5.219446872472763e-15	4	0.17823869391572547	7	G1/S Transition	-	-	REAC:R-HSA-69190
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0044772	5.69706112614845e-15	16	0.1273540215337962	33	mitotic cell cycle phase transition	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:1905818	7.212185323143285e-15	17	0.1921153983075137	1	regulation of chromosome separation	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0045787	1.0286340010233674e-14	18	0.1363418276870335	30	positive regulation of cell cycle	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0044770	1.9600033143096453e-14	19	0.11832508539956552	35	cell cycle phase transition	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0051304	2.072849248800678e-14	20	0.18409641975891683	3	chromosome separation	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	KEGG	KEGG:04110	3.8570959391261173e-14	2	0.18219073520436843	2	Cell cycle	-	KEGG:03030	-
M1	humanbase	0.9	network_modules	2	REAC	REAC:R-HSA-69239	7.006532434349446e-14	5	0.17238004496517179	8	Synthesis of DNA	-	-	REAC:R-HSA-69190
M1	humanbase	0.9	network_modules	2	REAC	REAC:R-HSA-176187	2.404087097497218e-13	6	0.22714078506344937	2	Activation of ATR in response to replication stress	-	-	REAC:R-HSA-69190
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0033044	9.338557299869535e-13	21	0.12914575164360279	32	regulation of chromosome organization	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:1901990	1.049538610714655e-12	22	0.12235392068565708	34	regulation of mitotic cell cycle phase transition	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	REAC	REAC:R-HSA-69306	1.3264816694557878e-12	7	0.14624884456991036	11	DNA Replication	-	-	REAC:R-HSA-69190
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0007088	1.3679793439010285e-12	23	0.1546982297131834	20	regulation of mitotic nuclear division	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0007346	1.6683613955769806e-12	24	0.11080627239594837	37	regulation of mitotic cell cycle	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:1901987	3.8486887433837885e-12	25	0.11198965396023874	36	regulation of cell cycle phase transition	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	REAC	REAC:R-HSA-69242	4.478890030851194e-12	8	0.14713353565289417	10	S Phase	-	-	REAC:R-HSA-69190
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0051783	5.715909498364465e-12	26	0.14551879209080068	22	regulation of nuclear division	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	REAC	REAC:R-HSA-68962	6.975881977894418e-12	9	0.21645644268216982	4	Activation of the pre-replicative complex	-	-	REAC:R-HSA-69190
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0090329	2.00212653479451e-11	27	0.18434549223756974	2	regulation of DNA-templated DNA replication	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0006275	1.200845398926373e-10	28	0.13734174303996377	29	regulation of DNA replication	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0010965	2.603342224777566e-10	29	0.16081047627629222	16	regulation of mitotic sister chromatid separation	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0033260	2.9869487386281363e-10	30	0.18183002124712913	4	nuclear DNA replication	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0030071	3.1562278959762493e-10	31	0.14314828557633255	24	regulation of mitotic metaphase/anaphase transition	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0051306	3.6409511672959435e-10	32	0.1579036406057389	18	mitotic sister chromatid separation	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:1902099	4.0033825080383943e-10	33	0.14142376147518326	25	regulation of metaphase/anaphase transition of cell cycle	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0007091	5.048757469528973e-10	34	0.13975604656158508	26	metaphase/anaphase transition of mitotic cell cycle	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0044784	6.332230102941012e-10	35	0.13814204686584558	27	metaphase/anaphase transition of cell cycle	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0044786	7.72928067911492e-10	36	0.17198272213385593	8	cell cycle DNA replication	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	REAC	REAC:R-HSA-69186	9.154760342694817e-10	10	0.21695854813505905	3	Lagging Strand Synthesis	-	-	REAC:R-HSA-69190
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0006281	9.819614544583904e-10	37	0.09190229547698715	38	DNA repair	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	GO:BP	GO:0033045	1.344540389783072e-9	38	0.1328765644744001	31	regulation of sister chromatid segregation	GO:1903047	-	-
M1	humanbase	0.9	network_modules	2	REAC	REAC:R-HSA-5651801	1.3683661374144924e-9	11	0.21159634528886867	5	PCNA-Dependent Long Patch Base Excision Repair	-	-	REAC:R-HSA-69190
M1	humanbase	0.9	network_modules	3	GO:BP	GO:0006119	6.603956731626669e-19	1	0.27958942626234023	5	oxidative phosphorylation	GO:0019646	-	-
M1	humanbase	0.9	network_modules	3	GO:BP	GO:0009060	8.16057786159829e-18	2	0.2472811376440736	7	aerobic respiration	GO:0019646	-	-
M1	humanbase	0.9	network_modules	3	GO:BP	GO:0019646	1.4899769466742675e-17	3	0.3134153676621577	1	aerobic electron transport chain	GO:0019646	-	-
M1	humanbase	0.9	network_modules	3	GO:BP	GO:0042775	2.903966144170278e-17	4	0.30247313156202205	2	mitochondrial ATP synthesis coupled electron transport	GO:0019646	-	-
M1	humanbase	0.9	network_modules	3	GO:BP	GO:0042773	2.903966144170278e-17	5	0.30247313156202205	3	ATP synthesis coupled electron transport	GO:0019646	-	-
M1	humanbase	0.9	network_modules	3	GO:BP	GO:0045333	3.7624112803591376e-17	6	0.22935948689742575	8	cellular respiration	GO:0019646	-	-
M1	humanbase	0.9	network_modules	3	KEGG	KEGG:00190	4.224148497065533e-17	1	0.271173101756322	1	Oxidative phosphorylation	-	KEGG:00190	-
M1	humanbase	0.9	network_modules	3	GO:BP	GO:0022904	8.792789124074705e-17	7	0.2850550824760049	4	respiratory electron transport chain	GO:0019646	-	-
M1	humanbase	0.9	network_modules	3	GO:BP	GO:0022900	1.820415798352977e-16	8	0.27410832101787513	6	electron transport chain	GO:0019646	-	-
M1	humanbase	0.9	network_modules	3	REAC	REAC:R-HSA-1428517	2.7352333419944526e-16	1	0.23586447895706678	2	Aerobic respiration and respiratory electron transport	-	-	REAC:R-HSA-611105
M1	humanbase	0.9	network_modules	3	GO:BP	GO:0015980	7.500621859506069e-16	9	0.1977080363510867	9	energy derivation by oxidation of organic compounds	GO:0019646	-	-
M1	humanbase	0.9	network_modules	3	REAC	REAC:R-HSA-611105	1.1572195905880356e-15	2	0.2789358611810697	1	Respiratory electron transport	-	-	REAC:R-HSA-611105
M1	humanbase	0.9	network_modules	3	KEGG	KEGG:05415	2.8795315189116975e-15	2	0.21996201959366607	2	Diabetic cardiomyopathy	-	KEGG:00190	-
M1	humanbase	0.9	network_modules	3	KEGG	KEGG:05208	7.21617314577403e-15	3	0.21005281676044804	3	Chemical carcinogenesis - reactive oxygen species	-	KEGG:00190	-
M1	humanbase	0.9	network_modules	3	KEGG	KEGG:04714	1.1846171768035111e-14	4	0.2048761419937099	4	Thermogenesis	-	KEGG:00190	-
M1	humanbase	0.9	network_modules	3	GO:BP	GO:0006091	3.909115558398429e-14	10	0.16211023883909062	10	generation of precursor metabolites and energy	GO:0019646	-	-
M1	humanbase	0.9	network_modules	4	GO:BP	GO:1904874	4.73424569010797e-16	1	0.37633567255113964	5	positive regulation of telomerase RNA localization to Cajal body	GO:1904874	-	-
M1	humanbase	0.9	network_modules	4	GO:BP	GO:1904872	3.207615295946211e-15	2	0.3433379896877745	10	regulation of telomerase RNA localization to Cajal body	GO:1904874	-	-
M1	humanbase	0.9	network_modules	4	GO:BP	GO:0090685	5.533722021277945e-15	3	0.33411319856475696	12	RNA localization to nucleus	GO:1904874	-	-
M1	humanbase	0.9	network_modules	4	GO:BP	GO:0090672	5.533722021277945e-15	4	0.33411319856475696	13	telomerase RNA localization	GO:1904874	-	-
M1	humanbase	0.9	network_modules	4	GO:BP	GO:0090671	5.533722021277945e-15	5	0.33411319856475696	14	telomerase RNA localization to Cajal body	GO:1904874	-	-
M1	humanbase	0.9	network_modules	4	GO:BP	GO:0090670	5.533722021277945e-15	6	0.33411319856475696	15	RNA localization to Cajal body	GO:1904874	-	-
M1	humanbase	0.9	network_modules	4	GO:BP	GO:1904851	6.2354679664708366e-15	7	0.4035734548988351	1	positive regulation of establishment of protein localization to telomere	GO:1904874	-	-
M1	humanbase	0.9	network_modules	4	GO:BP	GO:0070203	1.712619038335332e-14	8	0.3847018655978188	2	regulation of establishment of protein localization to telomere	GO:1904874	-	-
M1	humanbase	0.9	network_modules	4	GO:BP	GO:1904871	1.712619038335332e-14	9	0.3847018655978188	3	positive regulation of protein localization to Cajal body	GO:1904874	-	-
M1	humanbase	0.9	network_modules	4	GO:BP	GO:1904869	1.712619038335332e-14	10	0.3847018655978188	4	regulation of protein localization to Cajal body	GO:1904874	-	-
M1	humanbase	0.9	network_modules	4	GO:BP	GO:0070202	4.105168723858668e-14	11	0.36823750929369753	6	regulation of establishment of protein localization to chromosome	GO:1904874	-	-
M1	humanbase	0.9	network_modules	4	GO:BP	GO:1903405	4.105168723858668e-14	12	0.36823750929369753	7	protein localization to nuclear body	GO:1904874	-	-
M1	humanbase	0.9	network_modules	4	GO:BP	GO:1904867	4.105168723858668e-14	13	0.36823750929369753	8	protein localization to Cajal body	GO:1904874	-	-
M1	humanbase	0.9	network_modules	4	GO:BP	GO:1904816	8.883458883401527e-14	14	0.35370805802222305	9	positive regulation of protein localization to chromosome, telomeric region	GO:1904874	-	-
M1	humanbase	0.9	network_modules	4	GO:BP	GO:1990173	1.774479785756709e-13	15	0.34076153417419297	11	protein localization to nucleoplasm	GO:1904874	-	-
M1	humanbase	0.9	network_modules	4	GO:BP	GO:1904814	3.3230071333149414e-13	16	0.3291295499957718	16	regulation of protein localization to chromosome, telomeric region	GO:1904874	-	-
M1	humanbase	0.9	network_modules	4	GO:BP	GO:0070200	1.0017872529119681e-12	17	0.3090180166149238	17	establishment of protein localization to telomere	GO:1904874	-	-
M1	humanbase	0.9	network_modules	5	REAC	REAC:R-HSA-909733	5.278568779906742e-22	1	0.31233273586940985	1	Interferon alpha/beta signaling	-	-	REAC:R-HSA-909733
M1	humanbase	0.9	network_modules	5	REAC	REAC:R-HSA-913531	1.8104351281975435e-21	2	0.21293075569675662	2	Interferon Signaling	-	-	REAC:R-HSA-909733
M1	humanbase	0.9	network_modules	5	GO:BP	GO:0009615	6.6723970729376335e-15	1	0.14530309450335713	3	response to virus	GO:0009615	-	-
M1	humanbase	0.9	network_modules	5	GO:BP	GO:0045087	3.020004082528619e-14	2	0.11601743502433313	6	innate immune response	GO:0009615	-	-
M1	humanbase	0.9	network_modules	5	GO:BP	GO:0050792	4.2827793020718924e-12	3	0.15540202423905725	2	regulation of viral process	GO:0009615	-	-
M1	humanbase	0.9	network_modules	5	GO:BP	GO:0051607	4.681971477386728e-12	4	0.14111021267083373	4	defense response to virus	GO:0009615	-	-
M1	humanbase	0.9	network_modules	5	GO:BP	GO:0048525	6.48501596512043e-11	5	0.17062584062214592	1	negative regulation of viral process	GO:0009615	-	-
M1	humanbase	0.9	network_modules	5	GO:BP	GO:1903900	3.3258766419051773e-9	6	0.13660800057569353	5	regulation of viral life cycle	GO:0009615	-	-
M1	humanbase	0.9	network_modules	5	REAC	REAC:R-HSA-877300	7.750163991504358e-9	3	0.1608753351168361	3	Interferon gamma signaling	-	-	REAC:R-HSA-909733
M1	humanbase	0.9	network_modules	5	GO:BP	GO:0016032	2.3165393737128823e-8	7	0.10221974048880057	7	viral process	GO:0009615	-	-
M1	humanbase	0.9	network_modules	5	GO:BP	GO:0034097	3.637560143778883e-8	8	0.0882755868941883	8	response to cytokine	GO:0009615	-	-
M1	humanbase	0.9	network_modules	5	GO:BP	GO:1901652	3.637560143778883e-8	9	0.0882755868941883	9	response to peptide	GO:0009615	-	-
M1	humanbase	0.9	network_modules	5	KEGG	KEGG:05164	1.2413950364060366e-7	1	0.13308549174589682	1	Influenza A	-	KEGG:05164	-
M1	humanbase	0.9	network_modules	6	KEGG	KEGG:05169	3.362022991779798e-12	1	0.1743526055388196	3	Epstein-Barr virus infection	-	KEGG:04064	-
M1	humanbase	0.9	network_modules	6	KEGG	KEGG:04064	1.8926161970015256e-11	2	0.20068448497880137	1	NF-kappa B signaling pathway	-	KEGG:04064	-
M1	humanbase	0.9	network_modules	6	KEGG	KEGG:04668	4.875311339730892e-11	3	0.19025601889896465	2	TNF signaling pathway	-	KEGG:04064	-
M1	humanbase	0.9	network_modules	6	GO:BP	GO:0038061	1.2993435295857118e-9	1	0.16280311609453407	1	non-canonical NF-kappaB signal transduction	GO:0038061	-	-
M1	humanbase	0.9	network_modules	6	KEGG	KEGG:04625	9.352113645021831e-8	4	0.15334644614535517	4	C-type lectin receptor signaling pathway	-	KEGG:04064	-
M1	humanbase	0.9	network_modules	6	REAC	REAC:R-HSA-5603029	1.1169046674082865e-7	1	0.32922605083470596	1	IkBA variant leads to EDA-ID	-	-	REAC:R-HSA-5603029
M1	humanbase	0.9	network_modules	6	GO:BP	GO:0007249	1.2296667035698438e-7	2	0.1082056752555231	2	canonical NF-kappaB signal transduction	GO:0038061	-	-
M1	humanbase	0.9	network_modules	6	GO:BP	GO:0006954	2.0502747076142757e-7	3	0.08858736684870164	3	inflammatory response	GO:0038061	-	-
M1	humanbase	0.9	network_modules	6	KEGG	KEGG:05203	3.2227557313126515e-7	5	0.12378195402023086	11	Viral carcinogenesis	-	KEGG:04064	-
M1	humanbase	0.9	network_modules	6	GO:BP	GO:1901652	3.526950222817259e-7	4	0.08607326397868857	4	response to peptide	GO:0038061	-	-
M1	humanbase	0.9	network_modules	6	GO:BP	GO:0034097	3.526950222817259e-7	5	0.08607326397868857	5	response to cytokine	GO:0038061	-	-
M1	humanbase	0.9	network_modules	6	KEGG	KEGG:04380	5.009620207856904e-7	6	0.13507877006446609	7	Osteoclast differentiation	-	KEGG:04064	-
M1	humanbase	0.9	network_modules	6	KEGG	KEGG:04662	9.522986809957752e-7	7	0.1492001186276035	5	B cell receptor signaling pathway	-	KEGG:04064	-
M1	humanbase	0.9	network_modules	6	REAC	REAC:R-HSA-449147	1.5109872847174795e-6	2	0.09345317661013723	9	Signaling by Interleukins	-	-	REAC:R-HSA-5603029
M1	humanbase	0.9	network_modules	6	KEGG	KEGG:05235	1.6871905136252773e-6	8	0.14196595391814062	6	PD-L1 expression and PD-1 checkpoint pathway in cancer	-	KEGG:04064	-
M1	humanbase	0.9	network_modules	6	KEGG	KEGG:04659	4.574623516328469e-6	9	0.13001928002421823	10	Th17 cell differentiation	-	KEGG:04064	-
M1	humanbase	0.9	network_modules	6	KEGG	KEGG:05167	7.232549851321882e-6	10	0.10952225498002446	12	Kaposi sarcoma-associated herpesvirus infection	-	KEGG:04064	-
M1	humanbase	0.9	network_modules	6	REAC	REAC:R-HSA-1810476	7.500805342168413e-6	3	0.2103376649462788	2	RIP-mediated NFkB activation via ZBP1	-	-	REAC:R-HSA-5603029
M1	humanbase	0.9	network_modules	6	REAC	REAC:R-HSA-168164	9.329400104146058e-6	4	0.1254628307203799	6	Toll Like Receptor 3 (TLR3) Cascade	-	-	REAC:R-HSA-5603029
M1	humanbase	0.9	network_modules	6	REAC	REAC:R-HSA-166166	1.1736098164800611e-5	5	0.1229548746974853	7	MyD88-independent TLR4 cascade 	-	-	REAC:R-HSA-5603029
M1	humanbase	0.9	network_modules	6	REAC	REAC:R-HSA-937061	1.1736098164800611e-5	6	0.1229548746974853	8	TRIF (TICAM1)-mediated TLR4 signaling 	-	-	REAC:R-HSA-5603029
M1	humanbase	0.9	network_modules	6	KEGG	KEGG:05417	1.4161788388917239e-5	11	0.10369264417438365	13	Lipid and atherosclerosis	-	KEGG:04064	-
