network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
M1	string	0.2	network_modules	1	REAC	REAC:R-HSA-3656237	0.001525271712888384	1	0.26679570071555003	1	Defective EXT2 causes exostoses 2	-	-	REAC:R-HSA-3656237
M1	string	0.2	network_modules	4	GO:BP	GO:0007389	1.5107858871269245e-36	1	0.2316143335466015	2	pattern specification process	GO:0007389	-	-
M1	string	0.2	network_modules	5	KEGG	KEGG:04630	1.2900564503087554e-120	1	0.6352682724618017	1	JAK-STAT signaling pathway	-	KEGG:04630	-
M1	string	0.2	network_modules	5	GO:BP	GO:0007259	9.70477685759228e-76	2	0.44021190231560603	1	cell surface receptor signaling pathway via JAK-STAT	GO:0007259	-	-
M1	string	0.2	network_modules	5	REAC	REAC:R-HSA-912694	2.685355911294506e-35	2	0.4372181038467729	1	Regulation of IFNA/IFNB signaling	-	-	REAC:R-HSA-912694
M1	string	0.2	network_modules	6	REAC	REAC:R-HSA-8856825	5.562668724940284e-4	1	0.14594213914990417	1	Cargo recognition for clathrin-mediated endocytosis	-	-	REAC:R-HSA-8856825
M1	string	0.2	network_modules	9	GO:BP	GO:0016567	7.787347237497404e-21	1	0.14722956478009	5	protein ubiquitination	GO:0016567	-	-
M1	string	0.2	network_modules	9	REAC	REAC:R-HSA-8951664	4.270720225652534e-20	1	0.20873122563338395	1	Neddylation	-	-	REAC:R-HSA-8951664
M1	string	0.2	network_modules	12	REAC	REAC:R-HSA-3214815	1.0579976341507685e-57	1	0.506687353203912	2	HDACs deacetylate histones	-	-	REAC:R-HSA-3214815
M1	string	0.2	network_modules	12	KEGG	KEGG:05322	1.0982036197742605e-54	1	0.46223588245237873	1	Systemic lupus erythematosus	-	KEGG:05322	-
M1	string	0.2	network_modules	12	GO:BP	GO:0061644	2.0765948311491138e-41	1	0.6034856186499891	1	protein localization to CENP-A containing chromatin	GO:0061644	-	-
M1	string	0.2	network_modules	13	GO:BP	GO:0035329	4.9219385258905445e-17	1	0.33818725938894756	1	hippo signaling	GO:0035329	-	-
M1	string	0.2	network_modules	13	REAC	REAC:R-HSA-8951671	7.034002598908928e-16	1	0.6705538802187516	1	RUNX3 regulates YAP1-mediated transcription	-	-	REAC:R-HSA-8951671
M1	string	0.2	network_modules	18	KEGG	KEGG:00330	7.536510141446925e-4	1	0.14236633107722557	1	Arginine and proline metabolism	-	KEGG:00330	-
M1	string	0.2	network_modules	18	GO:BP	GO:0009066	0.0015728743775049814	1	0.15414515196616763	1	aspartate family amino acid metabolic process	GO:0009066	-	-
M1	string	0.2	network_modules	22	REAC	REAC:R-HSA-5635851	1.5552896502280495e-7	1	0.5475468646193291	1	GLI proteins bind promoters of Hh responsive genes to promote transcription	-	-	REAC:R-HSA-5635851
M1	string	0.2	network_modules	22	GO:BP	GO:0007224	1.1399583626819683e-6	1	0.14158950211240176	1	smoothened signaling pathway	GO:0007224	-	-
M1	string	0.2	network_modules	23	GO:BP	GO:0010389	9.72393407063999e-9	1	0.19375679816724223	4	regulation of G2/M transition of mitotic cell cycle	GO:0010389	-	-
M1	string	0.2	network_modules	23	KEGG	KEGG:03083	2.0440976794549323e-8	1	0.19489559346251153	1	Polycomb repressive complex	-	KEGG:03083	-
M1	string	0.2	network_modules	23	REAC	REAC:R-HSA-8953750	7.540375874761654e-6	1	0.20548711225253619	1	Transcriptional Regulation by E2F6	-	-	REAC:R-HSA-8953750
M1	string	0.2	network_modules	24	REAC	REAC:R-HSA-8951664	2.9937053852160687e-61	1	0.3823891450531864	1	Neddylation	-	-	REAC:R-HSA-8951664
M1	string	0.2	network_modules	24	GO:BP	GO:0045116	1.7407029039696445e-29	4	0.42353360712681454	1	protein neddylation	GO:0045116	-	-
M1	string	0.2	network_modules	24	KEGG	KEGG:04120	7.002906517863156e-18	1	0.2588315085279147	1	Ubiquitin mediated proteolysis	-	KEGG:04120	-
M1	string	0.2	network_modules	25	GO:BP	GO:0006457	7.026619531417284e-22	1	0.2346227181281567	3	protein folding	GO:0006457	-	-
M1	string	0.2	network_modules	25	REAC	REAC:R-HSA-3371568	8.042598214775597e-9	4	0.2977379390103213	1	Attenuation phase	-	-	REAC:R-HSA-3371568
M1	string	0.2	network_modules	27	GO:BP	GO:0046854	1.6650642660505e-10	1	0.3157874393711124	1	phosphatidylinositol phosphate biosynthetic process	GO:0046854	-	-
M1	string	0.2	network_modules	27	REAC	REAC:R-HSA-912631	9.872302504287765e-9	3	0.38988574447953983	1	Regulation of signaling by CBL	-	-	REAC:R-HSA-912631
M1	string	0.2	network_modules	27	KEGG	KEGG:04960	7.480685679568983e-8	4	0.29320894549432436	1	Aldosterone-regulated sodium reabsorption	-	KEGG:04960	-
M1	string	0.2	network_modules	28	GO:BP	GO:0006310	2.6565615290363642e-42	2	0.2711189411185693	6	DNA recombination	GO:0006310	-	-
M1	string	0.2	network_modules	28	KEGG	KEGG:03460	1.5805478117872202e-41	1	0.5480883633276882	1	Fanconi anemia pathway	-	KEGG:03460	-
