network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes	row_rank_p	row_rank_mcc	top_go	top_kegg	top_reac
M1	string	0.9	network_modules	2	TRUE	7.46852903917241e-46	244	76	41	0.5394736842105263	0.1680327868852459	REAC:R-HSA-8951664	REAC	Neddylation	10916	1559		0	0.010752688172043012	244	10672	41	35	203	10637	10916	0.29290729046870345	1	GO:0006508;GO:0009057;GO:0022607;GO:0036211;GO:0050789	ENSG00000036257;ENSG00000117153;ENSG00000049167;ENSG00000079999;ENSG00000109079;ENSG00000121067;ENSG00000087448;ENSG00000174943;ENSG00000198642;ENSG00000100387;ENSG00000099910;ENSG00000146021;ENSG00000183655;ENSG00000163376;ENSG00000082641;ENSG00000144228;ENSG00000187514;ENSG00000122550;ENSG00000100379;ENSG00000116044;ENSG00000171617;ENSG00000145332;ENSG00000162413;ENSG00000239474;ENSG00000076321;ENSG00000154328;ENSG00000111276;ENSG00000100897;ENSG00000145041;ENSG00000113851;ENSG00000122741;ENSG00000143164;ENSG00000119599;ENSG00000139842;ENSG00000174842;ENSG00000111530;ENSG00000112659;ENSG00000140543;ENSG00000174989;ENSG00000136485;ENSG00000130311;ENSG00000100991;ENSG00000132716;ENSG00000134574;ENSG00000167986;ENSG00000115827;ENSG00000132017;ENSG00000143207;ENSG00000163257;ENSG00000159069;ENSG00000158290;ENSG00000258465;ENSG00000143476;ENSG00000139990;ENSG00000134690;ENSG00000089685;ENSG00000178999;ENSG00000149503;ENSG00000087586;ENSG00000175216;ENSG00000104904;ENSG00000134323;ENSG00000196116;ENSG00000129474;ENSG00000013810;ENSG00000147526;ENSG00000110906;ENSG00000163806;ENSG00000115758;ENSG00000076248;ENSG00000197063;ENSG00000126562;ENSG00000131051;ENSG00000162402;ENSG00000101347;ENSG00000129810;ENSG00000178502;ENSG00000243335;ENSG00000109466;ENSG00000008853;ENSG00000180901;ENSG00000168301;ENSG00000167977;ENSG00000120696;ENSG00000161594;ENSG00000067208;ENSG00000142784;ENSG00000198876;ENSG00000105146;ENSG00000123405;ENSG00000155096;ENSG00000198517;ENSG00000185022;ENSG00000157540;ENSG00000105204	1	1	-	-	REAC:R-HSA-8951664
M1	string	0.9	network_modules	2	TRUE	2.2642252220043732e-30	590	85	39	0.4588235294117647	0.06610169491525424	GO:0016567	GO:BP	protein ubiquitination	16175	5254		0.010869565217391304	0.021505376344086023	590	15585	39	46	551	15539	16175	0.16374431643792722	2	GO:0006508;GO:0009057;GO:0022607;GO:0036211;GO:0050789	ENSG00000036257;ENSG00000117153;ENSG00000049167;ENSG00000079999;ENSG00000109079;ENSG00000121067;ENSG00000087448;ENSG00000174943;ENSG00000198642;ENSG00000100387;ENSG00000099910;ENSG00000146021;ENSG00000183655;ENSG00000163376;ENSG00000082641;ENSG00000144228;ENSG00000187514;ENSG00000122550;ENSG00000100379;ENSG00000116044;ENSG00000171617;ENSG00000145332;ENSG00000162413;ENSG00000239474;ENSG00000076321;ENSG00000154328;ENSG00000111276;ENSG00000100897;ENSG00000145041;ENSG00000113851;ENSG00000122741;ENSG00000143164;ENSG00000119599;ENSG00000139842;ENSG00000174842;ENSG00000111530;ENSG00000112659;ENSG00000140543;ENSG00000174989;ENSG00000136485;ENSG00000130311;ENSG00000100991;ENSG00000132716;ENSG00000134574;ENSG00000167986;ENSG00000115827;ENSG00000132017;ENSG00000143207;ENSG00000163257;ENSG00000159069;ENSG00000158290;ENSG00000258465;ENSG00000143476;ENSG00000139990;ENSG00000134690;ENSG00000089685;ENSG00000178999;ENSG00000149503;ENSG00000087586;ENSG00000175216;ENSG00000104904;ENSG00000134323;ENSG00000196116;ENSG00000129474;ENSG00000013810;ENSG00000147526;ENSG00000110906;ENSG00000163806;ENSG00000115758;ENSG00000076248;ENSG00000197063;ENSG00000126562;ENSG00000131051;ENSG00000162402;ENSG00000101347;ENSG00000129810;ENSG00000178502;ENSG00000243335;ENSG00000109466;ENSG00000008853;ENSG00000180901;ENSG00000168301;ENSG00000167977;ENSG00000120696;ENSG00000161594;ENSG00000067208;ENSG00000142784;ENSG00000198876;ENSG00000105146;ENSG00000123405;ENSG00000155096;ENSG00000198517;ENSG00000185022;ENSG00000157540;ENSG00000105204	1	1	GO:0016567	-	-
M1	string	0.9	network_modules	2	TRUE	4.325694419222809e-14	140	31	13	0.41935483870967744	0.09285714285714286	KEGG:04120	KEGG	Ubiquitin mediated proteolysis	8484	270		0.13043478260869565	0.13978494623655913	140	8344	13	18	127	8326	8484	0.19150129365512322	13	GO:0006508;GO:0009057;GO:0022607;GO:0036211;GO:0050789	ENSG00000036257;ENSG00000117153;ENSG00000049167;ENSG00000079999;ENSG00000109079;ENSG00000121067;ENSG00000087448;ENSG00000174943;ENSG00000198642;ENSG00000100387;ENSG00000099910;ENSG00000146021;ENSG00000183655;ENSG00000163376;ENSG00000082641;ENSG00000144228;ENSG00000187514;ENSG00000122550;ENSG00000100379;ENSG00000116044;ENSG00000171617;ENSG00000145332;ENSG00000162413;ENSG00000239474;ENSG00000076321;ENSG00000154328;ENSG00000111276;ENSG00000100897;ENSG00000145041;ENSG00000113851;ENSG00000122741;ENSG00000143164;ENSG00000119599;ENSG00000139842;ENSG00000174842;ENSG00000111530;ENSG00000112659;ENSG00000140543;ENSG00000174989;ENSG00000136485;ENSG00000130311;ENSG00000100991;ENSG00000132716;ENSG00000134574;ENSG00000167986;ENSG00000115827;ENSG00000132017;ENSG00000143207;ENSG00000163257;ENSG00000159069;ENSG00000158290;ENSG00000258465;ENSG00000143476;ENSG00000139990;ENSG00000134690;ENSG00000089685;ENSG00000178999;ENSG00000149503;ENSG00000087586;ENSG00000175216;ENSG00000104904;ENSG00000134323;ENSG00000196116;ENSG00000129474;ENSG00000013810;ENSG00000147526;ENSG00000110906;ENSG00000163806;ENSG00000115758;ENSG00000076248;ENSG00000197063;ENSG00000126562;ENSG00000131051;ENSG00000162402;ENSG00000101347;ENSG00000129810;ENSG00000178502;ENSG00000243335;ENSG00000109466;ENSG00000008853;ENSG00000180901;ENSG00000168301;ENSG00000167977;ENSG00000120696;ENSG00000161594;ENSG00000067208;ENSG00000142784;ENSG00000198876;ENSG00000105146;ENSG00000123405;ENSG00000155096;ENSG00000198517;ENSG00000185022;ENSG00000157540;ENSG00000105204	1	1	-	KEGG:04120	-
M1	string	0.9	network_modules	4	TRUE	2.04666214328084e-60	103	33	31	0.9393939393939394	0.30097087378640774	REAC:R-HSA-611105	REAC	Respiratory electron transport	10916	2081		0	0.02857142857142857	103	10813	31	2	72	10811	10916	0.5296852988074613	1	GO:0006119;GO:0022900	ENSG00000137806;ENSG00000189043;ENSG00000115286;ENSG00000010256;ENSG00000113845;ENSG00000186010;ENSG00000164405;ENSG00000178741;ENSG00000156467;ENSG00000173660;ENSG00000198727;ENSG00000184076;ENSG00000169021;ENSG00000127540;ENSG00000140740;ENSG00000165688;ENSG00000179091;ENSG00000198712;ENSG00000111775;ENSG00000135940;ENSG00000131143;ENSG00000127184;ENSG00000176340;ENSG00000198804;ENSG00000164919;ENSG00000198938;ENSG00000101247;ENSG00000178057;ENSG00000123545;ENSG00000177646;ENSG00000156885;ENSG00000105819;ENSG00000130159;ENSG00000171204;ENSG00000233954;ENSG00000161281;ENSG00000131055;ENSG00000112695	1	1	-	-	REAC:R-HSA-611105
M1	string	0.9	network_modules	4	TRUE	4.778460765077629e-53	82	37	27	0.7297297297297297	0.32926829268292684	GO:0019646	GO:BP	aerobic electron transport chain	16175	5967		0.029411764705882353	0.05714285714285714	82	16093	27	10	55	16083	16175	0.4885727720712054	2	GO:0006119;GO:0022900	ENSG00000137806;ENSG00000189043;ENSG00000115286;ENSG00000010256;ENSG00000113845;ENSG00000186010;ENSG00000164405;ENSG00000178741;ENSG00000156467;ENSG00000173660;ENSG00000198727;ENSG00000184076;ENSG00000169021;ENSG00000127540;ENSG00000140740;ENSG00000165688;ENSG00000179091;ENSG00000198712;ENSG00000111775;ENSG00000135940;ENSG00000131143;ENSG00000127184;ENSG00000176340;ENSG00000198804;ENSG00000164919;ENSG00000198938;ENSG00000101247;ENSG00000178057;ENSG00000123545;ENSG00000177646;ENSG00000156885;ENSG00000105819;ENSG00000130159;ENSG00000171204;ENSG00000233954;ENSG00000161281;ENSG00000131055;ENSG00000112695	1	1	GO:0019646	-	-
M1	string	0.9	network_modules	5	TRUE	2.2856095387335712e-39	54	37	22	0.5945945945945946	0.4074074074074074	KEGG:03460	KEGG	Fanconi anemia pathway	8484	242		0	0.01020408163265306	54	8430	22	15	32	8415	8484	0.48953814250672084	1	GO:0006281;GO:0022414;GO:0000280;GO:0007059	ENSG00000008405;ENSG00000179094;ENSG00000132326;ENSG00000005812;ENSG00000121671;ENSG00000213923;ENSG00000083093;ENSG00000100162;ENSG00000153044;ENSG00000102384;ENSG00000138092;ENSG00000123219;ENSG00000175279;ENSG00000031691;ENSG00000151725;ENSG00000100206;ENSG00000139618;ENSG00000051180;ENSG00000111247;ENSG00000112039;ENSG00000162585;ENSG00000221829;ENSG00000178966;ENSG00000183161;ENSG00000115392;ENSG00000197299;ENSG00000177302;ENSG00000131944;ENSG00000181544;ENSG00000158169;ENSG00000169689;ENSG00000187741;ENSG00000187790;ENSG00000185504;ENSG00000114315;ENSG00000141551;ENSG00000144485;ENSG00000136492;ENSG00000137812;ENSG00000185043;ENSG00000175643;ENSG00000145241;ENSG00000166451;ENSG00000120334;ENSG00000188312;ENSG00000142856;ENSG00000102901;ENSG00000126215;ENSG00000203760;ENSG00000182185;ENSG00000108384;ENSG00000267618;ENSG00000185379;ENSG00000156384;ENSG00000196584;ENSG00000197275;ENSG00000180573;ENSG00000158636	1	1	-	KEGG:03460	-
M1	string	0.9	network_modules	5	TRUE	1.9850195742909638e-27	39	56	16	0.2857142857142857	0.41025641025641024	GO:0036297	GO:BP	interstrand cross-link repair	16175	9548		0.020618556701030927	0.030612244897959183	39	16136	16	40	23	16096	16175	0.3404790730100469	3	GO:0006281;GO:0022414;GO:0000280;GO:0007059	ENSG00000008405;ENSG00000179094;ENSG00000132326;ENSG00000005812;ENSG00000121671;ENSG00000213923;ENSG00000083093;ENSG00000100162;ENSG00000153044;ENSG00000102384;ENSG00000138092;ENSG00000123219;ENSG00000175279;ENSG00000031691;ENSG00000151725;ENSG00000100206;ENSG00000139618;ENSG00000051180;ENSG00000111247;ENSG00000112039;ENSG00000162585;ENSG00000221829;ENSG00000178966;ENSG00000183161;ENSG00000115392;ENSG00000197299;ENSG00000177302;ENSG00000131944;ENSG00000181544;ENSG00000158169;ENSG00000169689;ENSG00000187741;ENSG00000187790;ENSG00000185504;ENSG00000114315;ENSG00000141551;ENSG00000144485;ENSG00000136492;ENSG00000137812;ENSG00000185043;ENSG00000175643;ENSG00000145241;ENSG00000166451;ENSG00000120334;ENSG00000188312;ENSG00000142856;ENSG00000102901;ENSG00000126215;ENSG00000203760;ENSG00000182185;ENSG00000108384;ENSG00000267618;ENSG00000185379;ENSG00000156384;ENSG00000196584;ENSG00000197275;ENSG00000180573;ENSG00000158636	2	1	GO:0036297	-	-
M1	string	0.9	network_modules	5	TRUE	3.2950952975139024e-24	27	52	14	0.2692307692307692	0.5185185185185185	REAC:R-HSA-5693554	REAC	Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)	10916	2078		0.07216494845360824	0.08163265306122448	27	10889	14	38	13	10851	10916	0.37154447757108	8	GO:0006281;GO:0022414;GO:0000280;GO:0007059	ENSG00000008405;ENSG00000179094;ENSG00000132326;ENSG00000005812;ENSG00000121671;ENSG00000213923;ENSG00000083093;ENSG00000100162;ENSG00000153044;ENSG00000102384;ENSG00000138092;ENSG00000123219;ENSG00000175279;ENSG00000031691;ENSG00000151725;ENSG00000100206;ENSG00000139618;ENSG00000051180;ENSG00000111247;ENSG00000112039;ENSG00000162585;ENSG00000221829;ENSG00000178966;ENSG00000183161;ENSG00000115392;ENSG00000197299;ENSG00000177302;ENSG00000131944;ENSG00000181544;ENSG00000158169;ENSG00000169689;ENSG00000187741;ENSG00000187790;ENSG00000185504;ENSG00000114315;ENSG00000141551;ENSG00000144485;ENSG00000136492;ENSG00000137812;ENSG00000185043;ENSG00000175643;ENSG00000145241;ENSG00000166451;ENSG00000120334;ENSG00000188312;ENSG00000142856;ENSG00000102901;ENSG00000126215;ENSG00000203760;ENSG00000182185;ENSG00000108384;ENSG00000267618;ENSG00000185379;ENSG00000156384;ENSG00000196584;ENSG00000197275;ENSG00000180573;ENSG00000158636	4	1	-	-	REAC:R-HSA-5693554
M1	string	0.9	network_modules	10	TRUE	8.18826526127441e-8	11	12	4	0.3333333333333333	0.36363636363636365	REAC:R-HSA-5625970	REAC	RHO GTPases activate KTN1	10916	1855		0.07692307692307693	0.14285714285714285	11	10905	4	8	7	10897	10916	0.3474688673038479	2	GO:0051640;GO:0006810;GO:0051641	ENSG00000072818;ENSG00000144366;ENSG00000165527;ENSG00000181856;ENSG00000008294;ENSG00000113441;ENSG00000126214;ENSG00000137171;ENSG00000170759;ENSG00000155980;ENSG00000137807;ENSG00000114346;ENSG00000161800;ENSG00000008256;ENSG00000171603	2	1	-	-	REAC:R-HSA-5625970
M1	string	0.9	network_modules	13	TRUE	1.1341089015958793e-9	105	7	6	0.8571428571428571	0.05714285714285714	REAC:R-HSA-2672351	REAC	Stimuli-sensing channels	10916	2354		0	0.017857142857142856	105	10811	6	1	99	10810	10916	0.21996038550087615	1	GO:0050877;GO:0006811;GO:0050896	ENSG00000198626;ENSG00000065534;ENSG00000166828;ENSG00000168447;ENSG00000111319;ENSG00000165125;ENSG00000119782	1	2	-	-	REAC:R-HSA-2672351
