network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
M1	string	0.9	network_modules	2	REAC	REAC:R-HSA-8951664	7.46852903917241e-46	1	0.29290729046870345	1	Neddylation	-	-	REAC:R-HSA-8951664
M1	string	0.9	network_modules	2	GO:BP	GO:0016567	2.2642252220043732e-30	1	0.16374431643792722	1	protein ubiquitination	GO:0016567	-	-
M1	string	0.9	network_modules	2	GO:BP	GO:0032446	2.522687927709799e-28	2	0.1526447748348499	6	protein modification by small protein conjugation	GO:0016567	-	-
M1	string	0.9	network_modules	2	GO:BP	GO:0043687	6.975208312442475e-28	3	0.14532621842393975	9	post-translational protein modification	GO:0016567	-	-
M1	string	0.9	network_modules	2	GO:BP	GO:0070647	2.0768517725764636e-26	4	0.14267587234142998	10	protein modification by small protein conjugation or removal	GO:0016567	-	-
M1	string	0.9	network_modules	2	GO:BP	GO:0043161	5.018748353768879e-25	5	0.1621807646308839	2	proteasome-mediated ubiquitin-dependent protein catabolic process	GO:0016567	-	-
M1	string	0.9	network_modules	2	GO:BP	GO:0010498	2.5396559313323793e-24	6	0.15033302549141017	7	proteasomal protein catabolic process	GO:0016567	-	-
M1	string	0.9	network_modules	2	GO:BP	GO:0006511	1.5662779071813572e-23	7	0.14251013029275403	11	ubiquitin-dependent protein catabolic process	GO:0016567	-	-
M1	string	0.9	network_modules	2	GO:BP	GO:0019941	2.5005408717145717e-23	8	0.14131804259226022	12	modification-dependent protein catabolic process	GO:0016567	-	-
M1	string	0.9	network_modules	2	GO:BP	GO:0043632	3.150819480093316e-23	9	0.1407311565361816	13	modification-dependent macromolecule catabolic process	GO:0016567	-	-
M1	string	0.9	network_modules	2	GO:BP	GO:0051603	4.456531119083602e-23	10	0.13472886005288495	14	proteolysis involved in protein catabolic process	GO:0016567	-	-
M1	string	0.9	network_modules	2	REAC	REAC:R-HSA-983168	2.88214041264783e-14	2	0.13210934306497732	2	Antigen processing: Ubiquitination & Proteasome degradation	-	-	REAC:R-HSA-8951664
M1	string	0.9	network_modules	2	KEGG	KEGG:04120	4.325694419222809e-14	1	0.19150129365512322	1	Ubiquitin mediated proteolysis	-	KEGG:04120	-
M1	string	0.9	network_modules	2	REAC	REAC:R-HSA-983169	2.392419015593896e-12	3	0.1163297586446475	3	Class I MHC mediated antigen processing & presentation	-	-	REAC:R-HSA-8951664
M1	string	0.9	network_modules	2	GO:BP	GO:0042176	1.1312454687517732e-7	11	0.08355578489378324	17	regulation of protein catabolic process	GO:0016567	-	-
M1	string	0.9	network_modules	2	GO:BP	GO:0045732	3.2905337366882357e-7	12	0.08952951889006369	16	positive regulation of protein catabolic process	GO:0016567	-	-
M1	string	0.9	network_modules	2	GO:BP	GO:0032465	1.1703662767176556e-6	13	0.1005104046892196	15	regulation of cytokinesis	GO:0016567	-	-
M1	string	0.9	network_modules	2	GO:BP	GO:0051256	2.862941953344191e-6	14	0.16210854042604128	3	mitotic spindle midzone assembly	GO:0016567	-	-
M1	string	0.9	network_modules	2	KEGG	KEGG:03420	4.857770385759522e-6	2	0.1335754624661284	2	Nucleotide excision repair	-	KEGG:04120	-
