network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes
R1	cpdb	0.2	network_modules	1	TRUE	1.1900473242744753e-8	83	18	7	0.3888888888888889	0.08433734939759036	KEGG:04146	KEGG	Peroxisome	8484	282		0	0.1111111111111111	83	8401	7	11	76	8390	8484	0.17760436432556356	1	GO:0006082	ENSG00000129103;ENSG00000243955;ENSG00000159763;ENSG00000142657;ENSG00000107537;ENSG00000112357;ENSG00000117862;ENSG00000138413;ENSG00000005194;ENSG00000170899;ENSG00000137106;ENSG00000085662;ENSG00000179163;ENSG00000142910;ENSG00000160862;ENSG00000023318;ENSG00000129214;ENSG00000114757;ENSG00000095321;ENSG00000148834;ENSG00000164398;ENSG00000001630;ENSG00000144455;ENSG00000161533;ENSG00000141337
R1	cpdb	0.2	network_modules	1	TRUE	6.746798812457073e-8	56	18	6	0.3333333333333333	0.10714285714285714	KEGG:00480	KEGG	Glutathione metabolism	8484	61		0.125	0.2222222222222222	56	8428	6	12	50	8416	8484	0.18605188284991508	2	GO:0006082	ENSG00000129103;ENSG00000243955;ENSG00000159763;ENSG00000142657;ENSG00000107537;ENSG00000112357;ENSG00000117862;ENSG00000138413;ENSG00000005194;ENSG00000170899;ENSG00000137106;ENSG00000085662;ENSG00000179163;ENSG00000142910;ENSG00000160862;ENSG00000023318;ENSG00000129214;ENSG00000114757;ENSG00000095321;ENSG00000148834;ENSG00000164398;ENSG00000001630;ENSG00000144455;ENSG00000161533;ENSG00000141337
R1	cpdb	0.2	network_modules	1	TRUE	2.547939839798328e-5	60	21	5	0.23809523809523808	0.08333333333333333	REAC:R-HSA-9033241	REAC	Peroxisomal protein import	10916	1728		0.25	0.3333333333333333	60	10856	5	16	55	10840	10916	0.13811992490880562	3	GO:0006082	ENSG00000129103;ENSG00000243955;ENSG00000159763;ENSG00000142657;ENSG00000107537;ENSG00000112357;ENSG00000117862;ENSG00000138413;ENSG00000005194;ENSG00000170899;ENSG00000137106;ENSG00000085662;ENSG00000179163;ENSG00000142910;ENSG00000160862;ENSG00000023318;ENSG00000129214;ENSG00000114757;ENSG00000095321;ENSG00000148834;ENSG00000164398;ENSG00000001630;ENSG00000144455;ENSG00000161533;ENSG00000141337
R1	cpdb	0.2	network_modules	2	TRUE	1.7815857800276777e-9	677	28	14	0.5	0.0206794682422452	GO:0030001	GO:BP	metal ion transport	16175	6646		0	0.012987012987012988	677	15498	14	14	663	15484	16175	0.09526830579903722	1	GO:0006811;GO:0006066;GO:0050789	ENSG00000144935;ENSG00000037280;ENSG00000089250;ENSG00000163399;ENSG00000118520;ENSG00000143153;ENSG00000108551;ENSG00000123505;ENSG00000067113;ENSG00000160191;ENSG00000141934;ENSG00000112499;ENSG00000138669;ENSG00000150787;ENSG00000138741;ENSG00000162407;ENSG00000175938;ENSG00000136235;ENSG00000133107;ENSG00000175003;ENSG00000137672;ENSG00000072315;ENSG00000137731;ENSG00000074803;ENSG00000149782;ENSG00000150630;ENSG00000276045;ENSG00000266964
R1	cpdb	0.2	network_modules	2	TRUE	4.1917611248819696e-9	10	26	5	0.19230769230769232	0.5	REAC:R-HSA-418890	REAC	Role of second messengers in netrin-1 signaling	10916	2110		0.013157894736842105	0.025974025974025976	10	10906	5	21	5	10885	10916	0.30911949890955726	2	GO:0006811;GO:0006066;GO:0050789	ENSG00000144935;ENSG00000037280;ENSG00000089250;ENSG00000163399;ENSG00000118520;ENSG00000143153;ENSG00000108551;ENSG00000123505;ENSG00000067113;ENSG00000160191;ENSG00000141934;ENSG00000112499;ENSG00000138669;ENSG00000150787;ENSG00000138741;ENSG00000162407;ENSG00000175938;ENSG00000136235;ENSG00000133107;ENSG00000175003;ENSG00000137672;ENSG00000072315;ENSG00000137731;ENSG00000074803;ENSG00000149782;ENSG00000150630;ENSG00000276045;ENSG00000266964
R1	cpdb	0.2	network_modules	2	TRUE	5.008999428996389e-9	575	28	13	0.4642857142857143	0.022608695652173914	GO:0098662	GO:BP	inorganic cation transmembrane transport	16175	18818		0.02631578947368421	0.03896103896103896	575	15600	13	15	562	15585	16175	0.09642111604352678	3	GO:0006811;GO:0006066;GO:0050789	ENSG00000144935;ENSG00000037280;ENSG00000089250;ENSG00000163399;ENSG00000118520;ENSG00000143153;ENSG00000108551;ENSG00000123505;ENSG00000067113;ENSG00000160191;ENSG00000141934;ENSG00000112499;ENSG00000138669;ENSG00000150787;ENSG00000138741;ENSG00000162407;ENSG00000175938;ENSG00000136235;ENSG00000133107;ENSG00000175003;ENSG00000137672;ENSG00000072315;ENSG00000137731;ENSG00000074803;ENSG00000149782;ENSG00000150630;ENSG00000276045;ENSG00000266964
R1	cpdb	0.2	network_modules	2	TRUE	5.233471304643291e-9	577	28	13	0.4642857142857143	0.022530329289428077	GO:0098655	GO:BP	monoatomic cation transmembrane transport	16175	18811		0.039473684210526314	0.05194805194805195	577	15598	13	15	564	15583	16175	0.09623227268490735	4	GO:0006811;GO:0006066;GO:0050789	ENSG00000144935;ENSG00000037280;ENSG00000089250;ENSG00000163399;ENSG00000118520;ENSG00000143153;ENSG00000108551;ENSG00000123505;ENSG00000067113;ENSG00000160191;ENSG00000141934;ENSG00000112499;ENSG00000138669;ENSG00000150787;ENSG00000138741;ENSG00000162407;ENSG00000175938;ENSG00000136235;ENSG00000133107;ENSG00000175003;ENSG00000137672;ENSG00000072315;ENSG00000137731;ENSG00000074803;ENSG00000149782;ENSG00000150630;ENSG00000276045;ENSG00000266964
R1	cpdb	0.2	network_modules	2	TRUE	6.868767845094562e-9	748	28	14	0.5	0.01871657754010695	GO:0006812	GO:BP	monoatomic cation transport	16175	2492		0.05263157894736842	0.06493506493506493	748	15427	14	14	734	15413	16175	0.08997213560760607	5	GO:0006811;GO:0006066;GO:0050789	ENSG00000144935;ENSG00000037280;ENSG00000089250;ENSG00000163399;ENSG00000118520;ENSG00000143153;ENSG00000108551;ENSG00000123505;ENSG00000067113;ENSG00000160191;ENSG00000141934;ENSG00000112499;ENSG00000138669;ENSG00000150787;ENSG00000138741;ENSG00000162407;ENSG00000175938;ENSG00000136235;ENSG00000133107;ENSG00000175003;ENSG00000137672;ENSG00000072315;ENSG00000137731;ENSG00000074803;ENSG00000149782;ENSG00000150630;ENSG00000276045;ENSG00000266964
R1	cpdb	0.2	network_modules	2	TRUE	9.751916188244432e-9	54	26	7	0.2692307692307692	0.12962962962962962	REAC:R-HSA-5578775	REAC	Ion homeostasis	10916	1273		0.06578947368421052	0.07792207792207792	54	10862	7	19	47	10843	10916	0.18405820938362824	6	GO:0006811;GO:0006066;GO:0050789	ENSG00000144935;ENSG00000037280;ENSG00000089250;ENSG00000163399;ENSG00000118520;ENSG00000143153;ENSG00000108551;ENSG00000123505;ENSG00000067113;ENSG00000160191;ENSG00000141934;ENSG00000112499;ENSG00000138669;ENSG00000150787;ENSG00000138741;ENSG00000162407;ENSG00000175938;ENSG00000136235;ENSG00000133107;ENSG00000175003;ENSG00000137672;ENSG00000072315;ENSG00000137731;ENSG00000074803;ENSG00000149782;ENSG00000150630;ENSG00000276045;ENSG00000266964
R1	cpdb	0.2	network_modules	2	TRUE	1.5828980104484253e-8	630	28	13	0.4642857142857143	0.020634920634920634	GO:0098660	GO:BP	inorganic ion transmembrane transport	16175	18816		0.07894736842105263	0.09090909090909091	630	15545	13	15	617	15530	16175	0.09154710624272201	7	GO:0006811;GO:0006066;GO:0050789	ENSG00000144935;ENSG00000037280;ENSG00000089250;ENSG00000163399;ENSG00000118520;ENSG00000143153;ENSG00000108551;ENSG00000123505;ENSG00000067113;ENSG00000160191;ENSG00000141934;ENSG00000112499;ENSG00000138669;ENSG00000150787;ENSG00000138741;ENSG00000162407;ENSG00000175938;ENSG00000136235;ENSG00000133107;ENSG00000175003;ENSG00000137672;ENSG00000072315;ENSG00000137731;ENSG00000074803;ENSG00000149782;ENSG00000150630;ENSG00000276045;ENSG00000266964
