network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
R1	cpdb	0.4	network_modules	1	REAC	REAC:R-HSA-1663150	9.247550273174836e-5	1	0.23932208897613966	1	The activation of arylsulfatases	-	-	REAC:R-HSA-1663150
R1	cpdb	0.4	network_modules	2	REAC	REAC:R-HSA-2206281	6.6365327560523615e-9	1	0.30048773985972965	1	Mucopolysaccharidoses	-	-	REAC:R-HSA-2206281
R1	cpdb	0.4	network_modules	2	KEGG	KEGG:00531	1.3019638917058832e-7	2	0.22293211378205088	1	Glycosaminoglycan degradation	-	KEGG:00531	-
R1	cpdb	0.4	network_modules	3	REAC	REAC:R-HSA-391908	3.46752554269525e-7	1	0.29730829796627206	1	Prostanoid ligand receptors	-	-	REAC:R-HSA-391908
R1	cpdb	0.4	network_modules	4	REAC	REAC:R-HSA-1296065	2.9530582833608564e-13	1	0.29335337830074143	2	Inwardly rectifying K+ channels	-	-	REAC:R-HSA-1296065
R1	cpdb	0.4	network_modules	4	GO:BP	GO:1990573	1.8691552979118352e-12	1	0.24248041732254685	1	potassium ion import across plasma membrane	GO:1990573	-	-
R1	cpdb	0.4	network_modules	4	KEGG	KEGG:04814	1.1659373280970703e-4	1	0.09604961490175648	1	Motor proteins	-	KEGG:04814	-
R1	cpdb	0.4	network_modules	5	REAC	REAC:R-HSA-163210	3.722206995788554e-24	1	0.5283501470524657	1	Formation of ATP by chemiosmotic coupling	-	-	REAC:R-HSA-163210
R1	cpdb	0.4	network_modules	5	KEGG	KEGG:04714	6.880257373559245e-18	1	0.209818326081984	1	Thermogenesis	-	KEGG:04714	-
R1	cpdb	0.4	network_modules	5	GO:BP	GO:0042776	6.353896382657883e-17	1	0.25594243641981324	1	proton motive force-driven mitochondrial ATP synthesis	GO:0042776	-	-
R1	cpdb	0.4	network_modules	6	KEGG	KEGG:03022	9.329609281368018e-25	1	0.4414792879737087	1	Basal transcription factors	-	KEGG:03022	-
R1	cpdb	0.4	network_modules	6	REAC	REAC:R-HSA-73779	3.615757246845083e-23	1	0.3814832871319147	3	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	-	-	REAC:R-HSA-73779
R1	cpdb	0.4	network_modules	7	KEGG	KEGG:03022	6.868443502319329e-50	1	0.66152740113015	1	Basal transcription factors	-	KEGG:03022	-
R1	cpdb	0.4	network_modules	7	REAC	REAC:R-HSA-73779	2.613822422243639e-31	1	0.44115463337054334	1	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	-	-	REAC:R-HSA-73779
R1	cpdb	0.4	network_modules	7	GO:BP	GO:0051123	3.5116054225623486e-31	1	0.3583406673405355	1	RNA polymerase II preinitiation complex assembly	GO:0051123	-	-
