network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
R1	cpdb	0.7	network_modules	1	REAC	REAC:R-HSA-1663150	2.359756176542393e-5	1	0.2880001370043884	1	The activation of arylsulfatases	-	-	REAC:R-HSA-1663150
R1	cpdb	0.7	network_modules	2	REAC	REAC:R-HSA-1296065	1.4779634370355235e-13	1	0.41348868801441624	2	Inwardly rectifying K+ channels	-	-	REAC:R-HSA-1296025
R1	cpdb	0.7	network_modules	2	GO:BP	GO:1990573	2.0108840188509642e-13	1	0.37311604351396965	1	potassium ion import across plasma membrane	GO:1990573	-	-
R1	cpdb	0.7	network_modules	2	REAC	REAC:R-HSA-1296025	5.4205240542838896e-12	2	0.8164217519323871	1	ATP sensitive Potassium channels	-	-	REAC:R-HSA-1296025
R1	cpdb	0.7	network_modules	2	GO:BP	GO:0099587	1.0316211415869514e-10	2	0.22567676129090286	2	inorganic ion import across plasma membrane	GO:1990573	-	-
R1	cpdb	0.7	network_modules	2	GO:BP	GO:0098659	1.0316211415869514e-10	3	0.22567676129090286	3	inorganic cation import across plasma membrane	GO:1990573	-	-
R1	cpdb	0.7	network_modules	2	REAC	REAC:R-HSA-1296071	1.3019367997785958e-10	3	0.24028006404870808	3	Potassium Channels	-	-	REAC:R-HSA-1296025
R1	cpdb	0.7	network_modules	3	GO:BP	GO:0006086	2.0741618617933156e-18	1	0.4776180427803889	1	acetyl-CoA biosynthetic process from pyruvate	GO:0006086	-	-
R1	cpdb	0.7	network_modules	3	GO:BP	GO:0006085	1.1119098951671306e-15	2	0.3658394795920632	2	acetyl-CoA biosynthetic process	GO:0006086	-	-
R1	cpdb	0.7	network_modules	3	REAC	REAC:R-HSA-9861718	1.3106534473753918e-15	1	0.3911162765503596	1	Regulation of pyruvate metabolism	-	-	REAC:R-HSA-9861718
