network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes	row_rank_p	row_rank_mcc	top_go	top_kegg	top_reac
R1	cpdb	0.9	network_modules	1	TRUE	6.039206301591784e-4	12	3	2	0.6666666666666666	0.16666666666666666	REAC:R-HSA-1663150	REAC	The activation of arylsulfatases	10916	2498		0	0.3333333333333333	12	10904	2	1	10	10903	10916	0.3330125109557372	1	NA	ENSG00000129103;ENSG00000023318;ENSG00000117862;ENSG00000144455	1	1	-	-	REAC:R-HSA-1663150
R1	cpdb	0.9	network_modules	2	TRUE	3.355655245340525e-9	4	3	3	1	0.75	REAC:R-HSA-1296025	REAC	ATP sensitive Potassium channels	10916	39		0	0.08333333333333333	4	10912	3	0	1	10912	10916	0.865985724262584	1	GO:0006811	ENSG00000069431;ENSG00000121361;ENSG00000187486	1	1	-	-	REAC:R-HSA-1296025
R1	cpdb	0.9	network_modules	2	TRUE	8.33354899907009e-6	43	3	3	1	0.06976744186046512	GO:1990573	GO:BP	potassium ion import across plasma membrane	16175	25222		0.18181818181818182	0.25	43	16132	3	0	40	16132	16175	0.26380841213641976	3	GO:0006811	ENSG00000069431;ENSG00000121361;ENSG00000187486	1	1	GO:1990573	-	-
R1	cpdb	0.9	network_modules	3	TRUE	0.001258091079065584	3	13	2	0.15384615384615385	0.6666666666666666	REAC:R-HSA-77285	REAC	Beta oxidation of myristoyl-CoA to lauroyl-CoA	10916	213		0	0.25	3	10913	2	11	1	10902	10916	0.3199187039314686	1.5	NA	ENSG00000084754;ENSG00000165283;ENSG00000075415;ENSG00000140009;ENSG00000139531;ENSG00000138029;ENSG00000106541;ENSG00000119715;ENSG00000130518;ENSG00000163528;ENSG00000124523;ENSG00000126267;ENSG00000119723;ENSG00000175768;ENSG00000123815;ENSG00000150779;ENSG00000008311;ENSG00000133315	1	1	-	-	REAC:R-HSA-77285
R1	cpdb	0.9	network_modules	4	TRUE	2.5320198155694548e-48	43	22	21	0.9545454545454546	0.4883720930232558	KEGG:03022	KEGG	Basal transcription factors	8484	213		0	0.02702702702702703	43	8441	21	1	22	8440	8484	0.6817557384695301	1	GO:0009059;GO:0016070;GO:0065003;GO:0050789	ENSG00000153767;ENSG00000140307;ENSG00000112592;ENSG00000120656;ENSG00000165417;ENSG00000147133;ENSG00000130699;ENSG00000064313;ENSG00000028839;ENSG00000064995;ENSG00000137413;ENSG00000148835;ENSG00000102387;ENSG00000165632;ENSG00000166337;ENSG00000106290;ENSG00000178913;ENSG00000197780;ENSG00000163132;ENSG00000141384;ENSG00000187325;ENSG00000242441	1	1	-	KEGG:03022	-
R1	cpdb	0.9	network_modules	4	TRUE	2.2810842882289775e-41	46	19	18	0.9473684210526315	0.391304347826087	REAC:R-HSA-73779	REAC	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	10916	1894		0.027777777777777776	0.1891891891891892	46	10870	18	1	28	10869	10916	0.6079613490304944	4.5	GO:0009059;GO:0016070;GO:0065003;GO:0050789	ENSG00000153767;ENSG00000140307;ENSG00000112592;ENSG00000120656;ENSG00000165417;ENSG00000147133;ENSG00000130699;ENSG00000064313;ENSG00000028839;ENSG00000064995;ENSG00000137413;ENSG00000148835;ENSG00000102387;ENSG00000165632;ENSG00000166337;ENSG00000106290;ENSG00000178913;ENSG00000197780;ENSG00000163132;ENSG00000141384;ENSG00000187325;ENSG00000242441	1	1	-	-	REAC:R-HSA-73779
R1	cpdb	0.9	network_modules	4	TRUE	4.890577188480873e-35	64	22	17	0.7727272727272727	0.265625	GO:0051123	GO:BP	RNA polymerase II preinitiation complex assembly	16175	13507		0.25	0.2702702702702703	64	16111	17	5	47	16106	16175	0.4519335001026403	10	GO:0009059;GO:0016070;GO:0065003;GO:0050789	ENSG00000153767;ENSG00000140307;ENSG00000112592;ENSG00000120656;ENSG00000165417;ENSG00000147133;ENSG00000130699;ENSG00000064313;ENSG00000028839;ENSG00000064995;ENSG00000137413;ENSG00000148835;ENSG00000102387;ENSG00000165632;ENSG00000166337;ENSG00000106290;ENSG00000178913;ENSG00000197780;ENSG00000163132;ENSG00000141384;ENSG00000187325;ENSG00000242441	1	1	GO:0051123	-	-
R1	cpdb	0.9	network_modules	5	TRUE	2.6813780073863826e-4	92	10	4	0.4	0.043478260869565216	REAC:R-HSA-4086400	REAC	PCP/CE pathway	10916	1659		0	0.16666666666666666	92	10824	4	6	88	10818	10916	0.12970437013451355	1	NA	ENSG00000004975;ENSG00000136238;ENSG00000106615;ENSG00000170315;ENSG00000087191;ENSG00000111640;ENSG00000104388;ENSG00000007171;ENSG00000171314;ENSG00000143257;ENSG00000171368;ENSG00000266028	1	1	-	-	REAC:R-HSA-4086400
R1	cpdb	0.9	network_modules	6	TRUE	9.149005527097174e-11	26	14	6	0.42857142857142855	0.23076923076923078	REAC:R-HSA-3238698	REAC	WNT ligand biogenesis and trafficking	10916	2668		0	0.020833333333333332	26	10890	6	8	20	10882	10916	0.3133117581547487	1	GO:0032501;GO:0032502;GO:0050789	ENSG00000114251;ENSG00000154342;ENSG00000169429;ENSG00000137745;ENSG00000154764;ENSG00000139219;ENSG00000156076;ENSG00000125084;ENSG00000138131;ENSG00000162552;ENSG00000136457;ENSG00000142156;ENSG00000164111;ENSG00000188064;ENSG00000185269	1	1	-	-	REAC:R-HSA-3238698
R1	cpdb	0.9	network_modules	6	TRUE	1.7108678100944577e-9	174	13	8	0.6153846153846154	0.04597701149425287	KEGG:04310	KEGG	Wnt signaling pathway	8484	299		0.02127659574468085	0.041666666666666664	174	8310	8	5	166	8305	8484	0.1644204697680978	2	GO:0032501;GO:0032502;GO:0050789	ENSG00000114251;ENSG00000154342;ENSG00000169429;ENSG00000137745;ENSG00000154764;ENSG00000139219;ENSG00000156076;ENSG00000125084;ENSG00000138131;ENSG00000162552;ENSG00000136457;ENSG00000142156;ENSG00000164111;ENSG00000188064;ENSG00000185269	1	2	-	KEGG:04310	-
