network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
R1	humanbase	0.4	network_modules	30	GO:BP	GO:0051673	0.001408978894375131	1	0.3330859463582576	1	disruption of plasma membrane integrity in another organism	GO:0051673	-	-
R1	humanbase	0.4	network_modules	32	GO:BP	GO:0072733	0.0018913173803027153	1	0.33311686255037765	1	response to staurosporine	GO:0072733	-	-
R1	humanbase	0.4	network_modules	87	REAC	REAC:R-HSA-432047	4.426771765199478e-5	1	0.26234929381831623	1	Passive transport by Aquaporins	-	-	REAC:R-HSA-432047
R1	humanbase	0.4	network_modules	87	GO:BP	GO:0071288	6.30699107025625e-4	2	0.40812205803437007	1	cellular response to mercury ion	GO:0071288	-	-
R1	humanbase	0.4	network_modules	102	REAC	REAC:R-HSA-77387	4.528503828632777e-5	2	0.13317437554795977	1	Insulin receptor recycling	-	-	REAC:R-HSA-77387
R1	humanbase	0.4	network_modules	102	KEGG	KEGG:05165	1.280108158609332e-4	1	0.07644992236531517	1	Human papillomavirus infection	-	KEGG:05165	-
R1	humanbase	0.4	network_modules	131	GO:BP	GO:0032147	0.0013161601327188346	1	0.14441848549730138	1	activation of protein kinase activity	GO:0032147	-	-
R1	humanbase	0.4	network_modules	165	KEGG	KEGG:04340	0.0011321625623807944	1	0.18837970555186062	1	Hedgehog signaling pathway	-	KEGG:04340	-
R1	humanbase	0.4	network_modules	199	GO:BP	GO:0070934	0.003043465800624165	1	0.26935467227213133	1	CRD-mediated mRNA stabilization	GO:0070934	-	-
R1	humanbase	0.4	network_modules	225	REAC	REAC:R-HSA-5637815	0.0022786910263296054	1	0.2420130338313592	1	Signaling by Ligand-Responsive EGFR Variants in Cancer	-	-	REAC:R-HSA-5637815
R1	humanbase	0.4	network_modules	236	REAC	REAC:R-HSA-416572	0.006208592446313295	1	0.19931219462698183	1	Sema4D induced cell migration and growth-cone collapse	-	-	REAC:R-HSA-416572
R1	humanbase	0.4	network_modules	239	KEGG	KEGG:05330	0.004998356014637327	1	0.1705061262363346	1	Allograft rejection	-	KEGG:05330	-
R1	humanbase	0.4	network_modules	244	GO:BP	GO:0002313	0.008459039671694205	1	0.2103815913752658	1	mature B cell differentiation involved in immune response	GO:0002313	-	-
R1	humanbase	0.4	network_modules	252	GO:BP	GO:0018076	3.323020427430675e-4	1	0.4470614869492386	1	N-terminal peptidyl-lysine acetylation	GO:0018076	-	-
R1	humanbase	0.4	network_modules	252	REAC	REAC:R-HSA-9617629	7.546241237176022e-4	1	0.31585093673197046	1	Regulation of FOXO transcriptional activity by acetylation	-	-	REAC:R-HSA-9617629
R1	humanbase	0.4	network_modules	285	REAC	REAC:R-HSA-176974	0.0035421800031743915	1	0.23511879436218117	1	Unwinding of DNA	-	-	REAC:R-HSA-176974
R1	humanbase	0.4	network_modules	294	REAC	REAC:R-HSA-140877	4.0154489763097947e-11	1	0.2624561320190021	1	Formation of Fibrin Clot (Clotting Cascade)	-	-	REAC:R-HSA-140877
R1	humanbase	0.4	network_modules	294	KEGG	KEGG:04610	5.728186731554092e-9	1	0.18545146204360036	1	Complement and coagulation cascades	-	KEGG:04610	-
R1	humanbase	0.4	network_modules	294	GO:BP	GO:0007596	1.1000906643455e-6	1	0.11714434315137728	1	blood coagulation	GO:0007596	-	-
