network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
R1	string	0.2	network_modules	3	REAC	REAC:R-HSA-3371497	2.0716741561701505e-9	1	0.23806507147991615	2	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	-	-	REAC:R-HSA-8937144
R1	string	0.2	network_modules	3	GO:BP	GO:0006457	7.344090615103274e-9	1	0.15460487322190364	2	protein folding	GO:0061077	-	-
R1	string	0.2	network_modules	3	GO:BP	GO:0061077	4.993120464671883e-7	2	0.1843406379575209	1	chaperone-mediated protein folding	GO:0061077	-	-
R1	string	0.2	network_modules	3	REAC	REAC:R-HSA-8937144	4.497391772284896e-6	2	0.36881743881299955	1	Aryl hydrocarbon receptor signalling	-	-	REAC:R-HSA-8937144
R1	string	0.2	network_modules	10	KEGG	KEGG:00785	5.4116297773096095e-28	1	0.6307520129325085	1	Lipoic acid metabolism	-	KEGG:00785	-
R1	string	0.2	network_modules	10	REAC	REAC:R-HSA-389661	2.1779835265472218e-24	1	0.4690970700661501	3	Glyoxylate metabolism and glycine degradation	-	-	REAC:R-HSA-204174
R1	string	0.2	network_modules	10	KEGG	KEGG:01210	3.7701630958436355e-24	2	0.47774666587210624	2	2-Oxocarboxylic acid metabolism	-	KEGG:00785	-
R1	string	0.2	network_modules	10	GO:BP	GO:0006086	2.0805346194609124e-22	1	0.5577802087724101	1	acetyl-CoA biosynthetic process from pyruvate	GO:0006086	-	-
R1	string	0.2	network_modules	10	REAC	REAC:R-HSA-204174	1.7482131830224928e-19	2	0.4901417242359173	1	Regulation of pyruvate dehydrogenase (PDH) complex	-	-	REAC:R-HSA-204174
R1	string	0.2	network_modules	10	REAC	REAC:R-HSA-9861718	1.7482131830224928e-19	3	0.4901417242359173	2	Regulation of pyruvate metabolism	-	-	REAC:R-HSA-204174
R1	string	0.2	network_modules	10	GO:BP	GO:0006085	5.024360560678827e-19	2	0.42735463509319616	2	acetyl-CoA biosynthetic process	GO:0006086	-	-
R1	string	0.2	network_modules	10	GO:BP	GO:0006084	1.4127092666683514e-16	3	0.33244903386266667	3	acetyl-CoA metabolic process	GO:0006086	-	-
R1	string	0.2	network_modules	10	REAC	REAC:R-HSA-70268	2.156215024623468e-16	4	0.3571034554019279	4	Pyruvate metabolism	-	-	REAC:R-HSA-204174
R1	string	0.2	network_modules	10	GO:BP	GO:0035383	6.49672145561882e-16	4	0.22781255361743233	6	thioester metabolic process	GO:0006086	-	-
R1	string	0.2	network_modules	10	GO:BP	GO:0006637	6.49672145561882e-16	5	0.22781255361743233	7	acyl-CoA metabolic process	GO:0006086	-	-
R1	string	0.2	network_modules	10	REAC	REAC:R-HSA-5362517	8.389839716933597e-15	5	0.29762103116197147	5	Signaling by Retinoic Acid	-	-	REAC:R-HSA-204174
R1	string	0.2	network_modules	10	GO:BP	GO:0035384	8.999846939783698e-15	6	0.27087881897989385	4	thioester biosynthetic process	GO:0006086	-	-
R1	string	0.2	network_modules	10	GO:BP	GO:0071616	8.999846939783698e-15	7	0.27087881897989385	5	acyl-CoA biosynthetic process	GO:0006086	-	-
R1	string	0.2	network_modules	10	REAC	REAC:R-HSA-1428517	1.8601732361162337e-14	6	0.19299732370312994	6	Aerobic respiration and respiratory electron transport	-	-	REAC:R-HSA-204174
R1	string	0.2	network_modules	10	KEGG	KEGG:00020	4.0122354630804087e-14	3	0.33323141667705203	3	Citrate cycle (TCA cycle)	-	KEGG:00785	-
R1	string	0.2	network_modules	13	REAC	REAC:R-HSA-9013148	5.106342532525216e-4	1	0.13814940423366384	1	CDC42 GTPase cycle	-	-	REAC:R-HSA-9013148
R1	string	0.2	network_modules	18	REAC	REAC:R-HSA-198693	3.6894450061943857e-7	1	0.4740662829767479	1	AKT phosphorylates targets in the nucleus	-	-	REAC:R-HSA-198693
R1	string	0.2	network_modules	18	REAC	REAC:R-HSA-9617629	3.6894450061943857e-7	2	0.4740662829767479	2	Regulation of FOXO transcriptional activity by acetylation	-	-	REAC:R-HSA-198693
R1	string	0.2	network_modules	18	REAC	REAC:R-HSA-9614399	6.763052349428663e-7	3	0.4326951565792737	3	Regulation of localization of FOXO transcription factors	-	-	REAC:R-HSA-198693
R1	string	0.2	network_modules	24	KEGG	KEGG:04514	4.023723933132243e-14	1	0.22113854866859647	1	Cell adhesion molecules	-	KEGG:04514	-
R1	string	0.2	network_modules	24	REAC	REAC:R-HSA-388841	2.2770987697251535e-11	1	0.25627780529858923	1	Regulation of T cell activation by CD28 family	-	-	REAC:R-HSA-388841
R1	string	0.2	network_modules	24	GO:BP	GO:0042102	5.93828732405981e-10	1	0.19783007812436154	3	positive regulation of T cell proliferation	GO:0031295	-	-
R1	string	0.2	network_modules	24	GO:BP	GO:0031295	1.55744118453896e-9	2	0.23601541571877163	1	T cell costimulation	GO:0031295	-	-
R1	string	0.2	network_modules	24	GO:BP	GO:0031294	2.1262434946632025e-9	3	0.23026528370827967	2	lymphocyte costimulation	GO:0031295	-	-
R1	string	0.2	network_modules	24	GO:BP	GO:0050671	5.1768826967575476e-09	4	0.16970984878765655	4	positive regulation of lymphocyte proliferation	GO:0031295	-	-
R1	string	0.2	network_modules	24	GO:BP	GO:0032946	5.5439459823286445e-9	5	0.16888080408996553	5	positive regulation of mononuclear cell proliferation	GO:0031295	-	-
R1	string	0.2	network_modules	24	GO:BP	GO:0050870	5.870643724316891e-9	6	0.1406894877088165	9	positive regulation of T cell activation	GO:0031295	-	-
R1	string	0.2	network_modules	24	GO:BP	GO:1903039	1.2882612489869636e-8	7	0.13373027777630722	10	positive regulation of leukocyte cell-cell adhesion	GO:0031295	-	-
R1	string	0.2	network_modules	24	GO:BP	GO:0070665	1.3551253722827908e-8	8	0.1583863339822011	6	positive regulation of leukocyte proliferation	GO:0031295	-	-
R1	string	0.2	network_modules	24	GO:BP	GO:0042129	2.2766258176630232e-8	9	0.1525618013471977	7	regulation of T cell proliferation	GO:0031295	-	-
R1	string	0.2	network_modules	24	GO:BP	GO:0051251	4.182304610971856e-8	10	0.12386045877501055	11	positive regulation of lymphocyte activation	GO:0031295	-	-
R1	string	0.2	network_modules	24	GO:BP	GO:0042098	4.300079519195699e-8	11	0.145679537702189	8	T cell proliferation	GO:0031295	-	-
R1	string	0.2	network_modules	24	GO:BP	GO:0022409	5.386284763604094e-8	12	0.12182360105041888	12	positive regulation of cell-cell adhesion	GO:0031295	-	-
R1	string	0.2	network_modules	24	GO:BP	GO:0030155	5.4866787909374757e-8	13	0.09598349053745973	13	regulation of cell adhesion	GO:0031295	-	-
R1	string	0.2	network_modules	25	GO:BP	GO:0006388	1.3641341330673526e-17	1	0.5830239848212998	1	tRNA splicing, via endonucleolytic cleavage and ligation	GO:0006388	-	-
R1	string	0.2	network_modules	25	GO:BP	GO:0000394	2.954823971537235e-17	2	0.560109210556879	2	RNA splicing, via endonucleolytic cleavage and ligation	GO:0006388	-	-
R1	string	0.2	network_modules	26	KEGG	KEGG:04710	1.2751394103604243e-13	1	0.41938975294158454	1	Circadian rhythm	-	KEGG:04710	-
R1	string	0.2	network_modules	26	REAC	REAC:R-HSA-400253	9.086866966997208e-12	1	0.2984150369245693	1	Circadian Clock	-	-	REAC:R-HSA-400253
R1	string	0.2	network_modules	26	GO:BP	GO:0032922	2.793664116418436e-11	1	0.27429713019790064	2	circadian regulation of gene expression	GO:0032922	-	-
R1	string	0.2	network_modules	26	GO:BP	GO:0042752	2.682394191138256e-10	2	0.22820339699580489	3	regulation of circadian rhythm	GO:0032922	-	-
R1	string	0.2	network_modules	26	GO:BP	GO:0007623	5.805647841730643e-9	3	0.17701905976229115	4	circadian rhythm	GO:0032922	-	-
R1	string	0.2	network_modules	26	GO:BP	GO:0048511	1.2591264363940894e-8	4	0.1659469651380524	5	rhythmic process	GO:0032922	-	-
R1	string	0.2	network_modules	26	GO:BP	GO:0043153	9.854483740506919e-8	5	0.31475163206046586	1	entrainment of circadian clock by photoperiod	GO:0032922	-	-
R1	string	0.2	network_modules	29	GO:BP	GO:0017004	9.364824175175619e-8	1	0.2897235726592443	1	cytochrome complex assembly	GO:0017004	-	-
R1	string	0.2	network_modules	29	GO:BP	GO:0033108	0.001501899387090707	2	0.13528857031187916	2	mitochondrial respiratory chain complex assembly	GO:0017004	-	-
R1	string	0.2	network_modules	30	KEGG	KEGG:04972	8.354525349930068e-5	1	0.17049468236049675	1	Pancreatic secretion	-	KEGG:04972	-
R1	string	0.2	network_modules	31	REAC	REAC:R-HSA-6806834	5.447361358170724e-13	1	0.2632019958904047	3	Signaling by MET	-	-	REAC:R-HSA-8875513
R1	string	0.2	network_modules	31	REAC	REAC:R-HSA-8851805	1.0212654954470986e-11	2	0.5098798879435862	2	MET activates RAS signaling	-	-	REAC:R-HSA-8875513
R1	string	0.2	network_modules	31	REAC	REAC:R-HSA-8875513	1.2450219350857933e-9	3	0.5160900741758377	1	MET interacts with TNS proteins	-	-	REAC:R-HSA-8875513
R1	string	0.2	network_modules	31	REAC	REAC:R-HSA-9006934	2.563100822422306e-6	4	0.0977685713600421	5	Signaling by Receptor Tyrosine Kinases	-	-	REAC:R-HSA-8875513
R1	string	0.2	network_modules	31	REAC	REAC:R-HSA-8875878	2.2293568478006532e-5	5	0.18099839661113815	4	MET promotes cell motility	-	-	REAC:R-HSA-8875513
R1	string	0.2	network_modules	33	GO:BP	GO:0014905	5.637774700037587e-4	1	0.4080715603825347	1	myoblast fusion involved in skeletal muscle regeneration	GO:0014905	-	-
R1	string	0.2	network_modules	35	GO:BP	GO:0006281	5.4727278679603606e-61	1	0.2755967848335539	3	DNA repair	GO:0006281	-	-
R1	string	0.2	network_modules	35	GO:BP	GO:0006974	1.682205961810469e-54	2	0.22671180131778634	8	DNA damage response	GO:0006281	-	-
R1	string	0.2	network_modules	35	REAC	REAC:R-HSA-73894	6.903761613143705e-48	1	0.3076147200779917	2	DNA Repair	-	-	REAC:R-HSA-73894
R1	string	0.2	network_modules	35	GO:BP	GO:0006302	1.7439486188951344e-37	3	0.24152753791681797	5	double-strand break repair	GO:0006281	-	-
R1	string	0.2	network_modules	35	GO:BP	GO:0006303	4.393492438823572e-33	4	0.3465842908689665	1	double-strand break repair via nonhomologous end joining	GO:0006281	-	-
R1	string	0.2	network_modules	35	GO:BP	GO:0006310	1.646836288143544e-25	5	0.19109484696668155	11	DNA recombination	GO:0006281	-	-
R1	string	0.2	network_modules	35	KEGG	KEGG:03450	1.2484295538494535e-23	1	0.5004469411132721	1	Non-homologous end-joining	-	KEGG:03450	-
R1	string	0.2	network_modules	35	REAC	REAC:R-HSA-5693532	2.8851501704505823e-23	2	0.23943101545282086	4	DNA Double-Strand Break Repair	-	-	REAC:R-HSA-73894
