network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes	row_rank_p	row_rank_mcc	top_go	top_kegg	top_reac
R1	string	0.5	network_modules	2	TRUE	4.011388480761395e-11	182	11	8	0.7272727272727273	0.04395604395604396	GO:0006457	GO:BP	protein folding	16175	2203		0	0.09090909090909091	182	15993	8	3	174	15990	16175	0.1770888362903723	1	GO:0006457	ENSG00000004478;ENSG00000011485;ENSG00000105401;ENSG00000113580;ENSG00000126602;ENSG00000110711;ENSG00000171497;ENSG00000096384;ENSG00000165416;ENSG00000096060;ENSG00000110958	1	1	GO:0006457	-	-
R1	string	0.5	network_modules	2	TRUE	4.33044167096767e-7	57	11	5	0.45454545454545453	0.08771929824561403	REAC:R-HSA-3371497	REAC	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	10916	1111		0.2	0.2727272727272727	57	10859	5	6	52	10853	10916	0.19800405126571885	3	GO:0006457	ENSG00000004478;ENSG00000011485;ENSG00000105401;ENSG00000113580;ENSG00000126602;ENSG00000110711;ENSG00000171497;ENSG00000096384;ENSG00000165416;ENSG00000096060;ENSG00000110958	1	1	-	-	REAC:R-HSA-3371497
R1	string	0.5	network_modules	5	TRUE	0.0012732994063267206	10	4	2	0.5	0.2	GO:0035871	GO:BP	protein K11-linked deubiquitination	16175	9300		0	0.25	10	16165	2	2	8	16163	16175	0.3159735061817264	1	GO:0036211	ENSG00000089723;ENSG00000105610;ENSG00000100284;ENSG00000264522	1	1	GO:0035871	-	-
R1	string	0.5	network_modules	11	TRUE	2.14899630720673e-8	116	5	5	1	0.04310344827586207	KEGG:03082	KEGG	ATP-dependent chromatin remodeling	8484	219		0	0.05	116	8368	5	0	111	8368	8484	0.206250269967312	1	GO:0050789	ENSG00000100916;ENSG00000115274;ENSG00000101442;ENSG00000172977;ENSG00000163159;ENSG00000163875	1	1	-	KEGG:03082	-
R1	string	0.5	network_modules	11	TRUE	1.3474429409003416e-7	127	6	5	0.8333333333333334	0.03937007874015748	GO:0045739	GO:BP	positive regulation of DNA repair	16175	11579		0.05263157894736842	0.1	127	16048	5	1	122	16047	16175	0.18016626323308643	2	GO:0050789	ENSG00000100916;ENSG00000115274;ENSG00000101442;ENSG00000172977;ENSG00000163159;ENSG00000163875	1	1	GO:0045739	-	-
R1	string	0.5	network_modules	12	TRUE	7.255736235497822e-26	11	12	9	0.75	0.8181818181818182	GO:0000338	GO:BP	protein deneddylation	16175	95		0.05263157894736842	0.1	11	16164	9	3	2	16161	16175	0.7831959825309561	2	GO:0036211;GO:0050789	ENSG00000138663;ENSG00000141030;ENSG00000166200;ENSG00000168090;ENSG00000172428;ENSG00000198612;ENSG00000121022;ENSG00000143556;ENSG00000144524;ENSG00000169727;ENSG00000135426;ENSG00000111652	2	1	GO:0000338	-	-
R1	string	0.5	network_modules	12	TRUE	7.557045743780952e-20	38	10	9	0.9	0.23684210526315788	REAC:R-HSA-5696394	REAC	DNA Damage Recognition in GG-NER	10916	439		0.15789473684210525	0.2	38	10878	9	1	29	10877	10916	0.46091823535659454	4	GO:0036211;GO:0050789	ENSG00000138663;ENSG00000141030;ENSG00000166200;ENSG00000168090;ENSG00000172428;ENSG00000198612;ENSG00000121022;ENSG00000143556;ENSG00000144524;ENSG00000169727;ENSG00000135426;ENSG00000111652	1	1	-	-	REAC:R-HSA-5696394
R1	string	0.5	network_modules	14	TRUE	3.562683771297551e-7	37	6	4	0.6666666666666666	0.10810810810810811	REAC:R-HSA-2129379	REAC	Molecules associated with elastic fibres	10916	1490		0	0.04	37	10879	4	2	33	10877	10916	0.2676248644682283	1	GO:0007155;GO:0050789	ENSG00000105855;ENSG00000138448;ENSG00000140545;ENSG00000115221;ENSG00000082781;ENSG00000142871	1	1	-	-	REAC:R-HSA-2129379
R1	string	0.5	network_modules	14	TRUE	2.175757568843552e-6	84	5	4	0.8	0.047619047619047616	KEGG:05412	KEGG	Arrhythmogenic right ventricular cardiomyopathy	8484	490		0.125	0.16	84	8400	4	1	80	8399	8484	0.19378295575896742	4	GO:0007155;GO:0050789	ENSG00000105855;ENSG00000138448;ENSG00000140545;ENSG00000115221;ENSG00000082781;ENSG00000142871	1	1	-	KEGG:05412	-
R1	string	0.5	network_modules	15	TRUE	4.170472239960152e-16	34	7	7	1	0.20588235294117646	KEGG:04710	KEGG	Circadian rhythm	8484	345		0	0.045454545454545456	34	8450	7	0	27	8450	8484	0.45301942487077124	1	GO:0050896;GO:0050789;GO:0048511	ENSG00000008405;ENSG00000112578;ENSG00000132326;ENSG00000179094;ENSG00000141551;ENSG00000005812;ENSG00000213923;ENSG00000121671;ENSG00000185043	1	1	-	KEGG:04710	-
R1	string	0.5	network_modules	15	TRUE	4.662662231631709e-13	67	8	7	0.875	0.1044776119402985	REAC:R-HSA-400253	REAC	Circadian Clock	10916	363		0.047619047619047616	0.09090909090909091	67	10849	7	1	60	10848	10916	0.30126911645373583	2	GO:0050896;GO:0050789;GO:0048511	ENSG00000008405;ENSG00000112578;ENSG00000132326;ENSG00000179094;ENSG00000141551;ENSG00000005812;ENSG00000213923;ENSG00000121671;ENSG00000185043	1	1	-	-	REAC:R-HSA-400253
R1	string	0.5	network_modules	15	TRUE	9.139693469778277e-12	98	9	7	0.7777777777777778	0.07142857142857142	GO:0042752	GO:BP	regulation of circadian rhythm	16175	10345		0.09523809523809523	0.13636363636363635	98	16077	7	2	91	16075	16175	0.23464317762377712	3	GO:0050896;GO:0050789;GO:0048511	ENSG00000008405;ENSG00000112578;ENSG00000132326;ENSG00000179094;ENSG00000141551;ENSG00000005812;ENSG00000213923;ENSG00000121671;ENSG00000185043	1	3	GO:0042752	-	-
