network_method	network_db	network_cutoff	experiment_info	module	source	term_id	p_value	row_rank_p	mcc	row_rank_mcc	term_name	top_go	top_kegg	top_reac
R1	string	0.9	network_modules	1	REAC	REAC:R-HSA-3371497	8.967024529053228e-5	1	0.19784998341723428	1	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	-	-	REAC:R-HSA-3371497
R1	string	0.9	network_modules	5	KEGG	KEGG:03082	1.7826414050574702e-6	1	0.1844649721753745	1	ATP-dependent chromatin remodeling	-	KEGG:03082	-
R1	string	0.9	network_modules	5	GO:BP	GO:0006325	6.984814745891487e-4	1	0.08553333071884003	1	chromatin organization	GO:0006325	-	-
R1	string	0.9	network_modules	7	REAC	REAC:R-HSA-447041	2.582789080704091e-7	1	0.4997479392411747	1	CHL1 interactions	-	-	REAC:R-HSA-447041
R1	string	0.9	network_modules	7	KEGG	KEGG:03271	8.954708285601437e-6	1	0.7070234106997652	1	Virion - Rotavirus	-	KEGG:03271	-
R1	string	0.9	network_modules	7	GO:BP	GO:0033627	2.1706719854839478e-4	1	0.17492202631333478	1	cell adhesion mediated by integrin	GO:0033627	-	-
R1	string	0.9	network_modules	10	REAC	REAC:R-HSA-8937144	2.113074538242725e-10	1	0.6169870974027915	1	Aryl hydrocarbon receptor signalling	-	-	REAC:R-HSA-8937144
R1	string	0.9	network_modules	10	GO:BP	GO:0006457	4.806341723043982e-4	1	0.11050692399971718	1	protein folding	GO:0006457	-	-
R1	string	0.9	network_modules	11	REAC	REAC:R-HSA-6783310	8.26517619788141e-15	1	0.3955307300368537	1	Fanconi Anemia Pathway	-	-	REAC:R-HSA-6783310
R1	string	0.9	network_modules	11	KEGG	KEGG:03460	1.257899723619722e-13	1	0.3355651688874599	1	Fanconi anemia pathway	-	KEGG:03460	-
R1	string	0.9	network_modules	11	GO:BP	GO:1904431	2.4552359495108817e-11	1	0.7070193220914467	1	positive regulation of t-circle formation	GO:1904431	-	-
R1	string	0.9	network_modules	17	KEGG	KEGG:04672	3.37970772477698e-8	1	0.3007993923573294	1	Intestinal immune network for IgA production	-	KEGG:04672	-
R1	string	0.9	network_modules	17	REAC	REAC:R-HSA-5669034	1.1219683357045179e-5	2	0.2779767081212679	1	TNFs bind their physiological receptors	-	-	REAC:R-HSA-5669034
R1	string	0.9	network_modules	17	GO:BP	GO:0030888	5.665963264719288e-5	1	0.21829413735125766	1	regulation of B cell proliferation	GO:0030888	-	-
R1	string	0.9	network_modules	20	GO:BP	GO:1900262	1.3444112291131943e-18	1	0.6469214537955905	1	regulation of DNA-directed DNA polymerase activity	GO:1900262	-	-
R1	string	0.9	network_modules	20	REAC	REAC:R-HSA-174411	4.587749737583885e-17	1	0.45207964913081505	1	Polymerase switching on the C-strand of the telomere	-	-	REAC:R-HSA-174411
R1	string	0.9	network_modules	25	KEGG	KEGG:04668	3.7105861169374744e-13	1	0.2488942664501229	1	TNF signaling pathway	-	KEGG:04668	-
R1	string	0.9	network_modules	25	REAC	REAC:R-HSA-5357786	1.432232921659324e-9	1	0.33247707522119846	1	TNFR1-induced proapoptotic signaling	-	-	REAC:R-HSA-5357786
R1	string	0.9	network_modules	25	GO:BP	GO:0033209	1.4436553830805418e-9	1	0.21714284569510836	2	tumor necrosis factor-mediated signaling pathway	GO:0033209	-	-
R1	string	0.9	network_modules	28	GO:BP	GO:0016567	4.119594432097413e-12	1	0.12783198801103893	1	protein ubiquitination	GO:0016567	-	-
R1	string	0.9	network_modules	35	REAC	REAC:R-HSA-2173795	1.2827136801136298e-7	1	0.3025159633889989	1	Downregulation of SMAD2/3:SMAD4 transcriptional activity	-	-	REAC:R-HSA-2173795
