network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes
R1	string	0.9	network_modules	1	TRUE	8.967024529053228e-5	57	4	3	0.75	0.05263157894736842	REAC:R-HSA-3371497	REAC	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	10916	1111		0	0.25	57	10859	3	1	54	10858	10916	0.19784998341723428	1	NA	ENSG00000004478;ENSG00000113580;ENSG00000144852;ENSG00000091831;ENSG00000096060
R1	string	0.9	network_modules	5	TRUE	1.7826414050574702e-6	116	4	4	1	0.034482758620689655	KEGG:03082	KEGG	ATP-dependent chromatin remodeling	8484	219		0	0.125	116	8368	4	0	112	8368	8484	0.1844649721753745	1	GO:0050789;GO:0016043	ENSG00000115274;ENSG00000101442;ENSG00000164032;ENSG00000163159
R1	string	0.9	network_modules	5	TRUE	6.984814745891487e-4	529	4	4	1	0.007561436672967864	GO:0006325	GO:BP	chromatin organization	16175	2122		0.14285714285714285	0.25	529	15646	4	0	525	15646	16175	0.08553333071884003	2	GO:0050789;GO:0016043	ENSG00000115274;ENSG00000101442;ENSG00000164032;ENSG00000163159
R1	string	0.9	network_modules	7	TRUE	2.582789080704091e-7	9	4	3	0.75	0.3333333333333333	REAC:R-HSA-447041	REAC	CHL1 interactions	10916	273		0	0.041666666666666664	9	10907	3	1	6	10906	10916	0.4997479392411747	1	GO:0050789;GO:0007155	ENSG00000213949;ENSG00000164171;ENSG00000010278;ENSG00000150093
R1	string	0.9	network_modules	7	TRUE	1.3984336288519833e-6	15	4	3	0.75	0.2	REAC:R-HSA-75892	REAC	Platelet Adhesion to exposed collagen	10916	1760		0.043478260869565216	0.08333333333333333	15	10901	3	1	12	10900	10916	0.386925520617172	2	GO:0050789;GO:0007155	ENSG00000213949;ENSG00000164171;ENSG00000010278;ENSG00000150093
R1	string	0.9	network_modules	7	TRUE	8.954708285601437e-6	2	4	2	0.5	1	KEGG:03271	KEGG	Virion - Rotavirus	8484	235		0.08695652173913043	0.125	2	8482	2	2	0	8480	8484	0.7070234106997652	3	GO:0050789;GO:0007155	ENSG00000213949;ENSG00000164171;ENSG00000010278;ENSG00000150093
R1	string	0.9	network_modules	7	TRUE	1.2465456555382572e-5	30	4	3	0.75	0.1	REAC:R-HSA-3000157	REAC	Laminin interactions	10916	1303		0.13043478260869565	0.16666666666666666	30	10886	3	1	27	10885	10916	0.27328354770919544	4	GO:0050789;GO:0007155	ENSG00000213949;ENSG00000164171;ENSG00000010278;ENSG00000150093
R1	string	0.9	network_modules	7	TRUE	1.9974737162561736e-4	84	4	3	0.75	0.03571428571428571	KEGG:05412	KEGG	Arrhythmogenic right ventricular cardiomyopathy	8484	490		0.17391304347826086	0.20833333333333334	84	8400	3	1	81	8399	8484	0.16234662573269718	5	GO:0050789;GO:0007155	ENSG00000213949;ENSG00000164171;ENSG00000010278;ENSG00000150093
R1	string	0.9	network_modules	7	TRUE	2.1706719854839478e-4	73	4	3	0.75	0.0410958904109589	GO:0033627	GO:BP	cell adhesion mediated by integrin	16175	8328		0.21739130434782608	0.25	73	16102	3	1	70	16101	16175	0.17492202631333478	6	GO:0050789;GO:0007155	ENSG00000213949;ENSG00000164171;ENSG00000010278;ENSG00000150093
R1	string	0.9	network_modules	10	TRUE	2.113074538242725e-10	6	7	4	0.5714285714285714	0.6666666666666666	REAC:R-HSA-8937144	REAC	Aryl hydrocarbon receptor signalling	10916	168		0	0.1	6	10910	4	3	2	10907	10916	0.6169870974027915	1	GO:0006457	ENSG00000011485;ENSG00000105401;ENSG00000106546;ENSG00000110711;ENSG00000096384;ENSG00000165416;ENSG00000110958
R1	string	0.9	network_modules	10	TRUE	6.096399702972125e-5	103	7	4	0.5714285714285714	0.038834951456310676	REAC:R-HSA-211945	REAC	Phase I - Functionalization of compounds	10916	1737		0.1111111111111111	0.2	103	10813	4	3	99	10810	10916	0.14725131310131812	2	GO:0006457	ENSG00000011485;ENSG00000105401;ENSG00000106546;ENSG00000110711;ENSG00000096384;ENSG00000165416;ENSG00000110958
R1	string	0.9	network_modules	10	TRUE	4.806341723043982e-4	182	7	4	0.5714285714285714	0.02197802197802198	GO:0006457	GO:BP	protein folding	16175	2203		0.2222222222222222	0.3	182	15993	4	3	178	15990	16175	0.11050692399971718	3	GO:0006457	ENSG00000011485;ENSG00000105401;ENSG00000106546;ENSG00000110711;ENSG00000096384;ENSG00000165416;ENSG00000110958
R1	string	0.9	network_modules	11	TRUE	8.26517619788141e-15	39	8	7	0.875	0.1794871794871795	REAC:R-HSA-6783310	REAC	Fanconi Anemia Pathway	10916	932		0	0.014285714285714285	39	10877	7	1	32	10876	10916	0.3955307300368537	1	GO:0022607;GO:0051276;GO:0050789;GO:0022414;GO:0006281	ENSG00000012061;ENSG00000132207;ENSG00000188827;ENSG00000172732;ENSG00000175595;ENSG00000181625;ENSG00000136936;ENSG00000154920
R1	string	0.9	network_modules	11	TRUE	1.257899723619722e-13	54	8	7	0.875	0.12962962962962962	KEGG:03460	KEGG	Fanconi anemia pathway	8484	242		0.014492753623188406	0.02857142857142857	54	8430	7	1	47	8429	8484	0.3355651688874599	2	GO:0022607;GO:0051276;GO:0050789;GO:0022414;GO:0006281	ENSG00000012061;ENSG00000132207;ENSG00000188827;ENSG00000172732;ENSG00000175595;ENSG00000181625;ENSG00000136936;ENSG00000154920
R1	string	0.9	network_modules	11	TRUE	2.4552359495108817e-11	4	8	4	0.5	1	GO:1904431	GO:BP	positive regulation of t-circle formation	16175	23813		0.028985507246376812	0.04285714285714286	4	16171	4	4	0	16167	16175	0.7070193220914467	3	GO:0022607;GO:0051276;GO:0050789;GO:0022414;GO:0006281	ENSG00000012061;ENSG00000132207;ENSG00000188827;ENSG00000172732;ENSG00000175595;ENSG00000181625;ENSG00000136936;ENSG00000154920
R1	string	0.9	network_modules	11	TRUE	6.285519485061673e-11	132	8	7	0.875	0.05303030303030303	REAC:R-HSA-5693567	REAC	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	10916	1098		0.043478260869565216	0.05714285714285714	132	10784	7	1	125	10783	10916	0.2138077159641309	4	GO:0022607;GO:0051276;GO:0050789;GO:0022414;GO:0006281	ENSG00000012061;ENSG00000132207;ENSG00000188827;ENSG00000172732;ENSG00000175595;ENSG00000181625;ENSG00000136936;ENSG00000154920
R1	string	0.9	network_modules	11	TRUE	8.637144367512442e-11	138	8	7	0.875	0.050724637681159424	REAC:R-HSA-5693538	REAC	Homology Directed Repair	10916	1130		0.057971014492753624	0.07142857142857142	138	10778	7	1	131	10777	10916	0.20903303343298474	5	GO:0022607;GO:0051276;GO:0050789;GO:0022414;GO:0006281	ENSG00000012061;ENSG00000132207;ENSG00000188827;ENSG00000172732;ENSG00000175595;ENSG00000181625;ENSG00000136936;ENSG00000154920
R1	string	0.9	network_modules	11	TRUE	1.5431276351343099e-10	329	8	8	1	0.0243161094224924	REAC:R-HSA-73894	REAC	DNA Repair	10916	444		0.07246376811594203	0.08571428571428572	329	10587	8	0	321	10587	10916	0.15362466060313318	6	GO:0022607;GO:0051276;GO:0050789;GO:0022414;GO:0006281	ENSG00000012061;ENSG00000132207;ENSG00000188827;ENSG00000172732;ENSG00000175595;ENSG00000181625;ENSG00000136936;ENSG00000154920
