network_method	network_db	network_cutoff	experiment_info	func_module_number	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC
K1	humanbase	0.6	network_modules	1	TRUE	4.500527874933857e-6	414	17	8	0.47058823529411764	0.01932367149758454	GO:0061061	GO:BP	muscle structure development	16175	15177		0	0.1	414	15761	8	9	406	15752	16175	0.09139790671863339
K1	humanbase	0.6	network_modules	1	TRUE	2.0157666230094015e-5	744	17	9	0.5294117647058824	0.012096774193548387	GO:0072359	GO:BP	circulatory system development	16175	17370		0.1111111111111111	0.2	744	15431	9	8	735	15423	16175	0.07485338374216743
K1	humanbase	0.6	network_modules	1	TRUE	2.1838195451294914e-4	258	17	6	0.35294117647058826	0.023255813953488372	GO:0006936	GO:BP	muscle contraction	16175	2575		0.2222222222222222	0.3	258	15917	6	11	252	15906	16175	0.08724736502767695
K1	humanbase	0.6	network_modules	1	TRUE	4.196456612751151e-4	2	13	2	0.15384615384615385	1	REAC:R-HSA-191650	REAC	Regulation of gap junction activity	10916	2032		0	0.5	2	10914	2	11	0	10903	10916	0.3920345589579044
K1	humanbase	0.6	network_modules	1	TRUE	5.628896427993694e-4	303	17	6	0.35294117647058826	0.019801980198019802	GO:0003012	GO:BP	muscle system process	16175	1463		0.3333333333333333	0.4	303	15872	6	11	297	15861	16175	0.07995679572131788
K1	humanbase	0.6	network_modules	1	TRUE	0.0014937677919664015	358	17	6	0.35294117647058826	0.01675977653631285	GO:0008015	GO:BP	blood circulation	16175	3096		0.4444444444444444	0.5	358	15817	6	11	352	15806	16175	0.0729369697854443
K1	humanbase	0.6	network_modules	1	TRUE	0.002349844949076753	207	17	5	0.29411764705882354	0.024154589371980676	GO:0014706	GO:BP	striated muscle tissue development	16175	4643		0.5555555555555556	0.6	207	15968	5	12	202	15956	16175	0.08118303952518266
K1	humanbase	0.6	network_modules	1	TRUE	0.003241216146307949	221	17	5	0.29411764705882354	0.02262443438914027	GO:0060537	GO:BP	muscle tissue development	16175	14726		0.6666666666666666	0.7	221	15954	5	12	216	15942	16175	0.0783621899733218
K1	humanbase	0.6	network_modules	1	TRUE	0.004188003377386938	5	13	2	0.15384615384615385	0.4	REAC:R-HSA-9705677	REAC	SARS-CoV-2 targets PDZ proteins in cell-cell junction	10916	2126		1	1	5	10911	2	11	3	10900	10916	0.24753500040008916
K1	humanbase	0.6	network_modules	1	TRUE	0.004878684902839837	439	17	6	0.35294117647058826	0.01366742596810934	GO:0003013	GO:BP	circulatory system process	16175	1464		0.7777777777777778	0.8	439	15736	6	11	433	15725	16175	0.06503502289214867
K1	humanbase	0.6	network_modules	1	TRUE	0.005206053443024344	708	17	7	0.4117647058823529	0.009887005649717515	GO:0030029	GO:BP	actin filament-based process	16175	6653		0.8888888888888888	0.9	708	15467	7	10	701	15457	16175	0.058343888397478776
K1	humanbase	0.6	network_modules	1	TRUE	0.00781883048350152	202	12	4	0.3333333333333333	0.019801980198019802	KEGG:04510	KEGG	Focal adhesion	8484	313		0	0.5	202	8282	4	8	198	8274	8484	0.07640980184509015
K1	humanbase	0.6	network_modules	1	TRUE	0.008197994358362042	4	17	2	0.11764705882352941	0.5	GO:0070836	GO:BP	caveola assembly	16175	16332		1	1	4	16171	2	15	2	16156	16175	0.2421830455760906
K1	humanbase	0.6	network_modules	1	TRUE	0.008278392363363413	205	12	4	0.3333333333333333	0.01951219512195122	KEGG:05205	KEGG	Proteoglycans in cancer	8484	457		1	1	205	8279	4	8	201	8271	8484	0.07577571941277418
K1	humanbase	0.6	network_modules	2	TRUE	1.6645002276665516e-4	63	51	6	0.11764705882352941	0.09523809523809523	REAC:R-HSA-450294	REAC	MAP kinase activation	10916	1345		0	0.0625	63	10853	6	45	57	10808	10916	0.1011869239171947
K1	humanbase	0.6	network_modules	2	TRUE	3.410479615286863e-4	71	51	6	0.11764705882352941	0.08450704225352113	REAC:R-HSA-448424	REAC	Interleukin-17 signaling	10916	1238		0.06666666666666667	0.125	71	10845	6	45	65	10800	10916	0.09472645963728575
K1	humanbase	0.6	network_modules	2	TRUE	0.00168008397640013	673	70	14	0.2	0.020802377414561663	GO:0051603	GO:BP	proteolysis involved in protein catabolic process	16175	13820		0	0.1111111111111111	673	15502	14	56	659	15446	16175	0.052293340137625856
K1	humanbase	0.6	network_modules	2	TRUE	0.0019009164636711103	95	51	6	0.11764705882352941	0.06315789473684211	REAC:R-HSA-975871	REAC	MyD88 cascade initiated on plasma membrane	10916	1497		0.13333333333333333	0.3125	95	10821	6	45	89	10776	10916	0.08036047798465566
K1	humanbase	0.6	network_modules	2	TRUE	0.0019009164636711103	95	51	6	0.11764705882352941	0.06315789473684211	REAC:R-HSA-168176	REAC	Toll Like Receptor 5 (TLR5) Cascade	10916	2517		0.13333333333333333	0.3125	95	10821	6	45	89	10776	10916	0.08036047798465566
K1	humanbase	0.6	network_modules	2	TRUE	0.0019009164636711103	95	51	6	0.11764705882352941	0.06315789473684211	REAC:R-HSA-168142	REAC	Toll Like Receptor 10 (TLR10) Cascade	10916	2513		0.13333333333333333	0.3125	95	10821	6	45	89	10776	10916	0.08036047798465566
K1	humanbase	0.6	network_modules	2	TRUE	0.002713632823286161	101	51	6	0.11764705882352941	0.0594059405940594	REAC:R-HSA-975138	REAC	TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	10916	2468		0.3333333333333333	0.375	101	10815	6	45	95	10770	10916	0.0775652844465951
K1	humanbase	0.6	network_modules	2	TRUE	0.0028730385510113347	102	51	6	0.11764705882352941	0.058823529411764705	REAC:R-HSA-975155	REAC	MyD88 dependent cascade initiated on endosome	10916	1500		0.4	0.4375	102	10814	6	45	96	10769	10916	0.07712246013919173
K1	humanbase	0.6	network_modules	2	TRUE	0.003039963545864324	103	51	6	0.11764705882352941	0.05825242718446602	REAC:R-HSA-168164	REAC	Toll Like Receptor 3 (TLR3) Cascade	10916	2515		0.4666666666666667	0.5625	103	10813	6	45	97	10768	10916	0.07668579489130213
