network_method	network_db	network_cutoff	experiment_info	func_module_number	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC
K1	string	0.8	network_modules	1	TRUE	2.4716824714888666e-34	31	17	14	0.8235294117647058	0.45161290322580644	GO:0000289	GO:BP	nuclear-transcribed mRNA poly(A) tail shortening	16175	82		0	0.02702702702702703	31	16144	14	3	17	16141	16175	0.6093344918505322
K1	string	0.8	network_modules	1	TRUE	3.809144132786245e-33	57	17	15	0.8823529411764706	0.2631578947368421	GO:0000288	GO:BP	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	16175	81		0.027777777777777776	0.05405405405405406	57	16118	15	2	42	16116	16175	0.48104567731902736
K1	string	0.8	network_modules	1	TRUE	2.060169919474565e-31	21	13	12	0.9230769230769231	0.5714285714285714	REAC:R-HSA-6804115	REAC	TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain	10916	2461		0	0.14285714285714285	21	10895	12	1	9	10894	10916	0.7258899272507081
K1	string	0.8	network_modules	1	TRUE	3.643680830441753e-30	25	13	12	0.9230769230769231	0.48	REAC:R-HSA-429947	REAC	Deadenylation of mRNA	10916	453		0.16666666666666666	0.42857142857142855	25	10891	12	1	13	10890	10916	0.6651465681128621
K1	string	0.8	network_modules	1	TRUE	3.643680830441753e-30	25	13	12	0.9230769230769231	0.48	REAC:R-HSA-9820841	REAC	M-decay: degradation of maternal mRNAs by maternally stored factors	10916	1344		0.16666666666666666	0.42857142857142855	25	10891	12	1	13	10890	10916	0.6651465681128621
K1	string	0.8	network_modules	1	TRUE	1.1267853950337162e-29	92	17	15	0.8823529411764706	0.16304347826086957	GO:0061157	GO:BP	mRNA destabilization	16175	15262		0.05555555555555555	0.08108108108108109	92	16083	15	2	77	16081	16175	0.378121390759383
K1	string	0.8	network_modules	1	TRUE	1.8976323369139305e-29	95	17	15	0.8823529411764706	0.15789473684210525	GO:0050779	GO:BP	RNA destabilization	16175	13253		0.08333333333333333	0.10810810810810811	95	16080	15	2	80	16078	16175	0.3720591377763168
K1	string	0.8	network_modules	1	TRUE	2.659836317516765e-29	97	17	15	0.8823529411764706	0.15463917525773196	GO:0061014	GO:BP	positive regulation of mRNA catabolic process	16175	15137		0.1111111111111111	0.13513513513513514	97	16078	15	2	82	16076	16175	0.368174452184711
K1	string	0.8	network_modules	1	TRUE	3.105255017685611e-28	113	17	15	0.8823529411764706	0.13274336283185842	GO:0000956	GO:BP	nuclear-transcribed mRNA catabolic process	16175	264		0.1388888888888889	0.16216216216216217	113	16062	15	2	98	16060	16175	0.34089922373407755
K1	string	0.8	network_modules	1	TRUE	1.5530251969428388e-27	125	17	15	0.8823529411764706	0.12	GO:1903313	GO:BP	positive regulation of mRNA metabolic process	16175	22897		0.16666666666666666	0.1891891891891892	125	16050	15	2	110	16048	16175	0.3239696250435415
