network_method	network_db	network_cutoff	experiment_info	func_module_number	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC
M1	cpdb	0.2	network_modules	1	TRUE	7.040465952822759e-23	558	87	33	0.3793103448275862	0.05913978494623656	GO:0055086	GO:BP	nucleobase-containing small molecule metabolic process	16175	14237		0	0.009433962264150943	558	15617	33	54	525	15563	16175	0.13893772684384262
M1	cpdb	0.2	network_modules	1	TRUE	4.685596390191577e-20	521	87	30	0.3448275862068966	0.05758157389635317	GO:0006753	GO:BP	nucleoside phosphate metabolic process	16175	2450		0.009523809523809525	0.018867924528301886	521	15654	30	57	491	15597	16175	0.13020704618176915
M1	cpdb	0.2	network_modules	1	TRUE	7.650469849104122e-18	742	87	32	0.367816091954023	0.0431266846361186	GO:0019752	GO:BP	carboxylic acid metabolic process	16175	6036		0.01904761904761905	0.02830188679245283	742	15433	32	55	710	15378	16175	0.11316301620964242
M1	cpdb	0.2	network_modules	1	TRUE	1.2491211932680988e-17	115	76	19	0.25	0.16521739130434782	KEGG:01200	KEGG	Carbon metabolism	8484	184		0	0.08333333333333333	115	8369	19	57	96	8312	8484	0.19440421155528892
M1	cpdb	0.2	network_modules	1	TRUE	1.6370428008925667e-17	761	87	32	0.367816091954023	0.04204993429697766	GO:0043436	GO:BP	oxoacid metabolic process	16175	10693		0.02857142857142857	0.03773584905660377	761	15414	32	55	729	15359	16175	0.11140230046386937
M1	cpdb	0.2	network_modules	1	TRUE	2.0724439770416883e-17	767	87	32	0.367816091954023	0.041720990873533245	GO:0006082	GO:BP	organic acid metabolic process	16175	1947		0.0380952380952381	0.04716981132075472	767	15408	32	55	735	15353	16175	0.11085896776100175
M1	cpdb	0.2	network_modules	1	TRUE	2.8035968393385697e-17	388	87	25	0.28735632183908044	0.06443298969072164	GO:0009117	GO:BP	nucleotide metabolic process	16175	3286		0.047619047619047616	0.05660377358490566	388	15787	25	62	363	15725	16175	0.12657599719064502
M1	cpdb	0.2	network_modules	1	TRUE	7.918302559824893e-16	288	78	23	0.2948717948717949	0.0798611111111111	REAC:R-HSA-71387	REAC	Metabolism of carbohydrates	10916	1422		0	0.07692307692307693	288	10628	23	55	265	10573	10916	0.1421150047000004
M1	cpdb	0.2	network_modules	1	TRUE	2.344388577366069e-15	143	87	17	0.19540229885057472	0.11888111888111888	GO:0072524	GO:BP	pyridine-containing compound metabolic process	16175	17426		0.05714285714285714	0.0660377358490566	143	16032	17	70	126	15962	16175	0.14655918107870552
M1	cpdb	0.2	network_modules	1	TRUE	5.2096867595923264e-15	482	87	25	0.28735632183908044	0.05186721991701245	GO:0044283	GO:BP	small molecule biosynthetic process	16175	10950		0.06666666666666667	0.07547169811320754	482	15693	25	62	457	15631	16175	0.11139101425917794
M1	cpdb	0.2	network_modules	1	TRUE	3.6472457776617734e-14	67	76	14	0.18421052631578946	0.208955223880597	KEGG:00010	KEGG	Glycolysis / Gluconeogenesis	8484	2		0.09090909090909091	0.16666666666666666	67	8417	14	62	53	8355	8484	0.18937826497359017
M1	cpdb	0.2	network_modules	1	TRUE	2.030104516325448e-13	349	87	21	0.2413793103448276	0.06017191977077364	GO:0006163	GO:BP	purine nucleotide metabolic process	16175	1998		0.0761904761904762	0.08490566037735849	349	15826	21	66	328	15760	16175	0.11124687490915504
M1	cpdb	0.2	network_modules	1	TRUE	5.024171888925966e-13	469	87	23	0.26436781609195403	0.04904051172707889	GO:0072521	GO:BP	purine-containing compound metabolic process	16175	17423		0.08571428571428572	0.09433962264150944	469	15706	23	64	446	15642	16175	0.10315476694280167
M1	cpdb	0.2	network_modules	1	TRUE	2.7390570903256415e-12	300	87	19	0.21839080459770116	0.06333333333333334	GO:0044282	GO:BP	small molecule catabolic process	16175	10949		0.09523809523809523	0.10377358490566038	300	15875	19	68	281	15807	16175	0.10892455039965528
M1	cpdb	0.2	network_modules	1	TRUE	6.404988427044767e-12	33	78	10	0.1282051282051282	0.30303030303030304	REAC:R-HSA-70263	REAC	Gluconeogenesis	10916	1052		0.08333333333333333	0.15384615384615385	33	10883	10	68	23	10815	10916	0.1934403213298488
M1	cpdb	0.2	network_modules	1	TRUE	8.004312967542617e-12	367	87	20	0.22988505747126436	0.05449591280653951	GO:0005975	GO:BP	carbohydrate metabolic process	16175	1850		0.10476190476190476	0.11320754716981132	367	15808	20	67	347	15741	16175	0.10232038733358227
M1	cpdb	0.2	network_modules	1	TRUE	3.0361982542679446e-11	138	87	14	0.16091954022988506	0.10144927536231885	GO:0046496	GO:BP	nicotinamide nucleotide metabolic process	16175	12199		0.11428571428571428	0.1320754716981132	138	16037	14	73	124	15964	16175	0.1218434356942862
M1	cpdb	0.2	network_modules	1	TRUE	3.0361982542679446e-11	138	87	14	0.16091954022988506	0.10144927536231885	GO:0019362	GO:BP	pyridine nucleotide metabolic process	16175	5724		0.11428571428571428	0.1320754716981132	138	16037	14	73	124	15964	16175	0.1218434356942862
M1	cpdb	0.2	network_modules	1	TRUE	6.912682199675299e-11	65	87	11	0.12643678160919541	0.16923076923076924	GO:0046364	GO:BP	monosaccharide biosynthetic process	16175	12095		0.13333333333333333	0.14150943396226415	65	16110	11	76	54	16034	16175	0.14229660878094452
M1	cpdb	0.2	network_modules	1	TRUE	1.9965216564191462e-10	96	87	12	0.13793103448275862	0.125	GO:0006090	GO:BP	pyruvate metabolic process	16175	1953		0.14285714285714285	0.1509433962264151	96	16079	12	75	84	16004	16175	0.12637127203592466
M1	cpdb	0.2	network_modules	1	TRUE	3.049286869914959e-10	86	78	12	0.15384615384615385	0.13953488372093023	REAC:R-HSA-70326	REAC	Glucose metabolism	10916	1053		0.16666666666666666	0.23076923076923078	86	10830	12	66	74	10764	10916	0.14006508645523083
M1	cpdb	0.2	network_modules	1	TRUE	3.128241375982185e-10	163	87	14	0.16091954022988506	0.08588957055214724	GO:0005996	GO:BP	monosaccharide metabolic process	16175	1871		0.1523809523809524	0.16037735849056603	163	16012	14	73	149	15939	16175	0.11106042368378233
M1	cpdb	0.2	network_modules	1	TRUE	3.4821605148578124e-10	31	76	9	0.11842105263157894	0.2903225806451613	KEGG:00030	KEGG	Pentose phosphate pathway	8484	4		0.18181818181818182	0.25	31	8453	9	67	22	8386	8484	0.18083908072271163
M1	cpdb	0.2	network_modules	1	TRUE	4.370984697290575e-10	397	87	19	0.21839080459770116	0.047858942065491183	GO:1901615	GO:BP	organic hydroxy compound metabolic process	16175	21597		0.1619047619047619	0.16981132075471697	397	15778	19	68	378	15710	16175	0.0921276924140658
M1	cpdb	0.2	network_modules	1	TRUE	8.088205643226186e-10	139	87	13	0.14942528735632185	0.09352517985611511	GO:1901292	GO:BP	nucleoside phosphate catabolic process	16175	21367		0.17142857142857143	0.1792452830188679	139	16036	13	74	126	15962	16175	0.11220136175622886
M1	cpdb	0.2	network_modules	1	TRUE	1.6711119765246418e-9	147	87	13	0.14942528735632185	0.08843537414965986	GO:0016051	GO:BP	carbohydrate biosynthetic process	16175	5083		0.18095238095238095	0.18867924528301888	147	16028	13	74	134	15954	16175	0.10874951382630013
M1	cpdb	0.2	network_modules	1	TRUE	1.990043715097612e-9	149	87	13	0.14942528735632185	0.087248322147651	GO:0019318	GO:BP	hexose metabolic process	16175	5681		0.19047619047619047	0.19811320754716982	149	16026	13	74	136	15952	16175	0.10792874825621163
M1	cpdb	0.2	network_modules	1	TRUE	2.016956988891677e-9	116	87	12	0.13793103448275862	0.10344827586206896	GO:0072523	GO:BP	purine-containing compound catabolic process	16175	17425		0.2	0.20754716981132076	116	16059	12	75	104	15984	16175	0.1139561599684599
M1	cpdb	0.2	network_modules	1	TRUE	2.078974631687033e-9	63	87	10	0.11494252873563218	0.15873015873015872	GO:0019319	GO:BP	hexose biosynthetic process	16175	5682		0.20952380952380953	0.2169811320754717	63	16112	10	77	53	16035	16175	0.13110437261057462
M1	cpdb	0.2	network_modules	1	TRUE	2.23780876177346e-9	117	87	12	0.13793103448275862	0.10256410256410256	GO:0009166	GO:BP	nucleotide catabolic process	16175	3332		0.21904761904761905	0.22641509433962265	117	16058	12	75	105	15983	16175	0.11341800576959565
M1	cpdb	0.2	network_modules	1	TRUE	2.8837332615891095e-9	90	87	11	0.12643678160919541	0.12222222222222222	GO:0009154	GO:BP	purine ribonucleotide catabolic process	16175	3321		0.22857142857142856	0.2358490566037736	90	16085	11	76	79	16009	16175	0.11949482708046062
M1	cpdb	0.2	network_modules	1	TRUE	3.028880199274195e-9	504	87	20	0.22988505747126436	0.03968253968253968	GO:0032787	GO:BP	monocarboxylic acid metabolic process	16175	7822		0.23809523809523808	0.24528301886792453	504	15671	20	67	484	15604	16175	0.08410922881391802
M1	cpdb	0.2	network_modules	1	TRUE	3.33211619245049e-9	74	76	11	0.14473684210526316	0.14864864864864866	KEGG:01230	KEGG	Biosynthesis of amino acids	8484	188		0.2727272727272727	0.3333333333333333	74	8410	11	65	63	8345	8484	0.13906972246450144
M1	cpdb	0.2	network_modules	1	TRUE	3.3844183126216657e-9	283	87	16	0.1839080459770115	0.05653710247349823	GO:0019693	GO:BP	ribose phosphate metabolic process	16175	6010		0.24761904761904763	0.25471698113207547	283	15892	16	71	267	15821	16175	0.09333720593619176
M1	cpdb	0.2	network_modules	1	TRUE	3.693599714652461e-9	92	87	11	0.12643678160919541	0.11956521739130435	GO:0009261	GO:BP	ribonucleotide catabolic process	16175	3426		0.2571428571428571	0.2641509433962264	92	16083	11	76	81	16007	16175	0.11807527222398335
M1	cpdb	0.2	network_modules	1	TRUE	3.965859665258532e-9	196	87	14	0.16091954022988506	0.07142857142857142	GO:1901136	GO:BP	carbohydrate derivative catabolic process	16175	21244		0.26666666666666666	0.27358490566037735	196	15979	14	73	182	15906	16175	0.10001359542710864
M1	cpdb	0.2	network_modules	1	TRUE	8.403076177928901e-9	99	87	11	0.12643678160919541	0.1111111111111111	GO:0006195	GO:BP	purine nucleotide catabolic process	16175	2024		0.2761904761904762	0.2830188679245283	99	16076	11	76	88	16000	16175	0.1134411155740824
M1	cpdb	0.2	network_modules	1	TRUE	1.0814570740660369e-8	33	87	8	0.09195402298850575	0.24242424242424243	GO:0009123	GO:BP	nucleoside monophosphate metabolic process	16175	3290		0.2857142857142857	0.29245283018867924	33	16142	8	79	25	16063	16175	0.1465358133254638
M1	cpdb	0.2	network_modules	1	TRUE	1.4799921422763043e-8	91	78	11	0.14102564102564102	0.12087912087912088	REAC:R-HSA-15869	REAC	Metabolism of nucleotides	10916	1432		0.25	0.3076923076923077	91	10825	11	67	80	10758	10916	0.1238047646714142
M1	cpdb	0.2	network_modules	1	TRUE	3.129627030733251e-8	276	87	15	0.1724137931034483	0.05434782608695652	GO:0009259	GO:BP	ribonucleotide metabolic process	16175	3424		0.29523809523809524	0.3018867924528302	276	15899	15	72	261	15827	16175	0.0882116373279114
M1	cpdb	0.2	network_modules	1	TRUE	3.1645496792251835e-8	185	87	13	0.14942528735632185	0.07027027027027027	GO:0046434	GO:BP	organophosphate catabolic process	16175	12142		0.3047619047619048	0.3113207547169811	185	15990	13	74	172	15916	16175	0.09542974109593766
M1	cpdb	0.2	network_modules	1	TRUE	3.7779675287149096e-8	50	76	9	0.11842105263157894	0.18	KEGG:00270	KEGG	Cysteine and methionine metabolism	8484	30		0.36363636363636365	0.4166666666666667	50	8434	9	67	41	8367	8484	0.13977142212146132
M1	cpdb	0.2	network_modules	1	TRUE	3.78919275646555e-8	512	87	19	0.21839080459770116	0.037109375	GO:0090407	GO:BP	organophosphate biosynthetic process	16175	18274		0.3142857142857143	0.32075471698113206	512	15663	19	68	493	15595	16175	0.0784351716720122
M1	cpdb	0.2	network_modules	1	TRUE	4.014359834273564e-8	23	87	7	0.08045977011494253	0.30434782608695654	GO:0009124	GO:BP	nucleoside monophosphate biosynthetic process	16175	3291		0.3238095238095238	0.330188679245283	23	16152	7	80	16	16072	16175	0.15424488947853118
M1	cpdb	0.2	network_modules	1	TRUE	6.4452602790801593e-08	119	87	11	0.12643678160919541	0.09243697478991597	GO:0006006	GO:BP	glucose metabolic process	16175	1881		0.3333333333333333	0.33962264150943394	119	16056	11	76	108	15980	16175	0.10247044861026487
M1	cpdb	0.2	network_modules	1	TRUE	7.803299513894529e-8	25	87	7	0.08045977011494253	0.28	GO:0043094	GO:BP	cellular metabolic compound salvage	16175	10523		0.34285714285714286	0.3490566037735849	25	16150	7	80	18	16070	16175	0.14772419774610226
M1	cpdb	0.2	network_modules	1	TRUE	2.403669514117918e-7	266	87	14	0.16091954022988506	0.05263157894736842	GO:0009150	GO:BP	purine ribonucleotide metabolic process	16175	3317		0.3523809523809524	0.3584905660377358	266	15909	14	73	252	15836	16175	0.08353751531688555
M1	cpdb	0.2	network_modules	1	TRUE	2.605297893333166e-7	84	76	10	0.13157894736842105	0.11904761904761904	KEGG:01232	KEGG	Nucleotide metabolism	8484	189		0.45454545454545453	0.5	84	8400	10	66	74	8334	8484	0.11684058657050088
M1	cpdb	0.2	network_modules	1	TRUE	3.8201809124057074e-7	8	87	5	0.05747126436781609	0.625	GO:0043101	GO:BP	purine-containing compound salvage	16175	10530		0.3619047619047619	0.36792452830188677	8	16167	5	82	3	16085	16175	0.1884474510906529
M1	cpdb	0.2	network_modules	1	TRUE	4.385420865568335e-7	68	78	9	0.11538461538461539	0.1323529411764706	REAC:R-HSA-70171	REAC	Glycolysis	10916	1074		0.3333333333333333	0.38461538461538464	68	10848	9	69	59	10779	10916	0.11769323459469593
M1	cpdb	0.2	network_modules	1	TRUE	5.992343797537372e-7	47	76	8	0.10526315789473684	0.1702127659574468	KEGG:00620	KEGG	Pyruvate metabolism	8484	99		0.5454545454545454	0.5833333333333334	47	8437	8	68	39	8369	8484	0.12773645867666325
M1	cpdb	0.2	network_modules	1	TRUE	6.439726705737081e-7	79	87	9	0.10344827586206896	0.11392405063291139	GO:0072526	GO:BP	pyridine-containing compound catabolic process	16175	17428		0.37142857142857144	0.37735849056603776	79	16096	9	78	70	16018	16175	0.10396796439806706
M1	cpdb	0.2	network_modules	1	TRUE	9.968491568302303e-7	4	78	4	0.05128205128205128	1	REAC:R-HSA-9735804	REAC	Diseases of nucleotide metabolism	10916	770		0.4166666666666667	0.46153846153846156	4	10912	4	74	0	10838	10916	0.22568624409341048
M1	cpdb	0.2	network_modules	1	TRUE	1.120052253496594e-6	126	76	11	0.14473684210526316	0.0873015873015873	KEGG:00230	KEGG	Purine metabolism	8484	22		0.6363636363636364	0.6666666666666666	126	8358	11	65	115	8293	8484	0.10209038479887758
M1	cpdb	0.2	network_modules	1	TRUE	1.7719529434036085e-6	60	87	8	0.09195402298850575	0.13333333333333333	GO:0006094	GO:BP	gluconeogenesis	16175	1955		0.38095238095238093	0.3867924528301887	60	16115	8	79	52	16036	16175	0.1067456584059781
M1	cpdb	0.2	network_modules	1	TRUE	1.8800950620430385e-6	123	87	10	0.11494252873563218	0.08130081300813008	GO:0016052	GO:BP	carbohydrate catabolic process	16175	5084		0.3904761904761905	0.39622641509433965	123	16052	10	77	113	15975	16175	0.09086362690249818
M1	cpdb	0.2	network_modules	1	TRUE	2.172198060745592e-6	260	87	13	0.14942528735632185	0.05	GO:1901293	GO:BP	nucleoside phosphate biosynthetic process	16175	21368		0.4	0.4056603773584906	260	15915	13	74	247	15841	16175	0.07797573730603594
M1	cpdb	0.2	network_modules	1	TRUE	2.3497155985215387e-6	39	87	7	0.08045977011494253	0.1794871794871795	GO:0006739	GO:BP	NADP metabolic process	16175	2438		0.4095238095238095	0.41509433962264153	39	16136	7	80	32	16056	16175	0.11702751705203286
M1	cpdb	0.2	network_modules	1	TRUE	7.867182129772565e-6	72	87	8	0.09195402298850575	0.1111111111111111	GO:0006096	GO:BP	glycolytic process	16175	1956		0.41904761904761906	0.4339622641509434	72	16103	8	79	64	16024	16175	0.09666176967520868
M1	cpdb	0.2	network_modules	1	TRUE	7.867182129772565e-6	72	87	8	0.09195402298850575	0.1111111111111111	GO:0046032	GO:BP	ADP catabolic process	16175	11809		0.41904761904761906	0.4339622641509434	72	16103	8	79	64	16024	16175	0.09666176967520868
M1	cpdb	0.2	network_modules	1	TRUE	8.319855558344547e-6	13	78	5	0.0641025641025641	0.38461538461538464	REAC:R-HSA-74217	REAC	Purine salvage	10916	1825		0.5	0.5384615384615384	13	10903	5	73	8	10830	10916	0.15474715028254704
M1	cpdb	0.2	network_modules	1	TRUE	9.475275337965047e-6	27	87	6	0.06896551724137931	0.2222222222222222	GO:0006734	GO:BP	NADH metabolic process	16175	2435		0.4380952380952381	0.44339622641509435	27	16148	6	81	21	16067	16175	0.12122792103995382
M1	cpdb	0.2	network_modules	1	TRUE	9.82054576300063e-6	74	87	8	0.09195402298850575	0.10810810810810811	GO:0009137	GO:BP	purine nucleoside diphosphate catabolic process	16175	3304		0.44761904761904764	0.4716981132075472	74	16101	8	79	66	16022	16175	0.09521776394357731
M1	cpdb	0.2	network_modules	1	TRUE	9.82054576300063e-6	74	87	8	0.09195402298850575	0.10810810810810811	GO:0009181	GO:BP	purine ribonucleoside diphosphate catabolic process	16175	3347		0.44761904761904764	0.4716981132075472	74	16101	8	79	66	16022	16175	0.09521776394357731
M1	cpdb	0.2	network_modules	1	TRUE	9.82054576300063e-6	74	87	8	0.09195402298850575	0.10810810810810811	GO:0046031	GO:BP	ADP metabolic process	16175	11808		0.44761904761904764	0.4716981132075472	74	16101	8	79	66	16022	16175	0.09521776394357731
M1	cpdb	0.2	network_modules	1	TRUE	1.2007698822900541e-5	28	87	6	0.06896551724137931	0.21428571428571427	GO:0009161	GO:BP	ribonucleoside monophosphate metabolic process	16175	3327		0.47619047619047616	0.49056603773584906	28	16147	6	81	22	16066	16175	0.11893777510007505
M1	cpdb	0.2	network_modules	1	TRUE	1.2007698822900541e-5	28	87	6	0.06896551724137931	0.21428571428571427	GO:0051156	GO:BP	glucose 6-phosphate metabolic process	16175	13539		0.47619047619047616	0.49056603773584906	28	16147	6	81	22	16066	16175	0.11893777510007505
M1	cpdb	0.2	network_modules	1	TRUE	1.217996139717284e-5	76	87	8	0.09195402298850575	0.10526315789473684	GO:0019364	GO:BP	pyridine nucleotide catabolic process	16175	5726		0.49523809523809526	0.5094339622641509	76	16099	8	79	68	16020	16175	0.09382941834146075
M1	cpdb	0.2	network_modules	1	TRUE	1.217996139717284e-5	76	87	8	0.09195402298850575	0.10526315789473684	GO:0009179	GO:BP	purine ribonucleoside diphosphate metabolic process	16175	3345		0.49523809523809526	0.5094339622641509	76	16099	8	79	68	16020	16175	0.09382941834146075
M1	cpdb	0.2	network_modules	1	TRUE	1.331462749809459e-5	14	87	5	0.05747126436781609	0.35714285714285715	GO:0046112	GO:BP	nucleobase biosynthetic process	16175	11888		0.5142857142857142	0.5188679245283019	14	16161	5	82	9	16079	16175	0.14155172237105956
M1	cpdb	0.2	network_modules	1	TRUE	1.3533094876110371e-5	77	87	8	0.09195402298850575	0.1038961038961039	GO:0009191	GO:BP	ribonucleoside diphosphate catabolic process	16175	3357		0.5238095238095238	0.5377358490566038	77	16098	8	79	69	16019	16175	0.0931549898766273
M1	cpdb	0.2	network_modules	1	TRUE	1.3533094876110371e-5	77	87	8	0.09195402298850575	0.1038961038961039	GO:0009135	GO:BP	purine nucleoside diphosphate metabolic process	16175	3302		0.5238095238095238	0.5377358490566038	77	16098	8	79	69	16019	16175	0.0931549898766273
M1	cpdb	0.2	network_modules	1	TRUE	1.9197279935035018e-5	15	78	5	0.0641025641025641	0.3333333333333333	REAC:R-HSA-71336	REAC	Pentose phosphate pathway	10916	1721		0.5833333333333334	0.6153846153846154	15	10901	5	73	10	10828	10916	0.14365538286279878
M1	cpdb	0.2	network_modules	1	TRUE	2.1823032327014744e-5	514	87	16	0.1839080459770115	0.0311284046692607	GO:1901137	GO:BP	carbohydrate derivative biosynthetic process	16175	21245		0.5428571428571428	0.5471698113207547	514	15661	16	71	498	15590	16175	0.06377907172496719
M1	cpdb	0.2	network_modules	1	TRUE	2.2429117288570086e-5	82	87	8	0.09195402298850575	0.0975609756097561	GO:0009134	GO:BP	nucleoside diphosphate catabolic process	16175	3301		0.5523809523809524	0.5566037735849056	82	16093	8	79	74	16014	16175	0.0899641782365897
M1	cpdb	0.2	network_modules	1	TRUE	2.9891777677230588e-5	85	87	8	0.09195402298850575	0.09411764705882353	GO:0009185	GO:BP	ribonucleoside diphosphate metabolic process	16175	3351		0.5619047619047619	0.5660377358490566	85	16090	8	79	77	16011	16175	0.08818190755178319
M1	cpdb	0.2	network_modules	1	TRUE	5.901297007526764e-5	36	76	6	0.07894736842105263	0.16666666666666666	KEGG:00350	KEGG	Tyrosine metabolism	8484	41		0.7272727272727273	0.75	36	8448	6	70	30	8378	8484	0.10926404231632209
M1	cpdb	0.2	network_modules	1	TRUE	6.1092385339805e-5	93	87	8	0.09195402298850575	0.08602150537634409	GO:0009132	GO:BP	nucleoside diphosphate metabolic process	16175	3299		0.5714285714285714	0.5754716981132075	93	16082	8	79	85	16003	16175	0.08384378282982467
M1	cpdb	0.2	network_modules	1	TRUE	7.571484188783012e-5	19	87	5	0.05747126436781609	0.2631578947368421	GO:0006098	GO:BP	pentose-phosphate shunt	16175	1958		0.580952380952381	0.5849056603773585	19	16156	5	82	14	16074	16175	0.1208624585684937
M1	cpdb	0.2	network_modules	1	TRUE	1.0052691436445636e-4	20	87	5	0.05747126436781609	0.25	GO:0009156	GO:BP	ribonucleoside monophosphate biosynthetic process	16175	3323		0.5904761904761905	0.5943396226415094	20	16155	5	82	15	16073	16175	0.11767642675947916
M1	cpdb	0.2	network_modules	1	TRUE	1.0172839864418392e-4	186	87	10	0.11494252873563218	0.053763440860215055	GO:0009165	GO:BP	nucleotide biosynthetic process	16175	3331		0.6	0.6037735849056604	186	15989	10	77	176	15912	16175	0.0713490404293052
M1	cpdb	0.2	network_modules	1	TRUE	1.4504819797984405e-4	3	78	3	0.038461538461538464	1	REAC:R-HSA-9734207	REAC	Nucleotide salvage defects	10916	1627		0.6666666666666666	0.6923076923076923	3	10913	3	75	0	10838	10916	0.1954410655473344
M1	cpdb	0.2	network_modules	1	TRUE	1.5497500357110051e-4	372	87	13	0.14942528735632185	0.03494623655913978	GO:0006091	GO:BP	generation of precursor metabolites and energy	16175	1954		0.6095238095238096	0.6132075471698113	372	15803	13	74	359	15729	16175	0.06202273391101632
M1	cpdb	0.2	network_modules	1	TRUE	1.661536569374132e-4	9	87	4	0.04597701149425287	0.4444444444444444	GO:0009113	GO:BP	purine nucleobase biosynthetic process	16175	3282		0.6190476190476191	0.6226415094339622	9	16166	4	83	5	16083	16175	0.14163910888062795
M1	cpdb	0.2	network_modules	1	TRUE	1.6930937383937152e-4	22	87	5	0.05747126436781609	0.22727272727272727	GO:0009167	GO:BP	purine ribonucleoside monophosphate metabolic process	16175	3333		0.6285714285714286	0.6509433962264151	22	16153	5	82	17	16071	16175	0.11196029852077938
M1	cpdb	0.2	network_modules	1	TRUE	1.6930937383937152e-4	22	87	5	0.05747126436781609	0.22727272727272727	GO:0006740	GO:BP	NADPH regeneration	16175	2439		0.6285714285714286	0.6509433962264151	22	16153	5	82	17	16071	16175	0.11196029852077938
M1	cpdb	0.2	network_modules	1	TRUE	1.6930937383937152e-4	22	87	5	0.05747126436781609	0.22727272727272727	GO:0009112	GO:BP	nucleobase metabolic process	16175	3281		0.6285714285714286	0.6509433962264151	22	16153	5	82	17	16071	16175	0.11196029852077938
M1	cpdb	0.2	network_modules	1	TRUE	1.8803484825201218e-4	448	87	14	0.16091954022988506	0.03125	GO:0034655	GO:BP	nucleobase-containing compound catabolic process	16175	8711		0.6571428571428571	0.660377358490566	448	15727	14	73	434	15654	16175	0.05969919021606654
M1	cpdb	0.2	network_modules	1	TRUE	2.057089758307451e-4	23	78	5	0.0641025641025641	0.21739130434782608	REAC:R-HSA-8956321	REAC	Nucleotide salvage	10916	1626		0.75	0.7692307692307693	23	10893	5	73	18	10820	10916	0.11469888838500449
M1	cpdb	0.2	network_modules	1	TRUE	2.1542659586726239e-4	23	87	5	0.05747126436781609	0.21739130434782608	GO:0009126	GO:BP	purine nucleoside monophosphate metabolic process	16175	3293		0.6666666666666666	0.6698113207547169	23	16152	5	82	18	16070	16175	0.10938207053090762
M1	cpdb	0.2	network_modules	1	TRUE	2.1885301844021106e-4	257	87	11	0.12643678160919541	0.042801556420233464	GO:0006066	GO:BP	alcohol metabolic process	16175	1933		0.6761904761904762	0.6792452830188679	257	15918	11	76	246	15842	16175	0.06501195380311295
M1	cpdb	0.2	network_modules	1	TRUE	2.591530481418144e-4	3	87	3	0.034482758620689655	1	GO:0043096	GO:BP	purine nucleobase salvage	16175	10525		0.6857142857142857	0.6886792452830188	3	16172	3	84	0	16088	16175	0.1852124443992085
