network_method	network_db	network_cutoff	experiment_info	func_module_number	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC
R1	humanbase	0.6	network_modules	8	TRUE	0.009631295346774054	69	3	2	0.6666666666666666	0.028985507246376812	KEGG:04924	KEGG	Renin secretion	8484	381		NA	1	69	8415	2	1	67	8414	8484	0.13789996679149852
R1	humanbase	0.6	network_modules	10	TRUE	5.930449031721639e-4	44	7	3	0.42857142857142855	0.06818181818181818	GO:0034204	GO:BP	lipid translocation	16175	8503		0	0.3333333333333333	44	16131	3	4	41	16127	16175	0.17012417475866906
R1	humanbase	0.6	network_modules	10	TRUE	8.242307809858656e-4	49	7	3	0.42857142857142855	0.061224489795918366	GO:0097035	GO:BP	regulation of membrane lipid distribution	16175	18453		0.5	0.6666666666666666	49	16126	3	4	46	16122	16175	0.1611188247261152
R1	humanbase	0.6	network_modules	10	TRUE	8.38522529608112e-4	5	7	2	0.2857142857142857	0.4	REAC:R-HSA-75157	REAC	FasL/ CD95L signaling	10916	933		0	0.2	5	10911	2	5	3	10906	10916	0.33770535962789805
R1	humanbase	0.6	network_modules	10	TRUE	0.0037675917744648623	10	7	2	0.2857142857142857	0.2	REAC:R-HSA-3371378	REAC	Regulation by c-FLIP	10916	1962		0.25	0.8	10	10906	2	5	8	10901	10916	0.23846495752727878
R1	humanbase	0.6	network_modules	10	TRUE	0.0037675917744648623	10	7	2	0.2857142857142857	0.2	REAC:R-HSA-69416	REAC	Dimerization of procaspase-8	10916	745		0.25	0.8	10	10906	2	5	8	10901	10916	0.23846495752727878
R1	humanbase	0.6	network_modules	10	TRUE	0.0037675917744648623	10	7	2	0.2857142857142857	0.2	REAC:R-HSA-5218900	REAC	CASP8 activity is inhibited	10916	263		0.25	0.8	10	10906	2	5	8	10901	10916	0.23846495752727878
R1	humanbase	0.6	network_modules	10	TRUE	0.0040814620649982465	8	7	2	0.2857142857142857	0.25	GO:0097527	GO:BP	necroptotic signaling pathway	16175	18687		1	1	8	16167	2	5	6	16162	16175	0.26692236123232677
R1	humanbase	0.6	network_modules	10	TRUE	0.008777626855691513	15	7	2	0.2857142857142857	0.13333333333333333	REAC:R-HSA-140534	REAC	Caspase activation via Death Receptors in the presence of ligand	10916	313		1	1	15	10901	2	5	13	10896	10916	0.19443725182357552
R1	humanbase	0.6	network_modules	17	TRUE	0.0011284355467893483	7	6	2	0.3333333333333333	0.2857142857142857	REAC:R-HSA-9033500	REAC	TYSND1 cleaves peroxisomal proteins	10916	2479		0	0.25	7	10909	2	4	5	10905	10916	0.30819652589076213
R1	humanbase	0.6	network_modules	17	TRUE	0.0015042130379307411	8	6	2	0.3333333333333333	0.25	REAC:R-HSA-390247	REAC	Beta-oxidation of very long chain fatty acids	10916	220		0.3333333333333333	0.5	8	10908	2	4	6	10904	10916	0.2882252799722374
R1	humanbase	0.6	network_modules	17	TRUE	0.0035421800031743915	12	6	2	0.3333333333333333	0.16666666666666666	REAC:R-HSA-2046106	REAC	alpha-linolenic acid (ALA) metabolism	10916	2688		0.6666666666666666	1	12	10904	2	4	10	10900	10916	0.23511879436218117
R1	humanbase	0.6	network_modules	17	TRUE	0.0035421800031743915	12	6	2	0.3333333333333333	0.16666666666666666	REAC:R-HSA-2046104	REAC	alpha-linolenic (omega3) and linoleic (omega6) acid metabolism	10916	2687		0.6666666666666666	1	12	10904	2	4	10	10900	10916	0.23511879436218117
R1	humanbase	0.6	network_modules	17	TRUE	0.007115936584634223	27	6	2	0.3333333333333333	0.07407407407407407	KEGG:01040	KEGG	Biosynthesis of unsaturated fatty acids	8484	164		NA	1	27	8457	2	4	25	8453	8484	0.1559380074309423
R1	humanbase	0.6	network_modules	20	TRUE	8.730906310531019e-5	18	9	3	0.3333333333333333	0.16666666666666666	REAC:R-HSA-8963898	REAC	Plasma lipoprotein assembly	10916	1755		0	0.125	18	10898	3	6	15	10892	10916	0.23482670676417305
R1	humanbase	0.6	network_modules	20	TRUE	5.503217583226739e-4	132	9	4	0.4444444444444444	0.030303030303030304	GO:0055088	GO:BP	lipid homeostasis	16175	14238		0	0.3333333333333333	132	16043	4	5	128	16038	16175	0.11442040736601485
R1	humanbase	0.6	network_modules	20	TRUE	7.582977458089813e-4	36	9	3	0.3333333333333333	0.08333333333333333	REAC:R-HSA-8964043	REAC	Plasma lipoprotein clearance	10916	1757		0.14285714285714285	0.25	36	10880	3	6	33	10874	10916	0.16535867412424085
R1	humanbase	0.6	network_modules	20	TRUE	0.0016764303207580484	5	9	2	0.2222222222222222	0.4	REAC:R-HSA-8866423	REAC	VLDL assembly	10916	2637		0.2857142857142857	0.5	5	10911	2	7	3	10904	10916	0.2977187878175293
R1	humanbase	0.6	network_modules	20	TRUE	0.0016764303207580484	5	9	2	0.2222222222222222	0.4	REAC:R-HSA-8964026	REAC	Chylomicron clearance	10916	359		0.2857142857142857	0.5	5	10911	2	7	3	10904	10916	0.2977187878175293
R1	humanbase	0.6	network_modules	20	TRUE	0.0025135702064138007	6	9	2	0.2222222222222222	0.3333333333333333	REAC:R-HSA-8964046	REAC	VLDL clearance	10916	2638		0.5714285714285714	0.625	6	10910	2	7	4	10903	10916	0.2716790073116455
R1	humanbase	0.6	network_modules	20	TRUE	0.005982907117518744	71	9	3	0.3333333333333333	0.04225352112676056	REAC:R-HSA-174824	REAC	Plasma lipoprotein assembly, remodeling, and clearance	10916	1756		0.7142857142857143	0.75	71	10845	3	6	68	10839	10916	0.11679087611053947
R1	humanbase	0.6	network_modules	20	TRUE	0.006176924823638072	242	9	4	0.4444444444444444	0.01652892561983471	GO:0008202	GO:BP	steroid metabolic process	16175	3129		0.5	0.6666666666666666	242	15933	4	5	238	15928	16175	0.08347450628864296
