func_module_number	go_slim_pir
1	GO:0050877
2	GO:0002376;GO:0040011;GO:0050896;GO:0050789
3	GO:0050896;GO:0050789;GO:0007154
5	GO:0007155;GO:0016043
6	GO:0050789;GO:0016192
7	GO:0006412;GO:0007005;GO:0065003;GO:0006396;GO:0016070
9	GO:0006082;GO:0042440;GO:0050896;GO:0006805
12	GO:0050896;GO:0050789;GO:0008283;GO:0002376;GO:0001775;GO:0044419;GO:0036211;GO:0006793
15	GO:0002376;GO:0050896;GO:0050789;GO:0001906
17	GO:0046903;GO:0050789;GO:0009914;GO:0015833;GO:0050886
18	GO:0042254;GO:0006396;GO:0016070;GO:0006412
19	GO:0006811
22	GO:0046903;GO:0048284;GO:0061024;GO:0050789;GO:0006836;GO:0051640;GO:0007154;GO:0016050;GO:0016192;GO:0022406
23	GO:0006412
24	GO:0032502;GO:0032501;GO:0050896;GO:0050789
25	GO:0006810;GO:0051641
27	GO:0002376;GO:0050896;GO:0050789;GO:0044419
29	GO:0045229;GO:0050896;GO:0008152;GO:0043062;GO:0022411
30	GO:0065008;GO:0061024;GO:0006869
31	GO:0016050;GO:0061024;GO:0016192;GO:0051641
32	GO:0045229;GO:0050896;GO:0050789;GO:0043062;GO:0032502
34	GO:0051606;GO:0001816;GO:0050789;GO:0002376;GO:0044419
35	GO:0065008;GO:0050886;GO:0006936
36	GO:0050896;GO:0050789
37	GO:0046903;GO:0050789;GO:0032502;GO:0009914
40	GO:0050878;GO:0050817;GO:0050896;GO:0050789
41	GO:0050896;GO:0050789;GO:0002376;GO:0044419;GO:0001906
42	GO:0016043;GO:0006811;GO:0065008
43	GO:0045229;GO:0043062
44	GO:0006629;GO:0006793
45	GO:0002376;GO:0001775;GO:0001816;GO:0050789
46	GO:0040011;GO:0032502;GO:0050896;GO:0050789
47	GO:0050789;GO:0006354;GO:0006351
48	GO:0009057;GO:0006508
49	GO:0002376;GO:0050896;GO:0050789
50	GO:0032502;GO:0006996
51	GO:0002376;GO:0050896;GO:0044419
52	GO:0050789;GO:0002376;GO:0001775;GO:0007155;GO:0016192
53	GO:0006281;GO:0050789;GO:0009059;GO:0065003;GO:0016070
54	GO:0050789
55	GO:0006412
56	GO:0050896;GO:0050789
58	GO:0045229;GO:0050789;GO:0043062;GO:0032502;GO:0022607
60	GO:0032501;GO:0022414
61	GO:0016043;GO:0050789;GO:0006869;GO:0032501;GO:0006629
62	GO:0050789;GO:0050877;GO:0061024;GO:0065008;GO:0007154;GO:0022607
63	GO:0009059
68	GO:0031640;GO:0050896
75	GO:0032501;GO:0051640;GO:0006996;GO:0006810;GO:0022607
76	GO:0006811
80	GO:0032502;GO:0016043;GO:0050789
81	GO:0032502;GO:0016043;GO:0050789
86	GO:0006811
88	GO:0050789
92	GO:0032501;GO:0065008
100	GO:0050896;GO:0050789;GO:0044419
101	GO:0007031;GO:0015031
105	GO:0036211;GO:0009059
106	GO:0036211;GO:0009059
112	GO:0040011;GO:0032502;GO:0016043;GO:0050789
113	GO:0006281;GO:0022414;GO:0007059
119	GO:0050896;GO:0050789;GO:0008283;GO:0002376;GO:0001775;GO:0032502
120	GO:0006082;GO:0050896;GO:0006629;GO:0006805
121	GO:0050789
123	GO:0050789;GO:0051641;GO:0051234
124	GO:0050789
125	GO:0051604;GO:0006629;GO:0006793
127	GO:0006996;GO:0050789
128	GO:0043603;GO:0006082;GO:0006139;GO:0006790;GO:0042180;GO:0006793
131	GO:0036211
139	GO:0032502;GO:0006354;GO:0006351
140	GO:0006997;GO:0051641;GO:0015931
144	GO:0008152
147	GO:0050896;GO:0050877
151	GO:0050789;GO:0006811;GO:0007154
160	GO:0050896
176	GO:0006119;GO:0022900
177	GO:0006119;GO:0009117;GO:0022900
180	GO:0065009;GO:0050896
