func_module_number	go_slim_pir
13	GO:0022414;GO:0032501
14	GO:0050789;GO:0006082
19	GO:0051606
22	GO:0015669;GO:0008152
23	GO:0065003
29	GO:0006811
41	GO:0032502
43	GO:0008150
50	GO:0006996
71	GO:0006260;GO:0006281;GO:0007049;GO:0050789;GO:0007059;GO:0051276
83	GO:0006260;GO:0006281;GO:0007049;GO:0050789;GO:0007059;GO:0051276;GO:0000280
91	GO:0006412;GO:0006396;GO:0042254;GO:0016070
92	GO:0006412;GO:0044085
99	GO:0050789;GO:0050896;GO:0002376;GO:0044419
100	GO:0050789;GO:0050896;GO:0002376;GO:0044419
122	GO:0050789
138	GO:0006082
145	GO:0015031;GO:0016192
163	GO:0007049;GO:0050789;GO:0007059;GO:0051276;GO:0000280
164	GO:0051234;GO:0007049;GO:0050789;GO:0007059;GO:0051276;GO:0051640;GO:0000280
173	GO:0050789
182	GO:0006629;GO:0006082
183	GO:0050789
185	GO:0051641;GO:0016192
186	GO:0007033
192	GO:0006119;GO:0009117
193	GO:0006119;GO:0022900;GO:0009117
196	GO:0040011;GO:0050789;GO:0001775;GO:0050896;GO:0002376
206	GO:0009059
212	GO:0050789
215	GO:0032501
218	GO:0009117
223	GO:0006811
224	GO:0016070;GO:0006810;GO:0051276;GO:0051641;GO:0000375
225	GO:0000375;GO:0016070
226	GO:0016070;GO:0050789;GO:0043412;GO:0006396;GO:0044085
233	GO:0050789;GO:0050896;GO:0002376;GO:0044419
234	GO:0002376
255	GO:0050789;GO:0050896;GO:0001816
256	GO:0050789;GO:0002376
261	GO:0051641;GO:0016192
280	GO:0050789;GO:0002376;GO:0032502;GO:0001775
281	GO:0050789;GO:0044419;GO:0001816;GO:0001775;GO:0050896;GO:0002376;GO:0007155
286	GO:0006805
303	GO:0016043;GO:0007154;GO:0032502;GO:0050789
308	GO:0050789
310	GO:0043603;GO:0006629
311	GO:0042254
312	GO:0009059;GO:0044085
313	GO:0006996;GO:0032502
314	GO:0022607;GO:0032502
322	GO:0007005;GO:0022900;GO:0065003;GO:0006119
323	GO:0022900;GO:0045333
329	GO:0043062;GO:0045229
330	GO:0043062;GO:0045229
331	GO:0050789;GO:0032502;GO:0045229;GO:0050896;GO:0043062
332	GO:0032502
333	GO:0050789;GO:0002376;GO:0001775
334	GO:0050789;GO:0050896;GO:0002376;GO:0001775
343	GO:0006396;GO:0016070
344	GO:0050789;GO:0044085;GO:0006281;GO:0016070
348	GO:0006412
349	GO:0006119;GO:0022900
350	GO:0040011;GO:0050789;GO:0001775;GO:0050896;GO:0002376
351	GO:0050789;GO:0046903;GO:0032502;GO:0001775;GO:0002376;GO:0016192
352	GO:0050896;GO:0050789
353	GO:0050789;GO:0050896;GO:0008283;GO:0032502
361	GO:0032502
364	GO:0044085
377	GO:0008150
378	GO:0016070
379	GO:0016070
380	GO:0016070
381	GO:0016070
388	GO:0050896
394	GO:0042254
397	GO:0050789
406	GO:0065003;GO:0044085
407	GO:0000375;GO:0016070
413	GO:0050789
416	GO:0050789
432	GO:0044085
441	GO:0050789;GO:0040007;GO:0032501;GO:0032502
447	GO:0032502
477	GO:0050789;GO:0050896
478	GO:0006412
495	GO:0050896
502	GO:0050789;GO:0016070
521	GO:0051641;GO:0016192
531	GO:0050896;GO:0044419;GO:0002376;GO:0050789
532	GO:0050789;GO:0002376;GO:0001775
541	GO:0050896
560	GO:0032501
602	GO:0016043;GO:0032502
