func_module_number	go_slim_pir
1	GO:0022900;GO:0006119;GO:0065003;GO:0007005
2	GO:0036211;GO:0009057;GO:0006508
3	GO:0050789;GO:0008152;GO:0006996;GO:0051258
4	GO:0006412
5	GO:0015931;GO:0015031
6	GO:0051641;GO:0065003;GO:0061024;GO:0048284;GO:0051640;GO:0016192;GO:0016050
7	GO:0016070;GO:0050789;GO:0006412;GO:0009057;GO:0065008
8	GO:0006412;GO:0042254
9	GO:0007005;GO:0050789;GO:0061024;GO:0006810;GO:0065008;GO:0006914;GO:0050896
10	GO:0006412;GO:0042254;GO:0065003
11	GO:0051641;GO:0065003
12	GO:0051641;GO:0051261;GO:0050789;GO:0006810;GO:0051258;GO:0065008;GO:0006996
13	GO:0050789;GO:0006793;GO:0036211
14	GO:0022607;GO:0006508;GO:0050789;GO:0051301;GO:0036211;GO:0009057
15	GO:0015031;GO:0061024;GO:0007005
16	GO:0065003
17	GO:0051641;GO:0006810;GO:0051258;GO:0051640;GO:0007059;GO:0065008;GO:0031023;GO:0048753
18	GO:0006811;GO:0006936;GO:0050789;GO:0008015;GO:0065009
19	GO:0032502;GO:0007155;GO:0032501;GO:0022607
20	GO:0051641;GO:0000280;GO:0051261;GO:0051301;GO:0006810;GO:0007059;GO:0051640;GO:0007049
21	GO:0051641;GO:0046903;GO:0016043;GO:0022406;GO:0051640;GO:0016192
22	GO:0022607;GO:0050789;GO:0061024;GO:0050877;GO:0065008;GO:0007155;GO:0007154
23	GO:0050789;GO:0016043
24	GO:0006457;GO:0051604;GO:0002376;GO:0050789;GO:0001906;GO:0050896
25	GO:0006811;GO:0022607;GO:0050896;GO:0006914;GO:0007033
26	GO:0050896;GO:0050789;GO:0016043;GO:0036211
27	GO:0006836;GO:0046903;GO:0050789;GO:0061024;GO:0022406;GO:0048284;GO:0051640;GO:0016192;GO:0007154;GO:0016050
28	GO:0016192;GO:0015031;GO:0061024;GO:0016050
29	GO:0009117;GO:1902600;GO:0065008
30	GO:0044419;GO:0008037;GO:0002376;GO:0050789;GO:0016192;GO:0050896
31	GO:0006396;GO:0042254;GO:0016070
32	GO:0044419;GO:0006508;GO:0022607;GO:0061024;GO:0016032;GO:0009057;GO:0007032;GO:0015031;GO:0006914;GO:0016192
33	GO:0050789;GO:0008283;GO:0050896;GO:0032502
34	GO:0050789;GO:0016043;GO:0032501;GO:0032502;GO:0050896
35	GO:0022607;GO:0050789;GO:0065008;GO:0007155;GO:0007154
36	GO:0000375;GO:0016070
37	GO:0009057;GO:0006508
38	GO:0050789;GO:0007154;GO:0065008
39	GO:0006508;GO:0050789;GO:0051276;GO:0022414;GO:0036211;GO:0009057;GO:0007059;GO:0007049
40	GO:0006508;GO:0050789;GO:0009057;GO:0015031;GO:0050896
41	GO:0051641;GO:0006810;GO:0006996;GO:0022607
42	GO:0000375;GO:0016070
43	GO:0044419;GO:0002376;GO:0050789;GO:0001816;GO:0065009;GO:0050896
44	GO:0016043
