func_module_number	go_slim_pir
15	GO:0050789
35	GO:0050789
46	GO:0050789
48	GO:0065008;GO:0050789;GO:0007154
88	GO:0045229;GO:0043062
110	GO:0008150
120	GO:0050789
124	GO:0050789
133	GO:0006811
137	GO:0007155;GO:0016043
147	GO:0050896;GO:0032501;GO:0006811
155	GO:0006811
156	GO:0050789;GO:0065009
160	GO:0050789;GO:0002376;GO:0050896
161	GO:0050896;GO:0050789;GO:0007154
165	GO:0032501
180	GO:0051276;GO:0065003
181	GO:0032502;GO:0050789
246	GO:0009914;GO:0007154;GO:0046903;GO:0015833;GO:0050789
268	GO:0050789
