func_module_number	go_slim_pir
1	GO:0050789
2	GO:0050789;GO:0032502;GO:0022406;GO:0065008
3	GO:0051640;GO:0061024;GO:0022406
4	GO:0050789
5	GO:0050896;GO:0050789;GO:0051276;GO:0006259
6	GO:0051641;GO:0061024;GO:0016192;GO:0016050
7	GO:0007155;GO:0050789;GO:0032502
8	GO:0048511;GO:0050789
9	GO:0002376;GO:0032502;GO:0001775
10	GO:0006457
11	GO:0051276;GO:0006281;GO:0022414;GO:0050789;GO:0022607
12	GO:0007033;GO:0022607;GO:0006914;GO:0050789
13	GO:0007033;GO:0022607;GO:0006914
15	GO:0006508;GO:0009057
17	GO:0002376;GO:0050789;GO:0001775;GO:0008283
18	GO:0006412
19	GO:0051640;GO:0046903;GO:0016192;GO:0061024;GO:0001775;GO:0002376;GO:0048284;GO:0022406;GO:0016050
20	GO:0065009;GO:0050789;GO:0006260
21	GO:0050896;GO:0050789
22	GO:0000375;GO:0016070
23	GO:0015031;GO:0050896;GO:0006508;GO:0009057
24	GO:0007155;GO:0050789;GO:0050878
25	GO:0050896;GO:0050789
26	GO:0016070;GO:0006396;GO:0009059
27	GO:0015031
28	GO:0036211
29	GO:0016043;GO:0032502
30	GO:0050789
31	GO:0006119;GO:0022900;GO:0009117
32	GO:0001816;GO:0050789;GO:0006351
33	GO:0006412
34	GO:0051641;GO:0050789
36	GO:0022900;GO:0045333
37	GO:0032501;GO:0050896;GO:0050789;GO:0032502
38	GO:0050789;GO:0016043;GO:0032502
39	GO:0006793;GO:0006139;GO:0043603;GO:0006790;GO:0006082
40	GO:0016070;GO:0006396;GO:0043412
41	GO:0006260;GO:0050789
42	GO:0050896;GO:0022607
43	GO:0032501;GO:0050896
44	GO:0032502;GO:0008283;GO:0050896;GO:0050789;GO:0016043
45	GO:0065009;GO:0050789;GO:0032502;GO:0016043
46	GO:0009117
47	GO:0015031;GO:0007005;GO:0061024
48	GO:0006508;GO:0009057
49	GO:0050789
50	GO:0050789;GO:0050878;GO:0001775;GO:0050817
51	GO:0000375;GO:0016070
52	GO:0007155;GO:0044419;GO:0032502;GO:0008283;GO:0050896;GO:0001775;GO:0001906;GO:0050789;GO:0002376
53	GO:0007030;GO:0050789;GO:0048308
54	GO:0015031;GO:0022607
55	GO:0061024;GO:0007005;GO:0015031
56	GO:0016070;GO:0006396
57	GO:0051604;GO:0050789;GO:0007005
58	GO:0050789
59	GO:0050789
60	GO:0061024;GO:0050789
61	GO:0065003;GO:0006412
62	GO:0050896;GO:0050789
64	GO:0050789;GO:0016043;GO:0032502
65	GO:0006396
66	GO:0006260
67	GO:0016192;GO:0002376
68	GO:0065008;GO:0050789;GO:1902600
69	GO:0006629;GO:0006066
70	GO:0065003;GO:0032502;GO:0006412
71	GO:0050789
72	GO:0006996
74	GO:0051641;GO:0016192;GO:0007033;GO:0016032;GO:0044419;GO:0007032;GO:0061024;GO:0006508;GO:0050789;GO:0022607;GO:0048284;GO:0006914;GO:0009057
75	GO:0051604
76	GO:0006082;GO:0044238;GO:0006066
77	GO:0048511;GO:0050789;GO:0042180
78	GO:0051276
79	GO:0022411;GO:0043062;GO:0050896;GO:0045229;GO:0008152
80	GO:0051641;GO:0015931
81	GO:0050789;GO:0006354
82	GO:0008150
83	GO:0050789
84	GO:0051261
85	GO:0050789;GO:0002376
86	GO:0061024;GO:0065003;GO:0050789;GO:0048284;GO:0016050
87	GO:0016043
88	GO:0051641;GO:0048753;GO:0006810;GO:0051640
89	GO:0016070;GO:0065003;GO:0050789;GO:0006396;GO:0009057
90	GO:0016070;GO:0009059
91	GO:0006259;GO:0065009;GO:0051276;GO:0050896;GO:0050789
92	GO:0051641;GO:0051234
94	GO:0050789
95	GO:0036211;GO:0006793
96	GO:0016070;GO:0050789;GO:0006396;GO:0009057
97	GO:0050789;GO:0032502;GO:0006354
98	GO:0007154;GO:0050789
99	GO:0006281
100	GO:0042254
101	GO:0002376;GO:0050789;GO:0032502;GO:0001775
102	GO:0036211;GO:0050789;GO:0006793;GO:0050896
103	GO:0042254;GO:0006412
104	GO:0006629;GO:0050896;GO:0050789;GO:0006793
105	GO:0050789
106	GO:0050789
107	GO:0051641;GO:0016192;GO:0061024;GO:0048284;GO:0016050
108	GO:0007155;GO:0050789;GO:0032502
109	GO:0046903;GO:0016192;GO:0050789;GO:0006836
110	GO:0006996
111	GO:0016070;GO:0006520
112	GO:0050789;GO:0006281
113	GO:0051641;GO:0016192;GO:0016032;GO:0044419;GO:0022411;GO:0061024;GO:0022607;GO:0007032
114	GO:0015031
