go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.001864     422 annotations READ: go_slim_results_K1_humanbase_0.8.txt 
58 IDs in all associations
func_module_number	
1	GO:0009057;GO:0036211;GO:0022414;GO:0050789;GO:0006508;GO:0007049
2	GO:0016070;GO:0006396;GO:0006412;GO:0042254
3	GO:0006119;GO:0009117;GO:0022900
5	GO:0006508;GO:0009057
7	GO:0006119;GO:0009117;GO:0022900
8	GO:0001775;GO:0050789;GO:0002376
11	GO:0050789
12	GO:0040011;GO:0002376;GO:0032502;GO:0001775;GO:0016192;GO:0008283;GO:0007155;GO:0050789;GO:0050896
13	GO:0022411;GO:0050896;GO:0006914
14	GO:0006629;GO:0006066
16	GO:0016070;GO:0000375
17	GO:0036211
19	GO:0032502;GO:0001775;GO:0050789;GO:0002376
24	GO:0002376;GO:0016032;GO:0044419;GO:0050789;GO:0050896
25	GO:0031647;GO:0050896
26	GO:0036211
28	GO:0016070;GO:0000375
29	GO:0006260;GO:0016070;GO:0051276;GO:0050789;GO:0006281
32	GO:0048285
33	GO:0016070;GO:0042254;GO:0006396
34	GO:0006091;GO:0006082;GO:0009117;GO:0005975
36	GO:0001816;GO:0040011;GO:0002376;GO:0050789;GO:0050896
38	GO:0016070;GO:0006520
39	GO:0002376;GO:0016032;GO:0065003;GO:0044419;GO:0050789;GO:0001906;GO:0050896
43	GO:0009117;GO:0006119
52	GO:0022607
59	GO:0006082;GO:0006520
62	GO:0006457
63	GO:0006629
66	GO:0050789;GO:0050896
67	GO:0008152;GO:0065003
70	GO:0050789;GO:0050896
73	GO:0022607;GO:0065009;GO:0006457;GO:0050789
74	GO:0050789;GO:0002376;GO:0050896
75	GO:0001816;GO:0002376;GO:0044419;GO:0050789;GO:0050896
80	GO:0036211
81	GO:0006091;GO:0009117
82	GO:0050789
83	GO:0016043
85	GO:0050896
87	GO:0050789;GO:0050896;GO:0007005
88	GO:0050789
90	GO:0065008
92	GO:0006260;GO:0006281;GO:0007049;GO:0050789
94	GO:0006260;GO:0051276;GO:0050789;GO:0006281;GO:0007049
95	GO:0000280;GO:0007059;GO:0006260;GO:0051276;GO:0050789;GO:0006281;GO:0007049
96	GO:0016070;GO:0042254;GO:0006396
97	GO:0000280;GO:0007059;GO:0051276;GO:0051640;GO:0050789;GO:0051234;GO:0007049
98	GO:0000280;GO:0007059;GO:0051276;GO:0050789;GO:0007049
99	GO:0016070;GO:0050789;GO:0000375
100	GO:0050789
103	GO:0016070;GO:0006412;GO:0000375
104	GO:0006412
105	GO:0016070;GO:0044085;GO:0006396
106	GO:0051604;GO:0031647;GO:0006457
107	GO:0042254
108	GO:0006396;GO:0042254;GO:0016070;GO:0051179;GO:0050789;GO:0006412
