func_module_number	lst
1	GO:0008544;GO:0018149
2	GO:0060271;GO:0044782
3	GO:0016073;GO:0016180;GO:0034243;GO:0032784;GO:0006368
4	GO:0010968;GO:0007020;GO:0031113;GO:0031110;GO:0046785;GO:0051225
5	GO:0045332;GO:0034204;GO:0097035
7	GO:0045050;GO:0071816;GO:0045048
8	GO:0006493;GO:0043413;GO:0006486
9	GO:0046513;GO:0006672;GO:0030148;GO:0046467;GO:0006665;GO:0043604;GO:0006643;GO:0046520;GO:0046512
10	GO:0009952;GO:0003002
11	GO:0006644;GO:0006650;GO:0046486;GO:0046470;GO:0006690;GO:0033559;GO:0046475;GO:0019369;GO:0046471;GO:0009395;GO:0008610;GO:0046337;GO:0006631;GO:0001676;GO:0046503;GO:0018904;GO:0120254;GO:0036151;GO:0016042;GO:0032787;GO:0006662;GO:0046485;GO:0006636;GO:0045017
12	GO:0036376;GO:0030007;GO:0006883;GO:0055075;GO:0055078;GO:0140115;GO:1990573;GO:0098662;GO:0098655;GO:0035725;GO:0019725;GO:0098660;GO:0034220;GO:0030001;GO:0055082;GO:0098771;GO:0030003;GO:0006873;GO:0006814;GO:0006812;GO:0048878;GO:0055080;GO:0099587;GO:0098659
13	GO:0046486;GO:0006638;GO:0006639;GO:0045017;GO:0046473;GO:0006654;GO:0008610;GO:0006644;GO:0046339;GO:0006650;GO:0006641;GO:0008654;GO:0046474;GO:0090407;GO:0046460;GO:0046463;GO:0019432
14	GO:0006119;GO:0006123;GO:0042773;GO:0042775;GO:0009060
15	GO:0007178;GO:0141091;GO:0030509;GO:0071773;GO:0071772;GO:0007167;GO:0071363;GO:0070848;GO:0090092;GO:0060395;GO:0032924;GO:0060390;GO:0060391;GO:0090100;GO:0007389;GO:0003002;GO:0030510;GO:0001503;GO:0001501;GO:0032925;GO:0045667;GO:0090101;GO:0090287;GO:0007179;GO:0007507;GO:0001649;GO:0071560;GO:0071559;GO:0072359;GO:0030278;GO:0030501;GO:0030282;GO:0030500;GO:0045778;GO:0030514;GO:0070169;GO:0045669;GO:0070167;GO:0031214;GO:0009790
16	GO:0006537;GO:0043650;GO:0009308;GO:0009084;GO:0009065;GO:0006536;GO:0044282
17	GO:0036258;GO:0036257;GO:0045324;GO:0032509;GO:0043162;GO:0071985;GO:0090148;GO:0046755;GO:0007032;GO:0039702;GO:0019068;GO:0032511;GO:0007034;GO:0016050;GO:0010256;GO:0016197;GO:0061952;GO:0019076;GO:0035891;GO:0016236;GO:0061024;GO:0032510;GO:1902410;GO:0046761;GO:0019058;GO:0046753;GO:0043328;GO:0031468;GO:0032506;GO:0061919;GO:0006914;GO:0016032;GO:1902774;GO:0006511;GO:1904896;GO:1904903
18	GO:0016052;GO:0046032;GO:0006096;GO:0009181;GO:0046031;GO:0009137;GO:0009179;GO:0019364;GO:0009191;GO:0009135;GO:0072526;GO:0006002;GO:0009134;GO:0009185;GO:0009154;GO:0019318;GO:0009261;GO:0009132
19	GO:0007338;GO:0009566;GO:0007339;GO:0035036;GO:0009988;GO:0019953
20	GO:0006888;GO:0048193;GO:0090114;GO:0006900;GO:0006901;GO:0016050
21	GO:0030322;GO:0071805;GO:0006813
22	GO:0016054;GO:0046395;GO:0044248;GO:0044282;GO:0072329;GO:0019752;GO:0043436;GO:0006082;GO:0009062;GO:0019395;GO:0034440;GO:0006631;GO:0030258;GO:0032787;GO:0016042;GO:0006635;GO:0001561;GO:0007031
24	GO:0071805;GO:0006813;GO:0098662;GO:0098655
26	GO:0010498;GO:0051603;GO:0006511;GO:0019941
27	GO:0042445;GO:0008202;GO:0010817;GO:0052695;GO:0006063;GO:0019585;GO:0032787;GO:0019752;GO:0043436;GO:0006082;GO:0008210;GO:0006805;GO:0071466;GO:0009410;GO:0008209;GO:0001523;GO:0016101;GO:0006720;GO:0006721;GO:0042573;GO:0120178
28	GO:0032543
29	GO:0010257;GO:0032981;GO:0006119;GO:0042775;GO:0042773;GO:0019646;GO:0022904;GO:0022900;GO:0009060;GO:0006120;GO:0042776;GO:0045333
30	GO:0008380;GO:0016071;GO:0006397;GO:0000377;GO:0000398;GO:0000375;GO:0043484;GO:0050684;GO:0048024;GO:1903311;GO:0006405;GO:0006406
31	GO:0006749;GO:0006575;GO:0006805;GO:0006790;GO:0071466;GO:0006690;GO:0043603;GO:0009410;GO:0019752;GO:0043436;GO:0006082;GO:0033559;GO:0001676
32	GO:0007006;GO:0007007;GO:0007005;GO:0042407;GO:0061024;GO:0045040;GO:0007008
33	GO:0007035;GO:0051452;GO:1902600;GO:0051453;GO:0030641;GO:0006885;GO:0010506;GO:0016241;GO:0061919;GO:0006914;GO:0016236;GO:0048388;GO:0061795
34	GO:0032438;GO:0048753;GO:0033059;GO:0072384;GO:0043473;GO:0060155;GO:0010970;GO:0062196;GO:0099111;GO:0048490;GO:0099517;GO:0099514;GO:0030705;GO:0051036
35	GO:0030198;GO:0043062;GO:0045229;GO:0030199
36	GO:0000288;GO:0061157;GO:0050779;GO:0061014;GO:0043488;GO:0043487;GO:0061013;GO:1903313;GO:0006402
37	GO:0006665;GO:0006643;GO:0006672;GO:0030148;GO:0046467;GO:0046513;GO:0043603;GO:0030149
38	GO:0060261;GO:2000144;GO:0060260;GO:2000142
39	GO:0006936;GO:0003012;GO:0030239;GO:0061061;GO:0006941;GO:0055001;GO:0032989;GO:0010927;GO:0030029;GO:0055002;GO:0033275;GO:0031032;GO:0051146;GO:0030049;GO:0042692;GO:0003009;GO:0050879;GO:0050881
40	GO:0090174;GO:0061025;GO:0006906;GO:0048284;GO:0140056;GO:0006887;GO:0048278;GO:0022406;GO:0016050;GO:0061024;GO:0140029;GO:0045055;GO:0016079;GO:0007269;GO:0099643;GO:0032940;GO:0140352;GO:0046903;GO:0006836;GO:0023061;GO:0099504;GO:0099003
41	GO:0042273;GO:0042254;GO:0022613;GO:0000470
42	GO:0071586
43	GO:0019882;GO:0019884;GO:0050776;GO:0050778;GO:0048002;GO:0002396;GO:0002501;GO:0002399;GO:0002503;GO:0002478;GO:0042110;GO:0001912;GO:0001910;GO:0031343;GO:0001909;GO:0031341;GO:0019883;GO:0002708;GO:0001914;GO:0046649;GO:0001913;GO:0002706;GO:0001916;GO:0002705;GO:0045321;GO:0019886;GO:0002456;GO:0050870;GO:0050867;GO:0002495;GO:0002709;GO:0001906;GO:0002504;GO:1903039;GO:0002703;GO:0002449;GO:0002250;GO:0002699;GO:0051251;GO:0002711
44	GO:1904262;GO:0032007;GO:0034198;GO:1990928;GO:1903432;GO:0038202
45	GO:0015986;GO:0006754;GO:0009206;GO:0009145;GO:0009201;GO:0009142;GO:0009152;GO:0009260;GO:0046390
46	GO:0042254;GO:0042274;GO:0022613;GO:0006364;GO:0016072;GO:0030490
47	GO:0070588;GO:0006816;GO:0030001;GO:0006812;GO:0098662;GO:0098655;GO:0098660;GO:0034220;GO:0098703;GO:1902656;GO:0070509;GO:0097553;GO:0061577;GO:1903169;GO:0051924;GO:1904062;GO:1901385;GO:0098659;GO:0099587;GO:0006936;GO:0034765;GO:0010959;GO:0003012
48	GO:0006839;GO:0006626;GO:0072655;GO:0070585;GO:0030150;GO:0006605
49	GO:0042073;GO:0031503;GO:0010970;GO:0099111;GO:0007018
50	GO:0019221;GO:0097696;GO:0007259;GO:0071345;GO:0034097;GO:1901652;GO:1904892;GO:0046425;GO:0098586;GO:0140888;GO:0002286;GO:0042509;GO:0007260;GO:0002285;GO:0009615;GO:0002250;GO:0002366;GO:0030098;GO:0002263;GO:0045321;GO:1903131;GO:0042325;GO:0001932;GO:0042110;GO:0033141;GO:0042327;GO:0042531;GO:0001934;GO:0033139;GO:0018193;GO:0042501;GO:0045937;GO:0010562;GO:0046649;GO:0002521;GO:0050730;GO:0030097;GO:0060337;GO:0046651;GO:0030101;GO:0071357;GO:0032943;GO:0031401;GO:0034340;GO:0070661;GO:0018108;GO:0018212;GO:0002252;GO:0050731;GO:0033138;GO:0002323;GO:0030183;GO:0045087;GO:0033135;GO:0043330;GO:0042100;GO:0043331;GO:0071358;GO:0038196;GO:0034342;GO:0046631;GO:0002460;GO:0001819;GO:1904894;GO:0042113;GO:0008284;GO:0072538;GO:0002292;GO:0018105;GO:0043367;GO:0018209;GO:0030217;GO:0002294;GO:0002293;GO:0002287
51	GO:0002181;GO:0006412;GO:0022613;GO:0006413;GO:0042274;GO:0002183;GO:0042254;GO:0001732
52	GO:0034314;GO:0045010;GO:0007015;GO:0030029;GO:0030036;GO:0097435;GO:2000601;GO:0034315;GO:0097581;GO:0051125;GO:0010591;GO:0110053
53	GO:1902476;GO:0098656;GO:0098661;GO:0006821;GO:0006820;GO:0015698
54	GO:0007271;GO:0035094;GO:0099536;GO:0035095;GO:0098916;GO:0007268
55	GO:0048193;GO:0006888;GO:0006890;GO:0007030;GO:0086010;GO:0006814;GO:0051899;GO:0010256;GO:0001508;GO:0048200;GO:0035964;GO:0048205;GO:0086012;GO:0006886;GO:0098703;GO:0048194;GO:1902656;GO:0086001;GO:0006891;GO:0098739
56	GO:0032446;GO:0070647;GO:0043687;GO:0006511
57	GO:0006913;GO:0051169;GO:0051168;GO:0006405;GO:0050657;GO:0050658;GO:0051236
58	GO:0019752;GO:0043436;GO:0006082;GO:0006090;GO:0072521;GO:0006753;GO:0055086;GO:0006091;GO:0032787;GO:0006099;GO:0006086;GO:0006085;GO:0044282;GO:0009081;GO:0006637;GO:0035383;GO:0006084;GO:0043648;GO:0005975;GO:1901293;GO:0035384;GO:0071616;GO:0072522;GO:0006790;GO:0090407;GO:0045333;GO:0009060;GO:0046034
59	GO:0000301;GO:0048193;GO:0006891;GO:0007030
60	GO:0031145;GO:0051445;GO:0070979;GO:2000241;GO:0007346;GO:0051321;GO:0007091;GO:0044784;GO:0051983;GO:0033045;GO:1905818;GO:0051304;GO:0010965;GO:0051306;GO:0043161;GO:0043687;GO:0070647;GO:0007088;GO:0006511;GO:0019941;GO:0044772;GO:0043632
61	GO:0006401;GO:0141188;GO:0034655;GO:0006402;GO:0071025;GO:0016071;GO:0071027;GO:0000956;GO:0031123;GO:0034475;GO:0071028;GO:0016072;GO:0000460;GO:0016073;GO:0071051;GO:0061014
62	GO:0016567;GO:0032446;GO:0070647;GO:0043687;GO:0006511;GO:0043161
