go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.005219   1,854 annotations READ: go_slim_results_M1_cpdb_0.9.txt 
261 IDs in all associations
func_module_number	
1	GO:0032502;GO:0032501;GO:0006996
2	GO:0001775;GO:0050896;GO:0002376;GO:0007155;GO:0050789;GO:0032502;GO:0006793;GO:0036211
3	GO:0050789;GO:0006412;GO:0016070
4	GO:0015031;GO:0006629;GO:0006082;GO:0007031
5	GO:0009117;GO:0006119;GO:0022900
6	GO:0065009;GO:0001816;GO:0002376;GO:0050896;GO:0044419;GO:0050789;GO:0036211
7	GO:0065008;GO:0006810;GO:0051640;GO:0051641;GO:0006996;GO:0032501;GO:0051261;GO:0050789
8	GO:0006914;GO:0065009;GO:0050896;GO:0007005;GO:0050789;GO:0006793;GO:0036211
9	GO:0016050;GO:0051641;GO:0061024;GO:0016192
10	GO:0065008;GO:0016070;GO:0006396;GO:0009057;GO:0050789
11	GO:0050896
12	GO:0050789;GO:0065003;GO:0006412
13	GO:0050789;GO:0050896;GO:0050817;GO:0050878
14	GO:0006281;GO:0050789;GO:0022414;GO:0007049
15	GO:0009117;GO:0005975
16	GO:0022414;GO:0000280;GO:0051234;GO:0051640;GO:0007059;GO:0007049;GO:0006508;GO:0051276;GO:0009057;GO:0050789;GO:0036211
17	GO:0000375;GO:0065003;GO:0016070
18	GO:0045229;GO:0043062
19	GO:0050789;GO:0032502;GO:0032501
21	GO:0006508;GO:0009057
22	GO:0019538;GO:0009059
24	GO:0050789;GO:0031023;GO:0022607;GO:0006996
25	GO:0022607;GO:0006914;GO:0007033;GO:0050896
26	GO:0015031;GO:0006914;GO:0016192
27	GO:0042254;GO:0016070;GO:0006412
28	GO:0032501;GO:0016043;GO:0006629;GO:0050789;GO:0006869
29	GO:0006351;GO:0048511;GO:0050896;GO:0050789;GO:0032502;GO:0036211
30	GO:0015031
31	GO:0050789;GO:0032502;GO:0007155;GO:0051604
32	GO:0002376;GO:0050896;GO:0044419;GO:0050789;GO:0040011
33	GO:0006396;GO:0016070;GO:0036211
34	GO:0009059
35	GO:0043062;GO:0050896;GO:0051179;GO:0045229;GO:0050789
36	GO:0006520;GO:0016070
37	GO:0022607;GO:0000280;GO:0051234;GO:0051640;GO:0050789;GO:0006793;GO:0036211
38	GO:0042254;GO:0006412
39	GO:0022607;GO:0051641;GO:0050896;GO:0007155;GO:0050789;GO:0032502
40	GO:0065008;GO:0050789
41	GO:0022607;GO:0006936;GO:0006996;GO:0032989;GO:0032502
42	GO:0022607
43	GO:0050789;GO:0048511;GO:0050896
44	GO:0050789;GO:0006259
45	GO:0050789;GO:0000375;GO:0016070;GO:0009057
46	GO:0065003;GO:0016192
47	GO:0007154;GO:0006836;GO:0051640;GO:0022406;GO:0050789;GO:0048284;GO:0016192;GO:0016050;GO:0061024;GO:0046903
48	GO:0065008;GO:0006811;GO:0050789;GO:0006936
49	GO:0050789;GO:0032502;GO:0016043
50	GO:0050789;GO:0006811;GO:0007154;GO:0065009
51	GO:0007005;GO:0006810;GO:0051641;GO:0061024
