func_module_number	lst
1	GO:0000278;GO:1903047;GO:0051276;GO:0007059;GO:0010564;GO:0000819;GO:0000070;GO:0140014;GO:0098813;GO:0000280;GO:0048285;GO:0044770;GO:0044772;GO:0051983;GO:0006260;GO:0090068;GO:1905818;GO:0051304;GO:0045787;GO:1901987;GO:0007346;GO:0006261;GO:1901990;GO:0007088;GO:0051783;GO:0033044;GO:0030071;GO:1902099;GO:0010965;GO:0090329;GO:0007091;GO:0051306;GO:0044784;GO:0033045;GO:0006281;GO:0045839;GO:0010948;GO:0044786
2	GO:0002181;GO:0006412;GO:0022613;GO:0042254;GO:0042274;GO:0006364;GO:0016072
3	GO:0022613;GO:0000377;GO:0000398;GO:0000375;GO:0006403;GO:1904816;GO:0006397;GO:1904814;GO:0016071;GO:0070198;GO:0033365;GO:0051276;GO:0008380;GO:1904851;GO:0070203;GO:1904871;GO:1904869
4	GO:0006119;GO:0009060;GO:0045333;GO:0015980;GO:0006091;GO:0019646;GO:0042773;GO:0042775;GO:0022904;GO:0022900;GO:0015986;GO:0006754
5	GO:0009615;GO:0051607;GO:0045087;GO:0048525;GO:0050792;GO:0045071;GO:1903900;GO:0045069;GO:1901652;GO:0034097;GO:0019079;GO:0016032;GO:0019058;GO:0035456;GO:0034340;GO:0002831;GO:0031347
6	GO:0022613;GO:0022618;GO:0071826;GO:1904874
7	GO:0097190;GO:0043066;GO:0033002;GO:0043069;GO:0044092;GO:0048660;GO:0048659
8	GO:0006457;GO:0034975
9	GO:0050900;GO:0018108;GO:0018212;GO:0038094;GO:0050776;GO:0019221;GO:0097529;GO:0050865;GO:0038093;GO:0030168;GO:0071345;GO:0009611;GO:0006887;GO:0002429;GO:1901652;GO:0034097;GO:0050778;GO:0002576;GO:0002768;GO:0002431;GO:0034109;GO:0045321
10	GO:0019882;GO:0019883;GO:0048002;GO:0001913;GO:0002483;GO:0001916;GO:0050776;GO:0001914;GO:0002697;GO:0002456;GO:0001909;GO:0002699;GO:0002250;GO:0001912;GO:0002711;GO:0031343;GO:0002252;GO:0001910;GO:0002449;GO:0002709;GO:0002478;GO:0050778;GO:0002460;GO:0001906;GO:0002824
11	GO:0043161;GO:0010498;GO:0006511;GO:0019941
12	GO:0032543
13	GO:0043161;GO:0010498
14	GO:0006418;GO:0043038;GO:0043039
15	GO:0000398;GO:0000377;GO:0000375;GO:0036261;GO:0006397
16	GO:0006397;GO:0008380
