go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.007807   3,203 annotations READ: go_slim_results_M1_string_0.1.txt 
492 IDs in all associations
func_module_number	
1	GO:0006914;GO:0022607;GO:0022411;GO:0050789;GO:0007033
2	GO:0006412;GO:0042254
3	GO:0036211;GO:0044419;GO:0002376;GO:0001775;GO:0032502;GO:0006793;GO:0008283;GO:0050789;GO:0050896
4	GO:0006412
5	GO:0006066;GO:0006629;GO:0032501;GO:0050789;GO:0065003;GO:0006869
6	GO:0065003;GO:0051641;GO:0051276
7	GO:0006811;GO:0050789;GO:0007154
8	GO:0032502;GO:0032501
9	GO:0022607;GO:0007155
10	GO:0036211;GO:0032502
11	GO:0044419;GO:0002376;GO:0050789;GO:0001816;GO:0050896
12	GO:0065003;GO:0007059;GO:0051276
13	GO:0044419;GO:0002376;GO:0016192;GO:0008037;GO:0050789;GO:0050896
14	GO:0036211;GO:0045229;GO:0043062
15	GO:0006412;GO:0065003;GO:0042254
16	GO:0009057;GO:0016070;GO:0006396;GO:0042254
17	GO:0044419;GO:0016192;GO:0016032;GO:0009057;GO:0007032;GO:0015031;GO:0061024;GO:0006914;GO:0022607;GO:0006508
18	GO:0032502;GO:0050789;GO:0032501
19	GO:0032502
20	GO:0016043;GO:0050789;GO:0006281
21	GO:0009057;GO:0006508
22	GO:0036211;GO:0006793;GO:0065009;GO:0050789
23	GO:0007005;GO:0050789;GO:0050896
24	GO:0006629;GO:0061024;GO:0050789;GO:0007029;GO:0006082
25	GO:0016070;GO:0000375
26	GO:0006629;GO:0006805;GO:0042445;GO:0006082;GO:0050896
27	GO:0050789
28	GO:0031647;GO:0006457;GO:0050789;GO:0051604;GO:0051641;GO:0050896
29	GO:0006629;GO:0006793;GO:0006082;GO:0018904
30	GO:0050789
31	GO:0009117
32	GO:0043062;GO:0022411;GO:0045229;GO:0050789;GO:0006508
33	GO:0006520;GO:0006082
34	GO:0016070;GO:0006520
35	GO:0022900;GO:0009117;GO:0007005;GO:0006119;GO:0065003
36	GO:0009057;GO:0065008;GO:0016070;GO:0050789
37	GO:0036211;GO:0044419;GO:0002376;GO:0050789;GO:0001816;GO:0065009;GO:0050896
38	GO:0061024;GO:0050789
39	GO:0051606;GO:0006811;GO:0050789;GO:0007154
40	GO:0016192
41	GO:0022607;GO:0007155
42	GO:0016192;GO:0002376;GO:0001775;GO:0032502;GO:0050789;GO:0050896
43	GO:0016070;GO:0051641;GO:0006396;GO:0015931
44	GO:0016050;GO:0022406;GO:0006836;GO:0016192;GO:0046903;GO:0061024;GO:0015031;GO:0048284;GO:0051640
45	GO:0032502;GO:0016043;GO:0032501;GO:0050789;GO:0050896
46	GO:0009057;GO:0015031;GO:0006508;GO:0050896
47	GO:0022607;GO:0050789;GO:0007155
48	GO:0043603;GO:0019538;GO:0050789
49	GO:0006629;GO:0006082
50	GO:0006629;GO:0006793
51	GO:0043603;GO:0006629;GO:0006805;GO:0006790;GO:0006082;GO:0050896
52	GO:0016050;GO:0016192;GO:0051641;GO:0061024
53	GO:0006629;GO:0015031;GO:0007031;GO:0006082
54	GO:0016192;GO:0051641
55	GO:0032502;GO:0016043;GO:0050789;GO:0032501
56	GO:0036211
57	GO:0048511;GO:0050789;GO:0006351;GO:0050896
58	GO:0032502;GO:0006996
59	GO:0006082;GO:0009117;GO:0005975;GO:0006091
60	GO:0050789
61	GO:0036211;GO:0002376;GO:0001775;GO:0032502;GO:0006793;GO:0050789;GO:0050896
62	GO:0006629;GO:0006793
63	GO:0016050;GO:0016192;GO:0061024;GO:0015031;GO:0048284;GO:0022607;GO:0007033
64	GO:0050789;GO:0050896
65	GO:0002376;GO:0050789;GO:0065003;GO:0001816;GO:0050896
66	GO:0031023;GO:0022607;GO:0051641;GO:0006996
67	GO:0050789
68	GO:0050789;GO:0050896
69	GO:0007049;GO:0050789;GO:0006996
70	GO:0050789;GO:0050896
71	GO:0009057;GO:0015031;GO:0050789;GO:0006508;GO:0050896
72	GO:0051604;GO:0006457
73	GO:0006811;GO:0061024;GO:0050789;GO:0065008;GO:0006869;GO:0065009
74	GO:0022900;GO:0006119
75	GO:0016070;GO:0006396;GO:0042254
76	GO:0007049;GO:0065009;GO:0050789
77	GO:0043062;GO:0032502;GO:0022607;GO:0045229;GO:0050789
78	GO:0016192;GO:0006811;GO:0015031;GO:0050789;GO:0007154;GO:0065008;GO:0065009
79	GO:0016070;GO:0000375
80	GO:0032502;GO:0050789;GO:0032501;GO:0050896
81	GO:0006811
82	GO:0006790;GO:0009117;GO:0006082
84	GO:0050789;GO:0065009
86	GO:0007059;GO:0050789;GO:0051276;GO:0006281
87	GO:0002376;GO:0032502;GO:0050878;GO:0050789;GO:0007155;GO:0050896
88	GO:0065008;GO:0006811;GO:0050789
89	GO:0065003;GO:0009059;GO:0016070
90	GO:0036211
91	GO:0006082;GO:0009117;GO:0005975;GO:0006091
92	GO:0043412;GO:0051604;GO:0016070;GO:0006457
93	GO:0032502;GO:0050789;GO:0040011;GO:0050896
94	GO:0051641;GO:0051640;GO:0006810
95	GO:0009117
96	GO:0006412;GO:0016070;GO:0050789
97	GO:0032502;GO:0016043;GO:0050789;GO:0016049
98	GO:0009057;GO:0006508
99	GO:0048511;GO:0050789;GO:0050896
100	GO:0051641;GO:0051234
101	GO:0022607;GO:0051604
102	GO:0050789
103	GO:0051641;GO:0006810
104	GO:0016043
105	GO:0036211;GO:0006793;GO:0009059;GO:0006112;GO:0050789;GO:0005976
106	GO:0032502;GO:0016043;GO:0008037;GO:0040011;GO:0007155
107	GO:0043412;GO:0016070;GO:0006396
108	GO:0036211;GO:0006139;GO:0043603;GO:0006629;GO:0006793;GO:0006790;GO:0006082
109	GO:0016070;GO:0050789;GO:0000375
110	GO:0016192;GO:0051641;GO:0007030
111	GO:0065009;GO:0065008;GO:0050789
