func_module_number	lst
2	GO:1990573;GO:0099587;GO:0098659;GO:0098739
4	GO:0051123;GO:0070897;GO:0006352;GO:0060261;GO:0006367
6	GO:0016055;GO:0060070;GO:0035567;GO:0009790;GO:0061183;GO:0061054;GO:0045165;GO:0030111;GO:0060429;GO:0048729;GO:0060828;GO:0061184;GO:0002009
7	GO:0098916;GO:0007268;GO:0099537;GO:0099536;GO:0007269;GO:0099643
8	GO:0046854;GO:0006661;GO:0046488;GO:0043491;GO:0046474;GO:0008654;GO:0045017
9	GO:0034446;GO:0000902;GO:0031110;GO:0031589;GO:0051493;GO:1902903;GO:0030036;GO:0031109
10	GO:0038180;GO:1990089;GO:1990090;GO:0038179;GO:0021675;GO:0007422
12	GO:1904851;GO:0070203;GO:1904869;GO:1904871;GO:0070202;GO:1903405;GO:1904867;GO:1904816;GO:1990173;GO:1904814;GO:1904874;GO:0070200;GO:1904872;GO:0090670;GO:0090685;GO:0090672;GO:0090671
13	GO:0006281;GO:0006974;GO:0006310;GO:0006298;GO:0006302;GO:0035825;GO:0051053;GO:0006312;GO:0051276;GO:0051052;GO:0000723;GO:0140527;GO:0007131;GO:0061982;GO:0032200;GO:0051321;GO:0016233;GO:0016445
14	GO:0006325;GO:0006338
15	GO:0016925;GO:1990036;GO:0090075;GO:1901894
16	GO:0031146;GO:0006511;GO:0019941;GO:0043632;GO:0043161;GO:0051603
17	GO:0000338;GO:1901988;GO:0044818;GO:0000077;GO:0042770;GO:0000075;GO:0031570;GO:0010948;GO:0010212;GO:0010972;GO:1902750;GO:2000434;GO:0070646;GO:0045786;GO:0045116
18	GO:0046500
19	GO:0006281;GO:0006974;GO:0006284;GO:0006302
20	GO:0006260;GO:0006261;GO:0006270;GO:0006275;GO:0090329;GO:0051052;GO:0006310;GO:0006302;GO:0000727;GO:0030174;GO:0000725;GO:0006974
21	GO:0016311
22	GO:0000724;GO:0000725;GO:0045003
23	GO:0006261;GO:0006260;GO:0006281;GO:0006974;GO:0006271;GO:0071897;GO:1900264;GO:1900262;GO:0006269;GO:0022616
24	GO:0008380;GO:0006397;GO:0000398;GO:0000377;GO:0000375
25	GO:0007020;GO:0046785;GO:0007051;GO:0031109;GO:0000226;GO:0007059
26	GO:0031124;GO:0031123;GO:0016071
27	GO:0035329;GO:0048568
28	GO:0006406;GO:0051028;GO:0006405;GO:0050658;GO:0050657
29	GO:0045216;GO:0070830;GO:0120192;GO:0007043;GO:0043297;GO:0120193
32	GO:0001836;GO:0090199;GO:0008637;GO:0090200;GO:0010821;GO:0007005;GO:0097190;GO:2001244;GO:0070059;GO:0097193;GO:2001242
34	GO:0007052;GO:0000022
35	GO:0090170;GO:0048308;GO:0048313;GO:0043408;GO:0000165
36	GO:0038066
38	GO:0007051;GO:0000226;GO:0007052;GO:0051256;GO:0051255;GO:0000022;GO:0051231;GO:1902850;GO:0051225;GO:0007059;GO:1903490;GO:1902425;GO:1902423;GO:0045787;GO:1903047;GO:1902412;GO:0032465;GO:0000910;GO:0051987;GO:0090267;GO:0051310;GO:0032467;GO:0090235;GO:0090232;GO:0051303;GO:0050000
39	GO:0140467;GO:0000122
40	GO:0034975;GO:0006457
41	GO:2000767;GO:0070934;GO:2000765;GO:1900152;GO:1900151;GO:0045727;GO:0000288;GO:0048255;GO:0002181
42	GO:0030330;GO:0042770
43	GO:0002265;GO:1904646;GO:1904645;GO:0006509;GO:0050435;GO:0042987
44	GO:0006338
45	GO:0006325;GO:0141137;GO:0045815
46	GO:0030199;GO:1903225
47	GO:0000079;GO:1904029;GO:1903047;GO:0045737;GO:1904031
48	GO:1902455;GO:0000122;GO:1902459;GO:2000036;GO:0030512;GO:0030336;GO:2000146
50	GO:2001235;GO:0051603;GO:0030509
51	GO:0006338
52	GO:0032922;GO:0007623;GO:0048511;GO:2000323
55	GO:0016180;GO:0016073
56	GO:0044843;GO:0000082;GO:0044770;GO:2000045
58	GO:0010498;GO:0051603;GO:0043161;GO:0006511
59	GO:0072350;GO:0006102;GO:0006099
60	GO:0032933;GO:0071501;GO:0006991;GO:1902653;GO:0006695;GO:0016126;GO:0008203;GO:0006984
61	GO:0006368;GO:0006354;GO:0034243
62	GO:0006511;GO:0019941;GO:0043632
63	GO:0006289;GO:0006283
64	GO:0006413;GO:0006446;GO:0006417;GO:0010608
66	GO:0043436;GO:0044248;GO:0006082;GO:0019752;GO:0006099;GO:0046395;GO:0016054
67	GO:0007268;GO:0098916;GO:0099537;GO:0099536;GO:1902476;GO:0007214;GO:0098656;GO:0098661
68	GO:0006334;GO:0034728;GO:0006325
69	GO:0070266;GO:0097300;GO:0008625;GO:0097191
71	GO:0032606;GO:0032479;GO:0032481;GO:0001817;GO:0001816;GO:0009615;GO:0051607;GO:0001819;GO:0002753;GO:0045087;GO:0045089;GO:0002833;GO:0002237;GO:0005978;GO:0009250
72	GO:0045910;GO:0000018
73	GO:0010968;GO:0007051;GO:0007098;GO:0031023;GO:0000226;GO:0007020
74	GO:0050770;GO:0050772;GO:0007411;GO:0097485;GO:0050767;GO:0050769;GO:0051960;GO:0051962
75	GO:0036297;GO:0006281;GO:0006974;GO:0006310
76	GO:0045321;GO:1904894
79	GO:0001867;GO:1903028;GO:1903027
80	GO:0019752;GO:0043436
81	GO:0006552;GO:0006551;GO:0009080;GO:0009078;GO:0170040;GO:0170035
82	GO:1903513;GO:0030970;GO:0036503;GO:0032527;GO:0034976
83	GO:0002502;GO:0002397;GO:0002474
85	GO:1905949;GO:1905665;GO:1903170;GO:1905664;GO:0051926;GO:0090281;GO:1904063;GO:0090280;GO:0051924
86	GO:0007006;GO:0007007;GO:0007005;GO:0006839
87	GO:1901663;GO:0006744
88	GO:0006513;GO:0032446
89	GO:0051169;GO:0006913;GO:0051168;GO:0050658;GO:0050657;GO:0051236;GO:0006405;GO:0006403
91	GO:0052695;GO:0006063;GO:0019585;GO:0051552;GO:0009812;GO:0052696;GO:0042440;GO:0052697;GO:0006805
