func_module_number	lst
10	GO:0034204
20	GO:0055088
73	GO:0006123;GO:0015980;GO:0009060;GO:0071880
75	GO:0010666;GO:0010663
79	GO:0002283;GO:0006308;GO:0002446
86	GO:0065005;GO:0071825;GO:0033700;GO:0034375;GO:0034377
87	GO:2000846;GO:0035930
98	GO:0001963;GO:0051584;GO:0051940;GO:0060158;GO:0051583;GO:0051934;GO:0007212;GO:0090494;GO:0051580;GO:0090493
176	GO:0104004;GO:0071214
178	GO:0033539
194	GO:0030501
230	GO:1901329
239	GO:0051693;GO:0051016
252	GO:1902166;GO:0043518;GO:1902165
266	GO:0016339;GO:0034332
290	GO:0030199;GO:0030198
300	GO:0007595
319	GO:0045087
320	GO:0051673
351	GO:0045765
