go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.007809   2,543 annotations READ: go_slim_results_R1_string_0.6.txt 
341 IDs in all associations
func_module_number	
1	GO:0016192;GO:0051641
2	GO:0006457
3	GO:0040011;GO:0008283;GO:0050896;GO:0002376;GO:0050789
4	GO:0000375;GO:0016070
5	GO:0036211
6	GO:0050877
7	GO:0046903;GO:0051640;GO:0022406;GO:0051641;GO:0016192;GO:0061024
8	GO:0006996
9	GO:0050789
10	GO:0065003;GO:0051179
11	GO:0009057;GO:0015031;GO:0006508;GO:0007032;GO:0022607;GO:0016192;GO:0061024
12	GO:0016192;GO:0051641;GO:0016050;GO:0061024
13	GO:0007155
14	GO:0050896;GO:0050789;GO:0048511
15	GO:0006865;GO:0015849
16	GO:0050789;GO:0050896;GO:0002376;GO:0040011
17	GO:0065003;GO:0002376;GO:0001775;GO:0050789
18	GO:0006281;GO:0051276;GO:0050789
19	GO:0006914;GO:0050896;GO:0050789
20	GO:0006793;GO:0006629;GO:0051604
21	GO:0065008;GO:0007154;GO:0007155;GO:0022607;GO:0050789
22	GO:0006914;GO:0050896;GO:0022607;GO:0007033
23	GO:0006629;GO:0006066
24	GO:0009057;GO:0006508
25	GO:0050789;GO:0002376
26	GO:0050789;GO:0050896;GO:0032502
27	GO:0065003;GO:0007005
28	GO:0006412
29	GO:0050896;GO:0050789
30	GO:0046903;GO:0051640;GO:0022406;GO:0016050;GO:0006836;GO:0051641;GO:0048284;GO:0016192;GO:0061024
31	GO:0006281;GO:0065009;GO:0006260;GO:0050789
32	GO:0050789
33	GO:0050789
34	GO:0002376;GO:0007155;GO:0001775;GO:0050789
35	GO:0065008;GO:0006936;GO:0006811;GO:0050789
36	GO:0036211
37	GO:0000375;GO:0016070
38	GO:0015031
39	GO:0009057;GO:0015031;GO:0006508;GO:0050896;GO:0050789
40	GO:0008152
41	GO:0007155;GO:0002376
42	GO:0006281;GO:0051276;GO:0032502;GO:0007059;GO:0050789
43	GO:0009057;GO:0050789;GO:0016070
44	GO:0050896;GO:0050789
45	GO:0036211;GO:0006793
46	GO:0050789
47	GO:0050789;GO:0050896;GO:0032501;GO:0032502
48	GO:0050789;GO:0032502;GO:0016043
49	GO:0000280;GO:0009057;GO:0007049;GO:0051276;GO:0006508;GO:0036211;GO:0050789;GO:0007059
51	GO:0006396;GO:0009057;GO:0050789;GO:0016070
52	GO:0050789;GO:0050896;GO:0032502;GO:0040011
53	GO:0015031
54	GO:0006281
55	GO:0007155;GO:0050789;GO:0006996
56	GO:0032501;GO:0006811;GO:0032502;GO:0016043
57	GO:0042254
59	GO:0050896;GO:0050789
60	GO:0065008;GO:0007005;GO:0006810;GO:0061024
61	GO:0006629;GO:0006793
62	GO:0050789;GO:0006354
63	GO:0006119;GO:0009117;GO:0022900
64	GO:0006281;GO:0050789;GO:0016043
65	GO:0006810;GO:0051641
66	GO:0006351
67	GO:0007030;GO:0016192
68	GO:0050789;GO:0045229;GO:0022607;GO:0043062
69	GO:0036211;GO:0022607;GO:0006793
70	GO:0007155;GO:0006996
71	GO:0050789
72	GO:0050896;GO:0050789
73	GO:0006396;GO:0043412;GO:0016070
74	GO:0006082;GO:0006790;GO:0006139;GO:0043603;GO:0006793
75	GO:0032501;GO:0032502
76	GO:0050789;GO:0006996;GO:0051258
77	GO:0006396;GO:0043412;GO:0016070
78	GO:0046903;GO:0016192;GO:0050789
79	GO:0032392;GO:0006260;GO:0006281;GO:0050789
80	GO:0015931;GO:0051641
81	GO:0065008;GO:0009057;GO:0050789;GO:0016070
82	GO:0009057;GO:0006508
83	GO:0050896;GO:0050789;GO:0016043
84	GO:0065008;GO:1902600;GO:0009117
85	GO:0007005;GO:0015031;GO:0061024
86	GO:0036211;GO:0009057;GO:0006508
87	GO:0050789;GO:0051301
88	GO:0032502;GO:0007155;GO:0050789
89	GO:0065008;GO:0006936;GO:0006811;GO:0050789
90	GO:0001775;GO:0050878;GO:0050817;GO:0050896;GO:0050789
91	GO:0001775;GO:0044419;GO:0050896;GO:0002376;GO:0006793;GO:0036211;GO:0050789
92	GO:0065003;GO:0000375;GO:0016070
93	GO:0007030;GO:0048308;GO:0050896;GO:0051641;GO:0016192;GO:0050789
94	GO:0006629;GO:0050789;GO:0006793
95	GO:0022411;GO:0051641;GO:0006629;GO:0022607;GO:0007033;GO:0006793;GO:0006914;GO:0016192;GO:0050789
96	GO:0000280;GO:0051640;GO:0007049;GO:0051276;GO:0051234;GO:0007059
97	GO:0007005;GO:0015031;GO:0061024
98	GO:0006396;GO:0016070
99	GO:0006869;GO:0015669;GO:0032501;GO:0008152;GO:0016043
100	GO:0016043
101	GO:0007005;GO:0050896;GO:0050789
102	GO:0016043
103	GO:0006936
105	GO:0001775;GO:0050896;GO:0002376;GO:0006793;GO:0036211;GO:0050789
106	GO:0050789
107	GO:0006396;GO:0016070
108	GO:0006351
109	GO:0032502;GO:0050789;GO:0006354
112	GO:0046903;GO:0015031;GO:0022607;GO:0016192;GO:0048753
113	GO:0009059;GO:0006281;GO:0006260
114	GO:0050896;GO:0050789
115	GO:0006066;GO:0006629;GO:0043603
116	GO:0006412;GO:0050789
117	GO:0015931;GO:0051641
118	GO:0032502;GO:0032501;GO:0016070;GO:0000375;GO:0050789
119	GO:0006996
120	GO:0016192;GO:0050789
121	GO:0006351;GO:0050789
122	GO:0050896;GO:0050789;GO:0006996;GO:0007049
123	GO:0050896;GO:0050789;GO:0036211
124	GO:0050789
125	GO:0050789
126	GO:0009057;GO:0044419;GO:0006508;GO:0022411;GO:0007032;GO:0051641;GO:0022607;GO:0016032;GO:0048284;GO:0007033;GO:0016192;GO:0061024
127	GO:0051604
128	GO:0006082;GO:0006066;GO:0044238
129	GO:0050877;GO:0050789
130	GO:0006281;GO:0051276;GO:0036211
131	GO:0006082;GO:0015031;GO:0006629;GO:0007031
132	GO:0022607;GO:0006996
133	GO:0022411;GO:0050896;GO:0008152;GO:0045229;GO:0043062;GO:0050789
134	GO:0032502
135	GO:0022607
136	GO:0008150
137	GO:0050896;GO:0050789
138	GO:0050789;GO:0051301
139	GO:0006457;GO:0050896
140	GO:0001816;GO:0050896;GO:0002376;GO:0050789
141	GO:0016050;GO:0065003;GO:0050896;GO:0048284;GO:0050789;GO:0061024
142	GO:0016043
143	GO:0065008;GO:0051640;GO:0051641;GO:0016043;GO:0006810
144	GO:0006351
145	GO:0001816;GO:0065009;GO:0002376;GO:0006914;GO:0050789
146	GO:0050789;GO:0050878
147	GO:0050789;GO:0050896;GO:0032502;GO:0016043
148	GO:0051234;GO:0051641
149	GO:0065008;GO:0050789;GO:0051258
150	GO:0050789
151	GO:0022607;GO:0006996
152	GO:0065008;GO:0000375;GO:0050789;GO:0016070
153	GO:0005976;GO:0006112;GO:0009059;GO:0050896;GO:0050789
154	GO:0036211;GO:0006629;GO:0006508;GO:0006793
155	GO:0006281
156	GO:0007154;GO:0065009;GO:0006811;GO:0050789
157	GO:0050789
158	GO:0007029;GO:0051234;GO:0051641
159	GO:0006396;GO:0042254;GO:0016070
160	GO:0001775;GO:0032502;GO:0050896;GO:0002376;GO:0006793;GO:0036211;GO:0050789
161	GO:0002376;GO:0032502;GO:0001775;GO:0050789
162	GO:0001816;GO:0001775;GO:0008283;GO:0032502;GO:0050896;GO:0002376;GO:0006793;GO:0036211;GO:0050789
163	GO:0050896;GO:0050789
164	GO:0050789
165	GO:0007155;GO:0050789
166	GO:0050789;GO:0032502
167	GO:0006811
168	GO:0032501;GO:0032502
169	GO:0015031;GO:0036211
170	GO:0007005;GO:0016192;GO:0050789;GO:0048285
171	GO:0050789;GO:0050896;GO:0002376
172	GO:0009059;GO:0006281;GO:0051276;GO:0050789
173	GO:0050896;GO:0007155
174	GO:0065008;GO:0006811;GO:0050789
175	GO:0050896;GO:0051604;GO:0050878;GO:0050817
176	GO:0006457;GO:0051604
177	GO:0050789
178	GO:0065009;GO:0051276;GO:0050789
179	GO:0007154;GO:0050789
180	GO:0065003;GO:0006351;GO:0050789
181	GO:0045229;GO:0043062
182	GO:0050789
183	GO:0065008;GO:0006811;GO:0065009;GO:0006936;GO:0050789
184	GO:0051606;GO:0050789
185	GO:0050789;GO:0050896;GO:0002376;GO:0040011
186	GO:0006396;GO:0006259;GO:0051276;GO:0009059;GO:0051179;GO:0016070;GO:0050789;GO:0043412
187	GO:0000375;GO:0009057;GO:0050789;GO:0016070
188	GO:0050896;GO:0050789;GO:0044419;GO:0002376
189	GO:0065009;GO:0050789;GO:0007049
190	GO:0006869;GO:0032501;GO:0006629;GO:0016043;GO:0050789
191	GO:0065008;GO:0032501;GO:0032502;GO:0022607
192	GO:0050789
193	GO:0050896;GO:0006351;GO:0050789
194	GO:0050789
195	GO:0050896;GO:0050789
197	GO:0016043
198	GO:0016192;GO:0051641
199	GO:0065003
200	GO:0050789;GO:0002376
201	GO:0006281;GO:0000280;GO:0022414
202	GO:0032502;GO:0050789
203	GO:0050789
204	GO:0016192;GO:0051641
205	GO:0006629;GO:0006793
206	GO:0065008;GO:0006869;GO:0061024
207	GO:0050789;GO:0032502
208	GO:0032502;GO:0032501;GO:0050789
209	GO:0036211
210	GO:0050789;GO:0002376;GO:0008283
211	GO:0009057;GO:0006508
212	GO:0050789
213	GO:0009059;GO:0006281;GO:0006266;GO:0002376
214	GO:0051606;GO:0050789
215	GO:0006936;GO:0050879;GO:0050877;GO:0050789
216	GO:0050896;GO:0050789
217	GO:0009308
219	GO:0065008;GO:0007154;GO:0050789
220	GO:0050789;GO:0016043
221	GO:0001816;GO:0044419;GO:0050896;GO:0065009;GO:0002376;GO:0050789
222	GO:0065008;GO:0008015;GO:0006936;GO:0050789
223	GO:0006457
224	GO:0046864
225	GO:0007154;GO:0051641;GO:0050789
226	GO:0009059;GO:0006112;GO:0005976
227	GO:0006811
229	GO:0016192;GO:0051641;GO:0043603;GO:0006508
230	GO:0015031;GO:0007031
231	GO:0043603;GO:0006805;GO:0006790
232	GO:0000375;GO:0015931;GO:0051641;GO:0016070
233	GO:0051640;GO:0051641;GO:0006996;GO:0022607;GO:0006810
234	GO:0016192;GO:0050789
235	GO:0009057;GO:0006508
236	GO:0040007;GO:0008283;GO:0006949;GO:0002376;GO:0050789
237	GO:0050789
239	GO:0006396;GO:0043412;GO:0016070
240	GO:0006629;GO:0050789
241	GO:0001906;GO:0050896;GO:0002376;GO:0050789
243	GO:0050789
244	GO:0050789;GO:0006396;GO:0007028;GO:0032501;GO:0006996;GO:0022607;GO:0048469;GO:0022414
245	GO:0009057;GO:0006066;GO:0006508;GO:0050896;GO:0006629;GO:0050789
246	GO:0050789;GO:0050896;GO:0002376
247	GO:0051234;GO:0051641;GO:0050789
248	GO:0036211
249	GO:0036211
250	GO:0040011;GO:0050896;GO:0002376;GO:0022607;GO:0050789;GO:0008037
252	GO:0050789
253	GO:0001906;GO:0050896;GO:0002376;GO:0050789
254	GO:0065003
255	GO:0036211
256	GO:0007059;GO:0006996;GO:0051258
257	GO:0046903;GO:0006869;GO:0065009;GO:0050789;GO:0009914
258	GO:0007155
259	GO:0016192
260	GO:0036211;GO:0050789
261	GO:0065003;GO:0050789
262	GO:0006811
264	GO:0016192;GO:0051641;GO:0009057;GO:0006508
266	GO:0009117;GO:0050789
267	GO:0006811
268	GO:0032502;GO:0032501;GO:0022607;GO:0006996;GO:0032989
269	GO:0050789
270	GO:0007154;GO:0006811;GO:0050789
271	GO:0044238;GO:0022607;GO:0022900;GO:0045333
272	GO:0050789
273	GO:0007155;GO:0050789;GO:0022607
274	GO:0050896;GO:0050789
275	GO:0006457;GO:0051604
276	GO:0036211
277	GO:0042180
278	GO:0065003;GO:0051276
279	GO:0006396;GO:0042254;GO:0016070
280	GO:0036211
281	GO:0016192;GO:0051640
283	GO:0006396;GO:0043412;GO:0016070
284	GO:0006396;GO:0016070
285	GO:0050896;GO:0050789
286	GO:0050789
287	GO:0050789
288	GO:0016049;GO:0040011;GO:0032502;GO:0016043;GO:0008037
289	GO:0016049;GO:0032502;GO:0050789;GO:0016043
290	GO:0006810;GO:0051641;GO:0006996;GO:0022607
291	GO:0016192
293	GO:0015931;GO:0006811
294	GO:0050896;GO:0050789
296	GO:0015031;GO:0016192
298	GO:0043412
299	GO:0006811
301	GO:0006396;GO:0050789;GO:0006354
302	GO:0006810;GO:0006997;GO:0051641;GO:0051640
303	GO:0016192;GO:0051641
304	GO:0007154;GO:0050896;GO:0050789;GO:0007588
305	GO:0050789
306	GO:0009057;GO:0006281;GO:0006508;GO:0022411;GO:0009059;GO:0006996
307	GO:0007155;GO:0050789
308	GO:0006082
309	GO:0007154;GO:0050789
310	GO:0006260;GO:0009059;GO:0006281;GO:0051276
311	GO:0051641
312	GO:0051604;GO:0006508
313	GO:0050896;GO:0050789
314	GO:0016070;GO:0006520
315	GO:0065008;GO:0051261;GO:0050789
316	GO:0006810;GO:0051641;GO:0051640
318	GO:0006281;GO:0036211
319	GO:0016192;GO:0051641;GO:0016050;GO:0061024
320	GO:0050789;GO:0032501;GO:0009117;GO:0050878
321	GO:0065008;GO:0051703;GO:0007155;GO:0065009;GO:0044085;GO:0051641;GO:0006996;GO:0032501;GO:0022607;GO:0050789;GO:0061024
322	GO:0048753;GO:0022607
324	GO:0050789
325	GO:0009117
326	GO:0050896
327	GO:0006082;GO:0009117;GO:0005975;GO:0006091
328	GO:0050789
329	GO:0065008;GO:0050789;GO:0050886
330	GO:0046903;GO:0015833;GO:0050886;GO:0050789;GO:0009914
331	GO:0050896;GO:0009057;GO:0006508
332	GO:0065008;GO:0050789;GO:0009117
333	GO:0050789;GO:0006996
334	GO:0050789;GO:0050896;GO:0002376;GO:0022411
336	GO:0050789;GO:0008037
337	GO:0007059;GO:0051276;GO:0022607;GO:0022414
338	GO:0006508
339	GO:0006396;GO:0016070;GO:0050789;GO:0016043
340	GO:0051234;GO:0050789;GO:0051640
341	GO:0007154;GO:0050896;GO:1902600
343	GO:0006811
