network_method	network_db	network_cutoff	experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	P	N	tp	fp	fn	tn	tot_pop_valid	MCC	pval_rank	go_slim_pir	genes	row_rank_p	row_rank_mcc	top_go	top_kegg	top_reac
K1	cpdb	0	network_modules	1	TRUE	2.89261098365923e-96	71	41	40	0.975609756097561	0.5633802816901409	GO:0045109	GO:BP	intermediate filament organization	16175	11280		0	0.043478260869565216	71	16104	40	1	31	16103	16175	0.7406053964143178	1	GO:0006996;GO:0032502;GO:0032501	ENSG00000170421;ENSG00000186847;ENSG00000186832;ENSG00000135443;ENSG00000167768;ENSG00000172867;ENSG00000185479;ENSG00000125864;ENSG00000171346;ENSG00000171401;ENSG00000171345;ENSG00000186395;ENSG00000126337;ENSG00000205426;ENSG00000186081;ENSG00000189182;ENSG00000205420;ENSG00000171360;ENSG00000108417;ENSG00000185640;ENSG00000170486;ENSG00000170442;ENSG00000167916;ENSG00000186393;ENSG00000173908;ENSG00000186442;ENSG00000170454;ENSG00000171446;ENSG00000170523;ENSG00000185069;ENSG00000170477;ENSG00000197079;ENSG00000167767;ENSG00000170484;ENSG00000139648;ENSG00000170465;ENSG00000186049;ENSG00000204897;ENSG00000170423;ENSG00000196859;ENSG00000162927;ENSG00000108759;ENSG00000171695;ENSG00000178795	1	1	GO:0045109	-	-
K1	cpdb	0	network_modules	1	TRUE	2.559082862809735e-78	128	40	40	1	0.3125	REAC:R-HSA-6809371	REAC	Formation of the cornified envelope	10916	969		0.13636363636363635	0.17391304347826086	128	10788	40	0	88	10788	10916	0.5567508391316988	4	GO:0006996;GO:0032502;GO:0032501	ENSG00000170421;ENSG00000186847;ENSG00000186832;ENSG00000135443;ENSG00000167768;ENSG00000172867;ENSG00000185479;ENSG00000125864;ENSG00000171346;ENSG00000171401;ENSG00000171345;ENSG00000186395;ENSG00000126337;ENSG00000205426;ENSG00000186081;ENSG00000189182;ENSG00000205420;ENSG00000171360;ENSG00000108417;ENSG00000185640;ENSG00000170486;ENSG00000170442;ENSG00000167916;ENSG00000186393;ENSG00000173908;ENSG00000186442;ENSG00000170454;ENSG00000171446;ENSG00000170523;ENSG00000185069;ENSG00000170477;ENSG00000197079;ENSG00000167767;ENSG00000170484;ENSG00000139648;ENSG00000170465;ENSG00000186049;ENSG00000204897;ENSG00000170423;ENSG00000196859;ENSG00000162927;ENSG00000108759;ENSG00000171695;ENSG00000178795	1	1	-	-	REAC:R-HSA-6809371
K1	cpdb	0	network_modules	3	TRUE	4.9134086202991114e-11	35	5	5	1	0.14285714285714285	REAC:R-HSA-2172127	REAC	DAP12 interactions	10916	432		0	0.021739130434782608	35	10881	5	0	30	10881	10916	0.3774445051292396	1	GO:0002376;GO:0001775;GO:0050789;GO:0050896	ENSG00000011600;ENSG00000288206;ENSG00000096264;ENSG00000134539;ENSG00000205809;ENSG00000254415;ENSG00000205810;ENSG00000275452	1	1	-	-	REAC:R-HSA-2172127
K1	cpdb	0	network_modules	3	TRUE	2.5766769395307935e-8	21	6	4	0.6666666666666666	0.19047619047619047	GO:1990840	GO:BP	response to lectin	16175	25313		0.022222222222222223	0.08695652173913043	21	16154	4	2	17	16152	16175	0.35595147508138325	3	GO:0002376;GO:0001775;GO:0050789;GO:0050896	ENSG00000011600;ENSG00000288206;ENSG00000096264;ENSG00000134539;ENSG00000205809;ENSG00000254415;ENSG00000205810;ENSG00000275452	1	1	GO:1990840	-	-
K1	cpdb	0	network_modules	3	TRUE	3.016697516632168e-8	124	5	5	1	0.04032258064516129	KEGG:04650	KEGG	Natural killer cell mediated cytotoxicity	8484	334		0.08888888888888889	0.10869565217391304	124	8360	5	0	119	8360	8484	0.19939073793682335	5	GO:0002376;GO:0001775;GO:0050789;GO:0050896	ENSG00000011600;ENSG00000288206;ENSG00000096264;ENSG00000134539;ENSG00000205809;ENSG00000254415;ENSG00000205810;ENSG00000275452	1	1	-	KEGG:04650	-
K1	cpdb	0	network_modules	4	TRUE	7.66683332179178e-6	39	3	3	1	0.07692307692307693	REAC:R-HSA-420499	REAC	Class C/3 (Metabotropic glutamate/pheromone receptors)	10916	367		0	0.08333333333333333	39	10877	3	0	36	10877	10916	0.2768922564792782	1	GO:0051606;GO:0050877	ENSG00000169962;ENSG00000173662;ENSG00000179002	1	1	-	-	REAC:R-HSA-420499
K1	cpdb	0	network_modules	4	TRUE	1.0921196658452368e-5	2	3	2	0.6666666666666666	1	GO:0001582	GO:BP	detection of chemical stimulus involved in sensory perception of sweet taste	16175	365		0.18181818181818182	0.25	2	16173	2	1	0	16172	16175	0.8164713379547893	3	GO:0051606;GO:0050877	ENSG00000169962;ENSG00000173662;ENSG00000179002	1	1	GO:0001582	-	-
K1	cpdb	0	network_modules	10	TRUE	5.739471313418517e-84	46	56	39	0.6964285714285714	0.8478260869565217	KEGG:03050	KEGG	Proteasome	8484	216		0	0.006578947368421052	46	8438	39	17	7	8421	8484	0.7670363211388593	1	GO:0009057;GO:0006508	ENSG00000185513;ENSG00000175354;ENSG00000100567;ENSG00000159352;ENSG00000107372;ENSG00000161057;ENSG00000100804;ENSG00000100764;ENSG00000173692;ENSG00000197170;ENSG00000163636;ENSG00000185627;ENSG00000108344;ENSG00000103035;ENSG00000165916;ENSG00000175166;ENSG00000087191;ENSG00000110497;ENSG00000116688;ENSG00000101182;ENSG00000175575;ENSG00000165660;ENSG00000129084;ENSG00000179262;ENSG00000108671;ENSG00000143106;ENSG00000130706;ENSG00000124253;ENSG00000100519;ENSG00000116750;ENSG00000120875;ENSG00000041357;ENSG00000127922;ENSG00000100902;ENSG00000114062;ENSG00000013275;ENSG00000101843;ENSG00000119318;ENSG00000008018;ENSG00000128789;ENSG00000183527;ENSG00000110801;ENSG00000115233;ENSG00000092010;ENSG00000152076;ENSG00000136813;ENSG00000095261;ENSG00000100418;ENSG00000159377;ENSG00000126067;ENSG00000158552;ENSG00000205220;ENSG00000125818;ENSG00000132963;ENSG00000136930;ENSG00000106588;ENSG00000172748;ENSG00000160803;ENSG00000154655;ENSG00000091164;ENSG00000068878;ENSG00000142507;ENSG00000164332;ENSG00000206026;ENSG00000163832;ENSG00000125703;ENSG00000099341;ENSG00000103184;ENSG00000007171;ENSG00000102053;ENSG00000144908;ENSG00000250067;ENSG00000104231;ENSG00000176153;ENSG00000154611;ENSG00000100601;ENSG00000166049;ENSG00000119636;ENSG00000223573;ENSG00000173572;ENSG00000185792;ENSG00000188501;ENSG00000204767;ENSG00000182783;ENSG00000099715;ENSG00000149488;ENSG00000106819;ENSG00000122584	1	1	-	KEGG:03050	-
K1	cpdb	0	network_modules	10	TRUE	4.985588742546925e-83	49	61	39	0.639344262295082	0.7959183673469388	REAC:R-HSA-1236978	REAC	Cross-presentation of soluble exogenous antigens (endosomes)	10916	416		0.006622516556291391	0.013157894736842105	49	10867	39	22	10	10845	10916	0.7119270614071334	2	GO:0009057;GO:0006508	ENSG00000185513;ENSG00000175354;ENSG00000100567;ENSG00000159352;ENSG00000107372;ENSG00000161057;ENSG00000100804;ENSG00000100764;ENSG00000173692;ENSG00000197170;ENSG00000163636;ENSG00000185627;ENSG00000108344;ENSG00000103035;ENSG00000165916;ENSG00000175166;ENSG00000087191;ENSG00000110497;ENSG00000116688;ENSG00000101182;ENSG00000175575;ENSG00000165660;ENSG00000129084;ENSG00000179262;ENSG00000108671;ENSG00000143106;ENSG00000130706;ENSG00000124253;ENSG00000100519;ENSG00000116750;ENSG00000120875;ENSG00000041357;ENSG00000127922;ENSG00000100902;ENSG00000114062;ENSG00000013275;ENSG00000101843;ENSG00000119318;ENSG00000008018;ENSG00000128789;ENSG00000183527;ENSG00000110801;ENSG00000115233;ENSG00000092010;ENSG00000152076;ENSG00000136813;ENSG00000095261;ENSG00000100418;ENSG00000159377;ENSG00000126067;ENSG00000158552;ENSG00000205220;ENSG00000125818;ENSG00000132963;ENSG00000136930;ENSG00000106588;ENSG00000172748;ENSG00000160803;ENSG00000154655;ENSG00000091164;ENSG00000068878;ENSG00000142507;ENSG00000164332;ENSG00000206026;ENSG00000163832;ENSG00000125703;ENSG00000099341;ENSG00000103184;ENSG00000007171;ENSG00000102053;ENSG00000144908;ENSG00000250067;ENSG00000104231;ENSG00000176153;ENSG00000154611;ENSG00000100601;ENSG00000166049;ENSG00000119636;ENSG00000223573;ENSG00000173572;ENSG00000185792;ENSG00000188501;ENSG00000204767;ENSG00000182783;ENSG00000099715;ENSG00000149488;ENSG00000106819;ENSG00000122584	1	1	-	-	REAC:R-HSA-1236978
K1	cpdb	0	network_modules	11	TRUE	9.169753503519814e-33	26	19	14	0.7368421052631579	0.5384615384615384	REAC:R-HSA-3238698	REAC	WNT ligand biogenesis and trafficking	10916	2668		0	0.011764705882352941	26	10890	14	5	12	10885	10916	0.6291505090008009	1	GO:0050789;GO:0032502;GO:0050896	ENSG00000114251;ENSG00000154342;ENSG00000157240;ENSG00000156076;ENSG00000125084;ENSG00000105989;ENSG00000188763;ENSG00000104332;ENSG00000154764;ENSG00000134245;ENSG00000079557;ENSG00000102312;ENSG00000143816;ENSG00000111186;ENSG00000169884;ENSG00000188064;ENSG00000185269;ENSG00000135925;ENSG00000061492;ENSG00000115596	1	1	-	-	REAC:R-HSA-3238698
K1	cpdb	0	network_modules	11	TRUE	4.4597306939130395e-28	63	19	15	0.7894736842105263	0.23809523809523808	KEGG:05217	KEGG	Basal cell carcinoma	8484	468		0.03571428571428571	0.047058823529411764	63	8421	15	4	48	8417	8484	0.4315640379949031	4	GO:0050789;GO:0032502;GO:0050896	ENSG00000114251;ENSG00000154342;ENSG00000157240;ENSG00000156076;ENSG00000125084;ENSG00000105989;ENSG00000188763;ENSG00000104332;ENSG00000154764;ENSG00000134245;ENSG00000079557;ENSG00000102312;ENSG00000143816;ENSG00000111186;ENSG00000169884;ENSG00000188064;ENSG00000185269;ENSG00000135925;ENSG00000061492;ENSG00000115596	2	1	-	KEGG:05217	-
K1	cpdb	0	network_modules	11	TRUE	2.763711037884475e-13	44	20	8	0.4	0.18181818181818182	GO:0071300	GO:BP	cellular response to retinoic acid	16175	16557		0.25	0.25882352941176473	44	16131	8	12	36	16119	16175	0.2683769753569458	22	GO:0050789;GO:0032502;GO:0050896	ENSG00000114251;ENSG00000154342;ENSG00000157240;ENSG00000156076;ENSG00000125084;ENSG00000105989;ENSG00000188763;ENSG00000104332;ENSG00000154764;ENSG00000134245;ENSG00000079557;ENSG00000102312;ENSG00000143816;ENSG00000111186;ENSG00000169884;ENSG00000188064;ENSG00000185269;ENSG00000135925;ENSG00000061492;ENSG00000115596	5	1	GO:0071300	-	-
K1	cpdb	0	network_modules	12	TRUE	6.004845506318434e-6	43	3	3	1	0.06976744186046512	KEGG:04975	KEGG	Fat digestion and absorption	8484	406		0	0.14285714285714285	43	8441	3	0	40	8441	8484	0.2635116486172567	1	NA	ENSG00000137392;ENSG00000175535;ENSG00000266200	1	1	-	KEGG:04975	-
K1	cpdb	0	network_modules	12	TRUE	6.842048825137734e-5	6	2	2	1	0.3333333333333333	REAC:R-HSA-192456	REAC	Digestion of dietary lipid	10916	744		0.16666666666666666	0.2857142857142857	6	10910	2	0	4	10910	10916	0.5772444595545048	2	NA	ENSG00000137392;ENSG00000175535;ENSG00000266200	1	1	-	-	REAC:R-HSA-192456
K1	cpdb	0	network_modules	13	TRUE	2.863850412583413e-4	128	3	3	1	0.0234375	REAC:R-HSA-6809371	REAC	Formation of the cornified envelope	10916	969		0	0.5	128	10788	3	0	125	10788	10916	0.152213801969879	1	NA	ENSG00000178172;ENSG00000186474;ENSG00000129437	1	1	-	-	REAC:R-HSA-6809371
K1	cpdb	0	network_modules	14	TRUE	3.1342757162222643e-24	43	12	11	0.9166666666666666	0.2558139534883721	REAC:R-HSA-1296072	REAC	Voltage gated Potassium channels	10916	2663		0	0.08333333333333333	43	10873	11	1	32	10872	10916	0.48338530108464195	1	GO:0006811	ENSG00000158445;ENSG00000129159;ENSG00000162975;ENSG00000176076;ENSG00000143473;ENSG00000164794;ENSG00000182674;ENSG00000168263;ENSG00000171126;ENSG00000168418;ENSG00000178342;ENSG00000166006	1	1	-	-	REAC:R-HSA-1296072
K1	cpdb	0	network_modules	14	TRUE	3.818962692620605e-21	183	12	12	1	0.06557377049180328	GO:0071805	GO:BP	potassium ion transmembrane transport	16175	16918		0.09090909090909091	0.16666666666666666	183	15992	12	0	171	15992	16175	0.2547155637547786	2	GO:0006811	ENSG00000158445;ENSG00000129159;ENSG00000162975;ENSG00000176076;ENSG00000143473;ENSG00000164794;ENSG00000182674;ENSG00000168263;ENSG00000171126;ENSG00000168418;ENSG00000178342;ENSG00000166006	1	1	GO:0071805	-	-
K1	cpdb	0	network_modules	15	TRUE	1.5991614316799314e-12	21	5	5	1	0.23809523809523808	GO:0052695	GO:BP	cellular glucuronidation	16175	14152		0	0.023255813953488372	21	16154	5	0	16	16154	16175	0.4877085666900996	1	GO:0006805;GO:0006082;GO:0042440	ENSG00000244122;ENSG00000167165;ENSG00000244474;ENSG00000242366;ENSG00000241119;ENSG00000243135	1	1	GO:0052695	-	-
K1	cpdb	0	network_modules	15	TRUE	8.041394563582528e-12	25	5	5	1	0.2	REAC:R-HSA-156588	REAC	Glucuronidation	10916	1054		0.07142857142857142	0.09302325581395349	25	10891	5	0	20	10891	10916	0.44680353343362533	4	GO:0006805;GO:0006082;GO:0042440	ENSG00000244122;ENSG00000167165;ENSG00000244474;ENSG00000242366;ENSG00000241119;ENSG00000243135	1	1	-	-	REAC:R-HSA-156588
K1	cpdb	0	network_modules	15	TRUE	1.909382413857448e-11	30	5	5	1	0.16666666666666666	KEGG:00053	KEGG	Ascorbate and aldarate metabolism	8484	8		0.09523809523809523	0.11627906976744186	30	8454	5	0	25	8454	8484	0.4076459941126597	5	GO:0006805;GO:0006082;GO:0042440	ENSG00000244122;ENSG00000167165;ENSG00000244474;ENSG00000242366;ENSG00000241119;ENSG00000243135	1	1	-	KEGG:00053	-
K1	cpdb	0	network_modules	16	TRUE	2.2763808791475894e-17	37	28	10	0.35714285714285715	0.2702702702702703	GO:0030574	GO:BP	collagen catabolic process	16175	6846		0.06896551724137931	0.1	37	16138	10	18	27	16120	16175	0.3093164765474533	3	GO:0008152;GO:0045229;GO:0022411;GO:0043062	ENSG00000170498;ENSG00000196611;ENSG00000102265;ENSG00000262406;ENSG00000137745;ENSG00000038427;ENSG00000149968;ENSG00000166670;ENSG00000118113;ENSG00000137674;ENSG00000152591;ENSG00000100234;ENSG00000108691;ENSG00000163735;ENSG00000132692;ENSG00000146197;ENSG00000152377;ENSG00000157766;ENSG00000108688;ENSG00000196104;ENSG00000107742;ENSG00000125966;ENSG00000145681;ENSG00000157150;ENSG00000198598;ENSG00000123342;ENSG00000159307;ENSG00000154736	1	1	GO:0030574	-	-
K1	cpdb	0	network_modules	16	TRUE	4.446357176565391e-15	33	25	9	0.36	0.2727272727272727	REAC:R-HSA-1592389	REAC	Activation of Matrix Metalloproteinases	10916	86		0.10344827586206896	0.13333333333333333	33	10883	9	16	24	10867	10916	0.3115361864639545	4	GO:0008152;GO:0045229;GO:0022411;GO:0043062	ENSG00000170498;ENSG00000196611;ENSG00000102265;ENSG00000262406;ENSG00000137745;ENSG00000038427;ENSG00000149968;ENSG00000166670;ENSG00000118113;ENSG00000137674;ENSG00000152591;ENSG00000100234;ENSG00000108691;ENSG00000163735;ENSG00000132692;ENSG00000146197;ENSG00000152377;ENSG00000157766;ENSG00000108688;ENSG00000196104;ENSG00000107742;ENSG00000125966;ENSG00000145681;ENSG00000157150;ENSG00000198598;ENSG00000123342;ENSG00000159307;ENSG00000154736	3	1	-	-	REAC:R-HSA-1592389
K1	cpdb	0	network_modules	18	TRUE	1.0489963117619246e-9	20	4	4	1	0.2	GO:0033141	GO:BP	positive regulation of peptidyl-serine phosphorylation of STAT protein	16175	8056		0	0.011235955056179775	20	16155	4	0	16	16155	16175	0.44699229847620187	1	GO:0044419;GO:0006793;GO:0050896;GO:0002376;GO:0008283;GO:0001775;GO:0050789;GO:0036211	ENSG00000236637;ENSG00000233816;ENSG00000234829;ENSG00000214042	1	1	GO:0033141	-	-
K1	cpdb	0	network_modules	18	TRUE	2.9951214072426784e-9	24	4	4	1	0.16666666666666666	REAC:R-HSA-912694	REAC	Regulation of IFNA/IFNB signaling	10916	1979		0.03409090909090909	0.0449438202247191	24	10892	4	0	20	10892	10916	0.40787399104486916	4	GO:0044419;GO:0006793;GO:0050896;GO:0002376;GO:0008283;GO:0001775;GO:0050789;GO:0036211	ENSG00000236637;ENSG00000233816;ENSG00000234829;ENSG00000214042	1	1	-	-	REAC:R-HSA-912694
